"","Protein","Len","S0","S0.1","S1","S1.1","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","UniprotID","DEFLINE"
"13","m.10110",697,0,1,0,0,0.376,0.0238,1,0.819052,0.905277,"O11780","Transforming growth factor-beta-induced protein ig-h3 OS=Sus scrofa GN=TGFBI PE=1 SV=1                  "
"14","m.10111",222,0,2,0,2,3.277,0.3204,0.964362,0.728722,0.918782,"3660641","Uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85349 PE=4 SV=1                     "
"15","m.1013",969,1,3,0,1,-9.856,-0.5086,1,0.896204,0.843186,"A7RU46","Nck-associated protein 1 homolog OS=Nematostella vectensis GN=napA PE=3 SV=1                   "
"16","m.10132",182,1,2,2,2,19.645,1.3973,0.463734,0.265008,0.891696,"Q6NZW8","ADP-ribosylation factor-like protein 8B-A OS=Danio rerio GN=arl8ba PE=2 SV=1                   "
"17","m.10135",467,4,4,3,4,-5.15,-0.2829,1,0.872977,0.877596,"Q9YI37","Succinyl-CoA ligase [ADP-forming] subunit beta mitochondrial (Fragment) OS=Columba livia GN=SUCLA2 PE=1 SV=1                           "
"18","m.10138",474,2,1,2,2,9.824,0.6317,0.835842,0.60446,0.917641,"O77775","Neutrophil cytosol factor 2 OS=Bos taurus GN=NCF2 PE=2 SV=1                   "
"19","m.10139",271,0,1,1,0,9.241,0.5768,0.862483,0.62771,0.918776,"Q8R1W8","Interphotoreceptor matrix proteoglycan 1 OS=Mus musculus GN=Impg1 PE=1 SV=1                   "
"20","m.10146",361,2,1,1,3,4.961,0.1687,1,0.779952,0.913467,"O43639","Cytoplasmic protein NCK2 OS=Homo sapiens GN=NCK2 PE=1 SV=2                    "
"21","m.10183",616,1,0,0,0,-14.267,-1.1076,0.8722,0.913195,0.675237,"P60670","Nuclear protein localization protein 4 homolog OS=Mus musculus GN=Nploc4 PE=1 SV=3                 "
"22","m.10194",572,19,16,19,20,-1.524,-0.3443,1,0.880363,0.869708,"P15178","Aspartate--tRNA ligase cytoplasmic OS=Rattus norvegicus GN=Dars PE=2 SV=1                           "
"23","m.10199",219,7,9,7,8,-18.409,-1.9695,0.503325,0.895325,0.240718,"Q05975","Ras-related protein Rab-2 OS=Lymnaea stagnalis GN=RAB2 PE=2 SV=1                    "
"24","m.1020",1917,0,0,1,1,-5.15,-0.4148,1,0.887801,0.859377,"Q6ZQ08","CCR4-NOT transcription complex subunit 1 OS=Mus musculus GN=Cnot1 PE=1 SV=2                  "
"25","m.10205",893,0,1,1,0,0.679,0.0344,1,0.816545,0.905961,"O88664","Serine/threonine-protein kinase TAO1 OS=Rattus norvegicus GN=Taok1 PE=1 SV=1                    "
"26","m.10239",279,1,2,2,1,-15.505,-1.243,0.830088,0.91067,0.623786,"P31483","Nucleolysin TIA-1 isoform p40 OS=Homo sapiens GN=TIA1 PE=1 SV=3                   "
"27","m.10254",141,2,2,0,0,-10.088,-0.4123,1,0.887554,0.859769,NA,NA
"28","m.10260",232,0,1,1,1,7.932,0.6033,0.849865,0.616534,0.918269,"3665646","Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85506 PE=4 SV=1                    "
"29","m.10264",203,0,1,0,1,-1.73,-0.0802,1,0.841084,0.897723,"Q2QXC6","Probable serine/threonine-protein kinase WNK9 OS=Oryza sativa subsp. japonica GN=WNK9 PE=2 SV=1                 "
"30","m.1027",157,1,2,2,2,-6.686,-0.6506,0.989911,0.905967,0.812748,"3289105","Predicted protein OS=Nematostella vectensis GN=v1g225191 PE=4 SV=1                     "
"31","m.10304",278,4,4,3,4,11.01,1.3548,0.487451,0.284124,0.892812,"Q96RW7","Hemicentin-1 OS=Homo sapiens GN=HMCN1 PE=1 SV=2                      "
"32","m.10324",680,4,4,3,4,-7.156,-0.3346,1,0.879255,0.871019,"Q04446","14-alpha-glucan-branching enzyme OS=Homo sapiens GN=GBE1 PE=1 SV=3                           "
"33","m.10327",1122,2,2,2,2,7.942,0.4262,0.926594,0.68886,0.919994,"Q1LZA7","LIM domain-containing protein 2 OS=Bos taurus GN=LIMD2 PE=2 SV=1                   "
"34","m.10342",512,1,0,1,1,3.471,0.1908,0.997536,0.773011,0.914507,"P08183","Multidrug resistance protein 1 OS=Homo sapiens GN=ABCB1 PE=1 SV=3                   "
"35","m.10346",250,2,3,1,3,-31.044,-1.479,0.773227,0.905187,0.51685,"Q9NR16","Scavenger receptor cysteine-rich type 1 protein M160 OS=Homo sapiens GN=CD163L1 PE=1 SV=2                "
"36","m.1036",1192,1,1,2,2,3.898,0.2285,0.989828,0.760724,0.916078,"O57683","Splicing factor 3B subunit 1 OS=Xenopus laevis GN=sf3b1 PE=2 SV=1                  "
"37","m.10360",636,1,2,2,2,14.823,1.1308,0.5893,0.387505,0.899662,"A5D7E2","Transmembrane 9 superfamily member 4 OS=Bos taurus GN=TM9SF4 PE=2 SV=2                  "
"38","m.10378",725,2,3,3,3,12.883,0.6553,0.823799,0.594364,0.917057,"Q03516","Uncharacterized protein RSN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RSN1 PE=1 SV=1               "
"39","m.1038",113,5,4,5,5,1.414,0.0726,1,0.807073,0.908309,"P51397","Death-associated protein 1 OS=Homo sapiens GN=DAP PE=1 SV=3                    "
"40","m.10387",484,6,6,7,6,4.981,0.4798,0.905123,0.667624,0.919915,"Q8IV20","Laccase domain-containing protein 1 OS=Homo sapiens GN=LACC1 PE=1 SV=1                   "
"41","m.104",1674,66,65,62,64,-8.342,-1.6323,0.73875,0.902074,0.431935,"Q68FD5","Clathrin heavy chain 1 OS=Mus musculus GN=Cltc PE=1 SV=3                   "
"42","m.1041",396,5,6,5,3,12.63,1.2286,0.54923,0.342453,0.896444,"Q0VFL3","KH domain-containing RNA-binding signal transduction-associated protein 2 OS=Xenopus tropicalis GN=khdrbs2 PE=2 SV=1                           "
"43","m.1042",331,3,4,4,4,-15.019,-0.8738,0.942217,0.913572,0.752351,"Q9PTS2","Uroporphyrinogen decarboxylase OS=Danio rerio GN=urod PE=2 SV=1                     "
"44","m.1044",836,0,1,0,0,6.944,0.361,0.95071,0.713772,0.919477,"Q29M42","Coiled-coil and C2 domain-containing protein 1-like OS=Drosophila pseudoobscura pseudoobscura GN=GA18377 PE=3 SV=2                "
"45","m.10457",752,0,0,1,1,9.347,0.4298,0.925196,0.687454,0.920002,"Q91372","Probable ATP-dependent RNA helicase DDX4 OS=Xenopus laevis GN=ddx4 PE=2 SV=1                  "
"46","m.10463",220,0,1,1,1,-11.178,-0.4241,1,0.888706,0.857903,"Q32NG4","Parkinson disease 7 domain-containing protein 1 OS=Xenopus laevis GN=pddc1 PE=2 SV=1                 "
"47","m.10468",320,8,10,8,9,-18.769,-1.108,0.872073,0.913189,0.675093,NA,NA
"48","m.10469",238,0,0,0,1,-17.677,-1.2497,0.828101,0.910522,0.621088,"P61291","Proteasome activator complex subunit 3 OS=Sus scrofa GN=PSME3 PE=2 SV=1                  "
"49","m.10472",547,5,8,8,5,-20.04,-1.7444,0.689531,0.89999,0.365125,"Q5D1D6","Interferon-induced guanylate-binding protein 1 OS=Chlorocebus aethiops GN=GBP1 PE=2 SV=1                   "
"50","m.10484",222,1,1,1,0,1.348,0.0582,1,0.810726,0.907446,"Q68EY7","Coiled-coil domain-containing protein 124-A OS=Xenopus laevis GN=ccdc124-a PE=2 SV=1                   "
"51","m.10496",298,9,12,9,7,-2.251,-0.1884,1,0.85969,0.887996,"Q5R5D5","Alcohol dehydrogenase [NADP(+)] OS=Pongo abelii GN=AKR1A1 PE=2 SV=1                    "
"52","m.10499",214,2,4,2,2,13.471,1.0087,0.638818,0.441899,0.904212,"Q13825","Methylglutaconyl-CoA hydratase mitochondrial OS=Homo sapiens GN=AUH PE=1 SV=1                           "
"53","m.10517",796,1,1,0,1,-1.399,-0.0728,1,0.83966,0.898315,"3271430","Predicted protein OS=Nematostella vectensis GN=v1g241035 PE=4 SV=1                     "
"54","m.1054",285,8,10,10,7,1.298,0.0873,1,0.803238,0.909165,"Q2Q1W2","E3 ubiquitin-protein ligase TRIM71 OS=Homo sapiens GN=TRIM71 PE=1 SV=1                   "
"55","m.10558",176,1,3,1,3,2.439,0.1685,1,0.780014,0.913458,"3280410","Predicted protein OS=Nematostella vectensis GN=v1g246076 PE=4 SV=1                     "
"56","m.10560",427,9,11,7,10,9.79,0.5942,0.854249,0.620383,0.918452,"Q55G75","PH domain-containing protein DDB_G0267786 OS=Dictyostelium discoideum GN=DDB_G0267786 PE=4 SV=1                   "
"57","m.10567",295,1,1,0,0,-0.621,-0.0351,1,0.832077,0.901194,"Q8K1T0","Transmembrane protease serine 3 OS=Mus musculus GN=Tmprss3 PE=1 SV=2                   "
"58","m.10575",652,1,2,2,1,-23.546,-1.6268,0.740423,0.902178,0.435159,"Q8K5C0","Grainyhead-like protein 2 homolog OS=Mus musculus GN=Grhl2 PE=2 SV=1                   "
"59","m.10586",414,0,2,1,1,0.922,0.1056,1,0.798312,0.910196,"Q6IQ20","N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D OS=Homo sapiens GN=NAPEPLD PE=1 SV=2                    "
"60","m.1060",147,2,4,3,4,2.387,0.1291,1,0.791728,0.911464,"P62184","Calmodulin OS=Renilla reniformis PE=1 SV=2                       "
"61","m.10603",487,0,1,1,1,-14.099,-0.7263,0.977417,0.909596,0.793834,"O54991","Contactin-associated protein 1 OS=Mus musculus GN=Cntnap1 PE=2 SV=2                    "
"62","m.10605",698,4,6,2,3,-1.849,-0.1279,1,0.849779,0.893694,"P08478","Peptidyl-glycine alpha-amidating monooxygenase A OS=Xenopus laevis GN=pam-a PE=1 SV=3                   "
"63","m.10621",420,4,4,2,3,-3.888,-0.3627,1,0.882406,0.86715,"Q5EA61","Creatine kinase B-type OS=Bos taurus GN=CKB PE=2 SV=1                    "
"64","m.10669",322,0,1,0,0,-6.741,-0.3169,1,0.877178,0.873348,"O15083","ERC protein 2 OS=Homo sapiens GN=ERC2 PE=1 SV=3                    "
"65","m.1069",424,3,4,3,5,-17.811,-1.1936,0.845143,0.91171,0.643211,"Q3T0K2","T-complex protein 1 subunit gamma OS=Bos taurus GN=CCT3 PE=1 SV=1                  "
"66","m.10693",451,1,4,2,1,15.295,0.8124,0.737617,0.526616,0.911982,"Q61555","Fibrillin-2 OS=Mus musculus GN=Fbn2 PE=1 SV=2                      "
"67","m.107",99,9,9,8,8,-6.277,-0.3253,1,0.878173,0.872253,NA,NA
"68","m.10713",218,10,11,8,6,5.215,0.6343,0.834532,0.60335,0.917579,"P62494","Ras-related protein Rab-11A OS=Rattus norvegicus GN=Rab11a PE=1 SV=3                    "
"69","m.10714",429,8,10,7,8,26.158,1.8826,0.196119,0.0968,0.882062,"B1H120","Septin-8 OS=Xenopus tropicalis GN=sept8 PE=2 SV=1                      "
"70","m.10723",443,3,2,2,3,-0.606,-0.048,1,0.834736,0.900233,"Q8VHI3","GDP-fucose protein O-fucosyltransferase 2 OS=Mus musculus GN=Pofut2 PE=1 SV=1                   "
"71","m.10726",1630,3,3,4,4,2.086,0.2121,0.993397,0.766135,0.915427,"P02466","Collagen alpha-2(I) chain OS=Rattus norvegicus GN=Col1a2 PE=1 SV=3                    "
"72","m.1073",371,4,5,4,3,1.168,0.0614,1,0.809923,0.90764,"Q9NZR1","Tropomodulin-2 OS=Homo sapiens GN=TMOD2 PE=1 SV=1                      "
"73","m.1074",292,1,1,0,1,-2.516,-0.1535,1,0.854118,0.891367,"Q5SRE7","Phytanoyl-CoA dioxygenase domain-containing protein 1 OS=Homo sapiens GN=PHYHD1 PE=1 SV=2                  "
"74","m.10744",282,6,9,4,7,4.514,0.5494,0.875069,0.639156,0.919217,"P07846","Sorbitol dehydrogenase OS=Ovis aries GN=SORD PE=1 SV=1                     "
"75","m.10763",330,0,0,1,1,-4.578,-0.2262,1,0.865306,0.88407,NA,NA
"76","m.10765",227,2,2,2,2,-5.206,-0.353,1,0.881338,0.86851,NA,NA
"77","m.10767",590,0,1,1,1,9.149,0.8473,0.718356,0.511586,0.910648,"Q8AV28","Pericentriolar material 1 protein OS=Gallus gallus GN=PCM1 PE=2 SV=1                   "
"78","m.10807",572,29,28,32,31,-19.236,-1.778,0.668215,0.899354,0.345177,"3267080","Predicted protein OS=Nematostella vectensis GN=v1g197490 PE=4 SV=1                     "
"79","m.10812",189,6,5,3,3,-0.769,-0.0269,1,0.830353,0.901792,"P31696","Agrin OS=Gallus gallus GN=AGRN PE=1 SV=3                      "
"80","m.10817",422,1,2,1,1,-24.665,-2.1098,0.384147,0.892021,0.178825,"Q63537","Synapsin-2 OS=Rattus norvegicus GN=Syn2 PE=1 SV=1                      "
"81","m.10818",372,2,4,2,5,-13.654,-1.2507,0.827806,0.910499,0.620683,"Q32KI9","Arylsulfatase I OS=Mus musculus GN=Arsi PE=2 SV=1                     "
"82","m.10831",206,4,4,4,4,-0.005,-3e-04,1,0.824563,0.903665,"Q292N4","Latrophilin Cirl OS=Drosophila pseudoobscura pseudoobscura GN=Cirl PE=3 SV=2                    "
"83","m.10852",208,1,1,1,3,-1.614,-0.0979,1,0.844406,0.896273,"Q9WVL0","Maleylacetoacetate isomerase OS=Mus musculus GN=Gstz1 PE=1 SV=1                     "
"84","m.10862",241,0,1,0,1,-1.788,-0.1218,1,0.848712,0.894231,"B2RYG6","Ubiquitin thioesterase OTUB1 OS=Rattus norvegicus GN=Otub1 PE=1 SV=1                    "
"85","m.10883",471,10,13,9,11,18.627,1.0133,0.636831,0.439888,0.904031,"P34897","Serine hydroxymethyltransferase mitochondrial OS=Homo sapiens GN=SHMT2 PE=1 SV=3                           "
"86","m.10886",397,0,0,1,0,14.559,0.7948,0.747452,0.534205,0.912633,"Q6PB03","Phospholipase D3 OS=Xenopus laevis GN=pld3 PE=2 SV=1                     "
"87","m.1089",117,6,7,6,6,-1.352,-0.0956,1,0.843981,0.896464,"P21571","ATP synthase-coupling factor 6 mitochondrial OS=Rattus norvegicus GN=Atp5j PE=1 SV=1                           "
"88","m.10893",298,21,22,14,17,-16.782,-1.6308,0.739207,0.902102,0.432815,"P84335","Tropomyosin alpha-1 chain OS=Liza aurata PE=1 SV=1                     "
"89","m.10905",398,5,5,6,3,3.573,0.3291,0.96154,0.725557,0.918956,"F6XBL2","26S proteasome non-ATPase regulatory subunit 11 OS=Xenopus tropicalis GN=psmd11 PE=3 SV=2                 "
"90","m.10914",217,5,7,5,6,-19.236,-0.906,0.933261,0.913945,0.742549,"Q5R8Z8","Ras-related protein Rab-14 OS=Pongo abelii GN=RAB14 PE=2 SV=3                    "
"91","m.10920",962,0,1,0,0,-6.643,-0.5909,0.996428,0.902322,0.826385,"O75694","Nuclear pore complex protein Nup155 OS=Homo sapiens GN=NUP155 PE=1 SV=1                  "
"92","m.10928",723,15,5,10,8,14.187,0.846,0.719065,0.512145,0.910699,"Q9VZZ4","Peroxidasin OS=Drosophila melanogaster GN=Pxn PE=1 SV=1                      "
"93","m.10938",346,4,5,5,5,-18.552,-1.3049,0.81243,0.909252,0.598215,"Q8VHT6","Arsenite methyltransferase OS=Rattus norvegicus GN=As3mt PE=1 SV=1                     "
"94","m.10944",532,1,3,1,1,-17.869,-0.8349,0.952557,0.912899,0.763845,"Q8CJB9","E3 ubiquitin-protein ligase BRE1B OS=Rattus norvegicus GN=Rnf40 PE=1 SV=1                   "
"95","m.10974",566,8,12,8,9,-13.507,-0.7403,0.974624,0.910146,0.790149,"P31335","Bifunctional purine biosynthesis protein PURH OS=Gallus gallus GN=ATIC PE=1 SV=1                  "
"96","m.10998",251,1,1,0,0,-8.751,-0.5152,1,0.896738,0.84193,"Q5EB30","Outer dense fiber protein 3 OS=Xenopus tropicalis GN=odf3 PE=2 SV=1                  "
"97","m.110",1165,44,56,37,45,7.054,1.9004,0.188156,0.092663,0.881813,"Q80Y17","Lethal(2) giant larvae protein homolog 1 OS=Mus musculus GN=Llgl1 PE=1 SV=1                 "
"98","m.1100",513,2,3,2,1,0.785,0.0471,1,0.813473,0.906762,"Q61753","D-3-phosphoglycerate dehydrogenase OS=Mus musculus GN=Phgdh PE=1 SV=3                     "
"99","m.1103",1107,1,3,1,1,4.772,0.2022,0.995392,0.769352,0.91501,"Q32LP4","Sodium-driven chloride bicarbonate exchanger OS=Bos taurus GN=SLC4A10 PE=2 SV=1                   "
"100","m.11035",299,0,1,0,2,-22.206,-1.3907,0.791205,0.907213,0.560063,"Q3T0B6","Complement component 1 Q subcomponent-binding protein mitochondrial OS=Bos taurus GN=C1QBP PE=2 SV=1                           "
"101","m.11045",121,2,1,3,2,-17.079,-1.2103,0.839985,0.911371,0.636734,"Q24799","Myophilin OS=Echinococcus granulosus PE=2 SV=1                       "
"102","m.11093",943,0,0,1,0,2.286,0.1842,0.998702,0.775106,0.914205,"Q8UUU2","Phosphatidylinositol 3-kinase regulatory subunit alpha OS=Xenopus laevis GN=pik3r1-a PE=2 SV=1                  "
"103","m.11100",1144,6,7,8,8,4.661,0.4686,0.909725,0.672114,0.919967,"A3KPW9","Large proline-rich protein BAG6 OS=Danio rerio GN=Bag6 PE=3 SV=1                   "
"104","m.11107",150,8,10,10,11,-8.789,-0.6811,0.985431,0.907563,0.805338,"Q9CPW4","Actin-related protein 3-Feb complex subunit 5 OS=Mus musculus GN=Arpc5 PE=2 SV=3                 "
"105","m.11115",300,3,4,3,3,-5.498,-0.401,1,0.886426,0.861515,"Q9U8W7","Techylectin-5B OS=Tachypleus tridentatus PE=1 SV=1                       "
"106","m.11137",540,1,1,0,0,3.456,0.2948,0.972295,0.737906,0.918189,"A9JTG5","RanBP-type and C3HC4-type zinc finger-containing protein 1 OS=Danio rerio GN=rbck1 PE=2 SV=1                "
"107","m.11149",227,9,11,9,7,-3.256,-0.1829,1,0.858837,0.888543,"O14818","Proteasome subunit alpha type-7 OS=Homo sapiens GN=PSMA7 PE=1 SV=1                   "
"108","m.11152",593,1,1,0,1,18.289,1.0602,0.617274,0.419226,0.902228,"4780878","Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1                      "
"109","m.11167",387,1,0,0,1,-1.073,-0.0703,1,0.839175,0.898512,"Q8TCT9","Minor histocompatibility antigen H13 OS=Homo sapiens GN=HM13 PE=1 SV=1                   "
"110","m.11180",213,0,1,0,0,1.747,0.0867,1,0.803397,0.909131,"Q9UBC2","Epidermal growth factor receptor substrate 15-like 1 OS=Homo sapiens GN=EPS15L1 PE=1 SV=1                "
"111","m.11210",170,1,2,2,2,0.819,0.073,1,0.80697,0.908333,"3269761","Predicted protein OS=Nematostella vectensis GN=v1g180953 PE=4 SV=1                     "
"112","m.1126",148,3,3,5,3,-7.452,-0.4828,1,0.894048,0.847944,"Q5REY2","60S ribosomal protein L27a OS=Pongo abelii GN=RPL27A PE=2 SV=3                   "
"113","m.11265",213,3,3,2,3,-1.307,-0.0923,1,0.843368,0.896737,"Q61220","Protein kinase C-binding protein NELL2 OS=Mus musculus GN=Nell2 PE=2 SV=3                  "
"114","m.11277",156,0,1,1,1,-13.087,-0.7955,0.962355,0.911951,0.775091,"Q12965","Unconventional myosin-Ie OS=Homo sapiens GN=MYO1E PE=1 SV=2                     "
"115","m.11289",232,1,3,1,2,5.341,0.4376,0.922145,0.684398,0.920013,"3281455","Predicted protein OS=Nematostella vectensis GN=v1g215547 PE=4 SV=1                     "
"116","m.11298",283,2,2,2,2,13.863,0.6502,0.82643,0.59655,0.917188,"Q9UGM3","Deleted in malignant brain tumors 1 protein OS=Homo sapiens GN=DMBT1 PE=1 SV=2                "
"117","m.113",378,57,60,49,45,-5.698,-1.3401,0.803221,0.908417,0.582978,NA,NA
"118","m.11307",740,0,1,0,1,3.179,0.1731,0.999999,0.778589,0.91368,"Q62077","1-phosphatidylinositol 45-bisphosphate phosphodiesterase gamma-1 OS=Mus musculus GN=Plcg1 PE=1 SV=2                           "
"119","m.11313",319,0,1,0,0,-1.958,-0.1069,1,0.846051,0.895515,"Q5R7K9","EGF-like repeat and discoidin I-like domain-containing protein 3 OS=Pongo abelii GN=EDIL3 PE=2 SV=1               "
"120","m.11319",252,1,1,1,1,0.549,0.0375,1,0.815802,0.906159,"Q6P371","Hydroxyacid-oxoacid transhydrogenase mitochondrial OS=Xenopus tropicalis GN=adhfe1 PE=2 SV=1                           "
"121","m.1133",280,4,4,2,1,-0.202,-0.0119,1,0.827125,0.90286,"Q9Y365","PCTP-like protein OS=Homo sapiens GN=STARD10 PE=1 SV=2                     "
"122","m.11340",155,2,3,2,2,-17.51,-0.8211,0.956075,0.912598,0.76783,"Q03376","Balbiani ring protein 3 OS=Chironomus tentans GN=BR3 PE=2 SV=1                   "
"123","m.1135",538,15,16,9,7,-11.901,-0.6619,0.988341,0.906579,0.810037,"P97793","ALK tyrosine kinase receptor OS=Mus musculus GN=Alk PE=1 SV=2                   "
"124","m.11354",351,4,7,5,3,4.924,0.2809,0.976352,0.742809,0.917815,"P43903","Quinone oxidoreductase OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=qor PE=3 SV=2        "
"125","m.11369",202,4,5,2,2,-12.482,-0.5918,0.996351,0.902382,0.826188,NA,NA
"126","m.11382",877,1,2,1,1,-8.241,-0.738,0.975092,0.910058,0.790759,"B1AZI6","THO complex subunit 2 OS=Mus musculus GN=Thoc2 PE=1 SV=1                   "
"127","m.1141",910,1,1,1,3,-23.61,-1.7538,0.683888,0.899814,0.359522,"Q6F3J0","Nuclear factor NF-kappa-B p105 subunit OS=Canis familiaris GN=NFKB1 PE=2 SV=2                  "
"128","m.11430",456,7,4,1,1,11.375,0.7005,0.799831,0.57492,0.915792,"Q8NDA2","Hemicentin-2 OS=Homo sapiens GN=HMCN2 PE=2 SV=2                      "
"129","m.1145",390,0,1,1,0,-5.024,-0.331,1,0.878839,0.8715,NA,NA
"130","m.11458",213,4,4,3,2,-14.193,-1.0775,0.881673,0.913584,0.685955,"Q9H4G4","Golgi-associated plant pathogenesis-related protein 1 OS=Homo sapiens GN=GLIPR2 PE=1 SV=3                  "
"131","m.11472",334,2,3,3,2,-11.138,-0.4862,1,0.894338,0.84733,"O95219","Sorting nexin-4 OS=Homo sapiens GN=SNX4 PE=1 SV=1                     "
"132","m.11482",410,1,0,0,0,-13.476,-0.9228,0.928469,0.914076,0.737332,"Q9BVL2","Nucleoporin p58/p45 OS=Homo sapiens GN=NUPL1 PE=1 SV=1                     "
"133","m.1149",736,1,1,2,1,3.053,0.1997,0.995876,0.770159,0.914902,"Q5EE04","Nucleoprotein TPR (Fragment) OS=Xenopus laevis GN=tpr PE=1 SV=1                    "
"134","m.115",216,10,11,8,9,-25.151,-0.9889,0.908978,0.914214,0.716123,"Q58DS9","Ras-related protein Rab-5C OS=Bos taurus GN=RAB5C PE=2 SV=1                    "
"135","m.1152",2284,1,0,0,1,-5.999,-0.3101,1,0.87636,0.874221,"O35474","EGF-like repeat and discoidin I-like domain-containing protein 3 OS=Mus musculus GN=Edil3 PE=1 SV=2               "
"136","m.11543",385,12,10,7,7,11.138,1.249,0.540161,0.332967,0.895821,"Q6PZE0","Mucin-19 OS=Mus musculus GN=Muc19 PE=2 SV=2                      "
"137","m.11553",214,9,7,7,7,-12.67,-0.9104,0.932013,0.913983,0.74119,"P46436","Glutathione S-transferase 1 OS=Ascaris suum GN=GST1 PE=1 SV=3                    "
"138","m.11555",111,2,3,1,1,-3.133,-0.209,1,0.862803,0.885894,NA,NA
"139","m.1157",147,2,3,3,3,21.999,1.4893,0.409436,0.225447,0.889436,"P25867","Ubiquitin-conjugating enzyme E2-17 kDa OS=Drosophila melanogaster GN=eff PE=2 SV=1                   "
"140","m.1159",503,0,1,1,0,1.162,0.0718,1,0.807279,0.908262,"3269296","Predicted protein OS=Nematostella vectensis GN=v1g200212 PE=4 SV=1                     "
"141","m.11603",537,3,2,1,1,-11.75,-0.8037,0.96038,0.912171,0.772784,"3284280","Predicted protein OS=Nematostella vectensis GN=v1g219291 PE=4 SV=1                     "
"142","m.1163",121,2,3,3,3,-10.589,-0.496,1,0.895165,0.84554,"Q4R5J1","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 OS=Macaca fascicularis GN=NDUFA5 PE=3 SV=3               "
"143","m.11636",357,3,3,0,2,7.421,0.5137,0.890809,0.653875,0.919654,"3268757","Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g87496 PE=4 SV=1                    "
"144","m.11687",197,0,0,1,1,-8.944,-0.6553,0.98927,0.906225,0.811626,"Q8VED2","Biogenesis of lysosome-related organelles complex 1 subunit 4 OS=Mus musculus GN=Bloc1s4 PE=1 SV=1               "
"145","m.11700",147,1,3,4,7,-10.861,-0.903,0.934109,0.913917,0.743473,"Q566N0","Bis(5'-adenosyl)-triphosphatase enpp4 OS=Danio rerio GN=enpp4 PE=2 SV=1                     "
"146","m.11721",335,1,2,0,2,-2.351,-0.1905,1,0.860013,0.887786,"Q8NDA8","Maestro heat-like repeat-containing protein family member 1 OS=Homo sapiens GN=MROH1 PE=2 SV=3                "
"147","m.11724",829,7,7,8,6,-19.751,-1.7154,0.705363,0.90053,0.382472,"P21575","Dynamin-1 OS=Rattus norvegicus GN=Dnm1 PE=1 SV=2                      "
