"","Protein","Len","S0","S0.1","S1","S1.1","S1.2","S1.3","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","UniprotID","DEFLINE"
"59","m.10567",295,1,1,0,0,2,0,-9.606,-21.2301,0.009382,0,0.011835,"Q8K1T0","Transmembrane protease serine 3 OS=Mus musculus GN=Tmprss3 PE=1 SV=2                   "
"60","m.10575",652,1,2,2,3,2,1,-9.188,-25.4718,0.017024,0,0.011217,"Q8K5C0","Grainyhead-like protein 2 homolog OS=Mus musculus GN=Grhl2 PE=2 SV=1                   "
"61","m.10586",414,0,2,0,0,1,1,-9.733,-18.6349,0.01198,0.031348,0,"Q6IQ20","N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D OS=Homo sapiens GN=NAPEPLD PE=1 SV=2                    "
"62","m.10597",345,0,0,0,1,0,1,-9.144,-17.351,0.015873,0.046326,0,"Q9W2U4","Serine/threonine-protein phosphatase 4 regulatory subunit 2 OS=Drosophila melanogaster GN=PPP4R2r PE=1 SV=2                 "
"63","m.1060",147,2,4,2,3,4,4,-8.407,-28.9551,0.017742,0,0.009246,"P62184","Calmodulin OS=Renilla reniformis PE=1 SV=2                       "
"64","m.10603",487,0,1,1,0,1,1,-9.534,-19.4621,0.010681,0.025718,0,"O54991","Contactin-associated protein 1 OS=Mus musculus GN=Cntnap1 PE=2 SV=2                    "
"65","m.10605",698,4,6,2,4,6,3,-7.628,-27.9554,0.018605,0,0.009797,"P08478","Peptidyl-glycine alpha-amidating monooxygenase A OS=Xenopus laevis GN=pam-a PE=1 SV=3                   "
"66","m.10621",420,4,4,2,6,4,6,-8.833,-37.6096,0.013385,0,0.003923,"Q5EA61","Creatine kinase B-type OS=Bos taurus GN=CKB PE=2 SV=1                    "
"67","m.10645",257,0,0,0,1,1,0,-10.471,-20.4331,0.00909,0.021445,0,NA,NA
"68","m.10669",322,0,1,0,1,1,1,-9.087,-17.8175,0.017144,0.040136,0,"O15083","ERC protein 2 OS=Homo sapiens GN=ERC2 PE=1 SV=3                    "
"69","m.1069",424,3,4,1,4,5,2,-8.755,-29.6683,0.015603,0,0.008872,"Q3T0K2","T-complex protein 1 subunit gamma OS=Bos taurus GN=CCT3 PE=1 SV=1                  "
"70","m.10693",451,1,4,2,2,4,2,-11.028,-34.5732,0.012179,0,0.005701,"Q61555","Fibrillin-2 OS=Mus musculus GN=Fbn2 PE=1 SV=2                      "
"71","m.107",99,9,9,6,4,9,9,-6.069,-31.9397,0.019623,0,0.007409,NA,NA
"72","m.10713",218,10,11,9,8,10,11,-7.445,-43.4111,0.01297,0,0.001578,"P62494","Ras-related protein Rab-11A OS=Rattus norvegicus GN=Rab11a PE=1 SV=3                    "
"73","m.10714",429,8,10,2,9,10,12,-9.06,-49.3389,0.001936,0,0.000458,"B1H120","Septin-8 OS=Xenopus tropicalis GN=sept8 PE=2 SV=1                      "
"74","m.10723",443,3,2,0,2,3,3,-10.35,-33.4769,0.016197,0,0.006364,"Q8VHI3","GDP-fucose protein O-fucosyltransferase 2 OS=Mus musculus GN=Pofut2 PE=1 SV=1                   "
"75","m.10726",1630,3,3,4,4,4,3,-10.001,-38.9467,0.009239,0,0.003282,"P02466","Collagen alpha-2(I) chain OS=Rattus norvegicus GN=Col1a2 PE=1 SV=3                    "
"76","m.1073",371,4,5,4,6,5,7,-7.927,-37.9526,0.011323,0,0.003741,"Q9NZR1","Tropomodulin-2 OS=Homo sapiens GN=TMOD2 PE=1 SV=1                      "
"77","m.1074",292,1,1,1,2,2,2,-8.078,-20.9041,0.009811,0,0.011766,"Q5SRE7","Phytanoyl-CoA dioxygenase domain-containing protein 1 OS=Homo sapiens GN=PHYHD1 PE=1 SV=2                  "
"78","m.10744",282,6,9,2,5,8,8,-7.178,-34.2003,0.013716,0,0.0059,"P07846","Sorbitol dehydrogenase OS=Ovis aries GN=SORD PE=1 SV=1                     "
"79","m.10763",330,0,0,1,1,0,1,-8.854,-17.3419,0.015862,0.046492,0,NA,NA
"80","m.10765",227,2,2,2,3,2,2,-8.6,-24.0409,0.014232,0,0.01167,NA,NA
"81","m.10767",590,0,1,0,0,1,2,-9.849,-21.3356,0.009551,0,0.011861,"Q8AV28","Pericentriolar material 1 protein OS=Gallus gallus GN=PCM1 PE=2 SV=1                   "
"82","m.10779",234,0,0,0,1,0,1,-9.364,-18.0419,0.014249,0.037762,0,"O13066","Ran GTPase-activating protein 1 OS=Xenopus laevis GN=rangap1 PE=2 SV=1                   "
"83","m.10807",572,29,28,19,29,35,34,-6.401,-68.0836,1.8e-05,0,1e-06,"3267080","Predicted protein OS=Nematostella vectensis GN=v1g197490 PE=4 SV=1                     "
"84","m.10812",189,6,5,2,5,5,4,-7.912,-31.9682,0.019688,0,0.007388,"P31696","Agrin OS=Gallus gallus GN=AGRN PE=1 SV=3                      "
"85","m.10817",422,1,2,1,1,2,1,-9.572,-20.5619,0,0,0,"Q63537","Synapsin-2 OS=Rattus norvegicus GN=Syn2 PE=1 SV=1                      "
"86","m.10818",372,2,4,1,2,4,1,-9.04,-24.6884,0.016903,0,0.011477,"Q32KI9","Arylsulfatase I OS=Mus musculus GN=Arsi PE=2 SV=1                     "
"87","m.10831",206,4,4,2,3,4,7,-7.745,-29.3803,0.015122,0,0.009013,"Q292N4","Latrophilin Cirl OS=Drosophila pseudoobscura pseudoobscura GN=Cirl PE=3 SV=2                    "
"88","m.10852",208,1,1,1,1,1,1,-8.927,-16.7661,0.02112,0.060016,0,"Q9WVL0","Maleylacetoacetate isomerase OS=Mus musculus GN=Gstz1 PE=1 SV=1                     "
"89","m.10862",241,0,1,0,1,0,1,-8.906,-16.1539,0.031724,0.073825,0,"B2RYG6","Ubiquitin thioesterase OTUB1 OS=Rattus norvegicus GN=Otub1 PE=1 SV=1                    "
"90","m.10883",471,10,13,8,10,12,11,-7.565,-46.6945,0.002375,0,0.000836,"P34897","Serine hydroxymethyltransferase mitochondrial OS=Homo sapiens GN=SHMT2 PE=1 SV=3                           "
"91","m.10886",397,0,0,0,0,1,0,-9.3,-18.2708,0.011993,0.035052,0,"Q6PB03","Phospholipase D3 OS=Xenopus laevis GN=pld3 PE=2 SV=1                     "
"92","m.1089",117,6,7,6,5,5,5,-6.472,-28.3023,0.017183,0,0.009606,"P21571","ATP synthase-coupling factor 6 mitochondrial OS=Rattus norvegicus GN=Atp5j PE=1 SV=1                           "
"93","m.10893",298,21,22,10,19,24,21,-4.596,-40.7377,0.006799,0,0.002535,"P84335","Tropomyosin alpha-1 chain OS=Liza aurata PE=1 SV=1                     "
"94","m.10905",398,5,5,2,7,9,9,-8.079,-40.0736,0.007908,0,0.002782,"F6XBL2","26S proteasome non-ATPase regulatory subunit 11 OS=Xenopus tropicalis GN=psmd11 PE=3 SV=2                 "
"95","m.10914",217,5,7,2,6,8,7,-8.777,-43.4058,0.013056,0,0.00158,"Q5R8Z8","Ras-related protein Rab-14 OS=Pongo abelii GN=RAB14 PE=2 SV=3                    "
"96","m.10919",208,0,0,0,0,1,1,-8.946,-17.398,0.01601,0.045501,0,"Q9Y2U8","Inner nuclear membrane protein Man1 OS=Homo sapiens GN=LEMD3 PE=1 SV=2                  "
"97","m.10920",962,0,1,0,1,1,1,-10.782,-21.0739,0.009648,0,0.011799,"O75694","Nuclear pore complex protein Nup155 OS=Homo sapiens GN=NUP155 PE=1 SV=1                  "
"98","m.10928",723,15,5,6,7,8,8,-8.952,-50.1577,0.001054,0,0.000385,"Q9VZZ4","Peroxidasin OS=Drosophila melanogaster GN=Pxn PE=1 SV=1                      "
"99","m.10938",346,4,5,1,4,5,6,-7.37,-29.6022,0.015099,0,0.008906,"Q8VHT6","Arsenite methyltransferase OS=Rattus norvegicus GN=As3mt PE=1 SV=1                     "
"100","m.10944",532,1,3,0,1,2,0,-9.56,-19.2986,0.010908,0.026622,0,"Q8CJB9","E3 ubiquitin-protein ligase BRE1B OS=Rattus norvegicus GN=Rnf40 PE=1 SV=1                   "
"101","m.10974",566,8,12,2,6,10,10,-7.199,-37.1822,0.010722,0,0.004148,"P31335","Bifunctional purine biosynthesis protein PURH OS=Gallus gallus GN=ATIC PE=1 SV=1                  "
"102","m.10998",251,1,1,0,1,2,1,-9.269,-22.0061,0.011746,0,0.011893,"Q5EB30","Outer dense fiber protein 3 OS=Xenopus tropicalis GN=odf3 PE=2 SV=1                  "
"103","m.110",1165,44,56,32,43,48,48,-7.496,-96.3021,0,0,0,"Q80Y17","Lethal(2) giant larvae protein homolog 1 OS=Mus musculus GN=Llgl1 PE=1 SV=1                 "
"104","m.1100",513,2,3,1,1,3,1,-8.964,-20.6925,0.009156,0,0.011721,"Q61753","D-3-phosphoglycerate dehydrogenase OS=Mus musculus GN=Phgdh PE=1 SV=3                     "
"105","m.1103",1107,1,3,0,2,4,4,-9.31,-31.2162,0.019255,0,0.007887,"Q32LP4","Sodium-driven chloride bicarbonate exchanger OS=Bos taurus GN=SLC4A10 PE=2 SV=1                   "
"106","m.11035",299,0,1,0,1,4,5,-7.822,-24.5111,0.016623,0,0.011543,"Q3T0B6","Complement component 1 Q subcomponent-binding protein mitochondrial OS=Bos taurus GN=C1QBP PE=2 SV=1                           "
"107","m.11045",121,2,1,0,1,2,3,-7.514,-19.2909,0.010911,0.026666,0,"Q24799","Myophilin OS=Echinococcus granulosus PE=2 SV=1                       "
"108","m.11093",943,0,0,0,0,1,1,-10.432,-20.6686,0.009077,0,0.011714,"Q8UUU2","Phosphatidylinositol 3-kinase regulatory subunit alpha OS=Xenopus laevis GN=pik3r1-a PE=2 SV=1                  "
"109","m.11100",1144,6,7,1,5,9,9,-9.227,-43.4694,0.011574,0,0.001558,"A3KPW9","Large proline-rich protein BAG6 OS=Danio rerio GN=Bag6 PE=3 SV=1                   "
"110","m.11107",150,8,10,8,9,11,10,-6.828,-39.3177,0.009966,0,0.003115,"Q9CPW4","Actin-related protein 3-Feb complex subunit 5 OS=Mus musculus GN=Arpc5 PE=2 SV=3                 "
"111","m.11115",300,3,4,1,2,4,3,-8.713,-24.4898,0.016484,0,0.011551,"Q9U8W7","Techylectin-5B OS=Tachypleus tridentatus PE=1 SV=1                       "
"112","m.11137",540,1,1,0,0,0,0,-9.748,-18.099,0.013476,0.037103,0,"A9JTG5","RanBP-type and C3HC4-type zinc finger-containing protein 1 OS=Danio rerio GN=rbck1 PE=2 SV=1                "
"113","m.11149",227,9,11,4,6,10,11,-6.57,-36.5684,0.014583,0,0.004478,"O14818","Proteasome subunit alpha type-7 OS=Homo sapiens GN=PSMA7 PE=1 SV=1                   "
"114","m.11152",593,1,1,0,1,0,2,-8.238,-17.777,0.017292,0.040552,0,"4780878","Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1                      "
"115","m.11167",387,1,0,0,0,1,1,-9.852,-19.1324,0.01088,0.027647,0,"Q8TCT9","Minor histocompatibility antigen H13 OS=Homo sapiens GN=HM13 PE=1 SV=1                   "
"116","m.11180",213,0,1,0,0,1,2,-9.348,-22.6355,0.011484,0,0.011957,"Q9UBC2","Epidermal growth factor receptor substrate 15-like 1 OS=Homo sapiens GN=EPS15L1 PE=1 SV=1                "
"117","m.11210",170,1,2,1,0,2,2,-8.034,-18.6096,0.01197,0.031564,0,"3269761","Predicted protein OS=Nematostella vectensis GN=v1g180953 PE=4 SV=1                     "
"118","m.11237",275,0,0,0,0,1,1,-10.189,-20.1453,0.010137,0.022513,0,"Q3SYV5","Tetraspanin-33 OS=Bos taurus GN=TSPAN33 PE=2 SV=1                      "
"119","m.1126",148,3,3,2,6,6,4,-7.416,-31.5228,0.016786,0,0.007686,"Q5REY2","60S ribosomal protein L27a OS=Pongo abelii GN=RPL27A PE=2 SV=3                   "
"120","m.11265",213,3,3,3,3,3,2,-9.175,-30.2761,0.017539,0,0.008514,"Q61220","Protein kinase C-binding protein NELL2 OS=Mus musculus GN=Nell2 PE=2 SV=3                  "
"121","m.11277",156,0,1,0,0,1,2,-8.469,-18.4421,0.011747,0.033142,0,"Q12965","Unconventional myosin-Ie OS=Homo sapiens GN=MYO1E PE=1 SV=2                     "
"122","m.11289",232,1,3,1,1,1,2,-9.03,-19.8958,0.009891,0.02352,0,"3281455","Predicted protein OS=Nematostella vectensis GN=v1g215547 PE=4 SV=1                     "
"123","m.11298",283,2,2,1,2,2,2,-9.81,-24.5331,0.016749,0,0.011535,"Q9UGM3","Deleted in malignant brain tumors 1 protein OS=Homo sapiens GN=DMBT1 PE=1 SV=2                "
"124","m.113",378,57,60,24,35,56,55,-6.441,-83.1038,0,0,0,NA,NA
"125","m.11307",740,0,1,0,1,2,1,-11.244,-26.1504,0.018898,0,0.010867,"Q62077","1-phosphatidylinositol 45-bisphosphate phosphodiesterase gamma-1 OS=Mus musculus GN=Plcg1 PE=1 SV=2                           "
"126","m.11313",319,0,1,0,1,1,0,-8.724,-16.8627,0.019236,0.057562,0,"Q5R7K9","EGF-like repeat and discoidin I-like domain-containing protein 3 OS=Pongo abelii GN=EDIL3 PE=2 SV=1               "
"127","m.11319",252,1,1,0,1,2,2,-8.791,-21.1605,0.009458,0,0.011818,"Q6P371","Hydroxyacid-oxoacid transhydrogenase mitochondrial OS=Xenopus tropicalis GN=adhfe1 PE=2 SV=1                           "
"128","m.1133",280,4,4,0,2,4,3,-8.511,-26.4904,0.018501,0,0.01069,"Q9Y365","PCTP-like protein OS=Homo sapiens GN=STARD10 PE=1 SV=2                     "
"129","m.11340",155,2,3,3,4,3,3,-7.795,-27.993,0.018225,0,0.009776,"Q03376","Balbiani ring protein 3 OS=Chironomus tentans GN=BR3 PE=2 SV=1                   "
"130","m.1135",538,15,16,6,10,14,8,-7.89,-50.5689,0.0017,0,0.000353,"P97793","ALK tyrosine kinase receptor OS=Mus musculus GN=Alk PE=1 SV=2                   "
"131","m.11354",351,4,7,4,4,6,5,-9.152,-40.0134,0.008212,0,0.002806,"P43903","Quinone oxidoreductase OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=qor PE=3 SV=2        "
"132","m.11369",202,4,5,2,5,3,3,-7.747,-27.509,0.023203,0,0.01009,NA,NA
"133","m.11382",877,1,2,0,2,3,2,-10.098,-27.9969,0.018186,0,0.009773,"B1AZI6","THO complex subunit 2 OS=Mus musculus GN=Thoc2 PE=1 SV=1                   "
"134","m.1141",910,1,1,1,4,2,1,-10.078,-28.4618,0.016701,0,0.009521,"Q6F3J0","Nuclear factor NF-kappa-B p105 subunit OS=Canis familiaris GN=NFKB1 PE=2 SV=2                  "
"135","m.11430",456,7,4,0,4,3,2,-8.869,-27.0171,0.019686,0,0.0104,"Q8NDA2","Hemicentin-2 OS=Homo sapiens GN=HMCN2 PE=2 SV=2                      "
"136","m.1145",390,0,1,1,0,0,0,-10.237,-20.3669,0.009336,0.021694,0,NA,NA
"137","m.11458",213,4,4,4,4,2,5,-7.586,-30.0868,0.016969,0,0.008629,"Q9H4G4","Golgi-associated plant pathogenesis-related protein 1 OS=Homo sapiens GN=GLIPR2 PE=1 SV=3                  "
"138","m.11472",334,2,3,1,4,4,4,-7.817,-28.237,0.017343,0,0.009641,"O95219","Sorting nexin-4 OS=Homo sapiens GN=SNX4 PE=1 SV=1                     "
"139","m.11482",410,1,0,0,1,0,0,-8.783,-16.4743,0.028516,0.066876,0,"Q9BVL2","Nucleoporin p58/p45 OS=Homo sapiens GN=NUPL1 PE=1 SV=1                     "
"140","m.1149",736,1,1,0,2,1,1,-9.963,-21.9827,0.011846,0,0.011893,"Q5EE04","Nucleoprotein TPR (Fragment) OS=Xenopus laevis GN=tpr PE=1 SV=1                    "
"141","m.115",216,10,11,5,9,13,12,-5.72,-35.806,0.015277,0,0.004911,"Q58DS9","Ras-related protein Rab-5C OS=Bos taurus GN=RAB5C PE=2 SV=1                    "
"142","m.1152",2284,1,0,0,2,1,0,-11.115,-23.7979,0.014623,0,0.011722,"O35474","EGF-like repeat and discoidin I-like domain-containing protein 3 OS=Mus musculus GN=Edil3 PE=1 SV=2               "
"143","m.11543",385,12,10,11,11,9,11,-8.076,-55.0899,0.000504,0,0.000109,"Q6PZE0","Mucin-19 OS=Mus musculus GN=Muc19 PE=2 SV=2                      "
"144","m.11553",214,9,7,6,10,12,11,-6.469,-40.5669,0.007169,0,0.002597,"P46436","Glutathione S-transferase 1 OS=Ascaris suum GN=GST1 PE=1 SV=3                    "
