"","Protein","Len","S0","S0.1","S1","S1.1","S1.2","S1.3","S1.4","S1.5","S1.6","S1.7","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","UniprotID","DEFLINE"
"19","m.10139",271,0,1,0,0,0,0,0,0,1,0,-7.444,-3.3519,0.747176,0.961115,0.408006,"Q8R1W8","Interphotoreceptor matrix proteoglycan 1 OS=Mus musculus GN=Impg1 PE=1 SV=1                   "
"20","m.10146",361,2,1,1,1,2,1,1,0,1,3,-7.159,-2.0804,0.998641,0.986714,0.826753,"O43639","Cytoplasmic protein NCK2 OS=Homo sapiens GN=NCK2 PE=1 SV=2                    "
"21","m.10164",157,0,0,0,0,1,0,0,0,0,0,-6.472,-2.2249,0.998247,0.988961,0.807691,NA,NA
"22","m.10183",616,1,0,1,0,1,0,0,1,0,0,-7.076,-2.0961,0.998525,0.987006,0.82493,"P60670","Nuclear protein localization protein 4 homolog OS=Mus musculus GN=Nploc4 PE=1 SV=3                 "
"23","m.10194",572,19,16,15,16,19,9,16,17,19,20,-5.478,-5.5033,0.001083,0.888387,9.3e-05,"P15178","Aspartate--tRNA ligase cytoplasmic OS=Rattus norvegicus GN=Dars PE=2 SV=1                           "
"24","m.10199",219,7,9,5,5,7,6,5,7,7,8,-5.955,-2.1181,0.998382,0.987393,0.822281,"Q05975","Ras-related protein Rab-2 OS=Lymnaea stagnalis GN=RAB2 PE=2 SV=1                    "
"25","m.1020",1917,0,0,0,0,1,0,0,0,1,1,-7.177,-2.9927,0.888574,0.981861,0.581652,"Q6ZQ08","CCR4-NOT transcription complex subunit 1 OS=Mus musculus GN=Cnot1 PE=1 SV=2                  "
"26","m.10205",893,0,1,0,0,0,1,0,0,1,0,-7.391,-3.4052,0.721856,0.95783,0.380188,"O88664","Serine/threonine-protein kinase TAO1 OS=Rattus norvegicus GN=Taok1 PE=1 SV=1                    "
"27","m.10239",279,1,2,0,1,2,0,0,0,2,1,-6.975,-2.4817,0.999045,0.991726,0.757566,"P31483","Nucleolysin TIA-1 isoform p40 OS=Homo sapiens GN=TIA1 PE=1 SV=3                   "
"28","m.10254",141,2,2,0,0,0,0,0,0,0,0,-6.065,-2.646,0.983879,0.991948,0.711802,NA,NA
"29","m.10260",232,0,1,0,0,0,0,0,0,1,1,-6.055,-2.4635,0.999554,0.991581,0.761949,"3665646","Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85506 PE=4 SV=1                    "
"30","m.10264",203,0,1,0,0,0,1,0,0,0,1,-8.029,-2.9983,0.88662,0.981585,0.579216,"Q2QXC6","Probable serine/threonine-protein kinase WNK9 OS=Oryza sativa subsp. japonica GN=WNK9 PE=2 SV=1                 "
"31","m.1027",157,1,2,3,3,2,1,2,1,2,2,-4.532,-2.0373,0.998843,0.985835,0.831478,"3289105","Predicted protein OS=Nematostella vectensis GN=v1g225191 PE=4 SV=1                     "
"32","m.10289",705,0,0,1,0,1,0,0,0,0,0,-8.106,-2.4781,0.999175,0.991699,0.758444,"P41541","General vesicular transport factor p115 OS=Bos taurus GN=USO1 PE=1 SV=1                  "
"33","m.10304",278,4,4,3,3,3,5,4,4,3,4,-6.637,-3.2286,0.800101,0.968661,0.471045,"Q96RW7","Hemicentin-1 OS=Homo sapiens GN=HMCN1 PE=1 SV=2                      "
"34","m.10324",680,4,4,2,4,2,0,3,1,3,4,-7.151,-2.6857,0.976827,0.991581,0.699102,"Q04446","14-alpha-glucan-branching enzyme OS=Homo sapiens GN=GBE1 PE=1 SV=3                           "
"35","m.10327",1122,2,2,0,3,2,1,1,1,2,2,-7.363,-2.5752,0.993068,0.992148,0.732887,"Q1LZA7","LIM domain-containing protein 2 OS=Bos taurus GN=LIMD2 PE=2 SV=1                   "
"36","m.10342",512,1,0,0,0,0,0,0,1,1,1,-7.272,-3.2007,0.811282,0.970339,0.484906,"P08183","Multidrug resistance protein 1 OS=Homo sapiens GN=ABCB1 PE=1 SV=3                   "
"37","m.10346",250,2,3,1,2,0,1,1,2,1,3,-4.746,-1.4838,0.99998,0.956801,0.865909,"Q9NR16","Scavenger receptor cysteine-rich type 1 protein M160 OS=Homo sapiens GN=CD163L1 PE=1 SV=2                "
"38","m.1036",1192,1,1,1,1,2,1,0,1,2,2,-8.426,-2.169,0.998178,0.988196,0.815702,"O57683","Splicing factor 3B subunit 1 OS=Xenopus laevis GN=sf3b1 PE=2 SV=1                  "
"39","m.10360",636,1,2,1,0,1,1,1,2,2,2,-7.469,-3.2263,0.801031,0.9688,0.472195,"A5D7E2","Transmembrane 9 superfamily member 4 OS=Bos taurus GN=TM9SF4 PE=2 SV=2                  "
"40","m.10378",725,2,3,1,1,2,0,0,1,3,3,-8.522,-3.3551,0.745704,0.960918,0.406341,"Q03516","Uncharacterized protein RSN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RSN1 PE=1 SV=1               "
"41","m.1038",113,5,4,2,4,5,3,4,4,5,5,-6.217,-3.2114,0.807022,0.969697,0.479611,"P51397","Death-associated protein 1 OS=Homo sapiens GN=DAP PE=1 SV=3                    "
"42","m.10387",484,6,6,3,5,7,3,7,5,7,6,-6.111,-2.8488,0.93563,0.98787,0.640749,"Q8IV20","Laccase domain-containing protein 1 OS=Homo sapiens GN=LACC1 PE=1 SV=1                   "
"43","m.104",1674,66,65,52,66,64,24,57,55,62,64,-2.503,-1.8194,0.997723,0.979645,0.849926,"Q68FD5","Clathrin heavy chain 1 OS=Mus musculus GN=Cltc PE=1 SV=3                   "
"44","m.1041",396,5,6,2,4,3,1,2,2,5,3,-6.654,-2.5381,0.996209,0.992057,0.743114,"Q0VFL3","KH domain-containing RNA-binding signal transduction-associated protein 2 OS=Xenopus tropicalis GN=khdrbs2 PE=2 SV=1                           "
"45","m.1042",331,3,4,2,2,4,2,2,3,4,4,-3.872,-1.6699,0.999999,0.972336,0.858517,"Q9PTS2","Uroporphyrinogen decarboxylase OS=Danio rerio GN=urod PE=2 SV=1                     "
"46","m.1044",836,0,1,0,0,0,0,0,0,0,0,-8.362,-2.5113,0.997832,0.991925,0.750146,"Q29M42","Coiled-coil and C2 domain-containing protein 1-like OS=Drosophila pseudoobscura pseudoobscura GN=GA18377 PE=3 SV=2                "
"47","m.10457",752,0,0,0,0,1,0,1,0,1,1,-8.208,-2.8204,0.943981,0.988773,0.651593,"Q91372","Probable ATP-dependent RNA helicase DDX4 OS=Xenopus laevis GN=ddx4 PE=2 SV=1                  "
"48","m.10463",220,0,1,0,0,0,1,0,1,1,1,-5.933,-2.264,0.998585,0.989448,0.801549,"Q32NG4","Parkinson disease 7 domain-containing protein 1 OS=Xenopus laevis GN=pddc1 PE=2 SV=1                 "
"49","m.10468",320,8,10,4,9,11,3,8,6,8,9,-10.789,-4.7709,0.054975,0.897438,0.006282,NA,NA
"50","m.10469",238,0,0,1,1,1,0,1,0,0,1,-6.98,-2.5777,0.992806,0.99215,0.732177,"P61291","Proteasome activator complex subunit 3 OS=Sus scrofa GN=PSME3 PE=2 SV=1                  "
"51","m.10472",547,5,8,3,4,4,6,2,2,8,5,-5.792,-2.1747,0.998168,0.988278,0.814925,"Q5D1D6","Interferon-induced guanylate-binding protein 1 OS=Chlorocebus aethiops GN=GBP1 PE=2 SV=1                   "
"52","m.10484",222,1,1,0,0,1,0,1,1,1,0,-6.006,-1.7719,0.99848,0.977764,0.852944,"Q68EY7","Coiled-coil domain-containing protein 124-A OS=Xenopus laevis GN=ccdc124-a PE=2 SV=1                   "
"53","m.10496",298,9,12,7,11,10,3,7,5,9,7,-1.465,-0.6193,0.933437,0.531085,0.876274,"Q5R5D5","Alcohol dehydrogenase [NADP(+)] OS=Pongo abelii GN=AKR1A1 PE=2 SV=1                    "
"54","m.10499",214,2,4,2,0,2,0,0,0,2,2,-7.015,-2.3216,0.999281,0.990124,0.791606,"Q13825","Methylglutaconyl-CoA hydratase mitochondrial OS=Homo sapiens GN=AUH PE=1 SV=1                           "
"55","m.10517",796,1,1,0,0,1,0,0,0,0,1,-6.688,-1.8437,0.997714,0.980501,0.848263,"3271430","Predicted protein OS=Nematostella vectensis GN=v1g241035 PE=4 SV=1                     "
"56","m.1054",285,8,10,3,6,7,5,3,3,10,7,-5.876,-2.1663,0.998191,0.988156,0.816068,"Q2Q1W2","E3 ubiquitin-protein ligase TRIM71 OS=Homo sapiens GN=TRIM71 PE=1 SV=1                   "
"57","m.10558",176,1,3,1,2,3,0,1,2,1,3,-6.068,-2.4796,0.999124,0.99171,0.758079,"3280410","Predicted protein OS=Nematostella vectensis GN=v1g246076 PE=4 SV=1                     "
"58","m.10560",427,9,11,6,9,7,7,9,8,7,10,-6.164,-3.5294,0.654352,0.950187,0.315558,"Q55G75","PH domain-containing protein DDB_G0267786 OS=Dictyostelium discoideum GN=DDB_G0267786 PE=4 SV=1                   "
"59","m.10567",295,1,1,0,0,0,0,0,0,0,0,-6.699,-1.9905,0.998832,0.984754,0.836172,"Q8K1T0","Transmembrane protease serine 3 OS=Mus musculus GN=Tmprss3 PE=1 SV=2                   "
"60","m.10575",652,1,2,1,2,2,1,1,1,2,1,-7.158,-2.9906,0.889307,0.981963,0.582562,"Q8K5C0","Grainyhead-like protein 2 homolog OS=Mus musculus GN=Grhl2 PE=2 SV=1                   "
"61","m.10586",414,0,2,0,0,1,0,0,0,1,1,-8.336,-3.5936,0.613842,0.94624,0.28306,"Q6IQ20","N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D OS=Homo sapiens GN=NAPEPLD PE=1 SV=2                    "
"62","m.10597",345,0,0,0,0,1,0,0,0,0,0,-7.748,-2.1913,0.998157,0.988513,0.81261,"Q9W2U4","Serine/threonine-protein phosphatase 4 regulatory subunit 2 OS=Drosophila melanogaster GN=PPP4R2r PE=1 SV=2                 "
"63","m.1060",147,2,4,2,4,2,1,2,2,3,4,-5.846,-1.4522,0.999978,0.953164,0.866871,"P62184","Calmodulin OS=Renilla reniformis PE=1 SV=2                       "
"64","m.10603",487,0,1,1,0,0,0,1,0,1,1,-7.539,-2.6443,0.984145,0.99196,0.712332,"O54991","Contactin-associated protein 1 OS=Mus musculus GN=Cntnap1 PE=2 SV=2                    "
"65","m.10605",698,4,6,1,2,3,2,1,1,2,3,-8.732,-3.0903,0.85352,0.976738,0.537811,"P08478","Peptidyl-glycine alpha-amidating monooxygenase A OS=Xenopus laevis GN=pam-a PE=1 SV=3                   "
"66","m.10621",420,4,4,3,3,4,3,4,2,2,3,-6.93,-3.2632,0.785888,0.96656,0.453621,"Q5EA61","Creatine kinase B-type OS=Bos taurus GN=CKB PE=2 SV=1                    "
"67","m.10669",322,0,1,0,0,0,0,0,0,0,0,-7.148,-3.483,0.681144,0.95304,0.339546,"O15083","ERC protein 2 OS=Homo sapiens GN=ERC2 PE=1 SV=3                    "
"68","m.1069",424,3,4,1,1,5,3,4,3,3,5,-4.403,-2.1742,0.998166,0.988271,0.814993,"Q3T0K2","T-complex protein 1 subunit gamma OS=Bos taurus GN=CCT3 PE=1 SV=1                  "
"69","m.10693",451,1,4,0,1,1,1,1,2,2,1,-6.712,-2.6425,0.984422,0.991971,0.712891,"Q61555","Fibrillin-2 OS=Mus musculus GN=Fbn2 PE=1 SV=2                      "
"70","m.107",99,9,9,5,7,7,2,5,6,8,8,-5.781,-2.6365,0.985365,0.992007,0.714748,NA,NA
"71","m.10713",218,10,11,7,9,7,6,9,8,8,6,-6.825,-3.4768,0.684594,0.953421,0.342772,"P62494","Ras-related protein Rab-11A OS=Rattus norvegicus GN=Rab11a PE=1 SV=3                    "
"72","m.10714",429,8,10,3,5,9,3,5,3,7,8,-3.223,-1.2209,0.999976,0.911884,0.871981,"B1H120","Septin-8 OS=Xenopus tropicalis GN=sept8 PE=2 SV=1                      "
"73","m.10723",443,3,2,0,1,3,0,1,1,2,3,-6.48,-2.25,0.998447,0.989277,0.803802,"Q8VHI3","GDP-fucose protein O-fucosyltransferase 2 OS=Mus musculus GN=Pofut2 PE=1 SV=1                   "
"74","m.10726",1630,3,3,4,5,4,1,6,7,4,4,-8.167,-2.5841,0.99215,0.992152,0.730348,"P02466","Collagen alpha-2(I) chain OS=Rattus norvegicus GN=Col1a2 PE=1 SV=3                    "
"75","m.1073",371,4,5,2,3,3,1,3,2,4,3,-5.58,-2.6722,0.979381,0.991729,0.703489,"Q9NZR1","Tropomodulin-2 OS=Homo sapiens GN=TMOD2 PE=1 SV=1                      "
"76","m.1074",292,1,1,1,0,1,0,0,1,0,1,-8.142,-2.5558,0.99484,0.992115,0.738306,"Q5SRE7","Phytanoyl-CoA dioxygenase domain-containing protein 1 OS=Homo sapiens GN=PHYHD1 PE=1 SV=2                  "
"77","m.10744",282,6,9,2,3,5,2,4,4,4,7,-4.938,-2.3035,0.999061,0.989916,0.794851,"P07846","Sorbitol dehydrogenase OS=Ovis aries GN=SORD PE=1 SV=1                     "
"78","m.10763",330,0,0,0,0,0,0,1,0,1,1,-5.13,-1.6284,0.999996,0.969586,0.860451,NA,NA
"79","m.10765",227,2,2,3,1,2,2,2,2,2,2,-4.111,-1.4666,0.999993,0.954866,0.866442,NA,NA
"80","m.10767",590,0,1,1,1,1,1,1,0,1,1,-7.529,-2.1425,0.998268,0.987793,0.819208,"Q8AV28","Pericentriolar material 1 protein OS=Gallus gallus GN=PCM1 PE=2 SV=1                   "
"81","m.10807",572,29,28,17,32,32,15,28,27,32,31,-4.461,-2.8155,0.945373,0.988919,0.653436,"3267080","Predicted protein OS=Nematostella vectensis GN=v1g197490 PE=4 SV=1                     "
"82","m.10812",189,6,5,3,2,4,4,2,3,3,3,-4.882,-2.5272,0.99693,0.99201,0.746011,"P31696","Agrin OS=Gallus gallus GN=AGRN PE=1 SV=3                      "
"83","m.10817",422,1,2,0,0,1,1,0,1,1,1,-6.606,-2.9435,0.905387,0.984158,0.602621,"Q63537","Synapsin-2 OS=Rattus norvegicus GN=Syn2 PE=1 SV=1                      "
"84","m.10818",372,2,4,1,1,1,0,1,2,2,5,-5.211,-1.6421,0.999994,0.970532,0.859833,"Q32KI9","Arylsulfatase I OS=Mus musculus GN=Arsi PE=2 SV=1                     "
"85","m.10831",206,4,4,1,1,4,3,2,2,4,4,-5.956,-2.752,0.962233,0.990508,0.676547,"Q292N4","Latrophilin Cirl OS=Drosophila pseudoobscura pseudoobscura GN=Cirl PE=3 SV=2                    "
"86","m.10852",208,1,1,1,2,2,1,2,0,1,3,-5.652,-1.9924,0.998847,0.9848,0.835989,"Q9WVL0","Maleylacetoacetate isomerase OS=Mus musculus GN=Gstz1 PE=1 SV=1                     "
"87","m.10862",241,0,1,0,0,1,0,0,1,0,1,-7.063,-2.2859,0.998835,0.98971,0.797899,"B2RYG6","Ubiquitin thioesterase OTUB1 OS=Rattus norvegicus GN=Otub1 PE=1 SV=1                    "
"88","m.10883",471,10,13,2,7,8,4,7,6,9,11,-9.444,-4.0143,0.317288,0.92093,0.112881,"P34897","Serine hydroxymethyltransferase mitochondrial OS=Homo sapiens GN=SHMT2 PE=1 SV=3                           "
"89","m.10886",397,0,0,1,0,0,0,0,1,1,0,-3.887,-1.4977,0.999999,0.958292,0.865462,"Q6PB03","Phospholipase D3 OS=Xenopus laevis GN=pld3 PE=2 SV=1                     "
"90","m.1089",117,6,7,5,6,8,4,6,6,6,6,-4.615,-1.6507,0.999996,0.971106,0.859434,"P21571","ATP synthase-coupling factor 6 mitochondrial OS=Rattus norvegicus GN=Atp5j PE=1 SV=1                           "
"91","m.10893",298,21,22,20,15,20,13,21,19,14,17,-7.906,-4.1131,0.265537,0.915836,0.085911,"P84335","Tropomyosin alpha-1 chain OS=Liza aurata PE=1 SV=1                     "
"92","m.10905",398,5,5,3,6,5,3,5,4,6,3,-8.596,-3.9079,0.384729,0.927005,0.147432,"F6XBL2","26S proteasome non-ATPase regulatory subunit 11 OS=Xenopus tropicalis GN=psmd11 PE=3 SV=2                 "
"93","m.10914",217,5,7,4,4,5,4,4,4,5,6,-4.249,-2.1195,0.998381,0.987417,0.822109,"Q5R8Z8","Ras-related protein Rab-14 OS=Pongo abelii GN=RAB14 PE=2 SV=3                    "
"94","m.10919",208,0,0,0,0,1,1,0,0,0,0,-4.759,-1.6475,1,0.970894,0.859583,"Q9Y2U8","Inner nuclear membrane protein Man1 OS=Homo sapiens GN=LEMD3 PE=1 SV=2                  "
"95","m.10920",962,0,1,0,0,1,0,0,0,0,0,-7.521,-2.8377,0.938939,0.988236,0.64502,"O75694","Nuclear pore complex protein Nup155 OS=Homo sapiens GN=NUP155 PE=1 SV=1                  "
"96","m.10928",723,15,5,4,5,7,4,4,7,10,8,-9.077,-3.8174,0.450123,0.932462,0.181523,"Q9VZZ4","Peroxidasin OS=Drosophila melanogaster GN=Pxn PE=1 SV=1                      "
"97","m.10938",346,4,5,2,5,5,2,2,3,5,5,-4.683,-1.8449,0.997719,0.980541,0.848178,"Q8VHT6","Arsenite methyltransferase OS=Rattus norvegicus GN=As3mt PE=1 SV=1                     "
"98","m.10944",532,1,3,0,1,1,1,0,0,1,1,-8.149,-2.7448,0.963983,0.990653,0.679076,"Q8CJB9","E3 ubiquitin-protein ligase BRE1B OS=Rattus norvegicus GN=Rnf40 PE=1 SV=1                   "
"99","m.10974",566,8,12,1,5,8,1,4,3,8,9,-8.418,-4.4478,0.14211,0.903664,0.027125,"P31335","Bifunctional purine biosynthesis protein PURH OS=Gallus gallus GN=ATIC PE=1 SV=1                  "
"100","m.10998",251,1,1,0,0,1,0,0,1,0,0,-6.369,-2.4475,0.999847,0.991442,0.765689,"Q5EB30","Outer dense fiber protein 3 OS=Xenopus tropicalis GN=odf3 PE=2 SV=1                  "
"101","m.110",1165,44,56,27,33,41,31,35,35,37,45,-3.182,-2.6573,0.982013,0.991864,0.70825,"Q80Y17","Lethal(2) giant larvae protein homolog 1 OS=Mus musculus GN=Llgl1 PE=1 SV=1                 "
"102","m.1100",513,2,3,3,1,2,1,3,2,2,1,-7.954,-3.4114,0.718792,0.957448,0.376944,"Q61753","D-3-phosphoglycerate dehydrogenase OS=Mus musculus GN=Phgdh PE=1 SV=3                     "
"103","m.1103",1107,1,3,1,2,1,0,1,1,1,1,-7.7,-3.9415,0.362152,0.925035,0.135884,"Q32LP4","Sodium-driven chloride bicarbonate exchanger OS=Bos taurus GN=SLC4A10 PE=2 SV=1                   "
"104","m.11035",299,0,1,2,3,3,1,4,3,0,2,-4.102,-1.2934,0.99998,0.928219,0.8707,"Q3T0B6","Complement component 1 Q subcomponent-binding protein mitochondrial OS=Bos taurus GN=C1QBP PE=2 SV=1                           "
"105","m.11045",121,2,1,1,2,3,1,1,1,3,2,-7.408,-3.1989,0.811997,0.970446,0.485794,"Q24799","Myophilin OS=Echinococcus granulosus PE=2 SV=1                       "
"106","m.11093",943,0,0,1,0,0,0,1,0,1,0,-7.305,-2.9789,0.893356,0.982527,0.587611,"Q8UUU2","Phosphatidylinositol 3-kinase regulatory subunit alpha OS=Xenopus laevis GN=pik3r1-a PE=2 SV=1                  "
"107","m.11100",1144,6,7,5,5,6,4,6,4,8,8,-7.667,-2.1809,0.998155,0.988367,0.814069,"A3KPW9","Large proline-rich protein BAG6 OS=Danio rerio GN=Bag6 PE=3 SV=1                   "
"108","m.11107",150,8,10,7,8,10,0,5,6,10,11,-4.168,-1.4079,0.999968,0.947417,0.868099,"Q9CPW4","Actin-related protein 3-Feb complex subunit 5 OS=Mus musculus GN=Arpc5 PE=2 SV=3                 "
"109","m.11115",300,3,4,2,1,2,3,1,2,3,3,-7.511,-3.4396,0.704458,0.955711,0.362189,"Q9U8W7","Techylectin-5B OS=Tachypleus tridentatus PE=1 SV=1                       "
"110","m.11137",540,1,1,0,0,0,0,0,0,0,0,-7.729,-3.1498,0.831122,0.973346,0.509705,"A9JTG5","RanBP-type and C3HC4-type zinc finger-containing protein 1 OS=Danio rerio GN=rbck1 PE=2 SV=1                "
"111","m.11149",227,9,11,5,9,9,4,7,9,9,7,-2.244,-0.9605,0.999925,0.810541,0.874895,"O14818","Proteasome subunit alpha type-7 OS=Homo sapiens GN=PSMA7 PE=1 SV=1                   "
"112","m.11152",593,1,1,0,0,1,0,0,0,0,1,-8.232,-3.512,0.664634,0.951256,0.324516,"4780878","Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1                      "
"113","m.11167",387,1,0,0,1,1,1,1,0,0,1,-5.995,-2.6988,0.974224,0.991416,0.694777,"Q8TCT9","Minor histocompatibility antigen H13 OS=Homo sapiens GN=HM13 PE=1 SV=1                   "
"114","m.11180",213,0,1,0,1,1,0,1,1,0,0,-7.002,-2.9883,0.890104,0.982075,0.583558,"Q9UBC2","Epidermal growth factor receptor substrate 15-like 1 OS=Homo sapiens GN=EPS15L1 PE=1 SV=1                "
"115","m.11210",170,1,2,1,2,2,0,0,1,2,2,-5.086,-1.3268,0.999998,0.93456,0.870019,"3269761","Predicted protein OS=Nematostella vectensis GN=v1g180953 PE=4 SV=1                     "
"116","m.11237",275,0,0,1,0,0,0,0,0,0,0,-6.622,-2.0478,0.998807,0.98606,0.830364,"Q3SYV5","Tetraspanin-33 OS=Bos taurus GN=TSPAN33 PE=2 SV=1                      "
"117","m.1126",148,3,3,4,5,5,3,4,4,5,3,-7.487,-2.6138,0.988593,0.992106,0.721643,"Q5REY2","60S ribosomal protein L27a OS=Pongo abelii GN=RPL27A PE=2 SV=3                   "
"118","m.11265",213,3,3,2,2,2,1,2,2,2,3,-5.858,-2.3598,0.999795,0.990553,0.784377,"Q61220","Protein kinase C-binding protein NELL2 OS=Mus musculus GN=Nell2 PE=2 SV=3                  "
"119","m.11277",156,0,1,0,0,1,0,0,0,1,1,-6.685,-2.3781,0.999966,0.990752,0.780724,"Q12965","Unconventional myosin-Ie OS=Homo sapiens GN=MYO1E PE=1 SV=2                     "
"120","m.11289",232,1,3,1,1,0,1,1,1,1,2,-7.029,-2.1003,0.998513,0.987082,0.824433,"3281455","Predicted protein OS=Nematostella vectensis GN=v1g215547 PE=4 SV=1                     "
"121","m.11298",283,2,2,0,1,1,0,1,2,2,2,-7.458,-3.1305,0.838477,0.974464,0.51893,"Q9UGM3","Deleted in malignant brain tumors 1 protein OS=Homo sapiens GN=DMBT1 PE=1 SV=2                "
"122","m.113",378,57,60,40,46,42,28,41,45,49,45,-1.196,-1.695,1,0.973842,0.857257,NA,NA
"123","m.11307",740,0,1,1,1,1,0,1,1,0,1,-8.69,-3.5259,0.656431,0.950402,0.317356,"Q62077","1-phosphatidylinositol 45-bisphosphate phosphodiesterase gamma-1 OS=Mus musculus GN=Plcg1 PE=1 SV=2                           "
"124","m.11313",319,0,1,0,0,0,0,0,0,0,0,-5.368,-1.5132,0.999981,0.959879,0.864945,"Q5R7K9","EGF-like repeat and discoidin I-like domain-containing protein 3 OS=Pongo abelii GN=EDIL3 PE=2 SV=1               "
"125","m.11319",252,1,1,0,0,1,0,0,0,1,1,-7.783,-3.5177,0.661297,0.950906,0.321576,"Q6P371","Hydroxyacid-oxoacid transhydrogenase mitochondrial OS=Xenopus tropicalis GN=adhfe1 PE=2 SV=1                           "
"126","m.1133",280,4,4,0,0,0,1,0,0,2,1,-6.63,-2.7242,0.96877,0.99103,0.686205,"Q9Y365","PCTP-like protein OS=Homo sapiens GN=STARD10 PE=1 SV=2                     "
"127","m.11340",155,2,3,2,3,2,1,4,3,2,2,-6.003,-2.7266,0.968222,0.990989,0.685382,"Q03376","Balbiani ring protein 3 OS=Chironomus tentans GN=BR3 PE=2 SV=1                   "
"128","m.1135",538,15,16,9,10,9,4,10,9,9,7,-6.4,-3.7045,0.535349,0.939409,0.229986,"P97793","ALK tyrosine kinase receptor OS=Mus musculus GN=Alk PE=1 SV=2                   "
