"","Protein","Len","S0","S0.1","S1","S1.1","S1.2","S1.3","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","UniprotID","DEFLINE"
"28","m.10254",141,2,2,0,1,1,1,-2.353,-0.3699,0.998133,0.897696,0.873861,NA,NA
"29","m.10260",232,0,1,1,0,1,0,-5.101,-0.609,0.997568,0.934521,0.845204,"3665646","Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85506 PE=4 SV=1                    "
"30","m.10264",203,0,1,0,1,2,1,-8.501,-1.3721,0.858023,0.955831,0.533579,"Q2QXC6","Probable serine/threonine-protein kinase WNK9 OS=Oryza sativa subsp. japonica GN=WNK9 PE=2 SV=1                 "
"31","m.1027",157,1,2,1,2,2,2,-2.522,-0.4148,0.996352,0.906882,0.869739,"3289105","Predicted protein OS=Nematostella vectensis GN=v1g225191 PE=4 SV=1                     "
"32","m.10289",705,0,0,0,1,0,1,-5.831,-0.8732,0.996963,0.954725,0.783745,"P41541","General vesicular transport factor p115 OS=Bos taurus GN=USO1 PE=1 SV=1                  "
"33","m.10304",278,4,4,2,5,4,3,-6.685,-1.1496,0.95755,0.96106,0.667673,"Q96RW7","Hemicentin-1 OS=Homo sapiens GN=HMCN1 PE=1 SV=2                      "
"34","m.10324",680,4,4,1,3,5,2,-7.559,-1.2506,0.922084,0.959844,0.610485,"Q04446","14-alpha-glucan-branching enzyme OS=Homo sapiens GN=GBE1 PE=1 SV=3                           "
"35","m.10327",1122,2,2,3,2,5,2,-11.377,-1.4666,0.79478,0.951016,0.469927,"Q1LZA7","LIM domain-containing protein 2 OS=Bos taurus GN=LIMD2 PE=2 SV=1                   "
"36","m.10342",512,1,0,0,0,1,0,-1.854,-0.3149,1,0.884295,0.878343,"P08183","Multidrug resistance protein 1 OS=Homo sapiens GN=ABCB1 PE=1 SV=3                   "
"37","m.10346",250,2,3,0,2,2,2,-7.973,-1.5477,0.734657,0.946037,0.414182,"Q9NR16","Scavenger receptor cysteine-rich type 1 protein M160 OS=Homo sapiens GN=CD163L1 PE=1 SV=2                "
"38","m.1036",1192,1,1,0,3,6,2,-8.351,-1.5362,0.743416,0.946778,0.422102,"O57683","Splicing factor 3B subunit 1 OS=Xenopus laevis GN=sf3b1 PE=2 SV=1                  "
"39","m.10360",636,1,2,1,2,3,2,-8.262,-1.3018,0.897872,0.958484,0.578974,"A5D7E2","Transmembrane 9 superfamily member 4 OS=Bos taurus GN=TM9SF4 PE=2 SV=2                  "
"40","m.10378",725,2,3,1,1,4,2,-4.978,-1.0814,0.973416,0.960798,0.701952,"Q03516","Uncharacterized protein RSN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RSN1 PE=1 SV=1               "
"41","m.1038",113,5,4,3,4,5,4,0.644,0.0843,0.999981,0.681574,0.89624,"P51397","Death-associated protein 1 OS=Homo sapiens GN=DAP PE=1 SV=3                    "
"42","m.10387",484,6,6,5,5,7,8,-8.084,-2.1567,0.268709,0.909371,0.078068,"Q8IV20","Laccase domain-containing protein 1 OS=Homo sapiens GN=LACC1 PE=1 SV=1                   "
"43","m.104",1674,66,65,21,31,83,70,-5.492,-4.0282,0,0.884255,0,"Q68FD5","Clathrin heavy chain 1 OS=Mus musculus GN=Cltc PE=1 SV=3                   "
"44","m.1041",396,5,6,3,6,5,3,-3.26,-0.7634,1,0.948158,0.814237,"Q0VFL3","KH domain-containing RNA-binding signal transduction-associated protein 2 OS=Xenopus tropicalis GN=khdrbs2 PE=2 SV=1                           "
"45","m.1042",331,3,4,3,2,4,2,-8.116,-1.0686,0.975811,0.960654,0.70797,"Q9PTS2","Uroporphyrinogen decarboxylase OS=Danio rerio GN=urod PE=2 SV=1                     "
"46","m.1044",836,0,1,0,1,1,1,-7.89,-1.1565,0.955615,0.961038,0.664001,"Q29M42","Coiled-coil and C2 domain-containing protein 1-like OS=Drosophila pseudoobscura pseudoobscura GN=GA18377 PE=3 SV=2                "
"47","m.10457",752,0,0,1,1,1,1,-6.885,-0.8903,0.996002,0.95553,0.778266,"Q91372","Probable ATP-dependent RNA helicase DDX4 OS=Xenopus laevis GN=ddx4 PE=2 SV=1                  "
"48","m.10463",220,0,1,0,1,2,1,-6.138,-0.9311,0.993117,0.957225,0.76434,"Q32NG4","Parkinson disease 7 domain-containing protein 1 OS=Xenopus laevis GN=pddc1 PE=2 SV=1                 "
"49","m.10468",320,8,10,5,8,11,10,-7.997,-2.1264,0.287812,0.910623,0.088208,NA,NA
"50","m.10469",238,0,0,0,1,1,1,-7.172,-0.8952,0.995696,0.955751,0.776657,"P61291","Proteasome activator complex subunit 3 OS=Sus scrofa GN=PSME3 PE=2 SV=1                  "
"51","m.10472",547,5,8,0,2,3,7,-5.179,-1.1467,0.958344,0.961066,0.669205,"Q5D1D6","Interferon-induced guanylate-binding protein 1 OS=Chlorocebus aethiops GN=GBP1 PE=2 SV=1                   "
"52","m.10484",222,1,1,0,2,2,2,-1.415,-0.228,1,0.857773,0.884194,"Q68EY7","Coiled-coil domain-containing protein 124-A OS=Xenopus laevis GN=ccdc124-a PE=2 SV=1                   "
"53","m.10496",298,9,12,7,8,8,8,-4.702,-0.6304,0.99813,0.936752,0.841628,"Q5R5D5","Alcohol dehydrogenase [NADP(+)] OS=Pongo abelii GN=AKR1A1 PE=2 SV=1                    "
"54","m.10499",214,2,4,0,0,3,1,-1.831,-0.3713,0.998065,0.898005,0.873739,"Q13825","Methylglutaconyl-CoA hydratase mitochondrial OS=Homo sapiens GN=AUH PE=1 SV=1                           "
"55","m.10517",796,1,1,0,1,1,3,-3.669,-0.5523,0.996181,0.927972,0.853732,"3271430","Predicted protein OS=Nematostella vectensis GN=v1g241035 PE=4 SV=1                     "
"56","m.1054",285,8,10,5,6,8,7,-2.325,-0.7672,0.999986,0.948426,0.81331,"Q2Q1W2","E3 ubiquitin-protein ligase TRIM71 OS=Homo sapiens GN=TRIM71 PE=1 SV=1                   "
"57","m.10558",176,1,3,2,3,3,2,-5.155,-0.705,0.999726,0.943643,0.827432,"3280410","Predicted protein OS=Nematostella vectensis GN=v1g246076 PE=4 SV=1                     "
"58","m.10560",427,9,11,2,6,9,9,-4.584,-1.2286,0.931175,0.960275,0.623541,"Q55G75","PH domain-containing protein DDB_G0267786 OS=Dictyostelium discoideum GN=DDB_G0267786 PE=4 SV=1                   "
"59","m.10567",295,1,1,0,0,2,0,-7.729,-1.5828,0.707543,0.943724,0.390042,"Q8K1T0","Transmembrane protease serine 3 OS=Mus musculus GN=Tmprss3 PE=1 SV=2                   "
"60","m.10575",652,1,2,2,3,2,1,-4.484,-0.6214,0.997901,0.935829,0.843158,"Q8K5C0","Grainyhead-like protein 2 homolog OS=Mus musculus GN=Grhl2 PE=2 SV=1                   "
"61","m.10586",414,0,2,0,0,1,1,-2.624,-0.3845,0.997457,0.900841,0.872569,"Q6IQ20","N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D OS=Homo sapiens GN=NAPEPLD PE=1 SV=2                    "
"62","m.10597",345,0,0,0,1,0,1,-6.096,-1.476,0.788032,0.950473,0.463493,"Q9W2U4","Serine/threonine-protein phosphatase 4 regulatory subunit 2 OS=Drosophila melanogaster GN=PPP4R2r PE=1 SV=2                 "
"63","m.1060",147,2,4,2,3,4,4,-2.385,-0.3508,0.999177,0.893328,0.875486,"P62184","Calmodulin OS=Renilla reniformis PE=1 SV=2                       "
"64","m.10603",487,0,1,1,0,1,1,-5.981,-1.0247,0.982855,0.959934,0.727603,"O54991","Contactin-associated protein 1 OS=Mus musculus GN=Cntnap1 PE=2 SV=2                    "
"65","m.10605",698,4,6,2,4,6,3,-3.398,-0.3701,0.998122,0.89774,0.873844,"P08478","Peptidyl-glycine alpha-amidating monooxygenase A OS=Xenopus laevis GN=pam-a PE=1 SV=3                   "
"66","m.10621",420,4,4,2,6,4,6,-4.934,-0.8548,0.997847,0.953794,0.789411,"Q5EA61","Creatine kinase B-type OS=Bos taurus GN=CKB PE=2 SV=1                    "
"67","m.10645",257,0,0,0,1,1,0,-5.513,-0.9219,0.993834,0.95687,0.767587,NA,NA
"68","m.10669",322,0,1,0,1,1,1,-2.844,-0.3981,0.996903,0.90363,0.871325,"O15083","ERC protein 2 OS=Homo sapiens GN=ERC2 PE=1 SV=3                    "
"69","m.1069",424,3,4,1,4,5,2,-4.246,-0.7599,1,0.947908,0.815084,"Q3T0K2","T-complex protein 1 subunit gamma OS=Bos taurus GN=CCT3 PE=1 SV=1                  "
"70","m.10693",451,1,4,2,2,4,2,-2.877,-0.4222,0.996158,0.908264,0.869015,"Q61555","Fibrillin-2 OS=Mus musculus GN=Fbn2 PE=1 SV=2                      "
"71","m.107",99,9,9,6,4,9,9,-3.096,-0.6037,0.997429,0.933949,0.846058,NA,NA
"72","m.10713",218,10,11,9,8,10,11,-3.319,-0.4674,0.995452,0.916018,0.864286,"P62494","Ras-related protein Rab-11A OS=Rattus norvegicus GN=Rab11a PE=1 SV=3                    "
"73","m.10714",429,8,10,2,9,10,12,7.166,0.9557,0.140869,0.050825,0.888901,"B1H120","Septin-8 OS=Xenopus tropicalis GN=sept8 PE=2 SV=1                      "
"74","m.10723",443,3,2,0,2,3,3,-2.951,-0.4949,0.995435,0.920221,0.861126,"Q8VHI3","GDP-fucose protein O-fucosyltransferase 2 OS=Mus musculus GN=Pofut2 PE=1 SV=1                   "
"75","m.10726",1630,3,3,4,4,4,3,-4.18,-0.5259,0.995725,0.924564,0.857275,"P02466","Collagen alpha-2(I) chain OS=Rattus norvegicus GN=Col1a2 PE=1 SV=3                    "
"76","m.1073",371,4,5,4,6,5,7,-4.2,-1.0225,0.983162,0.959889,0.728545,"Q9NZR1","Tropomodulin-2 OS=Homo sapiens GN=TMOD2 PE=1 SV=1                      "
"77","m.1074",292,1,1,1,2,2,2,-5.584,-0.7889,0.999758,0.949902,0.807845,"Q5SRE7","Phytanoyl-CoA dioxygenase domain-containing protein 1 OS=Homo sapiens GN=PHYHD1 PE=1 SV=2                  "
"78","m.10744",282,6,9,2,5,8,8,1.122,0.2142,0.980597,0.560725,0.898531,"P07846","Sorbitol dehydrogenase OS=Ovis aries GN=SORD PE=1 SV=1                     "
"79","m.10763",330,0,0,1,1,0,1,-2.68,-0.4038,0.996701,0.904761,0.870791,NA,NA
"80","m.10765",227,2,2,2,3,2,2,-9.458,-1.7603,0.563817,0.931553,0.271975,NA,NA
"81","m.10767",590,0,1,0,0,1,2,-4.505,-0.6404,0.998385,0.937754,0.839885,"Q8AV28","Pericentriolar material 1 protein OS=Gallus gallus GN=PCM1 PE=2 SV=1                   "
"82","m.10779",234,0,0,0,1,0,1,-3.93,-0.618,0.997803,0.935474,0.843726,"O13066","Ran GTPase-activating protein 1 OS=Xenopus laevis GN=rangap1 PE=2 SV=1                   "
"83","m.10807",572,29,28,19,29,35,34,-0.866,-0.187,0.999999,0.842585,0.886491,"3267080","Predicted protein OS=Nematostella vectensis GN=v1g197490 PE=4 SV=1                     "
"84","m.10812",189,6,5,2,5,5,4,-2.602,-0.5566,0.996279,0.928504,0.85313,"P31696","Agrin OS=Gallus gallus GN=AGRN PE=1 SV=3                      "
"85","m.10817",422,1,2,1,1,2,1,-8.342,-1.3253,0.885361,0.957695,0.564043,"Q63537","Synapsin-2 OS=Rattus norvegicus GN=Syn2 PE=1 SV=1                      "
"86","m.10818",372,2,4,1,2,4,1,0.25,0.0556,0.999988,0.704462,0.895561,"Q32KI9","Arylsulfatase I OS=Mus musculus GN=Arsi PE=2 SV=1                     "
"87","m.10831",206,4,4,2,3,4,7,-3.448,-0.5158,0.995601,0.923192,0.858565,"Q292N4","Latrophilin Cirl OS=Drosophila pseudoobscura pseudoobscura GN=Cirl PE=3 SV=2                    "
"88","m.10852",208,1,1,1,1,1,1,-2.527,-0.3774,0.997774,0.899332,0.873203,"Q9WVL0","Maleylacetoacetate isomerase OS=Mus musculus GN=Gstz1 PE=1 SV=1                     "
"89","m.10862",241,0,1,0,1,0,1,-3.462,-0.7604,1,0.947944,0.814963,"B2RYG6","Ubiquitin thioesterase OTUB1 OS=Rattus norvegicus GN=Otub1 PE=1 SV=1                    "
"90","m.10883",471,10,13,8,10,12,11,-8.748,-3.1409,0.001289,0.889533,0.000159,"P34897","Serine hydroxymethyltransferase mitochondrial OS=Homo sapiens GN=SHMT2 PE=1 SV=3                           "
"91","m.10886",397,0,0,0,0,1,0,-4.358,-0.9366,0.992661,0.957429,0.762369,"Q6PB03","Phospholipase D3 OS=Xenopus laevis GN=pld3 PE=2 SV=1                     "
"92","m.1089",117,6,7,6,5,5,5,-1.323,-0.3084,1,0.882547,0.878831,"P21571","ATP synthase-coupling factor 6 mitochondrial OS=Rattus norvegicus GN=Atp5j PE=1 SV=1                           "
"93","m.10893",298,21,22,10,19,24,21,1.557,0.7408,0.334959,0.120915,0.893558,"P84335","Tropomyosin alpha-1 chain OS=Liza aurata PE=1 SV=1                     "
"94","m.10905",398,5,5,2,7,9,9,-2.81,-0.6003,0.99734,0.933578,0.8466,"F6XBL2","26S proteasome non-ATPase regulatory subunit 11 OS=Xenopus tropicalis GN=psmd11 PE=3 SV=2                 "
"95","m.10914",217,5,7,2,6,8,7,0.726,0.1434,0.999988,0.629781,0.897444,"Q5R8Z8","Ras-related protein Rab-14 OS=Pongo abelii GN=RAB14 PE=2 SV=3                    "
"96","m.10919",208,0,0,0,0,1,1,-3.814,-0.6839,0.999374,0.941827,0.831735,"Q9Y2U8","Inner nuclear membrane protein Man1 OS=Homo sapiens GN=LEMD3 PE=1 SV=2                  "
"97","m.10920",962,0,1,0,1,1,1,-5.099,-0.7755,0.999929,0.949003,0.811254,"O75694","Nuclear pore complex protein Nup155 OS=Homo sapiens GN=NUP155 PE=1 SV=1                  "
"98","m.10928",723,15,5,6,7,8,8,-8.467,-1.8858,0.46069,0.923334,0.197375,"Q9VZZ4","Peroxidasin OS=Drosophila melanogaster GN=Pxn PE=1 SV=1                      "
"99","m.10938",346,4,5,1,4,5,6,-2.147,-0.5382,0.995925,0.926183,0.855656,"Q8VHT6","Arsenite methyltransferase OS=Rattus norvegicus GN=As3mt PE=1 SV=1                     "
"100","m.10944",532,1,3,0,1,2,0,-8.412,-1.5565,0.727917,0.945464,0.408123,"Q8CJB9","E3 ubiquitin-protein ligase BRE1B OS=Rattus norvegicus GN=Rnf40 PE=1 SV=1                   "
"101","m.10974",566,8,12,2,6,10,10,-2.609,-0.5425,0.995997,0.926736,0.855077,"P31335","Bifunctional purine biosynthesis protein PURH OS=Gallus gallus GN=ATIC PE=1 SV=1                  "
"102","m.10998",251,1,1,0,1,2,1,-0.909,-0.1202,0.999995,0.813446,0.889693,"Q5EB30","Outer dense fiber protein 3 OS=Xenopus tropicalis GN=odf3 PE=2 SV=1                  "
"103","m.110",1165,44,56,32,43,48,48,-2.151,-0.7041,0.999715,0.943567,0.827621,"Q80Y17","Lethal(2) giant larvae protein homolog 1 OS=Mus musculus GN=Llgl1 PE=1 SV=1                 "
"104","m.1100",513,2,3,1,1,3,1,-7.678,-1.3462,0.873535,0.95691,0.55055,"Q61753","D-3-phosphoglycerate dehydrogenase OS=Mus musculus GN=Phgdh PE=1 SV=3                     "
"105","m.1103",1107,1,3,0,2,4,4,-3.67,-0.7879,0.999778,0.949837,0.808104,"Q32LP4","Sodium-driven chloride bicarbonate exchanger OS=Bos taurus GN=SLC4A10 PE=2 SV=1                   "
"106","m.11035",299,0,1,0,1,4,5,-3.658,-0.8948,0.995719,0.955733,0.776789,"Q3T0B6","Complement component 1 Q subcomponent-binding protein mitochondrial OS=Bos taurus GN=C1QBP PE=2 SV=1                           "
"107","m.11045",121,2,1,0,1,2,3,-2.522,-0.3653,0.998368,0.896671,0.874259,"Q24799","Myophilin OS=Echinococcus granulosus PE=2 SV=1                       "
"108","m.11093",943,0,0,0,0,1,1,-5.533,-0.8984,0.995497,0.955892,0.775598,"Q8UUU2","Phosphatidylinositol 3-kinase regulatory subunit alpha OS=Xenopus laevis GN=pik3r1-a PE=2 SV=1                  "
"109","m.11100",1144,6,7,1,5,9,9,-1.859,-0.3242,1,0.886735,0.877629,"A3KPW9","Large proline-rich protein BAG6 OS=Danio rerio GN=Bag6 PE=3 SV=1                   "
"110","m.11107",150,8,10,8,9,11,10,0.104,0.0247,0.999986,0.727435,0.894753,"Q9CPW4","Actin-related protein 3-Feb complex subunit 5 OS=Mus musculus GN=Arpc5 PE=2 SV=3                 "
"111","m.11115",300,3,4,1,2,4,3,-3.92,-0.6579,0.998816,0.939447,0.836719,"Q9U8W7","Techylectin-5B OS=Tachypleus tridentatus PE=1 SV=1                       "
"112","m.11137",540,1,1,0,0,0,0,-8.058,-1.0545,0.978255,0.96046,0.714446,"A9JTG5","RanBP-type and C3HC4-type zinc finger-containing protein 1 OS=Danio rerio GN=rbck1 PE=2 SV=1                "
"113","m.11149",227,9,11,4,6,10,11,-9.7,-1.9093,0.442022,0.921891,0.184601,"O14818","Proteasome subunit alpha type-7 OS=Homo sapiens GN=PSMA7 PE=1 SV=1                   "
"114","m.11152",593,1,1,0,1,0,2,-1.208,-0.1533,0.999997,0.82861,0.888185,"4780878","Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1                      "
"115","m.11167",387,1,0,0,0,1,1,-2.102,-0.3451,0.999519,0.891965,0.875957,"Q8TCT9","Minor histocompatibility antigen H13 OS=Homo sapiens GN=HM13 PE=1 SV=1                   "
"116","m.11180",213,0,1,0,0,1,2,-5.337,-0.9333,0.992928,0.957307,0.763554,"Q9UBC2","Epidermal growth factor receptor substrate 15-like 1 OS=Homo sapiens GN=EPS15L1 PE=1 SV=1                "
"117","m.11210",170,1,2,1,0,2,2,-5.211,-0.7914,0.999724,0.950066,0.807197,"3269761","Predicted protein OS=Nematostella vectensis GN=v1g180953 PE=4 SV=1                     "
"118","m.11237",275,0,0,0,0,1,1,-9.904,-1.7497,0.572608,0.932276,0.2787,"Q3SYV5","Tetraspanin-33 OS=Bos taurus GN=TSPAN33 PE=2 SV=1                      "
"119","m.1126",148,3,3,2,6,6,4,-5.732,-1.3951,0.84352,0.954781,0.518307,"Q5REY2","60S ribosomal protein L27a OS=Pongo abelii GN=RPL27A PE=2 SV=3                   "
"120","m.11265",213,3,3,3,3,3,2,-12.976,-1.8366,0.500652,0.926466,0.225414,"Q61220","Protein kinase C-binding protein NELL2 OS=Mus musculus GN=Nell2 PE=2 SV=3                  "
"121","m.11277",156,0,1,0,0,1,2,-6.341,-0.8745,0.996899,0.954788,0.783335,"Q12965","Unconventional myosin-Ie OS=Homo sapiens GN=MYO1E PE=1 SV=2                     "
"122","m.11289",232,1,3,1,1,1,2,-3.021,-0.5214,0.995669,0.923957,0.857854,"3281455","Predicted protein OS=Nematostella vectensis GN=v1g215547 PE=4 SV=1                     "
"123","m.11298",283,2,2,1,2,2,2,-4.954,-0.751,1,0.947261,0.817203,"Q9UGM3","Deleted in malignant brain tumors 1 protein OS=Homo sapiens GN=DMBT1 PE=1 SV=2                "
"124","m.113",378,57,60,24,35,56,55,-4.138,-1.7808,0.546796,0.930164,0.259134,NA,NA
"125","m.11307",740,0,1,0,1,2,1,-4.451,-0.658,0.998819,0.939457,0.836701,"Q62077","1-phosphatidylinositol 45-bisphosphate phosphodiesterase gamma-1 OS=Mus musculus GN=Plcg1 PE=1 SV=2                           "
"126","m.11313",319,0,1,0,1,1,0,-4.932,-0.6339,0.998225,0.937106,0.841023,"Q5R7K9","EGF-like repeat and discoidin I-like domain-containing protein 3 OS=Pongo abelii GN=EDIL3 PE=2 SV=1               "
"127","m.11319",252,1,1,0,1,2,2,-2.21,-0.2423,1,0.862639,0.883326,"Q6P371","Hydroxyacid-oxoacid transhydrogenase mitochondrial OS=Xenopus tropicalis GN=adhfe1 PE=2 SV=1                           "
"128","m.1133",280,4,4,0,2,4,3,-4.819,-0.7441,1,0.946747,0.818814,"Q9Y365","PCTP-like protein OS=Homo sapiens GN=STARD10 PE=1 SV=2                     "
"129","m.11340",155,2,3,3,4,3,3,-2.403,-0.5825,0.996884,0.931581,0.849354,"Q03376","Balbiani ring protein 3 OS=Chironomus tentans GN=BR3 PE=2 SV=1                   "
"130","m.1135",538,15,16,6,10,14,8,-0.096,-0.0234,0.999996,0.759822,0.893322,"P97793","ALK tyrosine kinase receptor OS=Mus musculus GN=Alk PE=1 SV=2                   "
"131","m.11354",351,4,7,4,4,6,5,-4.837,-1.0872,0.972276,0.960853,0.699181,"P43903","Quinone oxidoreductase OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=qor PE=3 SV=2        "
"132","m.11369",202,4,5,2,5,3,3,-3.089,-0.9837,0.988043,0.958946,0.744539,NA,NA
"133","m.11382",877,1,2,0,2,3,2,-9.39,-2.1212,0.291135,0.910845,0.090032,"B1AZI6","THO complex subunit 2 OS=Mus musculus GN=Thoc2 PE=1 SV=1                   "
"134","m.1141",910,1,1,1,4,2,1,-3.191,-0.6416,0.998419,0.937873,0.839673,"Q6F3J0","Nuclear factor NF-kappa-B p105 subunit OS=Canis familiaris GN=NFKB1 PE=2 SV=2                  "
"135","m.11430",456,7,4,0,4,3,2,-7.766,-1.0762,0.974407,0.960743,0.704413,"Q8NDA2","Hemicentin-2 OS=Homo sapiens GN=HMCN2 PE=2 SV=2                      "
"136","m.1145",390,0,1,1,0,0,0,-5.434,-0.9608,0.990447,0.95826,0.753422,NA,NA
"137","m.11458",213,4,4,4,4,2,5,-3.4,-0.5065,0.995509,0.921892,0.859722,"Q9H4G4","Golgi-associated plant pathogenesis-related protein 1 OS=Homo sapiens GN=GLIPR2 PE=1 SV=3                  "
"138","m.11472",334,2,3,1,4,4,4,-10.21,-1.6581,0.647708,0.938591,0.338812,"O95219","Sorting nexin-4 OS=Homo sapiens GN=SNX4 PE=1 SV=1                     "
"139","m.11482",410,1,0,0,1,0,0,-8.069,-1.4692,0.792922,0.950867,0.468149,"Q9BVL2","Nucleoporin p58/p45 OS=Homo sapiens GN=NUPL1 PE=1 SV=1                     "
"140","m.1149",736,1,1,0,2,1,1,-6.637,-1.467,0.794495,0.950993,0.469653,"Q5EE04","Nucleoprotein TPR (Fragment) OS=Xenopus laevis GN=tpr PE=1 SV=1                    "
