"","Protein","Len","S0","S0.1","S1","S1.1","S1.2","S1.3","S1.4","S1.5","S1.6","S1.7","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","UniprotID","DEFLINE"
"29","m.10260",232,0,1,0,0,0,0,0,0,1,1,-4.52,-1.6354,1,0.950512,0.93731,"3665646","Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85506 PE=4 SV=1                    "
"30","m.10264",203,0,1,0,0,0,1,0,0,0,1,-5.907,-1.7153,1,0.95544,0.926341,"Q2QXC6","Probable serine/threonine-protein kinase WNK9 OS=Oryza sativa subsp. japonica GN=WNK9 PE=2 SV=1                 "
"31","m.1027",157,1,2,3,3,2,1,2,1,2,2,-3.227,-1.3317,1,0.913784,0.960157,"3289105","Predicted protein OS=Nematostella vectensis GN=v1g225191 PE=4 SV=1                     "
"32","m.10289",705,0,0,1,0,1,0,0,0,0,0,-6.182,-1.8124,1,0.959941,0.908219,"P41541","General vesicular transport factor p115 OS=Bos taurus GN=USO1 PE=1 SV=1                  "
"33","m.10304",278,4,4,3,3,3,5,4,4,3,4,-3.949,-1.4729,1,0.935479,0.952278,"Q96RW7","Hemicentin-1 OS=Homo sapiens GN=HMCN1 PE=1 SV=2                      "
"34","m.10324",680,4,4,2,4,2,0,3,1,3,4,-5.814,-1.9732,1,0.964871,0.860569,"Q04446","14-alpha-glucan-branching enzyme OS=Homo sapiens GN=GBE1 PE=1 SV=3                           "
"35","m.10327",1122,2,2,0,3,2,1,1,1,2,2,-6.117,-1.6807,1,0.953461,0.93146,"Q1LZA7","LIM domain-containing protein 2 OS=Bos taurus GN=LIMD2 PE=2 SV=1                   "
"36","m.10342",512,1,0,0,0,0,0,0,1,1,1,-6.276,-2.0149,1,0.965773,0.843129,"P08183","Multidrug resistance protein 1 OS=Homo sapiens GN=ABCB1 PE=1 SV=3                   "
"37","m.10346",250,2,3,1,2,0,1,1,2,1,3,-4.866,-1.5028,0.99997,0.938886,0.950091,"Q9NR16","Scavenger receptor cysteine-rich type 1 protein M160 OS=Homo sapiens GN=CD163L1 PE=1 SV=2                "
"38","m.1036",1192,1,1,1,1,2,1,0,1,2,2,-6.56,-2.0581,1,0.966581,0.822194,"O57683","Splicing factor 3B subunit 1 OS=Xenopus laevis GN=sf3b1 PE=2 SV=1                  "
"39","m.10360",636,1,2,1,0,1,1,1,2,2,2,-4.857,-1.6569,1,0.951966,0.934645,"A5D7E2","Transmembrane 9 superfamily member 4 OS=Bos taurus GN=TM9SF4 PE=2 SV=2                  "
"40","m.10378",725,2,3,1,1,2,0,0,1,3,3,-5.284,-1.7395,1,0.956697,0.92238,"Q03516","Uncharacterized protein RSN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RSN1 PE=1 SV=1               "
"41","m.1038",113,5,4,2,4,5,3,4,4,5,5,-2.845,-0.9834,0.999997,0.782515,0.969266,"P51397","Death-associated protein 1 OS=Homo sapiens GN=DAP PE=1 SV=3                    "
"42","m.10387",484,6,6,3,5,7,3,7,5,7,6,-4.8,-1.7802,1,0.958602,0.91492,"Q8IV20","Laccase domain-containing protein 1 OS=Homo sapiens GN=LACC1 PE=1 SV=1                   "
"43","m.104",1674,66,65,52,66,64,24,57,55,62,64,-3.398,-2.5108,0.854421,0.966352,0.415563,"Q68FD5","Clathrin heavy chain 1 OS=Mus musculus GN=Cltc PE=1 SV=3                   "
"44","m.1041",396,5,6,2,4,3,1,2,2,5,3,-4.103,-1.5392,0.999905,0.942594,0.947128,"Q0VFL3","KH domain-containing RNA-binding signal transduction-associated protein 2 OS=Xenopus tropicalis GN=khdrbs2 PE=2 SV=1                           "
"45","m.1042",331,3,4,2,2,4,2,2,3,4,4,-2.781,-0.9305,0.992438,0.745873,0.969877,"Q9PTS2","Uroporphyrinogen decarboxylase OS=Danio rerio GN=urod PE=2 SV=1                     "
"46","m.1044",836,0,1,0,0,0,0,0,0,0,0,-7.354,-2.3459,0.930941,0.968079,0.597945,"Q29M42","Coiled-coil and C2 domain-containing protein 1-like OS=Drosophila pseudoobscura pseudoobscura GN=GA18377 PE=3 SV=2                "
"47","m.10457",752,0,0,0,0,1,0,1,0,1,1,-6.113,-2.6342,0.773548,0.964853,0.27626,"Q91372","Probable ATP-dependent RNA helicase DDX4 OS=Xenopus laevis GN=ddx4 PE=2 SV=1                  "
"48","m.10463",220,0,1,0,0,0,1,0,1,1,1,-4.075,-1.394,1,0.924651,0.957121,"Q32NG4","Parkinson disease 7 domain-containing protein 1 OS=Xenopus laevis GN=pddc1 PE=2 SV=1                 "
"49","m.10468",320,8,10,4,9,11,3,8,6,8,9,-5.409,-1.8238,1,0.960383,0.905659,NA,NA
"50","m.10469",238,0,0,1,1,1,0,1,0,0,1,-6.021,-2.0391,0.999999,0.96624,0.831786,"P61291","Proteasome activator complex subunit 3 OS=Sus scrofa GN=PSME3 PE=2 SV=1                  "
"51","m.10472",547,5,8,3,4,4,6,2,2,8,5,-4.245,-1.8364,1,0.960852,0.902707,"Q5D1D6","Interferon-induced guanylate-binding protein 1 OS=Chlorocebus aethiops GN=GBP1 PE=2 SV=1                   "
"52","m.10484",222,1,1,0,0,1,0,1,1,1,0,-4.464,-1.4853,1,0.936933,0.951397,"Q68EY7","Coiled-coil domain-containing protein 124-A OS=Xenopus laevis GN=ccdc124-a PE=2 SV=1                   "
"53","m.10496",298,9,12,7,11,10,3,7,5,9,7,-1.282,-0.4631,0.578627,0.313328,0.961867,"Q5R5D5","Alcohol dehydrogenase [NADP(+)] OS=Pongo abelii GN=AKR1A1 PE=2 SV=1                    "
"54","m.10499",214,2,4,2,0,2,0,0,0,2,2,-4.518,-1.7365,1,0.956547,0.922889,"Q13825","Methylglutaconyl-CoA hydratase mitochondrial OS=Homo sapiens GN=AUH PE=1 SV=1                           "
"55","m.10517",796,1,1,0,0,1,0,0,0,0,1,-5.775,-1.6886,1,0.953933,0.930344,"3271430","Predicted protein OS=Nematostella vectensis GN=v1g241035 PE=4 SV=1                     "
"56","m.1054",285,8,10,3,6,7,5,3,3,10,7,-3.862,-1.8083,1,0.959779,0.909115,"Q2Q1W2","E3 ubiquitin-protein ligase TRIM71 OS=Homo sapiens GN=TRIM71 PE=1 SV=1                   "
"57","m.10558",176,1,3,1,2,3,0,1,2,1,3,-4.708,-2.2628,0.96345,0.968471,0.676884,"3280410","Predicted protein OS=Nematostella vectensis GN=v1g246076 PE=4 SV=1                     "
"58","m.10560",427,9,11,6,9,7,7,9,8,7,10,-3.585,-1.4009,1,0.925718,0.956745,"Q55G75","PH domain-containing protein DDB_G0267786 OS=Dictyostelium discoideum GN=DDB_G0267786 PE=4 SV=1                   "
"59","m.10567",295,1,1,0,0,0,0,0,0,0,0,-4.894,-1.7565,1,0.957524,0.919392,"Q8K1T0","Transmembrane protease serine 3 OS=Mus musculus GN=Tmprss3 PE=1 SV=2                   "
"60","m.10575",652,1,2,1,2,2,1,1,1,2,1,-5.536,-1.7478,1,0.957106,0.920943,"Q8K5C0","Grainyhead-like protein 2 homolog OS=Mus musculus GN=Grhl2 PE=2 SV=1                   "
"61","m.10586",414,0,2,0,0,1,0,0,0,1,1,-6.143,-2.1819,0.989499,0.968239,0.743059,"Q6IQ20","N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D OS=Homo sapiens GN=NAPEPLD PE=1 SV=2                    "
"62","m.10597",345,0,0,0,0,1,0,0,0,0,0,-5.348,-1.5194,0.999866,0.940633,0.948783,"Q9W2U4","Serine/threonine-protein phosphatase 4 regulatory subunit 2 OS=Drosophila melanogaster GN=PPP4R2r PE=1 SV=2                 "
"63","m.1060",147,2,4,2,4,2,1,2,2,3,4,-4.715,-1.4151,1,0.927836,0.955945,"P62184","Calmodulin OS=Renilla reniformis PE=1 SV=2                       "
"64","m.10603",487,0,1,1,0,0,0,1,0,1,1,-4.698,-1.7159,1,0.955472,0.926247,"O54991","Contactin-associated protein 1 OS=Mus musculus GN=Cntnap1 PE=2 SV=2                    "
"65","m.10605",698,4,6,1,2,3,2,1,1,2,3,-4.681,-1.3508,1,0.917367,0.959291,"P08478","Peptidyl-glycine alpha-amidating monooxygenase A OS=Xenopus laevis GN=pam-a PE=1 SV=3                   "
"66","m.10621",420,4,4,3,3,4,3,4,2,2,3,-5.208,-1.95,1,0.964311,0.869223,"Q5EA61","Creatine kinase B-type OS=Bos taurus GN=CKB PE=2 SV=1                    "
"67","m.10669",322,0,1,0,0,0,0,0,0,0,0,-4.496,-1.7219,1,0.955792,0.925293,"O15083","ERC protein 2 OS=Homo sapiens GN=ERC2 PE=1 SV=3                    "
"68","m.1069",424,3,4,1,1,5,3,4,3,3,5,-4.424,-1.7225,1,0.955824,0.925197,"Q3T0K2","T-complex protein 1 subunit gamma OS=Bos taurus GN=CCT3 PE=1 SV=1                  "
"69","m.10693",451,1,4,0,1,1,1,1,2,2,1,-5.222,-1.6624,1,0.952322,0.933932,"Q61555","Fibrillin-2 OS=Mus musculus GN=Fbn2 PE=1 SV=2                      "
"70","m.107",99,9,9,5,7,7,2,5,6,8,8,-1.86,-0.4167,0.517252,0.275057,0.960317,NA,NA
"71","m.10713",218,10,11,7,9,7,6,9,8,8,6,-2.883,-1.0005,0.999998,0.793195,0.969026,"P62494","Ras-related protein Rab-11A OS=Rattus norvegicus GN=Rab11a PE=1 SV=3                    "
"72","m.10714",429,8,10,3,5,9,3,5,3,7,8,-3.869,-1.6235,1,0.949662,0.938703,"B1H120","Septin-8 OS=Xenopus tropicalis GN=sept8 PE=2 SV=1                      "
"73","m.10723",443,3,2,0,1,3,0,1,1,2,3,-3.971,-1.2622,1,0.898549,0.962894,"Q8VHI3","GDP-fucose protein O-fucosyltransferase 2 OS=Mus musculus GN=Pofut2 PE=1 SV=1                   "
"74","m.10726",1630,3,3,4,5,4,1,6,7,4,4,-6.53,-2.6994,0.711109,0.964056,0.211156,"P02466","Collagen alpha-2(I) chain OS=Rattus norvegicus GN=Col1a2 PE=1 SV=3                    "
"75","m.1073",371,4,5,2,3,3,1,3,2,4,3,-3.46,-1.0762,0.999999,0.833875,0.96777,"Q9NZR1","Tropomodulin-2 OS=Homo sapiens GN=TMOD2 PE=1 SV=1                      "
"76","m.1074",292,1,1,1,0,1,0,0,1,0,1,-5.618,-1.6587,1,0.952083,0.934414,"Q5SRE7","Phytanoyl-CoA dioxygenase domain-containing protein 1 OS=Homo sapiens GN=PHYHD1 PE=1 SV=2                  "
"77","m.10744",282,6,9,2,3,5,2,4,4,4,7,-3.677,-1.3955,1,0.924885,0.95704,"P07846","Sorbitol dehydrogenase OS=Ovis aries GN=SORD PE=1 SV=1                     "
"78","m.10763",330,0,0,0,0,0,0,1,0,1,1,-4.914,-1.5302,0.999871,0.941718,0.947894,NA,NA
"79","m.10765",227,2,2,3,1,2,2,2,2,2,2,-3.954,-1.1479,1,0.863854,0.966238,NA,NA
"80","m.10767",590,0,1,1,1,1,1,1,0,1,1,-7.185,-2.4427,0.888171,0.967146,0.493812,"Q8AV28","Pericentriolar material 1 protein OS=Gallus gallus GN=PCM1 PE=2 SV=1                   "
"81","m.10807",572,29,28,17,32,32,15,28,27,32,31,-2.568,-1.8807,1,0.962357,0.891222,"3267080","Predicted protein OS=Nematostella vectensis GN=v1g197490 PE=4 SV=1                     "
"82","m.10812",189,6,5,3,2,4,4,2,3,3,3,-3.818,-1.4302,1,0.929979,0.955053,"P31696","Agrin OS=Gallus gallus GN=AGRN PE=1 SV=3                      "
"83","m.10817",422,1,2,0,0,1,1,0,1,1,1,-5.941,-1.9025,1,0.963021,0.884874,"Q63537","Synapsin-2 OS=Rattus norvegicus GN=Syn2 PE=1 SV=1                      "
"84","m.10818",372,2,4,1,1,1,0,1,2,2,5,-4.597,-1.3987,1,0.925381,0.956866,"Q32KI9","Arylsulfatase I OS=Mus musculus GN=Arsi PE=2 SV=1                     "
"85","m.10831",206,4,4,1,1,4,3,2,2,4,4,-4.076,-1.8524,1,0.961421,0.898765,"Q292N4","Latrophilin Cirl OS=Drosophila pseudoobscura pseudoobscura GN=Cirl PE=3 SV=2                    "
"86","m.10852",208,1,1,1,2,2,1,2,0,1,3,-3.622,-1.2112,1,0.884766,0.964542,"Q9WVL0","Maleylacetoacetate isomerase OS=Mus musculus GN=Gstz1 PE=1 SV=1                     "
"87","m.10862",241,0,1,0,0,1,0,0,1,0,1,-4.593,-1.4252,1,0.929282,0.955353,"B2RYG6","Ubiquitin thioesterase OTUB1 OS=Rattus norvegicus GN=Otub1 PE=1 SV=1                    "
"88","m.10883",471,10,13,2,7,8,4,7,6,9,11,-3.342,-0.9258,0.991178,0.742386,0.969916,"P34897","Serine hydroxymethyltransferase mitochondrial OS=Homo sapiens GN=SHMT2 PE=1 SV=3                           "
"89","m.10886",397,0,0,1,0,0,0,0,1,1,0,-4.454,-1.2346,1,0.891396,0.96382,"Q6PB03","Phospholipase D3 OS=Xenopus laevis GN=pld3 PE=2 SV=1                     "
"90","m.1089",117,6,7,5,6,8,4,6,6,6,6,-5.272,-1.6375,1,0.950658,0.937058,"P21571","ATP synthase-coupling factor 6 mitochondrial OS=Rattus norvegicus GN=Atp5j PE=1 SV=1                           "
"91","m.10893",298,21,22,20,15,20,13,21,19,14,17,0.344,0.0756,0.111662,0.039631,0.948881,"P84335","Tropomyosin alpha-1 chain OS=Liza aurata PE=1 SV=1                     "
"92","m.10905",398,5,5,3,6,5,3,5,4,6,3,-4.635,-1.2721,1,0.900951,0.962541,"F6XBL2","26S proteasome non-ATPase regulatory subunit 11 OS=Xenopus tropicalis GN=psmd11 PE=3 SV=2                 "
"93","m.10914",217,5,7,4,4,5,4,4,4,5,6,-2.831,-1.0221,0.999997,0.805864,0.968701,"Q5R8Z8","Ras-related protein Rab-14 OS=Pongo abelii GN=RAB14 PE=2 SV=3                    "
"94","m.10919",208,0,0,0,0,1,1,0,0,0,0,-4.448,-1.2394,1,0.89269,0.963665,"Q9Y2U8","Inner nuclear membrane protein Man1 OS=Homo sapiens GN=LEMD3 PE=1 SV=2                  "
"95","m.10920",962,0,1,0,0,1,0,0,0,0,0,-5.325,-1.9122,1,0.963301,0.881888,"O75694","Nuclear pore complex protein Nup155 OS=Homo sapiens GN=NUP155 PE=1 SV=1                  "
"96","m.10928",723,15,5,4,5,7,4,4,7,10,8,-6.269,-2.0013,1,0.965493,0.849099,"Q9VZZ4","Peroxidasin OS=Drosophila melanogaster GN=Pxn PE=1 SV=1                      "
"97","m.10938",346,4,5,2,5,5,2,2,3,5,5,-4.89,-1.7988,1,0.959393,0.911142,"Q8VHT6","Arsenite methyltransferase OS=Rattus norvegicus GN=As3mt PE=1 SV=1                     "
"98","m.10944",532,1,3,0,1,1,1,0,0,1,1,-5.845,-1.8387,1,0.960936,0.902154,"Q8CJB9","E3 ubiquitin-protein ligase BRE1B OS=Rattus norvegicus GN=Rnf40 PE=1 SV=1                   "
"99","m.10974",566,8,12,1,5,8,1,4,3,8,9,-5.869,-2.1084,0.999997,0.967379,0.793624,"P31335","Bifunctional purine biosynthesis protein PURH OS=Gallus gallus GN=ATIC PE=1 SV=1                  "
"100","m.10998",251,1,1,0,0,1,0,0,1,0,0,-5.23,-1.6528,1,0.951696,0.935169,"Q5EB30","Outer dense fiber protein 3 OS=Xenopus tropicalis GN=odf3 PE=2 SV=1                  "
"101","m.110",1165,44,56,27,33,41,31,35,35,37,45,-4.322,-2.8293,0.535277,0.962429,0.11144,"Q80Y17","Lethal(2) giant larvae protein homolog 1 OS=Mus musculus GN=Llgl1 PE=1 SV=1                 "
"102","m.1100",513,2,3,3,1,2,1,3,2,2,1,-4.754,-1.1692,1,0.871414,0.965706,"Q61753","D-3-phosphoglycerate dehydrogenase OS=Mus musculus GN=Phgdh PE=1 SV=3                     "
"103","m.1103",1107,1,3,1,2,1,0,1,1,1,1,-5.933,-2.2635,0.963196,0.96847,0.676265,"Q32LP4","Sodium-driven chloride bicarbonate exchanger OS=Bos taurus GN=SLC4A10 PE=2 SV=1                   "
"104","m.11035",299,0,1,2,3,3,1,4,3,0,2,-2.997,-0.8813,0.976705,0.707626,0.970138,"Q3T0B6","Complement component 1 Q subcomponent-binding protein mitochondrial OS=Bos taurus GN=C1QBP PE=2 SV=1                           "
"105","m.11045",121,2,1,1,2,3,1,1,1,3,2,-5.301,-1.8942,1,0.962773,0.887349,"Q24799","Myophilin OS=Echinococcus granulosus PE=2 SV=1                       "
"106","m.11093",943,0,0,1,0,0,0,1,0,1,0,-6.39,-2.2298,0.974876,0.968462,0.705175,"Q8UUU2","Phosphatidylinositol 3-kinase regulatory subunit alpha OS=Xenopus laevis GN=pik3r1-a PE=2 SV=1                  "
"107","m.11100",1144,6,7,5,5,6,4,6,4,8,8,-5.616,-1.7183,1,0.955601,0.925868,"A3KPW9","Large proline-rich protein BAG6 OS=Danio rerio GN=Bag6 PE=3 SV=1                   "
"108","m.11107",150,8,10,7,8,10,0,5,6,10,11,-3.53,-1.4072,1,0.92667,0.956395,"Q9CPW4","Actin-related protein 3-Feb complex subunit 5 OS=Mus musculus GN=Arpc5 PE=2 SV=3                 "
"109","m.11115",300,3,4,2,1,2,3,1,2,3,3,-5.635,-1.9433,1,0.964141,0.871593,"Q9U8W7","Techylectin-5B OS=Tachypleus tridentatus PE=1 SV=1                       "
"110","m.11137",540,1,1,0,0,0,0,0,0,0,0,-5.203,-2.1097,0.999997,0.967398,0.792821,"A9JTG5","RanBP-type and C3HC4-type zinc finger-containing protein 1 OS=Danio rerio GN=rbck1 PE=2 SV=1                "
"111","m.11149",227,9,11,5,9,9,4,7,9,9,7,-0.614,-0.3278,0.408031,0.210118,0.957407,"O14818","Proteasome subunit alpha type-7 OS=Homo sapiens GN=PSMA7 PE=1 SV=1                   "
"112","m.11152",593,1,1,0,0,1,0,0,0,0,1,-6.002,-1.8542,1,0.961483,0.898307,"4780878","Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1                      "
"113","m.11167",387,1,0,0,1,1,1,1,0,0,1,-4.756,-1.9916,1,0.965285,0.853187,"Q8TCT9","Minor histocompatibility antigen H13 OS=Homo sapiens GN=HM13 PE=1 SV=1                   "
"114","m.11180",213,0,1,0,1,1,0,1,1,0,0,-5.657,-2.1004,0.999997,0.967262,0.798494,"Q9UBC2","Epidermal growth factor receptor substrate 15-like 1 OS=Homo sapiens GN=EPS15L1 PE=1 SV=1                "
"115","m.11210",170,1,2,1,2,2,0,0,1,2,2,-4.167,-1.1483,1,0.864001,0.966228,"3269761","Predicted protein OS=Nematostella vectensis GN=v1g180953 PE=4 SV=1                     "
"116","m.11237",275,0,0,1,0,0,0,0,0,0,0,-5.551,-1.5475,0.999975,0.943379,0.9464,"Q3SYV5","Tetraspanin-33 OS=Bos taurus GN=TSPAN33 PE=2 SV=1                      "
"117","m.1126",148,3,3,4,5,5,3,4,4,5,3,-3.291,-0.859,0.967643,0.689075,0.970154,"Q5REY2","60S ribosomal protein L27a OS=Pongo abelii GN=RPL27A PE=2 SV=3                   "
"118","m.11265",213,3,3,2,2,2,1,2,2,2,3,-3.988,-1.5252,0.999868,0.941221,0.94831,"Q61220","Protein kinase C-binding protein NELL2 OS=Mus musculus GN=Nell2 PE=2 SV=3                  "
"119","m.11277",156,0,1,0,0,1,0,0,0,1,1,-4.596,-1.4044,1,0.92625,0.956551,"Q12965","Unconventional myosin-Ie OS=Homo sapiens GN=MYO1E PE=1 SV=2                     "
"120","m.11289",232,1,3,1,1,0,1,1,1,1,2,-4.47,-1.3512,1,0.917439,0.959272,"3281455","Predicted protein OS=Nematostella vectensis GN=v1g215547 PE=4 SV=1                     "
"121","m.11298",283,2,2,0,1,1,0,1,2,2,2,-6.453,-2.0646,0.999997,0.966692,0.818768,"Q9UGM3","Deleted in malignant brain tumors 1 protein OS=Homo sapiens GN=DMBT1 PE=1 SV=2                "
"122","m.113",378,57,60,40,46,42,28,41,45,49,45,-1.446,-0.8295,0.9536,0.663469,0.970076,NA,NA
"123","m.11307",740,0,1,1,1,1,0,1,1,0,1,-6.178,-2.1323,0.999999,0.967711,0.7783,"Q62077","1-phosphatidylinositol 45-bisphosphate phosphodiesterase gamma-1 OS=Mus musculus GN=Plcg1 PE=1 SV=2                           "
"124","m.11313",319,0,1,0,0,0,0,0,0,0,0,-4.702,-1.5287,0.999871,0.94157,0.94802,"Q5R7K9","EGF-like repeat and discoidin I-like domain-containing protein 3 OS=Pongo abelii GN=EDIL3 PE=2 SV=1               "
"125","m.11319",252,1,1,0,0,1,0,0,0,1,1,-4.763,-1.6795,1,0.953389,0.931627,"Q6P371","Hydroxyacid-oxoacid transhydrogenase mitochondrial OS=Xenopus tropicalis GN=adhfe1 PE=2 SV=1                           "
"126","m.1133",280,4,4,0,0,0,1,0,0,2,1,-4.825,-1.8673,1,0.961924,0.894888,"Q9Y365","PCTP-like protein OS=Homo sapiens GN=STARD10 PE=1 SV=2                     "
"127","m.11340",155,2,3,2,3,2,1,4,3,2,2,-3.458,-1.0291,0.999997,0.80978,0.96859,"Q03376","Balbiani ring protein 3 OS=Chironomus tentans GN=BR3 PE=2 SV=1                   "
"128","m.1135",538,15,16,9,10,9,4,10,9,9,7,-4.4,-1.9101,1,0.963241,0.882543,"P97793","ALK tyrosine kinase receptor OS=Mus musculus GN=Alk PE=1 SV=2                   "
"129","m.11354",351,4,7,3,4,3,2,2,4,5,3,-5.083,-1.5536,1,0.943943,0.945852,"P43903","Quinone oxidoreductase OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=qor PE=3 SV=2        "
"130","m.11369",202,4,5,1,3,3,2,3,3,2,2,-3.279,-1.1621,1,0.868956,0.965888,NA,NA
