"","Protein","Len","S0","S0.1","S1","S1.1","S1.2","S1.3","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","UniprotID","DEFLINE"
"67","m.107",99,9,9,5,6,5,7,-2.455,-0.5044,1,0.924787,0.875376,NA,NA
"68","m.10713",218,10,11,9,8,7,9,6.603,1.9953,0.000154,4.1e-05,0.892396,"P62494","Ras-related protein Rab-11A OS=Rattus norvegicus GN=Rab11a PE=1 SV=3                    "
"69","m.10714",429,8,10,5,3,3,5,-4.912,-1.0003,0.982113,0.961272,0.753017,"B1H120","Septin-8 OS=Xenopus tropicalis GN=sept8 PE=2 SV=1                      "
"70","m.10723",443,3,2,1,1,0,1,-3.062,-0.5119,1,0.925888,0.874461,"Q8VHI3","GDP-fucose protein O-fucosyltransferase 2 OS=Mus musculus GN=Pofut2 PE=1 SV=1                   "
"71","m.10726",1630,3,3,6,7,4,5,-8.032,-1.3299,0.892573,0.958794,0.567711,"P02466","Collagen alpha-2(I) chain OS=Rattus norvegicus GN=Col1a2 PE=1 SV=3                    "
"72","m.1073",371,4,5,3,2,2,3,-5.306,-1.3062,0.902426,0.959466,0.584148,"Q9NZR1","Tropomodulin-2 OS=Homo sapiens GN=TMOD2 PE=1 SV=1                      "
"73","m.1074",292,1,1,0,1,1,0,-3.472,-0.5107,1,0.925713,0.874609,"Q5SRE7","Phytanoyl-CoA dioxygenase domain-containing protein 1 OS=Homo sapiens GN=PHYHD1 PE=1 SV=2                  "
"74","m.10744",282,6,9,4,4,2,3,-1.505,-0.3128,1,0.885653,0.893295,"P07846","Sorbitol dehydrogenase OS=Ovis aries GN=SORD PE=1 SV=1                     "
"75","m.10763",330,0,0,1,0,0,0,-7.506,-1.0637,0.971607,0.962116,0.724834,NA,NA
"76","m.10765",227,2,2,2,2,3,1,-3.714,-0.5976,1,0.936793,0.862566,NA,NA
"77","m.10767",590,0,1,1,0,1,1,-5.243,-0.7906,0.998909,0.952989,0.823261,"Q8AV28","Pericentriolar material 1 protein OS=Gallus gallus GN=PCM1 PE=2 SV=1                   "
"78","m.10807",572,29,28,28,27,17,32,1.601,0.3264,0.795345,0.464879,0.908486,"3267080","Predicted protein OS=Nematostella vectensis GN=v1g197490 PE=4 SV=1                     "
"79","m.10812",189,6,5,2,3,3,2,-5.278,-0.6888,1,0.94564,0.846478,"P31696","Agrin OS=Gallus gallus GN=AGRN PE=1 SV=3                      "
"80","m.10817",422,1,2,0,1,0,0,-7.823,-0.9932,0.983117,0.961132,0.755959,"Q63537","Synapsin-2 OS=Rattus norvegicus GN=Syn2 PE=1 SV=1                      "
"81","m.10818",372,2,4,1,2,1,1,-3.516,-0.6617,1,0.943262,0.851677,"Q32KI9","Arylsulfatase I OS=Mus musculus GN=Arsi PE=2 SV=1                     "
"82","m.10831",206,4,4,2,2,1,1,-0.122,-0.0163,0.993882,0.752099,0.907107,"Q292N4","Latrophilin Cirl OS=Drosophila pseudoobscura pseudoobscura GN=Cirl PE=3 SV=2                    "
"83","m.10852",208,1,1,2,0,1,2,-2.049,-0.2886,1,0.878778,0.894941,"Q9WVL0","Maleylacetoacetate isomerase OS=Mus musculus GN=Gstz1 PE=1 SV=1                     "
"84","m.10862",241,0,1,0,1,0,0,-2.467,-0.4508,1,0.916121,0.881389,"B2RYG6","Ubiquitin thioesterase OTUB1 OS=Rattus norvegicus GN=Otub1 PE=1 SV=1                    "
"85","m.10883",471,10,13,7,6,2,7,-4.917,-0.8575,0.996199,0.956588,0.804406,"P34897","Serine hydroxymethyltransferase mitochondrial OS=Homo sapiens GN=SHMT2 PE=1 SV=3                           "
"86","m.10886",397,0,0,0,1,1,0,-2.723,-0.5396,1,0.929735,0.870916,"Q6PB03","Phospholipase D3 OS=Xenopus laevis GN=pld3 PE=2 SV=1                     "
"87","m.1089",117,6,7,6,6,5,6,-5.864,-1.4763,0.815229,0.953411,0.458439,"P21571","ATP synthase-coupling factor 6 mitochondrial OS=Rattus norvegicus GN=Atp5j PE=1 SV=1                           "
"88","m.10893",298,21,22,21,19,20,15,0.628,0.1099,0.947091,0.658103,0.909249,"P84335","Tropomyosin alpha-1 chain OS=Liza aurata PE=1 SV=1                     "
"89","m.10905",398,5,5,5,4,3,6,-4.472,-0.6853,1,0.945344,0.847171,"F6XBL2","26S proteasome non-ATPase regulatory subunit 11 OS=Xenopus tropicalis GN=psmd11 PE=3 SV=2                 "
"90","m.10914",217,5,7,4,4,4,4,-2.575,-0.4053,1,0.907518,0.885836,"Q5R8Z8","Ras-related protein Rab-14 OS=Pongo abelii GN=RAB14 PE=2 SV=3                    "
"91","m.10920",962,0,1,0,0,0,0,-10.253,-1.6205,0.709483,0.946577,0.345295,"O75694","Nuclear pore complex protein Nup155 OS=Homo sapiens GN=NUP155 PE=1 SV=1                  "
"92","m.10928",723,15,5,4,7,4,5,-1.766,-0.3337,1,0.891175,0.891777,"Q9VZZ4","Peroxidasin OS=Drosophila melanogaster GN=Pxn PE=1 SV=1                      "
"93","m.10938",346,4,5,2,3,2,5,4.716,0.7125,0.384731,0.157237,0.901639,"Q8VHT6","Arsenite methyltransferase OS=Rattus norvegicus GN=As3mt PE=1 SV=1                     "
"94","m.10944",532,1,3,0,0,0,1,-9.601,-1.5128,0.791165,0.951793,0.429847,"Q8CJB9","E3 ubiquitin-protein ligase BRE1B OS=Rattus norvegicus GN=Rnf40 PE=1 SV=1                   "
"95","m.10974",566,8,12,4,3,1,5,-4.001,-0.8863,0.994345,0.957856,0.795312,"P31335","Bifunctional purine biosynthesis protein PURH OS=Gallus gallus GN=ATIC PE=1 SV=1                  "
"96","m.10998",251,1,1,0,1,0,0,-5.326,-0.9663,0.986629,0.960515,0.766726,"Q5EB30","Outer dense fiber protein 3 OS=Xenopus tropicalis GN=odf3 PE=2 SV=1                  "
"97","m.110",1165,44,56,35,35,27,33,-4.04,-2.2115,0.181394,0.919162,0.040976,"Q80Y17","Lethal(2) giant larvae protein homolog 1 OS=Mus musculus GN=Llgl1 PE=1 SV=1                 "
"98","m.1100",513,2,3,3,2,3,1,-3.996,-0.7567,0.999592,0.950803,0.831682,"Q61753","D-3-phosphoglycerate dehydrogenase OS=Mus musculus GN=Phgdh PE=1 SV=3                     "
"99","m.1103",1107,1,3,1,1,1,2,-8.28,-1.6182,0.711384,0.946693,0.347079,"Q32LP4","Sodium-driven chloride bicarbonate exchanger OS=Bos taurus GN=SLC4A10 PE=2 SV=1                   "
"100","m.11035",299,0,1,4,3,2,3,-4.141,-1.0375,0.976285,0.961855,0.736902,"Q3T0B6","Complement component 1 Q subcomponent-binding protein mitochondrial OS=Bos taurus GN=C1QBP PE=2 SV=1                           "
"101","m.11045",121,2,1,1,1,1,2,-2.222,-0.3731,1,0.90063,0.888657,"Q24799","Myophilin OS=Echinococcus granulosus PE=2 SV=1                       "
"102","m.11093",943,0,0,1,0,1,0,-7.358,-1.287,0.909925,0.959965,0.597145,"Q8UUU2","Phosphatidylinositol 3-kinase regulatory subunit alpha OS=Xenopus laevis GN=pik3r1-a PE=2 SV=1                  "
"103","m.11100",1144,6,7,6,4,5,5,-1.89,-0.2439,1,0.864587,0.897693,"A3KPW9","Large proline-rich protein BAG6 OS=Danio rerio GN=Bag6 PE=3 SV=1                   "
"104","m.11107",150,8,10,5,6,7,8,-0.582,-0.1706,0.999999,0.836465,0.901483,"Q9CPW4","Actin-related protein 3-Feb complex subunit 5 OS=Mus musculus GN=Arpc5 PE=2 SV=3                 "
"105","m.11115",300,3,4,1,2,2,1,-4.61,-0.5335,1,0.928916,0.87172,"Q9U8W7","Techylectin-5B OS=Tachypleus tridentatus PE=1 SV=1                       "
"106","m.11137",540,1,1,0,0,0,0,-9.49,-1.8773,0.473706,0.933334,0.167912,"A9JTG5","RanBP-type and C3HC4-type zinc finger-containing protein 1 OS=Danio rerio GN=rbck1 PE=2 SV=1                "
"107","m.11149",227,9,11,7,9,5,9,-7.862,-1.7524,0.592673,0.939724,0.247496,"O14818","Proteasome subunit alpha type-7 OS=Homo sapiens GN=PSMA7 PE=1 SV=1                   "
"108","m.11152",593,1,1,0,0,0,0,-4.106,-0.5729,1,0.933941,0.866284,"4780878","Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1                      "
"109","m.11167",387,1,0,1,0,0,1,-4.864,-0.7625,0.999505,0.951195,0.830292,"Q8TCT9","Minor histocompatibility antigen H13 OS=Homo sapiens GN=HM13 PE=1 SV=1                   "
"110","m.11180",213,0,1,1,1,0,1,-3.847,-0.4847,1,0.921771,0.87769,"Q9UBC2","Epidermal growth factor receptor substrate 15-like 1 OS=Homo sapiens GN=EPS15L1 PE=1 SV=1                "
"111","m.11210",170,1,2,0,1,1,2,-3.601,-0.5218,1,0.927301,0.873225,"3269761","Predicted protein OS=Nematostella vectensis GN=v1g180953 PE=4 SV=1                     "
"112","m.11237",275,0,0,0,0,1,0,-6.919,-0.8714,0.995361,0.957221,0.800093,"Q3SYV5","Tetraspanin-33 OS=Bos taurus GN=TSPAN33 PE=2 SV=1                      "
"113","m.1126",148,3,3,4,4,4,5,-0.296,-0.0475,0.999998,0.772242,0.906202,"Q5REY2","60S ribosomal protein L27a OS=Pongo abelii GN=RPL27A PE=2 SV=3                   "
"114","m.11265",213,3,3,2,2,2,2,-3.555,-0.5715,1,0.933773,0.866487,"Q61220","Protein kinase C-binding protein NELL2 OS=Mus musculus GN=Nell2 PE=2 SV=3                  "
"115","m.11277",156,0,1,0,0,0,0,-4.284,-0.7153,1,0.947785,0.841016,"Q12965","Unconventional myosin-Ie OS=Homo sapiens GN=MYO1E PE=1 SV=2                     "
"116","m.11289",232,1,3,1,1,1,1,-3.976,-0.6296,1,0.940181,0.857365,"3281455","Predicted protein OS=Nematostella vectensis GN=v1g215547 PE=4 SV=1                     "
"117","m.11298",283,2,2,1,2,0,1,-6.429,-0.6953,1,0.946182,0.845174,"Q9UGM3","Deleted in malignant brain tumors 1 protein OS=Homo sapiens GN=DMBT1 PE=1 SV=2                "
"118","m.113",378,57,60,41,45,40,46,-4.659,-3.131,0.000722,0.901035,6.6e-05,NA,NA
"119","m.11307",740,0,1,1,1,1,1,-5.4,-0.7388,0.999816,0.949547,0.835842,"Q62077","1-phosphatidylinositol 45-bisphosphate phosphodiesterase gamma-1 OS=Mus musculus GN=Plcg1 PE=1 SV=2                           "
"120","m.11313",319,0,1,0,0,0,0,-4.259,-0.4555,1,0.916941,0.880896,"Q5R7K9","EGF-like repeat and discoidin I-like domain-containing protein 3 OS=Pongo abelii GN=EDIL3 PE=2 SV=1               "
"121","m.11319",252,1,1,0,0,0,0,-6.245,-1.1862,0.943051,0.961829,0.660289,"Q6P371","Hydroxyacid-oxoacid transhydrogenase mitochondrial OS=Xenopus tropicalis GN=adhfe1 PE=2 SV=1                           "
"122","m.1133",280,4,4,0,0,0,0,-1.303,-0.1905,1,0.844755,0.900536,"Q9Y365","PCTP-like protein OS=Homo sapiens GN=STARD10 PE=1 SV=2                     "
"123","m.11340",155,2,3,4,3,2,3,1.49,0.2379,0.868177,0.546698,0.909326,"Q03376","Balbiani ring protein 3 OS=Chironomus tentans GN=BR3 PE=2 SV=1                   "
"124","m.1135",538,15,16,10,9,9,10,-4.887,-0.8913,0.993977,0.958059,0.793671,"P97793","ALK tyrosine kinase receptor OS=Mus musculus GN=Alk PE=1 SV=2                   "
"125","m.11354",351,4,7,2,4,3,4,-4.583,-0.7512,0.99967,0.950425,0.832981,"P43903","Quinone oxidoreductase OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=qor PE=3 SV=2        "
"126","m.11369",202,4,5,3,3,1,3,-5.69,-0.9293,0.99069,0.959441,0.780572,NA,NA
"127","m.11382",877,1,2,0,0,0,1,-7.229,-1.2903,0.908666,0.959882,0.594932,"B1AZI6","THO complex subunit 2 OS=Mus musculus GN=Thoc2 PE=1 SV=1                   "
"128","m.1141",910,1,1,0,0,1,2,-6.217,-1.0289,0.977717,0.961742,0.740733,"Q6F3J0","Nuclear factor NF-kappa-B p105 subunit OS=Canis familiaris GN=NFKB1 PE=2 SV=2                  "
"129","m.11430",456,7,4,1,1,2,0,-4.227,-0.6828,1,0.945131,0.847662,"Q8NDA2","Hemicentin-2 OS=Homo sapiens GN=HMCN2 PE=2 SV=2                      "
"130","m.1145",390,0,1,0,1,0,0,-5.261,-0.9135,0.99216,0.958901,0.786154,NA,NA
"131","m.11458",213,4,4,3,5,3,2,-1.47,-0.2188,1,0.855683,0.899086,"Q9H4G4","Golgi-associated plant pathogenesis-related protein 1 OS=Homo sapiens GN=GLIPR2 PE=1 SV=3                  "
"132","m.11472",334,2,3,2,2,1,2,-5.866,-0.7387,0.999817,0.94954,0.835864,"O95219","Sorting nexin-4 OS=Homo sapiens GN=SNX4 PE=1 SV=1                     "
"133","m.11482",410,1,0,0,1,0,0,-5.273,-0.8256,0.997747,0.954987,0.81378,"Q9BVL2","Nucleoporin p58/p45 OS=Homo sapiens GN=NUPL1 PE=1 SV=1                     "
"134","m.1149",736,1,1,1,1,1,1,-1.587,-0.2864,1,0.878126,0.895085,"Q5EE04","Nucleoprotein TPR (Fragment) OS=Xenopus laevis GN=tpr PE=1 SV=1                    "
"135","m.115",216,10,11,6,8,6,8,-9.557,-2.2643,0.146694,0.917375,0.031244,"Q58DS9","Ras-related protein Rab-5C OS=Bos taurus GN=RAB5C PE=2 SV=1                    "
"136","m.1152",2284,1,0,0,0,0,1,-5.643,-0.9072,0.992706,0.958672,0.788325,"O35474","EGF-like repeat and discoidin I-like domain-containing protein 3 OS=Mus musculus GN=Edil3 PE=1 SV=2               "
"137","m.11543",385,12,10,9,10,9,12,-1.127,-0.1763,0.999999,0.838892,0.901218,"Q6PZE0","Mucin-19 OS=Mus musculus GN=Muc19 PE=2 SV=2                      "
"138","m.11553",214,9,7,7,5,7,8,2.019,0.3678,0.756628,0.426498,0.907918,"P46436","Glutathione S-transferase 1 OS=Ascaris suum GN=GST1 PE=1 SV=3                    "
"139","m.11555",111,2,3,1,0,0,0,-4.608,-1.078,0.968852,0.962208,0.717993,NA,NA
"140","m.1157",147,2,3,2,2,1,3,-4.621,-0.7822,0.999115,0.95247,0.825415,"P25867","Ubiquitin-conjugating enzyme E2-17 kDa OS=Drosophila melanogaster GN=eff PE=2 SV=1                   "
"141","m.1159",503,0,1,0,0,0,0,-9.209,-1.2605,0.919612,0.960581,0.614591,"3269296","Predicted protein OS=Nematostella vectensis GN=v1g200212 PE=4 SV=1                     "
