"","Protein","Len","S0","S0.1","S1","S1.1","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","Annotation","KOid","UniprotID"
"82","Pocillopora_acuta_HIv1_PredGene_2067_t",134,1,1,1,1,1.699,0.2272,0.863566,0.550932,0.864804,"charged multivesicular body protein 1, isoform B ","K12197","Q9VVR8"
"83","Pocillopora_acuta_HIv1_PredGene_20807_t",2563,3,0,1,0,0.213,0.0233,0.955266,0.618969,0.85826,"hemicentin-1 isoform X1 ","K06825","A6NGE3"
"84","Pocillopora_acuta_HIv1_PredGene_21441_t",165,17,11,8,9,0.467,0.0666,0.939488,0.605052,0.860796,"ribosomal protein S10b, isoform D ","K02947","A4V4S6"
"85","Pocillopora_acuta_HIv1_PredGene_21462_t",151,1,1,0,2,-8.48,-0.7721,1,0.77858,0.703352,"calcium-regulated heat-stable protein 1 ","","Q9BQ53"
"86","Pocillopora_acuta_HIv1_PredGene_21536_t",224,4,3,4,2,4.85,0.7788,0.575017,0.359266,0.834635,"GTP:AMP phosphotransferase AK3, mitochondrial isoform a ","K00944","Q9NPB4"
"87","Pocillopora_acuta_HIv1_PredGene_21541_t",507,1,2,1,3,-17.127,-2.3927,0.179625,0.778991,0.055425,"ran-binding protein 3 isoform X1 ","K15304","O75759"
"88","Pocillopora_acuta_HIv1_PredGene_21568_t",890,1,1,0,1,5.845,0.3797,0.777865,0.497887,0.861431,"transportin-1 isoform 2 ","K18752","B4DVC6"
"89","Pocillopora_acuta_HIv1_PredGene_2177_t",567,69,40,55,70,6.635,2.3648,0.038002,0.017664,0.763704,"radixin isoform a ","K05762","Q9QW27"
"90","Pocillopora_acuta_HIv1_PredGene_21861_t",452,11,5,11,14,3.167,0.3757,0.780131,0.499283,0.861595,"flavin-containing monooxygenase FMO GS-OX-like 1 ","K18277","E7F2R0"
"91","Pocillopora_acuta_HIv1_PredGene_22166_t",537,12,9,13,12,-6.882,-1.07,0.956729,0.800775,0.573596,"glucose-6-phosphate 1-dehydrogenase X ","K00036","Q790Y8"
"92","Pocillopora_acuta_HIv1_PredGene_2231_t",570,28,123,40,72,-4.389,-1.6973,0.574318,0.799529,0.267151,"uncharacterized protein Dmel_CG17068 ","","Q9VR80"
"93","Pocillopora_acuta_HIv1_PredGene_22317_t",386,3,0,3,2,2.318,0.2198,0.867533,0.553484,0.8648,"regulator of chromosome condensation isoform c ","K11493","Q5T081"
"94","Pocillopora_acuta_HIv1_PredGene_22420_t",327,5,2,3,3,10.252,0.8155,0.55706,0.34672,0.831722,"40S ribosomal protein SA ","K02998","B2GNT1"
"95","Pocillopora_acuta_HIv1_PredGene_22496_t",261,5,0,3,3,-4.176,-0.452,0.996811,0.736133,0.792684,"ribosomal protein L8, isoform A ","K02938","A4V1C0"
"96","Pocillopora_acuta_HIv1_PredGene_22695_t",402,21,22,23,31,4.51,1.0409,0.450431,0.272329,0.814083,"sorting nexin-6 ","K17920","F8W5C6"
"97","Pocillopora_acuta_HIv1_PredGene_22876_t",265,3,5,5,5,-9.995,-1.1893,0.887326,0.804773,0.51412,"DUF4773 domain-containing protein ","","O01734"
"98","Pocillopora_acuta_HIv1_PredGene_22952_t",858,0,1,0,1,-1.319,-0.164,0.99533,0.673783,0.840331,"guanidine nucleotide exchange factor ","K15297","Q8I418"
"99","Pocillopora_acuta_HIv1_PredGene_23188_t",278,36,26,13,6,-3.731,-0.6458,1,0.764486,0.744382,"3-mercaptopyruvate sulfurtransferase isoform 2 ","K01011","A8MZ34"
"100","Pocillopora_acuta_HIv1_PredGene_23331_t",198,3,4,2,3,2.734,0.3843,0.77527,0.496283,0.861239,"muscle protein 20, isoform A ","K20526","Q9V6M7"
"101","Pocillopora_acuta_HIv1_PredGene_23360_t",1226,2,2,2,2,6.072,0.6727,0.6264,0.395908,0.842904,"unconventional myosin-VI isoform 3 ","K10358","Q5TEM6"
"102","Pocillopora_acuta_HIv1_PredGene_23373_t",292,1,0,1,0,-0.288,-0.0488,0.976175,0.641213,0.852667,"uncharacterized protein Dmel_CG31548 ","K14729","Q8IPP8"
"103","Pocillopora_acuta_HIv1_PredGene_23523_t",467,4,8,9,3,11.033,1.7072,0.188255,0.091835,0.778562,"hexokinase A, isoform C ","K00844","Q9GNH8"
"104","Pocillopora_acuta_HIv1_PredGene_23524_t",468,2,2,3,1,-7.415,-1.1014,0.940288,0.80212,0.55807,"hexokinase HKDC1 isoform X2 ","K00844","Q3UKJ9"
"105","Pocillopora_acuta_HIv1_PredGene_23743_t",167,1,1,1,0,-18.122,-2.546,0.125122,0.775692,0.034363,"dynactin subunit 3 ","K10425","Q6GQL6"
"106","Pocillopora_acuta_HIv1_PredGene_23746_t",270,4,0,5,2,-6.403,-0.6384,1,0.76356,0.74654,"60S ribosomal protein L7a ","K02936","Q6PBZ1"
"107","Pocillopora_acuta_HIv1_PredGene_23819_t",448,1,2,1,4,-10.673,-0.8536,1,0.786119,0.672379,"pre-mRNA-splicing factor RBM22 ","K12872","A6NDM5"
"108","Pocillopora_acuta_HIv1_PredGene_23830_t",749,2,1,1,1,-22.533,-1.545,0.669024,0.803257,0.337977,"catenin beta-1 isoform 1 ","K02105","Q8NI94"
"109","Pocillopora_acuta_HIv1_PredGene_24172_t",531,17,18,18,14,-1.597,-0.317,0.999638,0.710341,0.818007,"mRNA cap guanine-N7 methyltransferase isoform 2 ","K00565","Q9UIJ9"
"110","Pocillopora_acuta_HIv1_PredGene_24188_t",429,2,1,1,2,-2.711,-0.2439,0.999718,0.693873,0.829487,"septin-7 isoform X7 ","K16944","Q16181"
"111","Pocillopora_acuta_HIv1_PredGene_24189_t",336,2,1,1,1,0.748,0.1021,0.924884,0.593384,0.86241,"N-terminal EF-hand calcium-binding protein 1 ","K23854","Q80W91"
"112","Pocillopora_acuta_HIv1_PredGene_24205_t",367,1,1,4,4,-6.562,-1.2203,0.867318,0.805338,0.498559,"melanotransferrin precursor ","K06569","Q9R0R1"
"113","Pocillopora_acuta_HIv1_PredGene_24225_t",139,2,1,2,1,-8.846,-0.8539,1,0.786145,0.672258,"60S ribosomal protein L9 ","K02940","Q53Z07"
"114","Pocillopora_acuta_HIv1_PredGene_24508_t",780,1,0,1,0,-9.427,-1.2409,0.853914,0.805616,0.488221,"RING finger protein unkempt homolog ","","Q9C0B0"
"115","Pocillopora_acuta_HIv1_PredGene_24551_t",289,1,1,1,1,-3.08,-0.2307,0.999387,0.690704,0.831402,"adhesion G protein-coupled receptor E1 ","K00763","-"
"116","Pocillopora_acuta_HIv1_PredGene_24687_t",267,2,1,1,1,-6.142,-0.3904,0.997974,0.725072,0.804944,"Pop2, isoform B ","K12581","Q8I0I5"
"117","Pocillopora_acuta_HIv1_PredGene_24968_t",869,0,1,0,1,-4.143,-0.5269,0.997019,0.74815,0.775944,"cat eye syndrome critical region protein 2 isoform 2 ","","Q658Z4"
"118","Pocillopora_acuta_HIv1_PredGene_25019_t",159,3,1,1,3,-6.799,-0.5879,0.998982,0.756917,0.760581,"tsunagi ","K12876","Q9V535"
"119","Pocillopora_acuta_HIv1_PredGene_25033_t",371,4,2,3,1,-9.333,-1.3028,0.813905,0.806022,0.457218,"COUP transcription factor 2 isoform 1 ","K08547","Q3UST6"
"120","Pocillopora_acuta_HIv1_PredGene_25066_t",229,13,13,11,15,8.615,0.7179,0.604595,0.380249,0.839419,"calumenin-A precursor ","K23901","Z4YIA7"
"121","Pocillopora_acuta_HIv1_PredGene_25132_t",518,3,2,6,2,-11.709,-0.8089,1,0.782124,0.689822,"uncharacterized protein Dmel_CG8646 ","K01135","A1Z937"
"122","Pocillopora_acuta_HIv1_PredGene_25279_t",171,4,7,2,3,12.281,1.7459,0.174214,0.08468,0.777209,"neudesin precursor ","K17278","A1KYQ8"
"123","Pocillopora_acuta_HIv1_PredGene_25309_t",283,1,0,0,1,-3.518,-0.4144,0.997427,0.729517,0.800316,"titin ","K08626","B0S757"
"124","Pocillopora_acuta_HIv1_PredGene_25314_t",168,0,1,0,2,9.965,1.6893,0.19507,0.095296,0.779209,"glutamic acid-rich protein isoform X2 ","K23450","R4GEJ6"
"125","Pocillopora_acuta_HIv1_PredGene_25354_t",189,29,27,29,24,-4.394,-1.7784,0.519371,0.797194,0.232137,"calcyphosine-like b ","K23909","Q568D4"
"126","Pocillopora_acuta_HIv1_PredGene_2544_t",156,12,3,8,12,5.425,0.4404,0.744049,0.47672,0.858547,"metalloproteinase inhibitor 2a precursor ","K22583","Q7SZM6"
"127","Pocillopora_acuta_HIv1_PredGene_25524_t",1007,2,1,2,2,0.493,0.0716,0.937518,0.603422,0.861049,"transcription elongation regulator 1a ","K12824","A0A0R4IV33"
"128","Pocillopora_acuta_HIv1_PredGene_25802_t",341,1,1,0,0,-4.438,-0.4092,0.997542,0.728569,0.801335,"WP_027479499.1 VOC family protein ","","-"
"129","Pocillopora_acuta_HIv1_PredGene_25807_t",266,4,2,3,5,6.339,0.757,0.58564,0.366757,0.836356,"protein NipSnap homolog 1 isoform X1 ","","Q5SVF7"
"130","Pocillopora_acuta_HIv1_PredGene_25977_t",821,1,1,1,2,16.309,1.5765,0.241277,0.119396,0.783573,"SR-related CTD associated factor 6, isoform A ","K12841","Q59E33"
"131","Pocillopora_acuta_HIv1_PredGene_26070_t",184,1,2,1,0,-2.182,-0.1463,0.99347,0.669045,0.842486,"COMM domain-containing protein 8 isoform 1 ","K22564","Q8WUR4"
"132","Pocillopora_acuta_HIv1_PredGene_26248_t",920,4,1,6,1,-12.931,-0.9685,0.995984,0.79497,0.622354,"cytoplasmic aconitate hydratase ","K01681","Q9HBB2"
"133","Pocillopora_acuta_HIv1_PredGene_26333_t",292,1,0,1,0,3.994,0.3507,0.794329,0.508004,0.862535,"IST1 homolog isoform a ","K19476","P53990"
"134","Pocillopora_acuta_HIv1_PredGene_26568_t",1032,3,1,0,0,-5.332,-0.5532,0.997659,0.752034,0.769525,"uncharacterized protein LOC724056 isoform X1 ","K00461","X1WD38"
"135","Pocillopora_acuta_HIv1_PredGene_26639_t",436,3,4,1,2,6.361,0.3256,0.808628,0.516758,0.863328,"aspartyl aminopeptidase ","K01267","Q803B5"
"136","Pocillopora_acuta_HIv1_PredGene_27042_t",400,3,2,6,4,-1.654,-0.1863,0.997176,0.679607,0.837486,"enoyl-CoA delta isomerase 2, mitochondrial isoform X1 ","K13239","A0A0R4IG25"
"137","Pocillopora_acuta_HIv1_PredGene_27335_t",1696,1,2,1,0,-1.375,-0.1608,0.99502,0.672934,0.840728,"NFX1-type zinc finger-containing protein 1 isoform a ","","A2A5R3"
"138","Pocillopora_acuta_HIv1_PredGene_2737_t",150,1,1,1,2,-7.092,-0.7421,1,0.775512,0.713841,"UMP-CMP kinase isoform c ","K13800","Q96C07"
"139","Pocillopora_acuta_HIv1_PredGene_27546_t",1213,0,0,1,1,-2.883,-0.3369,0.999252,0.71451,0.814621,"liprin-alpha-1 isoform X22 ","","B2RXW8"
"140","Pocillopora_acuta_HIv1_PredGene_27706_t",248,4,2,7,6,5.463,1.038,0.451698,0.273253,0.8143,"probable methyltransferase PMT20 isoform X2 ","K03802","K7MFQ7"
"141","Pocillopora_acuta_HIv1_PredGene_27812_t",828,1,1,0,0,-0.187,-0.0196,0.968538,0.632357,0.855136,"nuclear pore complex protein Nup93 isoform X1 ","K14309","Q1LV08"
"142","Pocillopora_acuta_HIv1_PredGene_27924_t",331,1,0,1,1,0.574,0.0724,0.937201,0.603161,0.861089,"protein kinase, cAMP-dependent, catalytic subunit 3, isoform A ","K19584","Q9VUV5"
"143","Pocillopora_acuta_HIv1_PredGene_2805_t",1169,3,3,3,2,11.746,0.8583,0.536081,0.332215,0.828315,"reticulocyte binding protein 2 homologue a ","","Q8IDX6"
"144","Pocillopora_acuta_HIv1_PredGene_28238_t",876,6,2,8,3,-7.971,-1.0262,0.976496,0.79854,0.594963,"uncharacterized protein LOC100000278 ","K06491","-"
"145","Pocillopora_acuta_HIv1_PredGene_2824_t",205,3,0,1,1,-12.101,-0.7584,1,0.7772,0.708202,"60S ribosomal protein L15 isoform 1 ","K02877","P39030"
