"","Protein","Len","S0","S0.1","S1","S1.1","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","Annotation","KOid","UniprotID"
"47","Pocillopora_acuta_HIv1_PredGene_14587_t",174,0,0,0,0,-0.353,-0.0377,1,0.883592,0.563935,"hypothetical protein Rv1486c ","K09966","L0T6T0"
"48","Pocillopora_acuta_HIv1_PredGene_153_t",229,7,4,2,7,-14.145,-3.0364,0.004571,0.712003,0.000968,"hypothetical protein DDB_G0280019 ","","Q54W12"
"49","Pocillopora_acuta_HIv1_PredGene_15455_t",192,4,1,4,10,3.65,0.646,0.996642,0.739279,0.678115,"40S ribosomal protein S9 ","K02997","Q6P5M3"
"50","Pocillopora_acuta_HIv1_PredGene_15557_t",153,3,1,4,5,-3.674,-0.3498,0.97329,0.907234,0.470135,"40S ribosomal protein S14 ","K02955","P62263"
"51","Pocillopora_acuta_HIv1_PredGene_15637_t",404,1,2,0,0,-11.945,-1.2867,0.390008,0.843698,0.157162,"WP_003426955.1 NAD(P)H-dependent glycerol-3-phosphate dehydrogenase ","K04940",""
"52","Pocillopora_acuta_HIv1_PredGene_15640_t",627,0,0,0,0,2.197,0.6109,1,0.751553,0.674719,"myotubularin-related protein 2 isoform 1 ","K18081","Q13614"
"53","Pocillopora_acuta_HIv1_PredGene_15641_t",1129,0,0,0,1,6.984,0.5948,1,0.756969,0.673087,"MBT domain-containing protein 1 isoform X1 ","","E7F7F5"
"54","Pocillopora_acuta_HIv1_PredGene_1575_t",732,0,0,0,0,-1.613,-0.3204,0.978381,0.905834,0.480055,"kinesin-like protein KIF3B ","K20196","B2RMP4"
"55","Pocillopora_acuta_HIv1_PredGene_15924_t",657,16,23,26,21,-8.095,-2.4964,0.030787,0.732378,0.007667,"far upstream element-binding protein 3 ","K13210","Q5RKQ3"
"56","Pocillopora_acuta_HIv1_PredGene_16085_t",472,0,0,0,0,2.331,0.2204,1,0.84836,0.620457,"tyrosine-protein kinase CSK ","K05728","P41241"
"57","Pocillopora_acuta_HIv1_PredGene_16133_t",341,0,0,0,0,-7.82,-1.7185,0.210155,0.790063,0.069299,"45 kDa calcium-binding protein precursor ","K19934","Q7ZUC2"
"58","Pocillopora_acuta_HIv1_PredGene_16231_t",159,2,1,1,1,-2.272,-0.3354,0.975874,0.90657,0.475018,"centrin-3 isoform 2 ","K16466","O15182"
"59","Pocillopora_acuta_HIv1_PredGene_16311_t",373,12,9,14,25,-2.922,-1.8461,0.167477,0.777593,0.051489,"isocitrate dehydrogenase ","K00031","Q802Y2"
"60","Pocillopora_acuta_HIv1_PredGene_16462_t",195,0,2,0,1,5.698,0.5635,1,0.767093,0.669785,"dynein light chain roadblock-type 2 ","K10419","Q9DAJ5"
"61","Pocillopora_acuta_HIv1_PredGene_16522_t",201,0,0,0,0,7.699,0.9476,0.902822,0.61499,0.69808,"ribonuclease activity regulator protein RraA ","K02553","Q9I2W7"
"62","Pocillopora_acuta_HIv1_PredGene_16615_t",270,2,2,1,1,7.289,0.6041,1,0.753858,0.674035,"eukaryotic translation initiation factor 3 subunit G ","K03248","Q7ZUH3"
"63","Pocillopora_acuta_HIv1_PredGene_16812_t",129,1,1,1,0,-9.346,-0.9809,0.590549,0.886221,0.244109,"ATP-dependent DNA helicase ","K01537","Q54LY5"
"64","Pocillopora_acuta_HIv1_PredGene_16815_t",557,4,0,0,0,3.918,0.5633,1,0.767156,0.669763,"hypothetical protein DDB_G0283655 ","","Q54QS9"
"65","Pocillopora_acuta_HIv1_PredGene_17078_t",440,3,1,1,3,-9.217,-1.6879,0.221132,0.793282,0.074124,"AP-2 complex subunit mu isoform b ","K11826","P53679"
"66","Pocillopora_acuta_HIv1_PredGene_17385_t",230,0,0,1,0,3.301,0.4492,1,0.799794,0.656165,"oligoribonuclease, mitochondrial precursor ","K13288","Q9Y3B8"
"67","Pocillopora_acuta_HIv1_PredGene_17474_t",728,0,0,0,1,-4.303,-0.5562,0.911815,0.911988,0.396046,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial isoform 5 ","K03934","E7ENF3"
"68","Pocillopora_acuta_HIv1_PredGene_17567_t",638,0,1,1,1,7.329,1.2733,0.684885,0.474806,0.703357,"Aldo_ket_red domain-containing protein ","","Q18483"
"69","Pocillopora_acuta_HIv1_PredGene_17583_t",554,30,34,33,16,-1.723,-1.0685,0.521703,0.874868,0.217011,"pyruvate kinase M1/2b ","K00873","Q6DG54"
"70","Pocillopora_acuta_HIv1_PredGene_17795_t",235,0,0,1,1,-8.425,-1.3811,0.345371,0.830547,0.134426,"pyridoxine-5'-phosphate oxidase ","K00275","Q3U445"
"71","Pocillopora_acuta_HIv1_PredGene_17906_t",138,2,3,3,2,2.264,0.3704,1,0.818816,0.645224,"60S ribosomal protein L28 isoform 2 ","K02903","Q9BWQ0"
"72","Pocillopora_acuta_HIv1_PredGene_18036_t",424,0,0,0,0,0.241,0.0318,1,0.875678,0.581026,"WP_004454949.1 Xaa-Pro peptidase family protein ","K08688","C9YPK2"
"73","Pocillopora_acuta_HIv1_PredGene_18115_t",396,0,0,0,0,-7.426,-1.1645,0.457356,0.861314,0.189389,"histone acetyltransferase type B catalytic subunit ","K11303","Q66HU5"
"74","Pocillopora_acuta_HIv1_PredGene_18150_t",1989,0,0,0,0,5.897,0.9301,0.912177,0.622828,0.69735,"multiple PDZ domain protein isoform X6 ","K06095","-"
"75","Pocillopora_acuta_HIv1_PredGene_18229_t",1023,1,1,0,0,-8.984,-0.9777,0.593229,0.886608,0.245134,"alpha-mannosidase 2C1 isoform X2 ","K01191","X1WCE5"
"76","Pocillopora_acuta_HIv1_PredGene_18292_t",1419,2,2,0,3,-11.671,-1.4091,0.33292,0.826778,0.128047,"host cell factor 1b ","K14966","A8WIP5"
"77","Pocillopora_acuta_HIv1_PredGene_1830_t",350,1,0,0,0,-7.305,-0.9133,0.648972,0.893868,0.266284,"TAR DNA-binding protein 43 ","K23600","A4GUK4"
"78","Pocillopora_acuta_HIv1_PredGene_1834_t",750,0,0,0,0,-2.387,-0.2921,0.982696,0.904323,0.489414,"endothelin-converting enzyme 1 isoform c ","K01415","B1AXF9"
"79","Pocillopora_acuta_HIv1_PredGene_18375_t",1965,1,1,0,0,-5.927,-0.4664,0.945208,0.911053,0.429069,"cilia- and flagella-associated protein 54 isoform 2 ","","Q96N23"
"80","Pocillopora_acuta_HIv1_PredGene_184_t",123,0,0,0,1,0.534,0.0573,0.999918,0.872512,0.586941,"elongin C paralog b ","K03872","Q502M9"
"81","Pocillopora_acuta_HIv1_PredGene_18496_t",426,1,1,2,1,10.366,1.3823,0.632593,0.431283,0.70277,"homer protein homolog 2 isoform X1 ","K15010","Q9UNT7"
"82","Pocillopora_acuta_HIv1_PredGene_18504_t",766,0,0,0,0,2.381,0.2585,1,0.8416,0.627267,"kinesin light chain 4 ","","Q3TCC5"
"83","Pocillopora_acuta_HIv1_PredGene_18532_t",1026,0,1,1,0,-16.386,-2.6103,0.021699,0.726989,0.005147,"ubiquitin-associated protein 2 isoform 7 ","","B4DH66"
"84","Pocillopora_acuta_HIv1_PredGene_18533_t",353,15,13,14,12,3.155,1.1767,0.746562,0.514343,0.703194,"Heterogeneous nuclear ribonucleoprotein K homolog ","K12886","Q8I7G8"
"85","Pocillopora_acuta_HIv1_PredGene_18551_t",243,46,42,55,74,-10.908,-4.233,1.4e-05,0.695962,1e-06,"tropomyosin alpha-3 chain isoform Tpm3.2cy ","","Q969Q2"
"86","Pocillopora_acuta_HIv1_PredGene_18740_t",513,39,48,49,52,-5.132,-1.8033,0.181237,0.781607,0.057053,"ATP synthase subunit beta, mitochondrial precursor ","K02133","A8K4X0"
"87","Pocillopora_acuta_HIv1_PredGene_19154_t",492,16,7,4,8,-8.737,-1.5585,0.270489,0.807895,0.096936,"catalase ","K03781","P17336"
"88","Pocillopora_acuta_HIv1_PredGene_19179_t",341,2,1,0,1,-9.032,-1.19,0.442127,0.857629,0.182399,"dickkopf-related protein 3 isoform c precursor ","K25493","Q9QUN9"
"89","Pocillopora_acuta_HIv1_PredGene_19560_t",121,0,0,1,1,-2.708,-0.4052,0.961694,0.909399,0.450939,"V-type proton ATPase subunit F ","K02151","Q6DRK0"
"90","Pocillopora_acuta_HIv1_PredGene_196_t",205,0,1,2,1,-8.804,-1.8545,0.164839,0.776825,0.050444,"uncharacterized protein Dmel_CG18815, isoform A ","K06130","Q9I7R0"
"91","Pocillopora_acuta_HIv1_PredGene_19618_t",655,0,0,0,0,-2.531,-0.3257,0.977522,0.906099,0.478281,"uncharacterized protein Dmel_CG10804, isoform D ","K05048","Q9W4S0"
"92","Pocillopora_acuta_HIv1_PredGene_19625_t",1160,0,3,1,1,4.678,0.6189,0.999922,0.748807,0.675513,"plasma membrane calcium-transporting ATPase 3 isoform 3b ","K05850","B7WNY5"
"93","Pocillopora_acuta_HIv1_PredGene_19703_t",1028,0,0,1,1,-5.94,-0.7541,0.78747,0.906693,0.322369,"EGF-like domain-containing protein ","K17307","B0G154"
"94","Pocillopora_acuta_HIv1_PredGene_19704_t",1094,12,7,11,8,2.77,0.5125,1,0.782483,0.66402,"EGF-like domain-containing protein ","K06825","B0G154"
"95","Pocillopora_acuta_HIv1_PredGene_19706_t",2350,6,4,8,2,-1.641,-0.2042,0.992741,0.898614,0.517196,"sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 precursor ","K24469","Q9H284"
"96","Pocillopora_acuta_HIv1_PredGene_19745_t",495,1,1,0,0,5.318,0.3833,1,0.815881,0.647108,"Calcium/calmodulin-dependent protein kinase II, isoform H ","K04515","Q9V495"
"97","Pocillopora_acuta_HIv1_PredGene_20289_t",211,6,0,7,6,-9.258,-1.2027,0.434794,0.85579,0.178971,"40S ribosomal protein S5 ","K02989","Q96BN0"
"98","Pocillopora_acuta_HIv1_PredGene_20354_t",131,0,0,0,0,-0.326,-0.0361,1,0.883421,0.564344,"SNARE-associated protein Snapin ","K20002","O95295"
"99","Pocillopora_acuta_HIv1_PredGene_2067_t",134,0,1,1,0,1.22,0.1398,1,0.861202,0.604802,"charged multivesicular body protein 1, isoform B ","K12197","Q9VVR8"
"100","Pocillopora_acuta_HIv1_PredGene_20789_t",607,0,0,0,0,10.641,1.4214,0.618302,0.415524,0.702455,"leucine-rich repeat protein SHOC-2 isoform 1 ","K19613","Q5VZS9"
"101","Pocillopora_acuta_HIv1_PredGene_20807_t",2563,2,0,0,0,-0.993,-0.1932,0.993675,0.897791,0.520528,"hemicentin-1 isoform X1 ","K06825","A6NGE3"
"102","Pocillopora_acuta_HIv1_PredGene_21346_t",109,0,0,0,0,-5.879,-1.0131,0.564184,0.882208,0.233933,"DNA-directed RNA polymerase II subunit RPB4 isoform 3 ","K03012","Q9D7M8"
"103","Pocillopora_acuta_HIv1_PredGene_21441_t",165,16,11,7,9,-11.526,-1.9726,0.129829,0.766665,0.037349,"ribosomal protein S10b, isoform D ","K02947","A4V4S6"
"104","Pocillopora_acuta_HIv1_PredGene_21462_t",151,1,0,0,2,-6.142,-0.9246,0.638991,0.892671,0.262502,"calcium-regulated heat-stable protein 1 ","","Q9BQ53"
"105","Pocillopora_acuta_HIv1_PredGene_21536_t",224,4,3,4,1,3.528,0.6264,0.999298,0.746203,0.676247,"GTP:AMP phosphotransferase AK3, mitochondrial isoform a ","K00944","Q9NPB4"
"106","Pocillopora_acuta_HIv1_PredGene_21541_t",507,0,2,1,2,2.87,0.6737,0.992279,0.729213,0.68063,"ran-binding protein 3 isoform X1 ","K15304","O75759"
"107","Pocillopora_acuta_HIv1_PredGene_21568_t",890,0,0,0,1,-3.461,-0.5142,0.928978,0.911781,0.4116,"transportin-1 isoform 2 ","K18752","B4DVC6"
"108","Pocillopora_acuta_HIv1_PredGene_2177_t",567,69,40,55,69,0.689,0.4016,1,0.811601,0.649716,"radixin isoform a ","K05762","Q9QW27"
"109","Pocillopora_acuta_HIv1_PredGene_21861_t",452,11,5,11,14,6.627,0.706,0.986468,0.717071,0.683379,"flavin-containing monooxygenase FMO GS-OX-like 1 ","K18277","E7F2R0"
"110","Pocillopora_acuta_HIv1_PredGene_22166_t",537,11,9,12,12,-18.286,-2.538,0.027154,0.730322,0.006646,"glucose-6-phosphate 1-dehydrogenase X ","K00036","Q790Y8"
"111","Pocillopora_acuta_HIv1_PredGene_22203_t",183,0,0,0,0,-9.545,-0.8819,0.676946,0.897006,0.276945,"mucin-5AC precursor ","","O60460"
"112","Pocillopora_acuta_HIv1_PredGene_2231_t",570,28,123,39,71,-2.773,-1.9066,0.14893,0.772198,0.044305,"uncharacterized protein Dmel_CG17068 ","","Q9VR80"
"113","Pocillopora_acuta_HIv1_PredGene_22317_t",386,3,0,3,2,-1.112,-0.1772,0.994917,0.896552,0.525315,"regulator of chromosome condensation isoform c ","K11493","Q5T081"
"114","Pocillopora_acuta_HIv1_PredGene_22420_t",327,4,1,2,3,6.644,0.6628,0.994062,0.733213,0.679658,"40S ribosomal protein SA ","K02998","B2GNT1"
"115","Pocillopora_acuta_HIv1_PredGene_22496_t",261,4,0,2,3,-9.581,-2.112,0.093383,0.756024,0.025453,"ribosomal protein L8, isoform A ","K02938","A4V1C0"
"116","Pocillopora_acuta_HIv1_PredGene_22695_t",402,20,22,23,31,4.104,1.3256,0.65738,0.453907,0.703146,"sorting nexin-6 ","K17920","F8W5C6"
"117","Pocillopora_acuta_HIv1_PredGene_22824_t",288,0,0,0,0,-10.443,-1.2545,0.406486,0.848308,0.165346,"Leucine-rich repeat protein kinase family protein ","K06969",""
"118","Pocillopora_acuta_HIv1_PredGene_22876_t",265,3,4,5,4,-6.71,-1.8187,0.176225,0.780143,0.055004,"DUF4773 domain-containing protein ","","O01734"
"119","Pocillopora_acuta_HIv1_PredGene_22952_t",858,0,1,0,0,-10.884,-2.2573,0.062584,0.746156,0.016565,"guanidine nucleotide exchange factor ","K15297","Q8I418"
"120","Pocillopora_acuta_HIv1_PredGene_23120_t",694,0,0,0,0,-4.979,-0.6231,0.87803,0.911417,0.371052,"no_annotation","K18024","-"
"121","Pocillopora_acuta_HIv1_PredGene_23188_t",278,36,26,12,6,3.617,0.372,1,0.818455,0.64546,"3-mercaptopyruvate sulfurtransferase isoform 2 ","K01011","A8MZ34"
"122","Pocillopora_acuta_HIv1_PredGene_23291_t",806,0,0,1,0,-7.559,-0.6557,0.858476,0.910707,0.35885,"dipeptidyl peptidase 4 ","","B5DDZ4"
"123","Pocillopora_acuta_HIv1_PredGene_23331_t",198,3,4,1,3,-16.192,-1.0159,0.561937,0.88185,0.23306,"muscle protein 20, isoform A ","K20526","Q9V6M7"
"124","Pocillopora_acuta_HIv1_PredGene_23360_t",1226,2,1,2,1,-1.209,-0.1521,0.996549,0.894505,0.53268,"unconventional myosin-VI isoform 3 ","K10358","Q5TEM6"
"125","Pocillopora_acuta_HIv1_PredGene_23373_t",292,1,0,0,0,4.793,0.6342,0.998334,0.743468,0.677,"uncharacterized protein Dmel_CG31548 ","K14729","Q8IPP8"
"126","Pocillopora_acuta_HIv1_PredGene_2348_t",297,0,0,0,0,-4.704,-0.9283,0.635737,0.892271,0.26127,"Zinc metalloproteinase nas-14 ","K08076","Q19269"
"127","Pocillopora_acuta_HIv1_PredGene_23523_t",467,4,8,8,3,-11.389,-2.4732,0.033003,0.73357,0.008294,"hexokinase A, isoform C ","K00844","Q9GNH8"
"128","Pocillopora_acuta_HIv1_PredGene_23524_t",468,1,2,2,1,-2.657,-0.3718,0.969016,0.908169,0.462588,"hexokinase HKDC1 isoform X2 ","K00844","Q3UKJ9"
"129","Pocillopora_acuta_HIv1_PredGene_23743_t",167,1,0,1,0,0.537,0.0549,0.99994,0.872817,0.586392,"dynactin subunit 3 ","K10425","Q6GQL6"
"130","Pocillopora_acuta_HIv1_PredGene_23746_t",270,3,0,4,1,6.898,1.6913,0.55137,0.297737,0.700122,"60S ribosomal protein L7a ","K02936","Q6PBZ1"
"131","Pocillopora_acuta_HIv1_PredGene_23819_t",448,1,1,0,4,1.496,0.3661,1,0.819779,0.644588,"pre-mRNA-splicing factor RBM22 ","K12872","A6NDM5"
"132","Pocillopora_acuta_HIv1_PredGene_23830_t",749,1,0,1,0,-15.968,-2.1053,0.094998,0.756507,0.025944,"catenin beta-1 isoform 1 ","K02105","Q8NI94"
"133","Pocillopora_acuta_HIv1_PredGene_24172_t",531,17,17,18,14,-10.578,-3.0593,0.004199,0.711388,0.000878,"mRNA cap guanine-N7 methyltransferase isoform 2 ","K00565","Q9UIJ9"
"134","Pocillopora_acuta_HIv1_PredGene_24188_t",429,1,0,0,1,-1.31,-0.1655,0.995725,0.895613,0.528771,"septin-7 isoform X7 ","K16944","Q16181"
"135","Pocillopora_acuta_HIv1_PredGene_24189_t",336,2,1,0,1,0.804,0.0719,0.999854,0.870633,0.590242,"N-terminal EF-hand calcium-binding protein 1 ","K23854","Q80W91"
"136","Pocillopora_acuta_HIv1_PredGene_24205_t",367,0,0,3,4,-2.987,-0.3623,0.970908,0.907777,0.465859,"melanotransferrin precursor ","K06569","Q9R0R1"
"137","Pocillopora_acuta_HIv1_PredGene_24225_t",139,2,0,1,0,3.251,0.2834,1,0.836921,0.631522,"60S ribosomal protein L9 ","K02940","Q53Z07"
"138","Pocillopora_acuta_HIv1_PredGene_24508_t",780,0,0,0,0,8.625,0.7187,0.983953,0.71218,0.684407,"RING finger protein unkempt homolog ","","Q9C0B0"
"139","Pocillopora_acuta_HIv1_PredGene_24551_t",289,0,0,1,0,-0.137,-0.0288,1,0.882634,0.566204,"adhesion G protein-coupled receptor E1 ","K00763","-"
"140","Pocillopora_acuta_HIv1_PredGene_24687_t",267,2,0,1,0,-22.494,-1.6011,0.253744,0.802905,0.088995,"Pop2, isoform B ","K12581","Q8I0I5"
"141","Pocillopora_acuta_HIv1_PredGene_24968_t",869,0,0,0,0,11.38,1.2756,0.683587,0.473883,0.703351,"cat eye syndrome critical region protein 2 isoform 2 ","","Q658Z4"
"142","Pocillopora_acuta_HIv1_PredGene_25019_t",159,2,0,1,2,-1.813,-0.4298,0.955586,0.910159,0.442224,"tsunagi ","K12876","Q9V535"
"143","Pocillopora_acuta_HIv1_PredGene_25033_t",371,3,2,2,1,8.638,1.6594,0.558894,0.312473,0.700377,"COUP transcription factor 2 isoform 1 ","K08547","Q3UST6"
"144","Pocillopora_acuta_HIv1_PredGene_25066_t",229,13,13,10,14,-4.73,-0.9368,0.628292,0.89134,0.258452,"calumenin-A precursor ","K23901","Z4YIA7"
"145","Pocillopora_acuta_HIv1_PredGene_25132_t",518,2,2,5,1,-20.643,-1.8159,0.177131,0.780408,0.055373,"uncharacterized protein Dmel_CG8646 ","K01135","A1Z937"
