"","PROTID","PROTLEN","DEFLINE","FSW1","FSW2","FSW3","LIP1","LIP2","LIP3","LIP4","LBP1","LBP2","MIP1","MIP2","MIP3","MIP4","MBP1","MBP2","MBP3","MBP4","HIP1","HIP2","HBP1","HBP2","HBP3","HBP4"
"16","m.10110",697,"Transforming growth factor-beta-induced protein ig-h3 OS=Sus scrofa GN=TGFBI PE=1 SV=1",0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","m.10111",222,"Uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85349 PE=4 SV=1",0.333333333333333,2,0,0,1,0.5,0.5,1.5,1.5,0,1.5,0,0.5,2,0,0,0,0.5,1.5,0.5,1,0.5,1
"18","m.1013",969,"Nck-associated protein 1 homolog OS=Nematostella vectensis GN=napA PE=3 SV=1",1.33333333333333,2.5,0,0,0.5,0.5,0.5,0.5,1,0,0.5,0,1,0,0,0,1,0.5,0,0,0,0,0.5
"19","m.10132",182,"ADP-ribosylation factor-like protein 8B-A OS=Danio rerio GN=arl8ba PE=2 SV=1",1.33333333333333,2,1,0,1,1.5,1,2,1.5,1.5,1.5,0.5,1,1,1,0,1.5,2,1.5,1.5,3,1,1.5
"20","m.10135",467,"Succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial (Fragment) OS=Columba livia GN=SUCLA2 PE=1 SV=1",3.66666666666667,4,2.5,1.5,5.5,2,1,4.5,4.5,2.5,3.5,2,0.5,3.5,1.5,0.5,1,2,2,2,3,3.5,2.5
"21","m.10138",474,"Neutrophil cytosol factor 2 OS=Bos taurus GN=NCF2 PE=2 SV=1",1.66666666666667,1,1.5,2.5,2,2.5,1.5,2.5,2.5,1.5,1.5,1.5,2,3,0.5,1,0,0.5,1,1.5,2,1.5,1
"22","m.10139",271,"Interphotoreceptor matrix proteoglycan 1 OS=Mus musculus GN=Impg1 PE=1 SV=1",0,1,0,0,0,0,0,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","m.10146",361,"Cytoplasmic protein NCK2 OS=Homo sapiens GN=NCK2 PE=1 SV=2",1.66666666666667,0.5,0,0.5,0,0,0,2,1,1,2.5,0,0,1.5,0.5,0,0,0.5,0,0.5,1,0,0
"24","m.10164",157,"m.10164",0.333333333333333,0,0,0,1,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
"25","m.10183",616,"Nuclear protein localization protein 4 homolog OS=Mus musculus GN=Nploc4 PE=1 SV=3",0.666666666666667,0,0.5,0,0,0,0.5,0,0.5,0,0,0.5,0,1,0,0,0,0,0.5,1,0,0.5,0
"26","m.10194",572,"Aspartate--tRNA ligase, cytoplasmic OS=Rattus norvegicus GN=Dars PE=2 SV=1",19.3333333333333,15.5,20,15.5,17,22.5,10,21,25,19,20,18.5,15.5,18.5,9,11,8,16,17,14.5,16,22.5,12
"27","m.10196",145,"Glutathione peroxidase 1 OS=Rattus norvegicus GN=Gpx1 PE=1 SV=4",0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5
"28","m.10199",219,"Ras-related protein Rab-2 OS=Lymnaea stagnalis GN=RAB2 PE=2 SV=1",7,8.5,6,6,4.5,6,4,8.5,7.5,7,7.5,3.5,4,7,6,5,3,5,6.5,4.5,5,2.5,2.5
"29","m.1020",1917,"CCR4-NOT transcription complex subunit 1 OS=Mus musculus GN=Cnot1 PE=1 SV=2",0,0,0.5,0,1,1.5,0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,1,1
"30","m.10205",893,"Serine/threonine-protein kinase TAO1 OS=Rattus norvegicus GN=Taok1 PE=1 SV=1",0,0.5,0,0,0,0,0,0,1,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0
"31","m.10208",402,"DBH-like monooxygenase protein 1 OS=Mus musculus GN=Moxd1 PE=1 SV=1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0.5
"32","m.10216",265,"m.10216",0,0,0.5,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0
"33","m.10239",279,"Nucleolysin TIA-1 isoform p40 OS=Homo sapiens GN=TIA1 PE=1 SV=3",1,2,0,0,0,0,0,2,1.5,1.5,1,0,0,1.5,0,0,0,0,0,0,1,0,0
"34","m.10242",534,"Transcription factor Dp-1 OS=Homo sapiens GN=TFDP1 PE=1 SV=1",0,0,1,0,0,0.5,0.5,0,0,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0
"35","m.10254",141,"m.10254",1.66666666666667,2,0,0,0.5,0.5,0,1,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1.5
"36","m.10260",232,"Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85506 PE=4 SV=1",0,0.5,0.5,0.5,0,0,1,0.5,0,0.5,0.5,0.5,0,0,0,0,0.5,0,0,0,0,0,0.5
"37","m.10264",203,"Probable serine/threonine-protein kinase WNK9 OS=Oryza sativa subsp. japonica GN=WNK9 PE=2 SV=1",0.333333333333333,0.5,0.5,0,0.5,0.5,1,1.5,0.5,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0
"38","m.1027",157,"Predicted protein OS=Nematostella vectensis GN=v1g225191 PE=4 SV=1",1,2,0,0.5,2,0,0,2,1.5,2,1.5,0,0,1.5,1,0,0,1.5,1,2.5,3,0,0
"39","m.10289",705,"General vesicular transport factor p115 OS=Bos taurus GN=USO1 PE=1 SV=1",0,0,1.5,0,0.5,1.5,0.5,0,0.5,0,0,0.5,1,0.5,0,0.5,0,0,0,0.5,0,0.5,0
"40","m.10304",278,"Hemicentin-1 OS=Homo sapiens GN=HMCN1 PE=1 SV=2",4.33333333333333,3.5,0.5,1.5,4.5,0.5,0,4,3,3,4,0.5,0.5,3,4.5,1,0.5,3.5,3.5,3,3,0,0.5
"41","m.10324",680,"1,4-alpha-glucan-branching enzyme OS=Homo sapiens GN=GBE1 PE=1 SV=3",4.33333333333333,4,4.5,0.5,3,2.5,2.5,4.5,2,2.5,3.5,3.5,2.5,2,0,2,2,2.5,1,2,4,3.5,3
"42","m.10327",1122,"LIM domain-containing protein 2 OS=Bos taurus GN=LIMD2 PE=2 SV=1",2.33333333333333,2,1,2.5,1.5,3,1.5,5,2,2,2,0,1,1.5,0.5,1.5,0,1,1,0,3,1,2
"43","m.10342",512,"Multidrug resistance protein 1 OS=Homo sapiens GN=ABCB1 PE=1 SV=3",1,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0
"44","m.10346",250,"Scavenger receptor cysteine-rich type 1 protein M160 OS=Homo sapiens GN=CD163L1 PE=1 SV=2",2.33333333333333,2.5,1,0,1.5,0.5,0.5,1.5,2,1,2.5,0.5,0,0,0.5,0,0.5,1,1.5,1,2,0,1
"45","m.1036",1192,"Splicing factor 3B subunit 1 OS=Xenopus laevis GN=sf3b1 PE=2 SV=1",1.33333333333333,1,0.5,0,2.5,0.5,0.5,6,1.5,2,1.5,0.5,1,2,0.5,0,0,0,0.5,1,1,1,1.5
"46","m.10360",636,"Transmembrane 9 superfamily member 4 OS=Bos taurus GN=TM9SF4 PE=2 SV=2",1,2,0,0.5,2,0,0,2.5,1.5,1.5,1.5,0,0,1,1,0,0,1,2,1,0,0,0
"47","m.10378",725,"Uncharacterized protein RSN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RSN1 PE=1 SV=1",2,2.5,4,1,1,3.5,3,4,2,2.5,2.5,3,4,1.5,0,2,4,0,0.5,1,1,2.5,5
"48","m.1038",113,"Death-associated protein 1 OS=Homo sapiens GN=DAP PE=1 SV=3",4.66666666666667,4,2,2.5,4,3,3,4.5,3.5,4.5,4.5,2.5,2,4.5,3,3.5,1,4,4,2,4,3.5,2.5
"49","m.10387",484,"Laccase domain-containing protein 1 OS=Homo sapiens GN=LACC1 PE=1 SV=1",6.33333333333333,5.5,3,5,4.5,3,2.5,6.5,8,7,6,3.5,3.5,6.5,3,4,0.5,7,5,3,5,2,2
"50","m.104",1674,"Clathrin heavy chain 1 OS=Mus musculus GN=Cltc PE=1 SV=3",66.3333333333333,65,31,21,30.5,47.5,30,83,70,61.5,64,44.5,26,63.5,24,38,20,56.5,55,52,66,46.5,35
"51","m.1041",396,"KH domain-containing, RNA-binding, signal transduction-associated protein 2 OS=Xenopus tropicalis GN=khdrbs2 PE=2 SV=1",5,5.5,1.5,2.5,5.5,2,0.5,4.5,2.5,4.5,3,1,0,3,1,1,1,1.5,1.5,2,4,2.5,1.5
"52","m.1042",331,"Uroporphyrinogen decarboxylase OS=Danio rerio GN=urod PE=2 SV=1",3,3.5,0,2.5,1.5,0.5,0,3.5,2,3.5,3.5,0.5,0,3.5,1.5,0.5,0,2,2.5,1.5,2,1,0.5
"53","m.1044",836,"Coiled-coil and C2 domain-containing protein 1-like OS=Drosophila pseudoobscura pseudoobscura GN=GA18377 PE=3 SV=2",0.333333333333333,0.5,0.5,0,0.5,1,0,0.5,1,0,0,0,1,0,0,0.5,0,0,0,0,0,0.5,0
"54","m.10457",752,"Probable ATP-dependent RNA helicase DDX4 OS=Xenopus laevis GN=ddx4 PE=2 SV=1",0,0,1,0.5,1,2.5,0.5,0.5,1,1,1,0.5,0,1,0,0,0,0.5,0,0,0,1.5,0.5
"55","m.10463",220,"Parkinson disease 7 domain-containing protein 1 OS=Xenopus laevis GN=pddc1 PE=2 SV=1",0,0.5,0,0,0.5,0.5,0,2,1,0.5,1,0.5,0.5,0,1,0,0.5,0,1,0,0,1,0
"56","m.10465",188,"m.10465",0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1.5,1,0,0,0,0,1,0.5
"57","m.10468",320,"m.10468",8,9.5,4.5,5,7.5,4,3,10.5,9.5,8,9,4,4,10.5,2.5,4,3,8,5.5,4,9,4.5,4.5
"58","m.10469",238,"Proteasome activator complex subunit 3 OS=Sus scrofa GN=PSME3 PE=2 SV=1",0,0,0,0,0.5,0,0,1,1,0,1,0,0,1,0,0,0,0.5,0,0.5,1,0,0
"59","m.10472",547,"Interferon-induced guanylate-binding protein 1 OS=Chlorocebus aethiops GN=GBP1 PE=2 SV=1",5.33333333333333,7.5,3.5,0,2,3,2.5,3,6.5,7.5,4.5,3,2.5,4,5.5,1,3.5,2,1.5,3,4,2,4
"60","m.10484",222,"Coiled-coil domain-containing protein 124-A OS=Xenopus laevis GN=ccdc124-a PE=2 SV=1",1,1,1,0,1.5,0.5,0,2,1.5,1,0,0.5,0.5,1,0,0.5,0,0.5,0.5,0,0,0,0
"61","m.10496",298,"Alcohol dehydrogenase [NADP(+)] OS=Pongo abelii GN=AKR1A1 PE=2 SV=1",9,11.5,6.5,7,7.5,8.5,5.5,8,8,8.5,7,7.5,5.5,9.5,3,3.5,3,7,5,7,11,7.5,3.5
"62","m.10499",214,"Methylglutaconyl-CoA hydratase, mitochondrial OS=Homo sapiens GN=AUH PE=1 SV=1",1.66666666666667,3.5,0.5,0,0,0.5,0,2.5,1,2,1.5,1,0,1.5,0,0.5,0,0,0,1.5,0,0.5,1
"63","m.10517",796,"Predicted protein OS=Nematostella vectensis GN=v1g241035 PE=4 SV=1",1,0.5,0,0,0.5,0,0,1,2.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"64","m.1054",285,"E3 ubiquitin-protein ligase TRIM71 OS=Homo sapiens GN=TRIM71 PE=1 SV=1",8.33333333333333,9.5,9,5,5.5,8.5,3.5,8,7,9.5,6.5,6,5.5,7,4.5,4.5,2,3,2.5,3,6,8.5,4
"65","m.10547",1648,"Serine/threonine-protein kinase WNK1 OS=Rattus norvegicus GN=Wnk1 PE=1 SV=2",0,0,0.5,0,0,1,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
"66","m.10557",131,"SNARE-associated protein Snapin OS=Homo sapiens GN=SNAPIN PE=1 SV=1",0,0,0.5,0,0,0,1,0,0,0,0,0.5,0.5,0,0,1,0.5,0,0,0,0,0.5,0.5
"67","m.10558",176,"Predicted protein OS=Nematostella vectensis GN=v1g246076 PE=4 SV=1",1,3,0.5,1.5,3,1,0,2.5,2,1,2.5,0,1.5,3,0,0,1,1,1.5,1,2,0.5,2
"68","m.10560",427,"PH domain-containing protein DDB_G0267786 OS=Dictyostelium discoideum GN=DDB_G0267786 PE=4 SV=1",9.33333333333333,10.5,9,1.5,5.5,9.5,12,8.5,9,6.5,9.5,10,7,6.5,6.5,8.5,10.5,9,7.5,6,9,7.5,10
"69","m.10567",295,"Transmembrane protease serine 3 OS=Mus musculus GN=Tmprss3 PE=1 SV=2",1,1,1,0,0,0.5,1,1.5,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0.5,0.5
"70","m.10575",652,"Grainyhead-like protein 2 homolog OS=Mus musculus GN=Grhl2 PE=2 SV=1",1.33333333333333,1.5,1,1.5,2.5,1,0.5,2,1,1.5,1,0.5,0.5,1.5,0.5,1,0,0.5,0.5,0.5,2,1.5,0
"71","m.10586",414,"N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D OS=Homo sapiens GN=NAPEPLD PE=1 SV=2",0.333333333333333,1.5,0,0,0,0.5,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0.5,0.5
"72","m.10597",345,"Serine/threonine-protein phosphatase 4 regulatory subunit 2 OS=Drosophila melanogaster GN=PPP4R2r PE=1 SV=2",0,0,0.5,0,0.5,1,0,0,0.5,0,0,0,1,1,0,0,1,0,0,0,0,0.5,0.5
"73","m.1060",147,"Calmodulin OS=Renilla reniformis PE=1 SV=2",2.33333333333333,3.5,2,1.5,3,1.5,2,4,3.5,2.5,4,2,2,2,1,0,2.5,1.5,1.5,1.5,4,0,2.5
"74","m.10603",487,"Contactin-associated protein 1 OS=Mus musculus GN=Cntnap1 PE=2 SV=2",0.333333333333333,1,1,1,0,0,1,1,1,0.5,0.5,1,0.5,0,0,1,0.5,0.5,0,0.5,0,0,0.5
"75","m.10605",698,"Peptidyl-glycine alpha-amidating monooxygenase A OS=Xenopus laevis GN=pam-a PE=1 SV=3",4,5.5,3,2,4,1.5,1.5,5.5,3,2,2.5,1,1.5,3,1.5,2,1,1,1,1,2,2,2
"76","m.10621",420,"Creatine kinase B-type OS=Bos taurus GN=CKB PE=2 SV=1",3.66666666666667,3.5,3,2,6,2.5,1.5,4,5.5,2,2.5,4.5,2,4,3,4,0,4,2,3,3,4,2.5
"77","m.10645",257,"m.10645",0,0,2,0,0.5,1,1,0.5,0,0,0,0.5,0,0,0,1,0.5,0,0,0,0,1,0
"78","m.10669",322,"ERC protein 2 OS=Homo sapiens GN=ERC2 PE=1 SV=3",0,0.5,0,0,0.5,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79","m.1069",424,"T-complex protein 1 subunit gamma OS=Bos taurus GN=CCT3 PE=1 SV=1",2.66666666666667,3.5,2.5,1,3.5,3.5,2.5,4.5,2,2.5,5,2.5,2,4.5,3,2.5,0.5,3.5,3,1,1,2,1.5
"80","m.10693",451,"Fibrillin-2 OS=Mus musculus GN=Fbn2 PE=1 SV=2",1.33333333333333,3.5,0.5,2,1.5,0.5,1.5,4,1.5,2,1,1,0.5,0.5,0.5,0,1,0.5,1.5,0,1,0.5,0.5
"81","m.107",99,"m.107",8.66666666666667,9,4.5,5.5,4,5,1,8.5,9,7.5,8,4,3.5,6.5,2,2,2,4.5,5.5,5,7,5.5,3.5
"82","m.10713",218,"Ras-related protein Rab-11A OS=Rattus norvegicus GN=Rab11a PE=1 SV=3",10.3333333333333,10.5,5,9,8,5.5,5,10,10.5,8,6,3.5,5.5,7,6,3,4,8.5,8,7,9,4.5,3.5
"83","m.10714",429,"Septin-8 OS=Xenopus tropicalis GN=sept8 PE=2 SV=1",7.66666666666667,10,9,2,8.5,8.5,5.5,10,11.5,7,7.5,5,8,8.5,3,4,4,5,2.5,2.5,5,6.5,7.5
"84","m.10723",443,"GDP-fucose protein O-fucosyltransferase 2 OS=Mus musculus GN=Pofut2 PE=1 SV=1",2.66666666666667,2,2.5,0,1.5,3,2.5,3,2.5,2,3,2,2,2.5,0,1.5,1.5,1,0.5,0,1,3,3
"85","m.10726",1630,"Collagen alpha-2(I) chain OS=Rattus norvegicus GN=Col1a2 PE=1 SV=3",2.66666666666667,2.5,2.5,4,4,1.5,1.5,3.5,3,4,3.5,2.5,2,3.5,0.5,1,1,5.5,6.5,4,5,3,1.5
"86","m.1073",371,"Tropomodulin-2 OS=Homo sapiens GN=TMOD2 PE=1 SV=1",3.66666666666667,4.5,1,3.5,5.5,2,2,4.5,6.5,4,3,2,1.5,2.5,0.5,0.5,1.5,3,2,1.5,3,1.5,1.5
"87","m.1074",292,"Phytanoyl-CoA dioxygenase domain-containing protein 1 OS=Homo sapiens GN=PHYHD1 PE=1 SV=2",0.666666666666667,1,1.5,1,2,2,0.5,1.5,1.5,0,1,0.5,1.5,0.5,0,0.5,0.5,0,1,0.5,0,1.5,3
"88","m.10744",282,"Sorbitol dehydrogenase OS=Ovis aries GN=SORD PE=1 SV=1",6.33333333333333,9,3.5,1.5,4.5,3,3,7.5,8,4,7,3.5,2.5,4.5,1.5,3,3,4,4,1.5,3,4,5
"89","m.10756",2004,"Tyrosine-protein phosphatase non-receptor type 23 (Fragment) OS=Rattus norvegicus GN=Ptpn23 PE=1 SV=2",0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5
"90","m.10763",330,"m.10763",0,0,0,0.5,1,0,0,0,1,1,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0
"91","m.10765",227,"m.10765",1.66666666666667,2,0,1.5,2.5,0,0,2,1.5,2,2,0,0,2,2,0,0,2,2,2.5,1,0,0
"92","m.10767",590,"Pericentriolar material 1 protein OS=Gallus gallus GN=PCM1 PE=2 SV=1",0.333333333333333,0.5,0,0,0,0,0,1,1.5,1,0.5,0,0,1,0.5,0,0,0.5,0,0.5,1,0,0
"93","m.10779",234,"Ran GTPase-activating protein 1 OS=Xenopus laevis GN=rangap1 PE=2 SV=1",0,0,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94","m.10786",695,"FACT complex subunit SSRP1 OS=Gallus gallus GN=SSRP1 PE=2 SV=2",0,0,1.5,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0,0,0,0,0.5,0
"95","m.10807",572,"Predicted protein OS=Nematostella vectensis GN=v1g197490 PE=4 SV=1",28.6666666666667,27.5,19,19,28.5,27.5,13.5,34.5,34,31.5,31,21.5,17.5,31.5,15,21,14.5,28,27,17,32,26.5,13
"96","m.10812",189,"Agrin OS=Gallus gallus GN=AGRN PE=1 SV=3",5.66666666666667,4.5,3.5,2,5,2,3,4.5,4,2.5,3,2.5,1.5,4,3.5,0.5,0.5,1.5,2.5,2.5,2,2,1
"97","m.10816",192,"THAP domain-containing protein 4 OS=Mus musculus GN=Thap4 PE=2 SV=1",0,0,2,0,0,0.5,0,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0.5,0
"98","m.10817",422,"Synapsin-2 OS=Rattus norvegicus GN=Syn2 PE=1 SV=1",1,1.5,0,0.5,0.5,0,0,1.5,1,0.5,0.5,0,0,1,0.5,0,0,0,0.5,0,0,0,0
"99","m.10818",372,"Arylsulfatase I OS=Mus musculus GN=Arsi PE=2 SV=1",1.66666666666667,4,2,1,1.5,4.5,1,3.5,1,2,5,4.5,1,1,0,2,1,1,2,0.5,1,4.5,1
"100","m.10820",447,"Beta-1,3-glucosyltransferase OS=Mus musculus GN=B3galtl PE=2 SV=3",0,0,0,0,0,1,0.5,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0.5,0.5
"101","m.10831",206,"Latrophilin Cirl OS=Drosophila pseudoobscura pseudoobscura GN=Cirl PE=3 SV=2",4,4,0,2,3,0,0,4,6.5,4,4,0,0,3.5,2.5,0,0,2,2,0.5,1,0,0
"102","m.10852",208,"Maleylacetoacetate isomerase OS=Mus musculus GN=Gstz1 PE=1 SV=1",1,1,1.5,1,0.5,2.5,1.5,1,1,1,2.5,1.5,0,2,0.5,2,1,1.5,0,0.5,2,1.5,2
"103","m.10862",241,"Ubiquitin thioesterase OTUB1 OS=Rattus norvegicus GN=Otub1 PE=1 SV=1",0,0.5,0,0,0.5,0.5,0,0,1,0,1,0,0,0.5,0,0,0,0,1,0,0,1,0
"104","m.10878",258,"Splicing factor 3A subunit 2 OS=Homo sapiens GN=SF3A2 PE=1 SV=2",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0.5
"105","m.10883",471,"Serine hydroxymethyltransferase, mitochondrial OS=Homo sapiens GN=SHMT2 PE=1 SV=3",10.3333333333333,13,9.5,7.5,9.5,8,5,11.5,10.5,9,11,9,5,7.5,3.5,3.5,2.5,6.5,6,2,7,7.5,6
"106","m.10886",397,"Phospholipase D3 OS=Xenopus laevis GN=pld3 PE=2 SV=1",0,0,0.5,0,0,0,1,0.5,0,0.5,0,1,0.5,0,0,0,0,0,0.5,1,0,1,0.5
"107","m.1089",117,"ATP synthase-coupling factor 6, mitochondrial OS=Rattus norvegicus GN=Atp5j PE=1 SV=1",5.66666666666667,7,5,6,5,5.5,5.5,4.5,5,6,6,7.5,4.5,7.5,3.5,1.5,4.5,6,6,4.5,6,7,2.5
"108","m.10893",298,"Tropomyosin alpha-1 chain OS=Liza aurata PE=1 SV=1",21,21.5,10.5,10,18.5,14.5,10.5,23.5,20.5,14,16.5,11,12.5,20,12.5,7,11.5,20.5,19,20,15,12.5,10.5
"109","m.10901",228,"m.10901",0,0,1,0,0,0.5,1,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0.5,1
"110","m.10905",398,"26S proteasome non-ATPase regulatory subunit 11 OS=Xenopus tropicalis GN=psmd11 PE=3 SV=2",5,5,4.5,1.5,6.5,4.5,2,8.5,8.5,6,3,4,4,4.5,3,2,1.5,4.5,4,3,6,4,2.5
"111","m.10914",217,"Ras-related protein Rab-14 OS=Pongo abelii GN=RAB14 PE=2 SV=3",4.66666666666667,6.5,3.5,1.5,6,2,3.5,7.5,6.5,5,6,3,2.5,5,3.5,1.5,3,4,4,4,4,1.5,1
"112","m.10919",208,"Inner nuclear membrane protein Man1 OS=Homo sapiens GN=LEMD3 PE=1 SV=2",0,0,0,0,0,0,0,0.5,1,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0
"113","m.10920",962,"Nuclear pore complex protein Nup155 OS=Homo sapiens GN=NUP155 PE=1 SV=1",0,0.5,0,0,1,0,0,1,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"114","m.10928",723,"Peroxidasin OS=Drosophila melanogaster GN=Pxn PE=1 SV=1",14.6666666666667,4.5,0,5.5,6.5,0,0,7.5,7.5,10,8,0,0,6.5,4,0,0,4,6.5,4,5,0,0
"115","m.10938",346,"Arsenite methyltransferase OS=Rattus norvegicus GN=As3mt PE=1 SV=1",3.66666666666667,5,1.5,0.5,3.5,2,0.5,4.5,6,5,4.5,1.5,0.5,5,1.5,1,0,1.5,2.5,1.5,5,2.5,2
"116","m.10942",329,"E3 ubiquitin-protein ligase LRSAM1 OS=Mus musculus GN=Lrsam1 PE=2 SV=1",0,0,0,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"117","m.10944",532,"E3 ubiquitin-protein ligase BRE1B OS=Rattus norvegicus GN=Rnf40 PE=1 SV=1",0.666666666666667,2.5,0,0,1,0,0,1.5,0,0.5,0.5,0,0,0.5,0.5,0,0,0,0,0,1,0,0
"118","m.10974",566,"Bifunctional purine biosynthesis protein PURH OS=Gallus gallus GN=ATIC PE=1 SV=1",7.66666666666667,11.5,8,2,5.5,6.5,3,10,10,8,9,7,6.5,7.5,1,5,2,3.5,3,1,5,7,6
