Protein,Len,WS1,WS2,WS3,WO1,WO2,WO3,LogFldChng-K28-K30vsK31-K33,Zstat-K28-K30vsK31-K33,fdr-K28-K30vsK31-K33,FDRup-K28-K30vsK31-K33,FDRdown-K28-K30vsK31-K33,DEFLINE
m.10166,103,0,0,0,0,0,0,-0.444,-0.5117,0.533917,0.967618,0.934744,Embryonic stem cell-specific 5-hydroxymethylcytosine-binding protein OS=Xenopus tropicalis GN=hmces PE=2 SV=1
m.10168,220,0,0,0,4,0,0,0.352,0.4785,1,1,0.935125,Platelet-activating factor acetylhydrolase IB subunit gamma OS=Mus musculus GN=Pafah1b3 PE=1 SV=1
m.10171,529,0,0,0,0,0,0,-0.483,-0.5426,0.539337,0.945923,0.957297,Cleavage and polyadenylation specificity factor subunit 7 OS=Rattus norvegicus GN=Cpsf7 PE=2 SV=1
m.10181,285,0,0,1,2,0,0,-0.134,-0.1652,0.852763,1,0.824638,Geranylgeranyl transferase type-2 subunit alpha OS=Homo sapiens GN=RABGGTA PE=1 SV=2
m.10182,249,0,0,0,0,0,0,-0.422,-0.4755,0.533767,0.996811,0.910652,DnaJ homolog subfamily C member 8 OS=Homo sapiens GN=DNAJC8 PE=1 SV=2
m.10183,616,0,0,0,0,0,0,-0.339,-0.3876,0.561649,1,0.86433,Nuclear protein localization protein 4 homolog OS=Mus musculus GN=Nploc4 PE=1 SV=3
m.10194,572,12,2,55,67,22,37,0.213,1.4308,0.903527,0.198583,0.986281,"Aspartate--tRNA ligase, cytoplasmic OS=Rattus norvegicus GN=Dars PE=2 SV=1"
m.10196,145,0,4,0,4,1,0,-0.412,-0.6761,0.622917,0.883438,1,Glutathione peroxidase 1 OS=Rattus norvegicus GN=Gpx1 PE=1 SV=4
m.10199,219,7,14,28,34,20,25,0.094,0.5066,1,1,0.939252,Ras-related protein Rab-2 OS=Lymnaea stagnalis GN=RAB2 PE=2 SV=1
m.1020,1917,0,0,0,0,0,1,-0.488,-0.5311,0.536745,0.955438,0.946815,CCR4-NOT transcription complex subunit 1 OS=Mus musculus GN=Cnot1 PE=1 SV=2
m.10205,893,0,0,0,0,0,1,-0.39,-0.4566,0.536343,1,0.898911,Serine/threonine-protein kinase TAO1 OS=Rattus norvegicus GN=Taok1 PE=1 SV=1
m.10216,265,0,0,0,0,0,0,-0.357,-0.4131,0.549312,1,0.875447,m.10216
m.10239,279,0,0,0,0,0,0,-0.469,-0.5635,0.545815,0.933555,0.97258,Nucleolysin TIA-1 isoform p40 OS=Homo sapiens GN=TIA1 PE=1 SV=3
m.1024,399,0,0,0,0,0,0,-0.455,-0.5223,0.535225,0.961425,0.940708,Uromodulin OS=Homo sapiens GN=UMOD PE=1 SV=1
m.10254,141,0,0,0,0,0,0,-0.496,-0.5682,0.547587,0.930227,0.977064,m.10254
m.10255,101,1,0,0,0,0,0,-0.487,-0.5631,0.545669,0.933556,0.97258,Proteasome assembly chaperone 4 OS=Homo sapiens GN=PSMG4 PE=2 SV=2
m.1026,324,6,9,5,2,0,0,-2.07,-3.6413,0.01716,0.9714,0.002594,Peroxidasin homolog OS=Homo sapiens GN=PXDN PE=1 SV=2
m.10260,232,1,0,2,2,0,1,-0.376,-0.4965,0.533046,0.980617,0.923264,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85506 PE=4 SV=1
m.10264,203,0,0,0,1,0,0,-0.351,-0.4012,0.554625,1,0.870322,Probable serine/threonine-protein kinase WNK9 OS=Oryza sativa subsp. japonica GN=WNK9 PE=2 SV=1
m.10265,194,0,0,0,2,0,0,-0.079,-0.0925,1,1,0.829245,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_68002 PE=4 SV=1
m.1027,157,0,0,0,0,0,0,-0.454,-0.5101,0.533774,0.969727,0.932789,Predicted protein OS=Nematostella vectensis GN=v1g225191 PE=4 SV=1
m.10277,196,0,0,0,0,0,0,-0.482,-0.5527,0.542182,0.940484,0.963766,m.10277
m.10289,705,0,0,0,0,0,1,-0.441,-0.4969,0.533052,0.980617,0.923264,General vesicular transport factor p115 OS=Bos taurus GN=USO1 PE=1 SV=1
m.10292,409,0,0,1,1,0,0,-0.351,-0.3978,0.556286,1,0.869088,"Acylglycerol kinase, mitochondrial OS=Homo sapiens GN=AGK PE=1 SV=2"
m.103,154,0,0,0,0,0,0,-0.461,-0.5125,0.533999,0.967618,0.934744,Predicted protein OS=Nematostella vectensis GN=v1g240016 PE=4 SV=1
m.10303,381,0,0,0,2,0,0,-0.062,-0.0787,1,1,0.830807,"DNA-directed RNA polymerase, mitochondrial OS=Mus musculus GN=Polrmt PE=2 SV=1"
m.10304,278,7,6,11,5,9,11,-0.349,-1.2221,1,0.923084,1,Hemicentin-1 OS=Homo sapiens GN=HMCN1 PE=1 SV=2
m.10319,661,0,0,0,0,0,0,-0.475,-0.5527,0.542182,0.940484,0.963766,Splicing regulatory glutamine/lysine-rich protein 1 OS=Homo sapiens GN=SREK1 PE=1 SV=1
m.10323,140,0,0,0,0,0,0,-0.402,-0.4636,0.535172,1,0.902175,Short coiled-coil protein B OS=Danio rerio GN=scocb PE=3 SV=1
m.10324,680,11,19,24,42,17,31,0.118,0.6636,1,0.863351,0.958381,"1,4-alpha-glucan-branching enzyme OS=Homo sapiens GN=GBE1 PE=1 SV=3"
m.10327,1122,5,1,6,3,2,6,-0.508,-1.1656,1,0.911811,1,LIM domain-containing protein 2 OS=Bos taurus GN=LIMD2 PE=2 SV=1
m.1033,111,0,0,0,0,4,0,0.33,0.4769,1,1,0.935126,Carbonic anhydrase 7 OS=Mus musculus GN=Ca7 PE=1 SV=2
m.10334,867,0,0,0,0,0,0,-0.374,-0.4281,0.543714,1,0.883693,Serine/threonine-protein kinase D3 OS=Mus musculus GN=Prkd3 PE=1 SV=1
m.10342,512,0,0,2,0,0,0,-0.772,-0.9102,1,0.866991,1,Multidrug resistance protein 1 OS=Homo sapiens GN=ABCB1 PE=1 SV=3
m.10346,250,2,0,4,2,0,1,-1.02,-1.5837,1,0.978233,0.736044,Scavenger receptor cysteine-rich type 1 protein M160 OS=Homo sapiens GN=CD163L1 PE=1 SV=2
m.1035,165,0,0,3,0,0,0,-1.037,-1.303,1,0.938523,1,Ubiquitin-conjugating enzyme E2 G2 OS=Pongo abelii GN=UBE2G2 PE=2 SV=1
m.10353,112,0,0,0,0,0,0,-0.441,-0.5021,0.533231,0.976193,0.927023,m.10353
m.10357,350,0,0,0,0,0,0,-0.41,-0.5193,0.534798,0.963466,0.938704,WD repeat-containing protein 5 OS=Rattus norvegicus GN=Wdr5 PE=2 SV=1
m.1036,1192,0,0,0,0,0,0,-0.478,-0.525,0.53565,0.959407,0.942728,Splicing factor 3B subunit 1 OS=Xenopus laevis GN=sf3b1 PE=2 SV=1
m.10365,413,0,3,4,0,0,7,-0.28,-0.5605,0.544744,0.935254,0.970356,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g140878 PE=4 SV=1
m.10373,1031,0,1,0,0,0,0,-0.408,-0.4999,0.533137,0.978394,0.925135,Partitioning defective 3 homolog OS=Mus musculus GN=Pard3 PE=1 SV=2
m.10374,1005,0,0,0,1,0,2,-0.15,-0.1843,0.812272,1,0.82458,Nuclear pore complex protein Nup153 OS=Xenopus laevis GN=nup153 PE=1 SV=1
m.10378,725,9,3,18,5,6,10,-0.766,-2.6524,0.394243,0.991609,0.085531,Uncharacterized protein RSN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RSN1 PE=1 SV=1
m.1038,113,4,5,7,8,3,4,-0.488,-1.2032,1,0.919178,1,Death-associated protein 1 OS=Homo sapiens GN=DAP PE=1 SV=3
m.10382,296,0,0,0,0,0,0,-0.412,-0.4492,0.537848,1,0.894151,Glutamate--cysteine ligase regulatory subunit OS=Rattus norvegicus GN=Gclm PE=1 SV=1
m.10387,484,6,7,14,7,5,7,-0.746,-2.4906,0.536385,0.995168,0.132368,Laccase domain-containing protein 1 OS=Homo sapiens GN=LACC1 PE=1 SV=1
m.10393,233,0,0,1,0,1,1,-0.472,-0.5366,0.537899,0.951562,0.950964,Semaphorin-5B OS=Mus musculus GN=Sema5b PE=2 SV=2
m.104,1674,21,3,158,111,31,60,-0.291,-2.9085,0.209706,0.985791,0.039617,Clathrin heavy chain 1 OS=Mus musculus GN=Cltc PE=1 SV=3
m.1041,396,0,0,1,0,0,0,-0.446,-0.521,0.535037,0.961426,0.940708,"KH domain-containing, RNA-binding, signal transduction-associated protein 2 OS=Xenopus tropicalis GN=khdrbs2 PE=2 SV=1"
m.1042,331,0,0,1,2,4,2,0.733,1.0357,1,0.478392,0.981558,Uroporphyrinogen decarboxylase OS=Danio rerio GN=urod PE=2 SV=1
m.10423,229,0,0,0,0,0,0,-0.431,-0.5512,0.541724,0.940486,0.963764,Putative L-aspartate dehydrogenase OS=Xenopus tropicalis GN=aspdh PE=2 SV=1
m.1044,836,0,0,0,0,0,0,-0.342,-0.3824,0.564608,1,0.862062,Coiled-coil and C2 domain-containing protein 1-like OS=Drosophila pseudoobscura pseudoobscura GN=GA18377 PE=3 SV=2
m.10457,752,0,0,0,0,0,0,-0.474,-0.5679,0.547469,0.930227,0.977063,Probable ATP-dependent RNA helicase DDX4 OS=Xenopus laevis GN=ddx4 PE=2 SV=1
m.10462,456,0,0,0,0,0,0,-0.388,-0.4485,0.538008,1,0.894152,Serine/threonine-protein kinase 38-like OS=Homo sapiens GN=STK38L PE=1 SV=3
m.10463,220,1,1,1,4,3,1,0.591,0.8755,1,0.632385,0.974767,Parkinson disease 7 domain-containing protein 1 OS=Xenopus laevis GN=pddc1 PE=2 SV=1
m.10468,320,25,29,30,32,28,35,-0.276,-1.8415,1,0.995956,0.502294,m.10468
m.10469,238,0,0,0,0,0,0,-0.385,-0.4248,0.544841,1,0.882273,Proteasome activator complex subunit 3 OS=Sus scrofa GN=PSME3 PE=2 SV=1
m.10472,547,6,3,17,37,24,15,0.674,3.0528,0.004383,0.000483,0.964959,Interferon-induced guanylate-binding protein 1 OS=Chlorocebus aethiops GN=GBP1 PE=2 SV=1
m.10484,222,0,0,0,0,0,0,-0.341,-0.3684,0.573354,1,0.85671,Coiled-coil domain-containing protein 124-A OS=Xenopus laevis GN=ccdc124-a PE=2 SV=1
m.10496,298,27,26,58,77,66,67,0.239,1.9645,0.235807,0.041694,0.979762,Alcohol dehydrogenase [NADP(+)] OS=Pongo abelii GN=AKR1A1 PE=2 SV=1
m.10498,209,0,0,0,0,0,0,-0.419,-0.5016,0.533209,0.976193,0.927023,m.10498
m.10499,214,0,0,0,3,0,0,0.151,0.1897,1,1,0.88097,"Methylglutaconyl-CoA hydratase, mitochondrial OS=Homo sapiens GN=AUH PE=1 SV=1"
m.1050,816,0,0,0,0,0,0,-0.521,-0.5984,0.561843,0.91492,1,m.1050
m.1054,285,28,26,31,41,49,36,-0.004,-0.0292,1,1,0.837406,E3 ubiquitin-protein ligase TRIM71 OS=Homo sapiens GN=TRIM71 PE=1 SV=1
m.10543,123,0,0,0,0,0,0,-0.349,-0.3958,0.55729,1,0.86787,Dimethylaniline monooxygenase [N-oxide-forming] 3 OS=Canis familiaris GN=FMO3 PE=2 SV=3
m.10547,1648,0,0,1,2,1,0,-0.076,-0.0959,1,1,0.828955,Serine/threonine-protein kinase WNK1 OS=Rattus norvegicus GN=Wnk1 PE=1 SV=2
m.10556,217,0,0,0,0,0,0,-0.438,-0.472,0.534104,1,0.907207,Predicted protein OS=Nematostella vectensis GN=v1g247020 PE=4 SV=1
m.10557,131,0,0,1,2,1,2,0.17,0.2239,1,1,0.888718,SNARE-associated protein Snapin OS=Homo sapiens GN=SNAPIN PE=1 SV=1
m.10558,176,0,3,1,3,0,0,-0.39,-0.6497,0.598001,0.891811,1,Predicted protein OS=Nematostella vectensis GN=v1g246076 PE=4 SV=1
m.1056,473,0,0,0,0,0,0,-0.419,-0.5107,0.533826,0.969727,0.932789,Regulator of G-protein signaling 7 OS=Bos taurus GN=RGS7 PE=1 SV=1
m.10560,427,25,11,31,22,19,17,-0.515,-2.9173,0.204698,0.9856,0.03856,PH domain-containing protein DDB_G0267786 OS=Dictyostelium discoideum GN=DDB_G0267786 PE=4 SV=1
m.10567,295,0,0,1,1,0,0,-0.426,-0.5004,0.533154,0.976193,0.927023,Transmembrane protease serine 3 OS=Mus musculus GN=Tmprss3 PE=1 SV=2
m.10575,652,0,1,0,0,1,3,0.168,0.2201,1,1,0.887535,Grainyhead-like protein 2 homolog OS=Mus musculus GN=Grhl2 PE=2 SV=1
m.10586,414,0,0,0,0,0,0,-0.372,-0.4147,0.548661,1,0.876776,N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D OS=Homo sapiens GN=NAPEPLD PE=1 SV=2
m.10597,345,0,0,1,1,0,3,0.137,0.1798,1,1,0.879167,Serine/threonine-protein phosphatase 4 regulatory subunit 2 OS=Drosophila melanogaster GN=PPP4R2r PE=1 SV=2
m.10598,316,0,0,0,0,0,0,-0.363,-0.3808,0.565555,1,0.862063,Predicted protein OS=Nematostella vectensis GN=v1g233708 PE=4 SV=1
m.1060,147,2,3,11,5,4,3,-0.698,-1.7529,1,0.99156,0.578982,Calmodulin OS=Renilla reniformis PE=1 SV=2
m.10600,201,0,0,1,0,1,0,-0.521,-0.5978,0.561513,0.914922,1,"Frataxin, mitochondrial OS=Bos taurus GN=FXN PE=2 SV=1"
m.10601,162,0,0,0,0,1,2,-0.114,-0.1412,0.908471,1,0.825366,Probable 8-oxo-dGTP diphosphatase NUDT15 OS=Mus musculus GN=Nudt15 PE=1 SV=1
m.10605,698,0,0,0,2,0,1,-0.159,-0.2015,0.778644,1,0.824989,Peptidyl-glycine alpha-amidating monooxygenase A OS=Xenopus laevis GN=pam-a PE=1 SV=3
m.10613,219,0,0,0,0,0,1,-0.485,-0.5705,0.548495,0.928597,0.979323,m.10613
m.10621,420,4,7,10,11,6,2,-0.494,-1.5744,1,0.977081,0.746995,Creatine kinase B-type OS=Bos taurus GN=CKB PE=2 SV=1
m.10630,336,0,0,0,0,0,0,-0.415,-0.4567,0.536324,1,0.898911,LIM and senescent cell antigen-like-containing domain protein 1 OS=Mus musculus GN=Lims1 PE=1 SV=3
m.10633,281,0,0,0,0,0,0,-0.448,-0.4961,0.533039,0.980617,0.923264,N-acylglucosamine 2-epimerase OS=Mus musculus GN=Renbp PE=1 SV=3
m.10642,392,0,0,0,1,1,1,-0.461,-0.5024,0.533245,0.976193,0.927023,Developmentally-regulated GTP-binding protein 1 OS=Xenopus laevis GN=drg1 PE=2 SV=1
m.10645,257,0,0,1,0,0,3,0.139,0.1838,1,1,0.879769,m.10645
m.10676,104,1,0,0,2,1,3,0.39,0.5482,1,0.995097,0.945031,Haloacid dehalogenase-like hydrolase domain-containing protein 2 OS=Bos taurus GN=HDHD2 PE=2 SV=1
m.10687,410,0,0,0,0,0,0,-0.487,-0.5683,0.547627,0.930227,0.977064,m.10687
m.1069,424,1,0,8,3,2,2,-0.815,-1.5856,1,0.978233,0.736039,T-complex protein 1 subunit gamma OS=Bos taurus GN=CCT3 PE=1 SV=1
m.10693,451,0,0,2,0,0,0,-0.874,-0.9947,1,0.878647,1,Fibrillin-2 OS=Mus musculus GN=Fbn2 PE=1 SV=2
m.107,99,28,31,35,21,25,152,0.357,2.7988,0.013114,0.001614,0.967531,m.107
m.10713,218,46,37,37,33,38,49,-0.401,-3.2355,0.077705,0.978785,0.012925,Ras-related protein Rab-11A OS=Rattus norvegicus GN=Rab11a PE=1 SV=3
m.10714,429,5,1,15,11,2,5,-0.554,-1.6661,1,0.985569,0.658244,Septin-8 OS=Xenopus tropicalis GN=sept8 PE=2 SV=1
m.10723,443,1,0,9,28,7,1,0.829,2.2922,0.084933,0.013126,0.974244,GDP-fucose protein O-fucosyltransferase 2 OS=Mus musculus GN=Pofut2 PE=1 SV=1
m.10726,1630,4,2,17,4,6,13,-0.384,-1.343,1,0.94543,0.976282,Collagen alpha-2(I) chain OS=Rattus norvegicus GN=Col1a2 PE=1 SV=3
m.1073,371,0,1,2,0,1,0,-0.829,-0.9735,1,0.875036,1,Tropomodulin-2 OS=Homo sapiens GN=TMOD2 PE=1 SV=1
m.10735,447,0,0,0,0,0,0,-0.453,-0.511,0.533853,0.969727,0.932789,E3 ubiquitin-protein ligase parkin OS=Rattus norvegicus GN=Park2 PE=1 SV=1
m.1074,292,27,16,28,29,20,27,-0.332,-2.0509,1,1,0.348326,Phytanoyl-CoA dioxygenase domain-containing protein 1 OS=Homo sapiens GN=PHYHD1 PE=1 SV=2
m.10744,282,7,2,18,16,19,14,0.201,0.8365,1,0.673027,0.972459,Sorbitol dehydrogenase OS=Ovis aries GN=SORD PE=1 SV=1
m.10756,2004,0,0,1,0,0,3,0.124,0.1624,1,1,0.875553,Tyrosine-protein phosphatase non-receptor type 23 (Fragment) OS=Rattus norvegicus GN=Ptpn23 PE=1 SV=2
m.10763,330,4,0,0,7,5,1,0.459,0.9197,1,0.58721,0.977071,m.10763
m.10765,227,0,0,0,0,0,0,-0.42,-0.4722,0.534081,1,0.907207,m.10765
m.10767,590,0,0,0,0,0,0,-0.432,-0.4959,0.533036,0.980617,0.923264,Pericentriolar material 1 protein OS=Gallus gallus GN=PCM1 PE=2 SV=1
m.10779,234,0,0,1,0,0,0,-0.512,-0.576,0.550789,0.926984,0.981602,Ran GTPase-activating protein 1 OS=Xenopus laevis GN=rangap1 PE=2 SV=1
m.10784,177,0,0,0,0,0,0,-0.402,-0.4783,0.533541,0.994431,0.912401,ADP-ribosylation factor 1 OS=Solanum tuberosum PE=2 SV=2
m.10790,402,1,0,4,3,2,2,-0.268,-0.4819,0.533311,0.992073,0.914167,4-hydroxyphenylpyruvate dioxygenase-like protein OS=Rattus norvegicus GN=Hpdl PE=2 SV=1
m.10801,1026,0,0,0,0,0,0,-0.486,-0.5867,0.555727,0.920776,0.990813,Ubiquitin carboxyl-terminal hydrolase 25 OS=Mus musculus GN=Usp25 PE=1 SV=2
m.10807,572,23,30,22,24,18,37,-0.347,-2.1221,0.963629,1,0.302486,Predicted protein OS=Nematostella vectensis GN=v1g197490 PE=4 SV=1
m.10812,189,0,0,0,0,1,1,-0.429,-0.4751,0.5338,0.996811,0.910652,Agrin OS=Gallus gallus GN=AGRN PE=1 SV=3
m.10816,192,0,4,4,9,13,5,0.748,1.8262,0.352555,0.06471,0.982043,THAP domain-containing protein 4 OS=Mus musculus GN=Thap4 PE=2 SV=1
m.10817,422,0,0,1,1,0,0,-0.364,-0.4022,0.554145,1,0.871579,Synapsin-2 OS=Rattus norvegicus GN=Syn2 PE=1 SV=1
m.10818,372,5,10,12,14,18,13,0.11,0.4581,1,1,0.932106,Arylsulfatase I OS=Mus musculus GN=Arsi PE=2 SV=1
m.10820,447,0,0,0,3,2,1,0.387,0.5291,1,1,0.942395,"Beta-1,3-glucosyltransferase OS=Mus musculus GN=B3galtl PE=2 SV=3"
m.10831,206,0,0,0,2,2,0,0.215,0.2786,1,1,0.899723,Latrophilin Cirl OS=Drosophila pseudoobscura pseudoobscura GN=Cirl PE=3 SV=2
m.10838,128,0,0,1,0,0,1,-0.415,-0.4869,0.533097,0.987423,0.917754,Nicotinate phosphoribosyltransferase OS=Drosophila melanogaster GN=CG3714 PE=2 SV=2
m.10852,208,1,0,3,5,0,0,-0.043,-0.0695,1,1,0.831834,Maleylacetoacetate isomerase OS=Mus musculus GN=Gstz1 PE=1 SV=1
m.10862,241,0,1,1,0,0,0,-0.48,-0.5496,0.541253,0.942274,0.961596,Ubiquitin thioesterase OTUB1 OS=Rattus norvegicus GN=Otub1 PE=1 SV=1
m.10878,258,0,0,3,0,0,0,-1.022,-1.3579,1,0.947797,0.962451,Splicing factor 3A subunit 2 OS=Homo sapiens GN=SF3A2 PE=1 SV=2
m.10881,279,0,0,0,0,0,0,-0.471,-0.5492,0.541137,0.942275,0.961596,Cytochrome P450 3A41 OS=Mus musculus GN=Cyp3a41a PE=2 SV=2
m.10883,471,20,7,50,42,45,58,0.253,1.8143,0.364489,0.066999,0.98222,"Serine hydroxymethyltransferase, mitochondrial OS=Homo sapiens GN=SHMT2 PE=1 SV=3"
m.10886,397,2,12,4,1,4,3,-1.198,-2.6928,0.360886,0.990723,0.076472,Phospholipase D3 OS=Xenopus laevis GN=pld3 PE=2 SV=1
m.1089,117,0,0,0,1,0,1,-0.488,-0.5473,0.540595,0.944086,0.959441,"ATP synthase-coupling factor 6, mitochondrial OS=Rattus norvegicus GN=Atp5j PE=1 SV=1"
m.10893,298,10,7,29,7,4,14,-1.011,-4.2937,0.00089,0.963109,0.000121,Tropomyosin alpha-1 chain OS=Liza aurata PE=1 SV=1
m.10899,216,0,0,3,0,2,3,-0.256,-0.4112,0.550111,1,0.875449,Protein rolling stone OS=Drosophila melanogaster GN=rost PE=2 SV=2
m.10901,228,2,0,8,16,4,1,0.242,0.6431,1,0.885649,0.956347,m.10901
m.10905,398,4,1,21,14,4,15,-0.129,-0.4873,0.533087,0.987423,0.917754,26S proteasome non-ATPase regulatory subunit 11 OS=Xenopus tropicalis GN=psmd11 PE=3 SV=2
m.10909,251,1,3,4,2,0,2,-0.917,-1.5272,1,0.972114,0.791264,Dorsal-ventral patterning tolloid-like protein 1 OS=Danio rerio GN=tll1 PE=2 SV=1
m.10911,115,1,0,1,0,0,0,-0.399,-0.4434,0.539229,1,0.891071,Aldehyde dehydrogenase family 8 member A1 OS=Mus musculus GN=Aldh8a1 PE=1 SV=1
m.10914,217,2,1,6,3,2,7,-0.154,-0.3412,0.593678,1,0.848209,Ras-related protein Rab-14 OS=Pongo abelii GN=RAB14 PE=2 SV=3
m.10915,153,0,0,0,0,0,0,-0.327,-0.3604,0.578869,1,0.854699,Predicted protein OS=Nematostella vectensis GN=v1g213018 PE=4 SV=1
m.10923,594,0,0,1,1,0,0,-0.391,-0.4061,0.552346,1,0.872849,Phosphoribosylformylglycinamidine synthase OS=Mus musculus GN=Pfas PE=2 SV=1
m.10925,224,0,0,0,0,0,0,-0.432,-0.5251,0.535666,0.959407,0.942728,WD repeat domain phosphoinositide-interacting protein 3 OS=Gallus gallus GN=WDR45B PE=2 SV=1
m.10928,723,1,0,0,11,0,1,1.165,1.8834,0.299462,0.054248,0.981133,Peroxidasin OS=Drosophila melanogaster GN=Pxn PE=1 SV=1
