Protein,Len,HS1,HS2,HS3,HD1,HD2,HD3,LogFldChng-K34-K36vsK37-K39,Zstat-K34-K36vsK37-K39,fdr-K34-K36vsK37-K39,FDRup-K34-K36vsK37-K39,FDRdown-K34-K36vsK37-K39,DEFLINE
m.1026,324,8,0,0,0,0,0,-1.285,-1.9075,0.807197,0.995318,0.229783,Peroxidasin homolog OS=Homo sapiens GN=PXDN PE=1 SV=2
m.10260,232,0,2,0,1,0,10,1.17,1.8665,0.60123,0.143488,0.997469,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85506 PE=4 SV=1
m.10264,203,0,0,0,0,0,0,0.006,0.007,0.538888,1,0.916371,Probable serine/threonine-protein kinase WNK9 OS=Oryza sativa subsp. japonica GN=WNK9 PE=2 SV=1
m.10265,194,0,0,0,0,0,0,-0.021,-0.0233,0.530389,0.978151,0.934866,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_68002 PE=4 SV=1
m.1027,157,0,0,1,0,0,0,-0.081,-0.0916,0.528871,0.925025,0.98485,Predicted protein OS=Nematostella vectensis GN=v1g225191 PE=4 SV=1
m.10277,196,0,0,0,0,0,0,-0.077,-0.0887,0.52844,0.92738,0.982069,m.10277
m.10289,705,0,0,0,1,0,0,-0.02,-0.023,0.53045,0.97815,0.934866,General vesicular transport factor p115 OS=Bos taurus GN=USO1 PE=1 SV=1
m.10292,409,0,0,0,0,0,0,0.009,0.0101,0.540036,1,0.914471,"Acylglycerol kinase, mitochondrial OS=Homo sapiens GN=AGK PE=1 SV=2"
m.103,154,0,0,0,0,0,0,-0.093,-0.1066,0.531777,0.913736,0.999169,Predicted protein OS=Nematostella vectensis GN=v1g240016 PE=4 SV=1
m.10303,381,0,1,4,0,0,0,-0.79,-1.092,1,0.956933,0.920087,"DNA-directed RNA polymerase, mitochondrial OS=Mus musculus GN=Polrmt PE=2 SV=1"
m.10304,278,5,12,13,8,3,3,-0.798,-2.3807,0.277647,0.985789,0.069075,Hemicentin-1 OS=Homo sapiens GN=HMCN1 PE=1 SV=2
m.10319,661,0,0,0,0,0,0,-0.081,-0.0909,0.528767,0.925026,0.984849,Splicing regulatory glutamine/lysine-rich protein 1 OS=Homo sapiens GN=SREK1 PE=1 SV=1
m.10323,140,0,0,0,0,0,0,-0.034,-0.038,0.528013,0.963706,0.946227,Short coiled-coil protein B OS=Danio rerio GN=scocb PE=3 SV=1
m.10324,680,14,29,25,26,19,27,0.038,0.2157,0.755555,1,0.852863,"1,4-alpha-glucan-branching enzyme OS=Homo sapiens GN=GBE1 PE=1 SV=3"
m.10327,1122,2,4,2,9,2,2,0.445,0.9693,1,0.825169,0.968204,LIM domain-containing protein 2 OS=Bos taurus GN=LIMD2 PE=2 SV=1
m.1033,111,0,0,0,0,0,0,-0.076,-0.0925,0.52901,0.922704,0.987656,Carbonic anhydrase 7 OS=Mus musculus GN=Ca7 PE=1 SV=2
m.10334,867,0,0,0,0,0,0,-0.015,-0.0169,0.531774,0.984136,0.930538,Serine/threonine-protein kinase D3 OS=Mus musculus GN=Prkd3 PE=1 SV=1
m.10342,512,0,0,0,0,0,0,-0.055,-0.0589,0.526583,0.947381,0.960869,Multidrug resistance protein 1 OS=Homo sapiens GN=ABCB1 PE=1 SV=3
m.10346,250,0,2,2,1,0,0,-0.582,-0.7889,1,0.902467,1,Scavenger receptor cysteine-rich type 1 protein M160 OS=Homo sapiens GN=CD163L1 PE=1 SV=2
m.1035,165,0,0,0,0,0,0,-0.074,-0.0817,0.527592,0.932188,0.976594,Ubiquitin-conjugating enzyme E2 G2 OS=Pongo abelii GN=UBE2G2 PE=2 SV=1
m.10353,112,0,0,0,0,0,0,-0.042,-0.0476,0.527076,0.958141,0.950985,m.10353
m.10357,350,0,0,1,0,0,0,-0.027,-0.0325,0.528774,0.969394,0.94159,WD repeat-containing protein 5 OS=Rattus norvegicus GN=Wdr5 PE=2 SV=1
m.1036,1192,0,0,1,2,0,0,0.253,0.3268,1,1,0.853869,Splicing factor 3B subunit 1 OS=Xenopus laevis GN=sf3b1 PE=2 SV=1
m.10365,413,3,1,4,1,3,2,-0.337,-0.6057,1,0.861874,1,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g140878 PE=4 SV=1
m.10373,1031,0,1,0,0,0,0,-0.039,-0.0455,0.527243,0.95814,0.950986,Partitioning defective 3 homolog OS=Mus musculus GN=Pard3 PE=1 SV=2
m.10374,1005,0,2,0,1,0,1,-0.436,-0.554,1,0.851227,1,Nuclear pore complex protein Nup153 OS=Xenopus laevis GN=nup153 PE=1 SV=1
m.10378,725,6,4,18,10,10,10,0.048,0.1835,0.700506,1,0.856191,Uncharacterized protein RSN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RSN1 PE=1 SV=1
m.1038,113,5,4,4,3,2,5,-0.314,-0.6751,1,0.876622,1,Death-associated protein 1 OS=Homo sapiens GN=DAP PE=1 SV=3
m.10382,296,0,0,0,0,0,0,-0.047,-0.0538,0.526726,0.952698,0.955866,Glutamate--cysteine ligase regulatory subunit OS=Rattus norvegicus GN=Gclm PE=1 SV=1
m.10387,484,3,4,6,7,12,10,0.791,2.3582,0.228889,0.032633,0.9882,Laccase domain-containing protein 1 OS=Homo sapiens GN=LACC1 PE=1 SV=1
m.10393,233,0,1,1,3,0,1,0.501,0.6788,1,1,0.919371,Semaphorin-5B OS=Mus musculus GN=Sema5b PE=2 SV=2
m.104,1674,6,27,107,23,36,29,-0.491,-3.7687,0.001977,0.965244,0.000255,Clathrin heavy chain 1 OS=Mus musculus GN=Cltc PE=1 SV=3
m.1041,396,0,0,2,0,0,0,-0.402,-0.4947,1,0.841926,1,"KH domain-containing, RNA-binding, signal transduction-associated protein 2 OS=Xenopus tropicalis GN=khdrbs2 PE=2 SV=1"
m.1042,331,1,9,8,3,2,5,-0.629,-1.6856,1,0.995291,0.366065,Uroporphyrinogen decarboxylase OS=Danio rerio GN=urod PE=2 SV=1
m.10423,229,0,0,1,0,0,0,-0.073,-0.0933,0.529143,0.922704,0.987657,Putative L-aspartate dehydrogenase OS=Xenopus tropicalis GN=aspdh PE=2 SV=1
m.1044,836,0,0,0,0,0,0,0.051,0.0573,0.56424,1,0.891094,Coiled-coil and C2 domain-containing protein 1-like OS=Drosophila pseudoobscura pseudoobscura GN=GA18377 PE=3 SV=2
m.10457,752,0,0,24,0,0,0,-2.317,-3.7094,0.002623,0.965824,0.000346,Probable ATP-dependent RNA helicase DDX4 OS=Xenopus laevis GN=ddx4 PE=2 SV=1
m.10462,456,2,0,0,0,0,0,-0.317,-0.375,0.818928,0.833645,1,Serine/threonine-protein kinase 38-like OS=Homo sapiens GN=STK38L PE=1 SV=3
m.10463,220,0,2,1,1,0,0,-0.408,-0.5066,1,0.843881,1,Parkinson disease 7 domain-containing protein 1 OS=Xenopus laevis GN=pddc1 PE=2 SV=1
m.10468,320,13,37,43,31,14,24,-0.311,-2.0144,0.650628,0.993922,0.180056,m.10468
m.10469,238,0,0,0,0,0,0,0.027,0.0306,0.548981,1,0.903721,Proteasome activator complex subunit 3 OS=Sus scrofa GN=PSME3 PE=2 SV=1
m.10472,547,6,13,19,12,7,32,0.272,1.2711,1,0.512045,0.993923,Interferon-induced guanylate-binding protein 1 OS=Chlorocebus aethiops GN=GBP1 PE=2 SV=1
m.10484,222,0,0,2,0,0,0,-0.319,-0.3827,0.835367,0.833595,1,Coiled-coil domain-containing protein 124-A OS=Xenopus laevis GN=ccdc124-a PE=2 SV=1
m.10496,298,16,68,61,72,89,73,0.467,4.2731,0.000031,0.000003,0.963335,Alcohol dehydrogenase [NADP(+)] OS=Pongo abelii GN=AKR1A1 PE=2 SV=1
m.10498,209,0,0,0,0,0,0,-0.042,-0.0511,0.526852,0.955405,0.95341,m.10498
m.10499,214,0,0,0,0,0,0,-0.051,-0.0574,0.526612,0.950024,0.958353,"Methylglutaconyl-CoA hydratase, mitochondrial OS=Homo sapiens GN=AUH PE=1 SV=1"
m.1050,816,0,0,0,1,0,0,-0.154,-0.1769,0.561481,0.876625,1,m.1050
m.1054,285,22,45,48,27,36,34,-0.189,-1.4561,1,0.988756,0.5552,E3 ubiquitin-protein ligase TRIM71 OS=Homo sapiens GN=TRIM71 PE=1 SV=1
m.10543,123,0,0,1,0,0,0,-0.001,-0.0008,0.536225,0.996439,0.922261,Dimethylaniline monooxygenase [N-oxide-forming] 3 OS=Canis familiaris GN=FMO3 PE=2 SV=3
m.10547,1648,0,0,0,2,0,0,0.281,0.3639,1,1,0.857823,Serine/threonine-protein kinase WNK1 OS=Rattus norvegicus GN=Wnk1 PE=1 SV=2
m.10556,217,0,0,0,0,0,0,-0.059,-0.0638,0.526577,0.944769,0.963416,Predicted protein OS=Nematostella vectensis GN=v1g247020 PE=4 SV=1
m.10557,131,0,1,0,0,1,0,-0.027,-0.0314,0.528939,0.969393,0.941591,SNARE-associated protein Snapin OS=Homo sapiens GN=SNAPIN PE=1 SV=1
m.10558,176,1,0,1,2,0,1,0.292,0.3822,1,1,0.860071,Predicted protein OS=Nematostella vectensis GN=v1g246076 PE=4 SV=1
m.1056,473,0,0,0,0,0,0,-0.025,-0.0293,0.529286,0.972283,0.939317,Regulator of G-protein signaling 7 OS=Bos taurus GN=RGS7 PE=1 SV=1
m.10560,427,15,29,44,8,33,32,-0.194,-1.2945,1,0.978427,0.711824,PH domain-containing protein DDB_G0267786 OS=Dictyostelium discoideum GN=DDB_G0267786 PE=4 SV=1
m.10567,295,0,0,0,0,0,0,-0.05,-0.0579,0.526598,0.950024,0.958353,Transmembrane protease serine 3 OS=Mus musculus GN=Tmprss3 PE=1 SV=2
m.10575,652,1,2,2,1,2,4,0.342,0.5643,1,1,0.894779,Grainyhead-like protein 2 homolog OS=Mus musculus GN=Grhl2 PE=2 SV=1
m.10586,414,0,0,2,0,0,1,-0.306,-0.3691,0.806702,0.833765,1,N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D OS=Homo sapiens GN=NAPEPLD PE=1 SV=2
m.10597,345,1,0,5,2,1,3,-0.186,-0.3283,0.73072,0.836176,1,Serine/threonine-protein phosphatase 4 regulatory subunit 2 OS=Drosophila melanogaster GN=PPP4R2r PE=1 SV=2
m.10598,316,0,0,0,0,0,0,0.012,0.0124,0.540924,1,0.914475,Predicted protein OS=Nematostella vectensis GN=v1g233708 PE=4 SV=1
m.1060,147,2,3,9,0,0,0,-1.684,-2.3314,0.313515,0.986965,0.078984,Calmodulin OS=Renilla reniformis PE=1 SV=2
m.10600,201,0,1,2,0,0,2,-0.123,-0.1619,0.55285,0.883033,1,"Frataxin, mitochondrial OS=Bos taurus GN=FXN PE=2 SV=1"
m.10601,162,3,0,0,1,2,0,-0.32,-0.4452,0.989611,0.836218,1,Probable 8-oxo-dGTP diphosphatase NUDT15 OS=Mus musculus GN=Nudt15 PE=1 SV=1
m.10605,698,0,2,1,1,0,0,-0.41,-0.4846,1,0.840571,1,Peptidyl-glycine alpha-amidating monooxygenase A OS=Xenopus laevis GN=pam-a PE=1 SV=3
m.10613,219,0,0,0,0,0,0,-0.098,-0.1157,0.534111,0.909443,1,m.10613
m.10621,420,4,2,0,8,10,15,1.543,3.662,0.000941,0.000109,0.969246,Creatine kinase B-type OS=Bos taurus GN=CKB PE=2 SV=1
m.10630,336,0,0,0,0,0,0,-0.038,-0.041,0.527669,0.963708,0.946225,LIM and senescent cell antigen-like-containing domain protein 1 OS=Mus musculus GN=Lims1 PE=1 SV=3
m.10633,281,0,0,0,0,0,0,-0.101,-0.1106,0.532753,0.911575,1,N-acylglucosamine 2-epimerase OS=Mus musculus GN=Renbp PE=1 SV=3
m.10642,392,0,0,0,1,1,0,-0.111,-0.1219,0.535958,0.905285,1,Developmentally-regulated GTP-binding protein 1 OS=Xenopus laevis GN=drg1 PE=2 SV=1
m.10645,257,0,0,2,0,0,1,-0.362,-0.4711,1,0.838923,1,m.10645
m.10676,104,1,4,7,2,1,2,-0.928,-1.7395,1,0.995742,0.330618,Haloacid dehalogenase-like hydrolase domain-containing protein 2 OS=Bos taurus GN=HDHD2 PE=2 SV=1
m.10687,410,0,0,0,0,0,0,-0.112,-0.1284,0.538111,0.901256,1,m.10687
m.1069,424,2,5,8,7,0,3,-0.349,-0.8806,1,0.921672,1,T-complex protein 1 subunit gamma OS=Bos taurus GN=CCT3 PE=1 SV=1
m.10693,451,0,0,0,0,0,0,-0.19,-0.2088,0.584263,0.862774,1,Fibrillin-2 OS=Mus musculus GN=Fbn2 PE=1 SV=2
m.107,99,34,107,118,81,52,69,-0.265,-2.9114,0.073921,0.974635,0.011902,m.107
m.10713,218,38,36,30,36,43,45,0.165,1.2758,1,0.508999,0.994083,Ras-related protein Rab-11A OS=Rattus norvegicus GN=Rab11a PE=1 SV=3
m.10714,429,0,1,2,7,10,0,1.499,2.7059,0.079034,0.008853,0.982856,Septin-8 OS=Xenopus tropicalis GN=sept8 PE=2 SV=1
m.10723,443,1,10,6,4,5,6,-0.157,-0.4479,0.997108,0.836512,1,GDP-fucose protein O-fucosyltransferase 2 OS=Mus musculus GN=Pofut2 PE=1 SV=1
m.10726,1630,1,18,8,22,20,14,0.75,3.224,0.007325,0.000928,0.975215,Collagen alpha-2(I) chain OS=Rattus norvegicus GN=Col1a2 PE=1 SV=3
m.1073,371,1,0,3,0,2,0,-0.32,-0.434,0.95922,0.835433,1,Tropomodulin-2 OS=Homo sapiens GN=TMOD2 PE=1 SV=1
m.10735,447,0,0,0,0,0,0,-0.032,-0.0363,0.528236,0.966535,0.943892,E3 ubiquitin-protein ligase parkin OS=Rattus norvegicus GN=Park2 PE=1 SV=1
m.1074,292,17,21,28,23,27,30,0.174,1.0217,1,0.767356,0.974287,Phytanoyl-CoA dioxygenase domain-containing protein 1 OS=Homo sapiens GN=PHYHD1 PE=1 SV=2
m.10744,282,2,14,37,5,2,23,-0.571,-2.5449,0.184738,0.981759,0.042107,Sorbitol dehydrogenase OS=Ovis aries GN=SORD PE=1 SV=1
m.10756,2004,0,0,0,1,0,1,-0.086,-0.101,0.530557,0.918154,0.99336,Tyrosine-protein phosphatase non-receptor type 23 (Fragment) OS=Rattus norvegicus GN=Ptpn23 PE=1 SV=2
m.10763,330,0,0,0,0,4,0,0.736,0.9912,1,0.801861,0.970729,m.10763
m.10765,227,0,0,0,0,0,0,-0.037,-0.0417,0.527597,0.960907,0.948591,m.10765
m.10767,590,0,0,1,0,0,0,-0.03,-0.0328,0.528729,0.969394,0.941589,Pericentriolar material 1 protein OS=Gallus gallus GN=PCM1 PE=2 SV=1
m.10779,234,0,0,0,0,0,0,-0.144,-0.1607,0.552211,0.883035,1,Ran GTPase-activating protein 1 OS=Xenopus laevis GN=rangap1 PE=2 SV=1
m.10784,177,0,0,0,0,0,0,-0.032,-0.0396,0.52783,0.963706,0.946226,ADP-ribosylation factor 1 OS=Solanum tuberosum PE=2 SV=2
m.10790,402,0,3,3,1,3,4,0.103,0.2091,0.743494,1,0.853452,4-hydroxyphenylpyruvate dioxygenase-like protein OS=Rattus norvegicus GN=Hpdl PE=2 SV=1
m.10801,1026,0,0,0,0,0,0,-0.088,-0.1069,0.531848,0.913736,0.99917,Ubiquitin carboxyl-terminal hydrolase 25 OS=Mus musculus GN=Usp25 PE=1 SV=2
m.10807,572,39,24,40,20,31,24,-0.329,-1.976,0.704521,0.994495,0.196641,Predicted protein OS=Nematostella vectensis GN=v1g197490 PE=4 SV=1
m.10812,189,0,0,0,0,1,1,-0.063,-0.073,0.526894,0.937125,0.971234,Agrin OS=Gallus gallus GN=AGRN PE=1 SV=3
m.10816,192,4,3,3,4,6,3,0.262,0.5948,1,1,0.901365,THAP domain-containing protein 4 OS=Mus musculus GN=Thap4 PE=2 SV=1
m.10817,422,0,0,0,0,0,0,-0.024,-0.0274,0.52961,0.975204,0.937075,Synapsin-2 OS=Rattus norvegicus GN=Syn2 PE=1 SV=1
m.10818,372,6,11,31,2,0,6,-1.738,-4.7506,0.000011,0.960075,0.000001,Arylsulfatase I OS=Mus musculus GN=Arsi PE=2 SV=1
m.10820,447,0,0,0,0,0,2,0.315,0.4111,1,1,0.864704,"Beta-1,3-glucosyltransferase OS=Mus musculus GN=B3galtl PE=2 SV=3"
m.10831,206,0,1,0,0,0,0,0.005,0.0057,0.538421,1,0.918306,Latrophilin Cirl OS=Drosophila pseudoobscura pseudoobscura GN=Cirl PE=3 SV=2
m.10838,128,0,0,1,0,0,0,-0.023,-0.0266,0.529759,0.975202,0.937076,Nicotinate phosphoribosyltransferase OS=Drosophila melanogaster GN=CG3714 PE=2 SV=2
m.10852,208,0,0,2,0,0,5,0.572,0.89,1,0.916256,0.957367,Maleylacetoacetate isomerase OS=Mus musculus GN=Gstz1 PE=1 SV=1
m.10862,241,1,0,6,0,0,1,-1.127,-1.6053,1,0.993893,0.427678,Ubiquitin thioesterase OTUB1 OS=Rattus norvegicus GN=Otub1 PE=1 SV=1
m.10878,258,0,0,1,0,0,0,-0.065,-0.0752,0.527028,0.937125,0.971234,Splicing factor 3A subunit 2 OS=Homo sapiens GN=SF3A2 PE=1 SV=2
m.10881,279,0,0,0,0,0,0,-0.109,-0.1269,0.537593,0.901258,1,Cytochrome P450 3A41 OS=Mus musculus GN=Cyp3a41a PE=2 SV=2
m.10883,471,25,70,73,52,57,58,-0.016,-0.1635,0.553703,0.883028,1,"Serine hydroxymethyltransferase, mitochondrial OS=Homo sapiens GN=SHMT2 PE=1 SV=3"
m.10886,397,2,2,5,5,3,11,0.763,1.9052,0.559306,0.129063,0.996736,Phospholipase D3 OS=Xenopus laevis GN=pld3 PE=2 SV=1
m.1089,117,0,0,2,1,0,0,-0.434,-0.5286,1,0.847096,1,"ATP synthase-coupling factor 6, mitochondrial OS=Rattus norvegicus GN=Atp5j PE=1 SV=1"
m.10893,298,9,8,30,36,19,13,0.351,1.8555,0.61367,0.147275,0.997645,Tropomyosin alpha-1 chain OS=Liza aurata PE=1 SV=1
m.10899,216,0,0,4,1,0,0,-0.777,-1.0181,1,0.945965,0.99943,Protein rolling stone OS=Drosophila melanogaster GN=rost PE=2 SV=2
m.10901,228,1,7,2,5,6,8,0.603,1.5171,1,0.321317,1,m.10901
m.10905,398,2,10,22,10,13,16,0.128,0.5384,1,1,0.888971,26S proteasome non-ATPase regulatory subunit 11 OS=Xenopus tropicalis GN=psmd11 PE=3 SV=2
m.10909,251,1,3,0,0,0,0,-0.609,-0.7847,1,0.900977,1,Dorsal-ventral patterning tolloid-like protein 1 OS=Danio rerio GN=tll1 PE=2 SV=1
m.10911,115,0,0,0,0,0,0,-0.02,-0.0223,0.530593,0.978149,0.934867,Aldehyde dehydrogenase family 8 member A1 OS=Mus musculus GN=Aldh8a1 PE=1 SV=1
m.10914,217,4,2,3,1,3,12,0.543,1.3467,1,0.447559,0.996918,Ras-related protein Rab-14 OS=Pongo abelii GN=RAB14 PE=2 SV=3
m.10915,153,0,5,0,0,0,0,-0.895,-1.1651,1,0.965847,0.844714,Predicted protein OS=Nematostella vectensis GN=v1g213018 PE=4 SV=1
m.10923,594,0,2,9,0,0,0,-1.543,-2.1895,0.440768,0.990386,0.11597,Phosphoribosylformylglycinamidine synthase OS=Mus musculus GN=Pfas PE=2 SV=1
m.10925,224,0,0,0,0,0,0,-0.067,-0.0812,0.527545,0.932189,0.976593,WD repeat domain phosphoinositide-interacting protein 3 OS=Gallus gallus GN=WDR45B PE=2 SV=1
m.10928,723,0,5,0,0,0,0,-0.953,-1.3493,1,0.982729,0.654636,Peroxidasin OS=Drosophila melanogaster GN=Pxn PE=1 SV=1
