PROTID,DEFLINE,PN1,PO1,WN31,WO31,OO1,ON2,ON3,ON1,OO2,OO3,OO2,WO31,OO1,ON2,ON3,PN1,PO1,WN31,WO31,OO1,ON2,ON3,PN1,PO1,WN31,OO2,ON1,OO3
m.33885,m.33885,1,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0
m.33899,"C-1-tetrahydrofolate synthase, cytoplasmic OS=Mus musculus GN=Mthfd1 PE=1 SV=4",1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,0,2,1,1,1,1,2,1,0,0
m.33912,m.33912,2,0,0,2,1,1,0,0,0,0,1,2,0,0,0,1,1,0,1,2,0,0,2,2,0,0,0,0
m.1188,Heat shock 70 kDa protein 4 OS=Canis familiaris GN=HSPA4 PE=1 SV=1,5,5,3,5,3,3,5,5,4,3,4,4,3,2,3,6,3,5,5,2,5,5,4,4,4,3,6,3
m.34056,"C-1-tetrahydrofolate synthase, cytoplasmic OS=Rattus norvegicus GN=Mthfd1 PE=1 SV=3",5,2,1,1,3,2,4,2,3,3,2,1,2,4,2,3,4,2,1,3,2,1,4,3,4,3,3,2
m.3406,Fibroblast growth factor receptor 3 OS=Homo sapiens GN=FGFR3 PE=1 SV=1,1,0,2,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
m.34074,Endoglucanase 4 OS=Bacillus sp. (strain KSM-522) PE=3 SV=2,3,3,3,1,6,4,3,5,1,4,3,0,7,3,2,3,4,1,0,5,3,4,2,3,4,2,4,3
m.3410,Protein enabled homolog OS=Homo sapiens GN=ENAH PE=1 SV=2,4,2,2,2,2,3,3,2,3,3,5,2,2,2,3,3,2,3,2,2,3,3,4,2,3,3,3,3
m.34124,3-mercaptopyruvate sulfurtransferase OS=Homo sapiens GN=MPST PE=1 SV=3,0,0,0,0,1,2,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,2
m.34157,m.34157,9,9,4,5,2,10,7,6,8,7,8,5,3,10,7,5,6,3,5,2,7,6,6,8,2,8,9,9
m.34189,Adenosine kinase OS=Mus musculus GN=Adk PE=1 SV=2,8,5,3,2,6,9,5,6,8,6,7,2,5,5,9,6,4,3,4,7,7,5,7,4,3,8,6,4
m.342,Voltage-dependent anion-selective channel protein 2 OS=Xenopus laevis GN=vdac2 PE=1 SV=1,7,5,1,3,2,4,6,5,6,5,6,4,2,5,4,5,5,1,3,2,4,4,6,4,2,5,5,5
m.3422,m.3422,1,1,0,0,0,2,1,4,2,3,2,0,0,2,1,1,1,0,0,0,1,0,1,0,0,3,1,4
m.34230,Nuclear cap-binding protein subunit 1 OS=Drosophila willistoni GN=Cbp80 PE=3 SV=1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,0,1,0,0,1,1,0,0,1,0,1
m.11921,Glycine N-methyltransferase OS=Homo sapiens GN=GNMT PE=1 SV=3,3,0,2,2,1,0,0,0,0,1,1,1,0,0,0,3,0,0,1,0,0,0,2,0,0,0,0,0
m.3426,Prominin-1-A OS=Danio rerio GN=prom1a PE=2 SV=2,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,2,0,1,0,0,1,0,0,1
m.34307,5-oxoprolinase OS=Mus musculus GN=Oplah PE=2 SV=1,2,1,0,1,0,2,3,2,1,1,1,2,1,3,3,2,1,1,0,1,4,2,2,0,0,1,1,0
m.34320,Allene oxide synthase-lipoxygenase protein OS=Plexaura homomalla PE=1 SV=1,3,4,2,3,4,3,8,1,7,4,11,4,3,2,5,3,6,4,3,2,1,7,5,5,1,7,1,5
m.34388,Peroxisomal multifunctional enzyme type 2 OS=Homo sapiens GN=HSD17B4 PE=1 SV=3,4,3,0,1,0,1,0,1,0,0,1,1,1,0,2,2,2,2,3,0,1,2,2,1,2,0,1,0
m.34428,Unknown,0,0,5,0,0,0,1,0,0,4,0,0,0,0,1,0,0,3,0,0,0,1,1,0,4,0,0,4
m.3444,26S proteasome non-ATPase regulatory subunit 7 OS=Drosophila melanogaster GN=Rpn8 PE=1 SV=6,2,2,1,2,2,1,2,1,2,2,2,3,2,1,2,2,2,1,3,2,1,1,2,3,2,2,1,1
m.34462,Fumarylacetoacetase OS=Bos taurus GN=FAH PE=2 SV=1,5,3,2,0,1,4,0,3,2,3,5,0,2,2,1,4,1,1,0,1,2,0,3,1,1,2,4,1
m.34604,m.34604,2,1,1,0,2,5,1,2,4,4,3,0,3,4,1,3,1,1,0,2,5,0,3,3,3,3,1,3
m.34605,Predicted protein OS=Nematostella vectensis GN=v1g207953 PE=4 SV=1,1,0,0,0,1,2,2,1,1,1,2,0,1,1,1,1,0,1,1,1,0,3,1,1,2,1,0,1
m.3462,Microtubule-actin cross-linking factor 1 OS=Mus musculus GN=Macf1 PE=1 SV=2,30,14,18,8,19,27,44,15,27,30,25,10,20,34,41,30,14,17,10,22,33,45,29,15,24,27,14,29
m.11924,Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens GN=IQGAP1 PE=1 SV=1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2
m.3463,"Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5 OS=Homo sapiens GN=MACF1 PE=1 SV=4",12,8,9,5,10,8,18,6,9,11,6,4,10,8,15,12,7,7,5,10,10,17,12,6,8,7,6,10
m.34688,m.34688,3,4,2,4,2,2,2,1,2,2,3,3,4,2,3,3,3,3,4,3,2,4,3,4,4,3,2,2
m.347,Catalase OS=Drosophila melanogaster GN=Cat PE=1 SV=2,32,11,15,12,17,24,16,33,20,31,19,13,19,25,16,26,11,14,11,19,24,18,34,11,17,18,24,25
m.34706,Mitochondrial-processing peptidase subunit alpha OS=Mus musculus GN=Pmpca PE=1 SV=1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,1,0,1
m.3477,"Pyruvate carboxylase, mitochondrial OS=Homo sapiens GN=PC PE=1 SV=2",14,11,11,7,14,14,22,15,15,19,16,7,14,11,21,14,7,10,10,13,12,22,16,10,12,15,11,15
m.34772,FK506-binding protein 15 OS=Homo sapiens GN=FKBP15 PE=1 SV=2,2,2,0,0,1,1,2,2,1,1,1,0,1,1,2,3,1,2,1,2,2,3,3,2,0,2,1,2
m.34788,Predicted protein OS=Nematostella vectensis GN=v1g207953 PE=4 SV=1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
m.348,Galaxin OS=Galaxea fascicularis GN=galaxin PE=2 SV=1,10,4,4,3,3,6,7,11,3,5,5,6,3,3,8,11,4,4,3,2,6,5,12,3,5,2,8,4
m.34844,Coiled-coil domain-containing protein 12 OS=Mus musculus GN=Ccdc12 PE=2 SV=2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
m.3494,"Spectrin alpha chain, non-erythrocytic 1 OS=Rattus norvegicus GN=Sptan1 PE=1 SV=2",106,101,69,77,72,113,99,95,133,118,133,79,72,115,98,109,103,74,78,72,110,106,99,104,73,128,81,103
m.10119,AP-3 complex subunit mu-1 OS=Pongo abelii GN=AP3M1 PE=2 SV=1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
m.11933,Charged multivesicular body protein 1a OS=Danio rerio GN=chmp1a PE=2 SV=1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,2,0,0,1,1,1,1,1,0,0,1,0,0
m.34991,Uncharacterized protein y4mH OS=Rhizobium sp. (strain NGR234) GN=NGR_a02510 PE=4 SV=1,1,2,3,3,2,4,3,1,5,3,4,3,3,2,2,3,2,2,1,3,2,2,2,1,3,4,3,3
m.34996,m.34996,2,1,1,0,0,1,1,1,1,2,1,0,1,1,1,2,1,1,1,1,0,2,2,1,1,1,1,1
m.35012,m.35012,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
m.35071,m.35071,1,1,2,0,1,2,1,2,2,1,1,1,1,1,1,2,2,3,1,0,2,1,2,2,0,1,1,2
m.35136,m.35136,3,3,3,1,2,3,2,3,1,1,1,1,2,2,2,3,2,2,0,1,2,3,1,1,1,2,2,2
m.35147,Myosin regulatory light polypeptide 9 OS=Bos taurus GN=MYL9 PE=2 SV=3,2,2,2,2,0,1,2,0,2,2,2,1,1,0,3,1,4,3,1,0,0,3,1,3,2,2,0,1
m.3530,Scavenger receptor cysteine-rich domain superfamily protein OS=Patiria pectinifera GN=SRCR1 PE=1 SV=1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,1,0,0,0
m.35307,Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens GN=IQGAP1 PE=1 SV=1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
m.3535,Stress-induced-phosphoprotein 1 OS=Macaca fascicularis GN=STIP1 PE=2 SV=1,4,0,0,1,0,2,3,1,2,2,2,0,0,2,0,4,0,0,1,1,3,1,2,2,0,1,1,3
m.35429,L-ectoine synthase OS=Marinococcus halophilus GN=ectC PE=3 SV=1,1,0,0,0,0,1,0,2,0,1,2,0,0,2,1,2,0,0,0,0,2,0,1,0,0,0,1,1
m.11993,Cytochrome P450 20A1 OS=Bos taurus GN=CYP20A1 PE=2 SV=1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
m.3543,Lipoxygenase OS=Actineria villosa GN=Avt-lox PE=2 SV=1,2,5,2,3,1,3,4,1,11,1,8,4,1,1,3,2,6,1,4,1,2,6,3,4,1,7,0,1
m.3547,RimK domain protein ATP-grasp OS=Rhodomicrobium vannielii (strain ATCC 17100 / ATH 3.1.1 / DSM 162 / LMG 4299) GN=Rvan_2759 PE=4 SV=1,2,1,1,1,1,2,1,2,2,3,3,0,2,2,3,1,1,0,2,0,1,3,2,1,0,1,1,1
m.355,Glutathione S-transferase OS=Musca domestica PE=2 SV=1,21,19,15,14,14,26,18,23,20,23,24,16,16,26,20,13,17,14,15,15,25,19,24,20,15,23,19,19
m.35564,von Willebrand factor A domain-containing protein 2 OS=Mus musculus GN=Vwa2 PE=1 SV=1,5,3,3,4,2,1,2,1,2,2,2,4,2,1,2,5,3,3,3,2,1,2,3,4,2,2,1,3
m.35648,Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D OS=Homo sapiens GN=SSC5D PE=2 SV=3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
m.357,Coagulation factor VIII OS=Homo sapiens GN=F8 PE=1 SV=1,2,2,2,3,2,1,3,3,3,0,1,3,2,1,2,2,2,1,3,2,0,1,1,1,2,2,1,2
m.3586,Cysteine synthase OS=Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) GN=cysB PE=3 SV=2,0,0,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,1,1
m.35895,Coagulation factor VIII OS=Canis familiaris GN=F8 PE=2 SV=1,1,1,3,1,4,2,1,2,1,2,1,1,3,1,1,1,1,2,1,3,1,1,2,0,1,1,1,1
m.35911,Filamin-A OS=Drosophila melanogaster GN=cher PE=1 SV=2,6,6,4,5,4,4,4,4,3,3,2,4,4,3,4,4,4,4,3,4,4,3,5,7,4,3,1,3
m.35966,Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,2,0,0
m.12002,Phosphoglucomutase-2 OS=Mus musculus GN=Pgm2 PE=1 SV=1,1,0,0,1,1,0,3,2,1,2,2,1,2,2,2,2,0,1,1,0,1,0,4,1,1,1,2,0
m.36003,Dynactin subunit 2 OS=Homo sapiens GN=DCTN2 PE=1 SV=4,3,2,2,4,3,2,3,2,2,3,2,4,3,3,4,2,3,2,3,3,1,3,3,3,2,4,1,2
m.36021,Collagen alpha-1(XIV) chain OS=Mus musculus GN=Col14a1 PE=2 SV=2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
