"","Protein","Len","S0","S0.1","S0.2","S1","S1.1","S1.2","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","UniprotID","DEFLINE"
"65","m.10928",723,2,1,1,3,2,2,0.71,0.7881,0.012281,0.002405,0.808438,"Q9VZZ4","Peroxidasin OS=Drosophila melanogaster GN=Pxn PE=1 SV=1                      "
"66","m.10938",346,1,1,1,1,1,2,-0.22,-0.2244,1,0.612283,0.905662,"Q8VHT6","Arsenite methyltransferase OS=Rattus norvegicus GN=As3mt PE=1 SV=1                     "
"67","m.10939",1302,0,3,1,1,2,0,-0.11,-0.1075,1,0.514809,0.923456,"Q4U2R1","E3 ubiquitin-protein ligase HERC2 OS=Mus musculus GN=Herc2 PE=1 SV=3                   "
"68","m.10974",566,2,2,2,1,1,2,-0.606,-0.6554,0.977946,0.763334,0.638163,"P31335","Bifunctional purine biosynthesis protein PURH OS=Gallus gallus GN=ATIC PE=1 SV=1                  "
"69","m.110",1165,23,27,27,25,29,28,-0.029,-0.1093,1,0.51654,0.92325,"Q80Y17","Lethal(2) giant larvae protein homolog 1 OS=Mus musculus GN=Llgl1 PE=1 SV=1                 "
"70","m.1100",513,1,1,1,2,2,1,0.342,0.3553,0.357408,0.079559,0.898163,"Q61753","D-3-phosphoglycerate dehydrogenase OS=Mus musculus GN=Phgdh PE=1 SV=3                     "
"71","m.1103",1107,0,0,0,0,0,1,-0.287,-0.3004,0.999998,0.659603,0.887581,"Q32LP4","Sodium-driven chloride bicarbonate exchanger OS=Bos taurus GN=SLC4A10 PE=2 SV=1                   "
"72","m.11035",299,2,2,2,1,1,1,-0.609,-0.6409,0.985895,0.761654,0.656339,"Q3T0B6","Complement component 1 Q subcomponent-binding protein mitochondrial OS=Bos taurus GN=C1QBP PE=2 SV=1                           "
"73","m.11041",876,0,0,0,1,1,1,-0.388,-0.3729,1,0.694388,0.863107,"Q2VB19","Pumilio homolog 1 OS=Gallus gallus GN=PUM1 PE=2 SV=1                    "
"74","m.11100",1144,8,6,6,5,6,4,-0.052,-0.0903,1,0.497932,0.925339,"A3KPW9","Large proline-rich protein BAG6 OS=Danio rerio GN=Bag6 PE=3 SV=1                   "
"75","m.11107",150,6,7,8,6,6,7,-0.214,-0.4225,1,0.713224,0.840837,"Q9CPW4","Actin-related protein 3-Feb complex subunit 5 OS=Mus musculus GN=Arpc5 PE=2 SV=3                 "
"76","m.11115",300,2,1,1,1,1,1,-0.396,-0.3781,1,0.696539,0.861008,"Q9U8W7","Techylectin-5B OS=Tachypleus tridentatus PE=1 SV=1                       "
"77","m.11137",540,0,0,1,1,1,1,-0.313,-0.3159,1,0.667834,0.883028,"A9JTG5","RanBP-type and C3HC4-type zinc finger-containing protein 1 OS=Danio rerio GN=rbck1 PE=2 SV=1                "
"78","m.11149",227,5,5,6,6,6,4,0.121,0.2226,0.652518,0.167956,0.92251,"O14818","Proteasome subunit alpha type-7 OS=Homo sapiens GN=PSMA7 PE=1 SV=1                   "
"79","m.11152",593,2,1,1,1,1,1,-0.455,-0.4274,1,0.71489,0.838342,"4780878","Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1                      "
"80","m.1116",106,0,1,1,0,0,0,-0.254,-0.2537,1,0.631951,0.899444,NA,NA
"81","m.1126",148,1,3,2,1,2,1,-0.531,-0.5514,1,0.747393,0.752451,"Q5REY2","60S ribosomal protein L27a OS=Pongo abelii GN=RPL27A PE=2 SV=3                   "
"82","m.11265",213,2,1,1,1,1,0,-0.255,-0.2386,1,0.622046,0.902756,"Q61220","Protein kinase C-binding protein NELL2 OS=Mus musculus GN=Nell2 PE=2 SV=3                  "
"83","m.113",378,13,12,11,14,17,13,0.323,0.8475,0.006762,0.001314,0.799748,NA,NA
"84","m.11319",252,0,0,0,1,1,1,-0.338,-0.3101,1,0.664807,0.884771,"Q6P371","Hydroxyacid-oxoacid transhydrogenase mitochondrial OS=Xenopus tropicalis GN=adhfe1 PE=2 SV=1                           "
"85","m.1133",280,0,3,2,0,1,1,-0.684,-0.735,0.910405,0.769689,0.529473,"Q9Y365","PCTP-like protein OS=Homo sapiens GN=STARD10 PE=1 SV=2                     "
"86","m.11340",155,1,2,1,1,1,0,-0.101,-0.1022,1,0.509674,0.924053,"Q03376","Balbiani ring protein 3 OS=Chironomus tentans GN=BR3 PE=2 SV=1                   "
"87","m.11346",282,1,2,0,0,0,0,-0.349,-0.3513,1,0.684984,0.871293,"51839299","Chromosome undetermined SCAF6613 whole genome shotgun sequence OS=Tetraodon nigroviridis GN=GSTENG00003063001 PE=4 SV=1                           "
"88","m.1135",538,1,2,1,0,0,1,-0.325,-0.3254,1,0.672656,0.880069,"P97793","ALK tyrosine kinase receptor OS=Mus musculus GN=Alk PE=1 SV=2                   "
"89","m.11354",351,7,5,7,7,6,7,0.142,0.2714,0.539797,0.130029,0.914766,"P43903","Quinone oxidoreductase OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=qor PE=3 SV=2        "
"90","m.11397",230,1,0,0,0,0,0,-0.439,-0.4383,1,0.718481,0.832584,"P47032","Protein PRY1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRY1 PE=1 SV=1                "
"91","m.11405",546,0,1,1,1,0,0,-0.158,-0.1512,1,0.554833,0.91792,"Q7SXP2","NEDD8-activating enzyme E1 regulatory subunit OS=Danio rerio GN=nae1 PE=2 SV=2                  "
"92","m.1141",910,0,0,0,1,1,1,-0.243,-0.2423,1,0.624518,0.901966,"Q6F3J0","Nuclear factor NF-kappa-B p105 subunit OS=Canis familiaris GN=NFKB1 PE=2 SV=2                  "
"93","m.11436",297,0,0,0,0,1,1,-0.343,-0.3242,1,0.672056,0.88045,NA,NA
"94","m.11443",1087,0,0,0,2,1,2,0.366,0.3756,0.318727,0.06998,0.893711,"Q8BZE1","Putative DMBT1-like protein OS=Mus musculus PE=2 SV=2                     "
"95","m.11458",213,1,1,1,0,0,0,-0.212,-0.2035,1,0.597107,0.909602,"Q9H4G4","Golgi-associated plant pathogenesis-related protein 1 OS=Homo sapiens GN=GLIPR2 PE=1 SV=3                  "
"96","m.11472",334,1,1,2,2,1,3,-0.023,-0.0273,0.992371,0.431441,0.930945,"O95219","Sorting nexin-4 OS=Homo sapiens GN=SNX4 PE=1 SV=1                     "
"97","m.11482",410,0,0,1,0,1,1,-0.385,-0.354,1,0.686202,0.870315,"Q9BVL2","Nucleoporin p58/p45 OS=Homo sapiens GN=NUPL1 PE=1 SV=1                     "
"98","m.1149",736,1,2,1,2,2,1,0.254,0.2853,0.507838,0.120395,0.912269,"Q5EE04","Nucleoprotein TPR (Fragment) OS=Xenopus laevis GN=tpr PE=1 SV=1                    "
"99","m.115",216,6,6,5,4,5,5,-0.027,-0.0431,0.99722,0.448697,0.929758,"Q58DS9","Ras-related protein Rab-5C OS=Bos taurus GN=RAB5C PE=2 SV=1                    "
"100","m.1152",2284,1,1,2,1,1,1,-0.551,-0.5933,0.999999,0.754887,0.71131,"O35474","EGF-like repeat and discoidin I-like domain-containing protein 3 OS=Mus musculus GN=Edil3 PE=1 SV=2               "
"101","m.11523",224,1,0,0,1,0,0,-0.293,-0.3066,1,0.66295,0.8858,"P58200","Vesicle transport through interaction with t-SNAREs homolog 1B OS=Rattus norvegicus GN=Vti1b PE=1 SV=2               "
"102","m.11543",385,4,3,5,4,3,4,-0.104,-0.1757,1,0.575406,0.914277,"Q6PZE0","Mucin-19 OS=Mus musculus GN=Muc19 PE=2 SV=2                      "
"103","m.11553",214,6,6,6,5,5,4,-0.07,-0.125,1,0.53134,0.921376,"P46436","Glutathione S-transferase 1 OS=Ascaris suum GN=GST1 PE=1 SV=3                    "
"104","m.1157",147,2,2,2,2,2,2,-0.036,-0.0425,0.99706,0.448048,0.929806,"P25867","Ubiquitin-conjugating enzyme E2-17 kDa OS=Drosophila melanogaster GN=eff PE=2 SV=1                   "
"105","m.11603",537,0,0,1,1,0,0,-0.339,-0.3421,1,0.68074,0.874534,"3284280","Predicted protein OS=Nematostella vectensis GN=v1g219291 PE=4 SV=1                     "
"106","m.1163",121,3,3,3,2,5,2,-0.23,-0.3008,1,0.659821,0.887467,"Q4R5J1","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 OS=Macaca fascicularis GN=NDUFA5 PE=3 SV=3               "
"107","m.1164",164,0,1,0,1,1,1,-0.467,-0.4586,1,0.724753,0.821051,"Q8LGG8","Universal stress protein A-like protein OS=Arabidopsis thaliana GN=At3g01520 PE=1 SV=2                  "
"108","m.11654",271,2,2,1,0,0,0,-0.319,-0.3186,1,0.669221,0.882201,"4780878","Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1                      "
"109","m.11687",197,0,1,1,0,1,1,-0.203,-0.2045,1,0.597856,0.909422,"Q8VED2","Biogenesis of lysosome-related organelles complex 1 subunit 4 OS=Mus musculus GN=Bloc1s4 PE=1 SV=1               "
"110","m.11717",327,0,0,0,1,2,2,-0.079,-0.0852,1,0.492812,0.925869,"Q9H4G4","Golgi-associated plant pathogenesis-related protein 1 OS=Homo sapiens GN=GLIPR2 PE=1 SV=3                  "
"111","m.11724",829,1,1,2,2,4,5,0.263,0.3148,0.441767,0.101652,0.906605,"P21575","Dynamin-1 OS=Rattus norvegicus GN=Dnm1 PE=1 SV=2                      "
"112","m.11725",118,1,2,1,1,1,0,-0.313,-0.3189,1,0.669374,0.882108,"Q5EBF1","Cytosolic purine 5'-nucleotidase OS=Xenopus tropicalis GN=nt5c2 PE=2 SV=1                    "
"113","m.11744",384,3,2,3,3,3,2,-0.02,-0.0275,0.992441,0.431661,0.930931,"3279690","Predicted protein OS=Nematostella vectensis GN=v1g245710 PE=4 SV=1                     "
"114","m.11754",237,3,2,4,2,2,2,-0.533,-0.7022,0.943331,0.767628,0.575778,"Q0V8T8","Contactin-associated protein like 2-May OS=Mus musculus GN=Cntnap5b PE=2 SV=1                   "
"115","m.11767",390,0,0,0,1,0,0,-0.243,-0.2294,1,0.61577,0.904661,"Q9JLQ2","ARF GTPase-activating protein GIT2 OS=Mus musculus GN=Git2 PE=1 SV=2                   "
"116","m.1177",593,0,0,0,1,0,0,-0.227,-0.2128,1,0.60398,0.907897,"A7SFP1","Leucine-rich repeat protein soc-2 homolog OS=Nematostella vectensis GN=v1g189306 PE=3 SV=1                  "
"117","m.11786",188,0,0,0,1,1,0,-0.331,-0.3009,1,0.659876,0.887439,"P62323","Small nuclear ribonucleoprotein Sm D3 OS=Xenopus laevis GN=snrpd3 PE=2 SV=1                  "
"118","m.11819",281,2,2,2,1,1,2,-0.538,-0.5946,0.999999,0.755097,0.70992,"P47844","Carbonyl reductase [NADPH] 1 OS=Oryctolagus cuniculus GN=CBR1 PE=2 SV=2                   "
"119","m.11826",566,1,0,1,0,0,1,-0.385,-0.3712,1,0.693676,0.863782,"Q8CHT0","Delta-1-pyrroline-5-carboxylate dehydrogenase mitochondrial OS=Mus musculus GN=Aldh4a1 PE=1 SV=3                           "
"120","m.11828",346,1,0,0,0,0,0,-0.29,-0.2792,0.99995,0.647596,0.893289,"Q9JK84","Partitioning defective 6 homolog gamma OS=Mus musculus GN=Pard6g PE=2 SV=1                  "
"121","m.11831",212,6,7,7,2,5,4,-0.94,-1.4312,0.027953,0.755304,0.005229,"Q8L7C9","Glutathione S-transferase U20 OS=Arabidopsis thaliana GN=GSTU20 PE=1 SV=1                    "
"122","m.11832",897,3,7,9,8,7,9,-0.007,-0.0146,0.987436,0.417367,0.93177,"Q28C55","Disks large homolog 1 OS=Xenopus tropicalis GN=dlg1 PE=2 SV=1                   "
"123","m.11876",224,0,0,1,0,0,0,-0.191,-0.1708,1,0.5714,0.91504,"P13284","Gamma-interferon-inducible lysosomal thiol reductase OS=Homo sapiens GN=IFI30 PE=1 SV=3                   "
"124","m.1188",293,3,5,4,5,4,5,0.301,0.4527,0.197161,0.041614,0.876065,"Q2TFN9","Heat shock 70 kDa protein 4 OS=Canis familiaris GN=HSPA4 PE=1 SV=1                 "
"125","m.11898",748,0,0,1,0,0,0,-0.339,-0.3338,1,0.676784,0.877339,"Q9P2M4","TBC1 domain family member 14 OS=Homo sapiens GN=TBC1D14 PE=1 SV=3                  "
"126","m.11921",315,2,0,0,2,1,1,0.113,0.1187,0.858532,0.268171,0.932616,"Q14749","Glycine N-methyltransferase OS=Homo sapiens GN=GNMT PE=1 SV=3                     "
"127","m.11924",283,0,1,0,0,0,0,-0.213,-0.2096,1,0.601637,0.908492,"P46940","Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens GN=IQGAP1 PE=1 SV=1                   "
"128","m.11933",202,0,0,0,0,1,1,-0.242,-0.2459,1,0.626895,0.901184,"Q6PHF0","Charged multivesicular body protein 1a OS=Danio rerio GN=chmp1a PE=2 SV=1                  "
"129","m.11960",265,1,0,1,0,0,0,-0.335,-0.349,1,0.683936,0.872116,"Q5PRE5","Proline and serine-rich protein 1 OS=Mus musculus GN=Proser1 PE=1 SV=1                  "
"130","m.11971",202,0,0,0,1,1,1,-0.111,-0.1124,1,0.519504,0.922891,"4362198","Protein HIM-4 isoform a OS=Caenorhabditis elegans GN=him-4 PE=4 SV=1                           "
"131","m.11995",326,2,5,2,1,1,1,-0.686,-0.6691,0.969266,0.764766,0.620451,"Q967D7","Protein turtle OS=Drosophila melanogaster GN=tutl PE=1 SV=2                     "
"132","m.12002",156,0,1,1,1,1,1,-0.411,-0.4046,1,0.706848,0.849478,"Q7TSV4","Phosphoglucomutase-2 OS=Mus musculus GN=Pgm2 PE=1 SV=1                      "
"133","m.12007",433,4,2,1,2,1,3,0.317,0.3697,0.329696,0.072666,0.895017,"Q7T0S7","Coiled-coil domain-containing protein 104 OS=Xenopus laevis GN=ccdc104 PE=2 SV=1                   "
"134","m.12035",180,2,2,3,3,3,3,0.008,0.0101,0.97481,0.389613,0.933031,NA,NA
"135","m.1204",135,0,0,0,0,0,1,-0.267,-0.2415,1,0.623986,0.902138,"Q9KPS0","Protein BolA OS=Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961) GN=bolA PE=3 SV=1           "
"136","m.12048",569,5,6,4,1,3,2,-0.959,-1.0437,0.387509,0.766446,0.140036,"Q96NN9","Apoptosis-inducing factor 3 OS=Homo sapiens GN=AIFM3 PE=1 SV=1                    "
"137","m.12051",247,1,1,1,1,1,1,-0.291,-0.2734,1,0.644155,0.894754,"Q8CG08","Collagen triple helix repeat-containing protein 1 OS=Rattus norvegicus GN=Cthrc1 PE=1 SV=1                 "
"138","m.12056",309,0,0,1,0,0,0,-0.387,-0.3659,1,0.691425,0.865852,"Q54RA4","Probable iron/ascorbate oxidoreductase DDB_G0283291 OS=Dictyostelium discoideum GN=DDB_G0283291 PE=3 SV=1                   "
"139","m.12069",191,1,0,1,0,0,1,-0.176,-0.1845,1,0.582464,0.912863,"Q16527","Cysteine and glycine-rich protein 2 OS=Homo sapiens GN=CSRP2 PE=1 SV=3                  "
"140","m.1211",141,1,0,0,0,0,0,-0.146,-0.134,1,0.539582,0.920236,NA,NA
"141","m.12124",155,1,1,2,1,1,0,-0.687,-0.719,0.927377,0.768775,0.552264,NA,NA
"142","m.12129",447,31,36,32,36,40,35,0.155,0.6364,0.049083,0.00983,0.835476,NA,NA
