"","Protein","Len","S0","S0.1","S0.2","S1","S1.1","S1.2","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","UniprotID","DEFLINE"
"42","m.1044",836,0,0,0,1,0,0,-0.192,-0.1785,1,0.334417,0.83272,"Q29M42","Coiled-coil and C2 domain-containing protein 1-like OS=Drosophila pseudoobscura pseudoobscura GN=GA18377 PE=3 SV=2                "
"43","m.10463",220,3,4,2,9,4,2,1.312,2.0847,0,0,0.51186,"Q32NG4","Parkinson disease 7 domain-containing protein 1 OS=Xenopus laevis GN=pddc1 PE=2 SV=1                 "
"44","m.10468",320,14,18,11,21,15,14,0.715,1.9276,0,0,0.523331,NA,NA
"45","m.10472",547,6,9,6,14,10,7,0.845,1.7276,0,0,0.541828,"Q5D1D6","Interferon-induced guanylate-binding protein 1 OS=Chlorocebus aethiops GN=GBP1 PE=2 SV=1                   "
"46","m.10496",298,23,18,14,32,14,21,0.856,2.7241,0,0,0.484947,"Q5R5D5","Alcohol dehydrogenase [NADP(+)] OS=Pongo abelii GN=AKR1A1 PE=2 SV=1                    "
"47","m.10498",209,0,1,0,0,0,0,-0.32,-0.3139,1,0.396383,0.760781,NA,NA
"48","m.10499",214,1,1,3,4,7,0,0.341,0.5064,0.208326,0.016976,0.824854,"Q13825","Methylglutaconyl-CoA hydratase mitochondrial OS=Homo sapiens GN=AUH PE=1 SV=1                           "
"49","m.1054",285,18,21,14,20,18,9,0.402,1.1903,0.000181,1.2e-05,0.621988,"Q2Q1W2","E3 ubiquitin-protein ligase TRIM71 OS=Homo sapiens GN=TRIM71 PE=1 SV=1                   "
"50","m.10547",1648,0,1,1,0,1,0,-0.286,-0.2613,1,0.374795,0.793688,"Q9JIH7","Serine/threonine-protein kinase WNK1 OS=Rattus norvegicus GN=Wnk1 PE=1 SV=2                    "
"51","m.10557",131,0,1,0,0,2,2,-0.216,-0.2233,1,0.357212,0.813328,"O95295","SNARE-associated protein Snapin OS=Homo sapiens GN=SNAPIN PE=1 SV=1                    "
"52","m.10558",176,6,11,7,8,12,4,0.188,0.3579,0.484178,0.046372,0.868939,"3280410","Predicted protein OS=Nematostella vectensis GN=v1g246076 PE=4 SV=1                     "
"53","m.10560",427,16,10,9,24,28,13,1.02,2.9622,0,0,0.479269,"Q55G75","PH domain-containing protein DDB_G0267786 OS=Dictyostelium discoideum GN=DDB_G0267786 PE=4 SV=1                   "
"54","m.10575",652,7,0,3,1,3,0,-0.822,-0.9441,0.287757,0.472171,0.078106,"Q8K5C0","Grainyhead-like protein 2 homolog OS=Mus musculus GN=Grhl2 PE=2 SV=1                   "
"55","m.10580",205,0,0,0,1,0,1,-0.253,-0.2234,1,0.35726,0.81328,"3274544","Predicted protein OS=Nematostella vectensis GN=v1g242847 PE=4 SV=1                     "
"56","m.10586",414,0,1,0,2,0,1,0.359,0.3757,0.444685,0.041553,0.864458,"Q6IQ20","N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D OS=Homo sapiens GN=NAPEPLD PE=1 SV=2                    "
"57","m.1060",147,3,6,3,0,3,2,-0.649,-0.7585,0.630988,0.472213,0.232929,"P62184","Calmodulin OS=Renilla reniformis PE=1 SV=2                       "
"58","m.10603",487,5,5,2,4,4,0,0.471,0.6681,0.060767,0.004507,0.76933,"O54991","Contactin-associated protein 1 OS=Mus musculus GN=Cntnap1 PE=2 SV=2                    "
"59","m.10605",698,5,3,2,4,7,2,0.554,0.6907,0.0499,0.003673,0.761613,"P08478","Peptidyl-glycine alpha-amidating monooxygenase A OS=Xenopus laevis GN=pam-a PE=1 SV=3                   "
"60","m.10621",420,3,8,2,4,5,9,0.627,0.8147,0.015325,0.001098,0.720764,"Q5EA61","Creatine kinase B-type OS=Bos taurus GN=CKB PE=2 SV=1                    "
"61","m.10638",702,1,1,0,0,3,2,-0.104,-0.0959,1,0.287224,0.859894,"Q8C0Y0","Serine/threonine-protein phosphatase 4 regulatory subunit 4 OS=Mus musculus GN=Ppp4r4 PE=2 SV=1                 "
"62","m.10645",257,1,2,1,0,3,0,0.007,0.0064,0.993968,0.222733,0.882098,NA,NA
"63","m.1069",424,14,15,10,12,15,9,0.225,0.5278,0.180227,0.014443,0.817656,"Q3T0K2","T-complex protein 1 subunit gamma OS=Bos taurus GN=CCT3 PE=1 SV=1                  "
"64","m.10693",451,5,0,0,1,0,0,-0.217,-0.2038,1,0.347557,0.822232,"Q61555","Fibrillin-2 OS=Mus musculus GN=Fbn2 PE=1 SV=2                      "
"65","m.107",99,14,24,14,24,22,16,0.54,1.596,0,0,0.556796,NA,NA
"66","m.10713",218,30,26,19,35,30,23,0.638,2.1697,0,0,0.506625,"P62494","Ras-related protein Rab-11A OS=Rattus norvegicus GN=Rab11a PE=1 SV=3                    "
"67","m.10714",429,14,14,15,10,15,11,-0.324,-0.7757,0.597032,0.472537,0.213884,"B1H120","Septin-8 OS=Xenopus tropicalis GN=sept8 PE=2 SV=1                      "
"68","m.10723",443,0,1,3,1,2,2,-0.778,-0.9192,0.327655,0.472484,0.09246,"Q8VHI3","GDP-fucose protein O-fucosyltransferase 2 OS=Mus musculus GN=Pofut2 PE=1 SV=1                   "
"69","m.10726",1630,10,10,7,11,20,5,0.496,1.2073,0.000144,9e-06,0.61851,"P02466","Collagen alpha-2(I) chain OS=Rattus norvegicus GN=Col1a2 PE=1 SV=3                    "
"70","m.1073",371,5,7,4,4,5,2,0.129,0.1997,0.826156,0.108147,0.893484,"Q9NZR1","Tropomodulin-2 OS=Homo sapiens GN=TMOD2 PE=1 SV=1                      "
"71","m.1074",292,4,6,3,9,8,4,1.075,1.6745,0,0,0.547577,"Q5SRE7","Phytanoyl-CoA dioxygenase domain-containing protein 1 OS=Homo sapiens GN=PHYHD1 PE=1 SV=2                  "
"72","m.10744",282,12,10,8,18,10,11,0.868,2.1609,0,0,0.507138,"P07846","Sorbitol dehydrogenase OS=Ovis aries GN=SORD PE=1 SV=1                     "
"73","m.10807",572,44,51,40,51,55,32,0.27,1.148,0.000319,2.1e-05,0.630994,"3267080","Predicted protein OS=Nematostella vectensis GN=v1g197490 PE=4 SV=1                     "
"74","m.10812",189,4,3,0,5,1,2,1.147,1.4148,7e-06,0,0.581798,"P31696","Agrin OS=Gallus gallus GN=AGRN PE=1 SV=3                      "
"75","m.10816",192,7,6,3,8,10,4,1.033,1.7143,0,0,0.543232,"Q6P3Z3","THAP domain-containing protein 4 OS=Mus musculus GN=Thap4 PE=2 SV=1                   "
"76","m.10818",372,6,1,3,2,5,1,-0.307,-0.3774,1,0.418228,0.710582,"Q32KI9","Arylsulfatase I OS=Mus musculus GN=Arsi PE=2 SV=1                     "
"77","m.10831",206,1,0,1,3,3,6,0.962,1.0669,0.000895,6e-05,0.649733,"Q292N4","Latrophilin Cirl OS=Drosophila pseudoobscura pseudoobscura GN=Cirl PE=3 SV=2                    "
"78","m.10852",208,1,3,1,2,5,1,0.38,0.4279,0.337526,0.029616,0.849836,"Q9WVL0","Maleylacetoacetate isomerase OS=Mus musculus GN=Gstz1 PE=1 SV=1                     "
"79","m.10862",241,0,2,0,0,0,0,-0.204,-0.1969,1,0.344041,0.825207,"B2RYG6","Ubiquitin thioesterase OTUB1 OS=Rattus norvegicus GN=Otub1 PE=1 SV=1                    "
"80","m.10878",258,1,0,1,0,1,0,-0.392,-0.3955,1,0.42364,0.693913,"Q15428","Splicing factor 3A subunit 2 OS=Homo sapiens GN=SF3A2 PE=1 SV=2                  "
"81","m.10883",471,33,31,18,44,41,21,0.952,3.483,0,0,0.470936,"P34897","Serine hydroxymethyltransferase mitochondrial OS=Homo sapiens GN=SHMT2 PE=1 SV=3                           "
"82","m.1089",117,26,28,16,23,23,15,0.47,1.3887,1e-05,1e-06,0.58589,"P21571","ATP synthase-coupling factor 6 mitochondrial OS=Rattus norvegicus GN=Atp5j PE=1 SV=1                           "
"83","m.10893",298,32,56,28,53,37,13,0.672,2.889,0,0,0.480881,"P84335","Tropomyosin alpha-1 chain OS=Liza aurata PE=1 SV=1                     "
"84","m.10901",228,0,2,0,2,2,1,0.441,0.4669,0.268186,0.022623,0.837768,NA,NA
"85","m.10905",398,3,7,6,8,12,5,0.409,0.7428,0.030994,0.00225,0.7441,"F6XBL2","26S proteasome non-ATPase regulatory subunit 11 OS=Xenopus tropicalis GN=psmd11 PE=3 SV=2                 "
"86","m.10909",251,3,0,4,0,1,0,-1.106,-1.2785,0.022802,0.466933,0.004247,"O57460","Dorsal-ventral patterning tolloid-like protein 1 OS=Danio rerio GN=tll1 PE=2 SV=1                  "
"87","m.10914",217,13,10,5,11,9,8,0.815,1.5617,1e-06,0,0.561111,"Q5R8Z8","Ras-related protein Rab-14 OS=Pongo abelii GN=RAB14 PE=2 SV=3                    "
"88","m.10928",723,8,5,4,5,5,3,0.234,0.3795,0.436416,0.040575,0.863465,"Q9VZZ4","Peroxidasin OS=Drosophila melanogaster GN=Pxn PE=1 SV=1                      "
"89","m.10938",346,3,7,7,16,10,5,0.88,2.0187,0,0,0.516382,"Q8VHT6","Arsenite methyltransferase OS=Rattus norvegicus GN=As3mt PE=1 SV=1                     "
"90","m.10939",1302,4,7,2,6,6,4,0.98,1.4381,5e-06,0,0.578259,"Q4U2R1","E3 ubiquitin-protein ligase HERC2 OS=Mus musculus GN=Herc2 PE=1 SV=3                   "
"91","m.10942",329,0,0,0,1,1,0,-0.089,-0.082,1,0.278743,0.863569,"Q80ZI6","E3 ubiquitin-protein ligase LRSAM1 OS=Mus musculus GN=Lrsam1 PE=2 SV=1                   "
"92","m.10944",532,0,2,2,1,2,0,-0.57,-0.5516,0.947499,0.456929,0.507392,"Q8CJB9","E3 ubiquitin-protein ligase BRE1B OS=Rattus norvegicus GN=Rnf40 PE=1 SV=1                   "
"93","m.10974",566,9,10,3,9,11,4,1.193,1.7988,0,0,0.534693,"P31335","Bifunctional purine biosynthesis protein PURH OS=Gallus gallus GN=ATIC PE=1 SV=1                  "
"94","m.110",1165,81,147,86,112,129,73,0.271,1.9361,0,0,0.522646,"Q80Y17","Lethal(2) giant larvae protein homolog 1 OS=Mus musculus GN=Llgl1 PE=1 SV=1                 "
"95","m.1100",513,7,6,6,10,6,7,0.587,1.3017,3.8e-05,2e-06,0.600565,"Q61753","D-3-phosphoglycerate dehydrogenase OS=Mus musculus GN=Phgdh PE=1 SV=3                     "
"96","m.11021",150,1,1,0,0,3,0,0.011,0.0094,0.993372,0.220804,0.882587,"Q5R8Z6","Multiple coagulation factor deficiency protein 2 homolog OS=Pongo abelii GN=MCFD2 PE=2 SV=1                "
"97","m.1103",1107,0,4,0,2,0,0,0.395,0.3857,0.423064,0.039018,0.861819,"Q32LP4","Sodium-driven chloride bicarbonate exchanger OS=Bos taurus GN=SLC4A10 PE=2 SV=1                   "
"98","m.11035",299,6,8,4,4,4,0,0.075,0.1084,0.944541,0.158654,0.893472,"Q3T0B6","Complement component 1 Q subcomponent-binding protein mitochondrial OS=Bos taurus GN=C1QBP PE=2 SV=1                           "
"99","m.11041",876,0,0,0,0,1,0,-0.102,-0.0962,1,0.287406,0.859812,"Q2VB19","Pumilio homolog 1 OS=Gallus gallus GN=PUM1 PE=2 SV=1                    "
"100","m.11045",121,3,6,2,7,2,1,1.083,1.6603,0,0,0.54918,"Q24799","Myophilin OS=Echinococcus granulosus PE=2 SV=1                       "
"101","m.11092",1439,0,0,0,1,0,0,-0.336,-0.3124,1,0.395811,0.761821,"Q96RK0","Protein capicua homolog OS=Homo sapiens GN=CIC PE=1 SV=2                    "
"102","m.11100",1144,21,26,16,22,31,13,0.404,1.2731,5.7e-05,4e-06,0.605766,"A3KPW9","Large proline-rich protein BAG6 OS=Danio rerio GN=Bag6 PE=3 SV=1                   "
"103","m.11107",150,21,25,15,24,23,14,0.532,1.6387,0,0,0.551672,"Q9CPW4","Actin-related protein 3-Feb complex subunit 5 OS=Mus musculus GN=Arpc5 PE=2 SV=3                 "
"104","m.11115",300,3,0,2,0,1,5,-0.461,-0.4774,0.994406,0.443972,0.604405,"Q9U8W7","Techylectin-5B OS=Tachypleus tridentatus PE=1 SV=1                       "
"105","m.11137",540,1,3,2,1,1,2,-0.589,-0.6253,0.86322,0.46535,0.404715,"A9JTG5","RanBP-type and C3HC4-type zinc finger-containing protein 1 OS=Danio rerio GN=rbck1 PE=2 SV=1                "
"106","m.11149",227,17,19,8,22,17,11,0.994,2.3304,0,0,0.498393,"O14818","Proteasome subunit alpha type-7 OS=Homo sapiens GN=PSMA7 PE=1 SV=1                   "
"107","m.11152",593,3,0,2,1,3,1,-0.528,-0.5258,0.967912,0.452975,0.542311,"4780878","Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1                      "
"108","m.1116",106,0,0,1,0,0,0,-0.137,-0.1304,0.999995,0.307663,0.84973,NA,NA
"109","m.11167",387,0,0,0,1,0,0,-0.223,-0.2069,1,0.34912,0.820866,"Q8TCT9","Minor histocompatibility antigen H13 OS=Homo sapiens GN=HM13 PE=1 SV=1                   "
"110","m.1126",148,5,7,4,11,7,5,1.057,1.8952,0,0,0.526012,"Q5REY2","60S ribosomal protein L27a OS=Pongo abelii GN=RPL27A PE=2 SV=3                   "
"111","m.11265",213,4,3,2,4,3,3,0.505,0.6602,0.065008,0.004836,0.77204,"Q61220","Protein kinase C-binding protein NELL2 OS=Mus musculus GN=Nell2 PE=2 SV=3                  "
"112","m.11298",283,2,3,1,0,2,2,-0.067,-0.0658,1,0.268708,0.867576,"Q9UGM3","Deleted in malignant brain tumors 1 protein OS=Homo sapiens GN=DMBT1 PE=1 SV=2                "
"113","m.113",378,47,111,56,114,72,57,0.714,4.4755,0,0,0.464216,NA,NA
"114","m.11313",319,1,0,0,0,0,1,-0.288,-0.275,1,0.380726,0.785796,"Q5R7K9","EGF-like repeat and discoidin I-like domain-containing protein 3 OS=Pongo abelii GN=EDIL3 PE=2 SV=1               "
"115","m.1133",280,3,4,5,4,5,3,-0.159,-0.2554,1,0.372173,0.796949,"Q9Y365","PCTP-like protein OS=Homo sapiens GN=STARD10 PE=1 SV=2                     "
"116","m.11340",155,7,3,5,4,4,4,-0.109,-0.1592,1,0.323949,0.839978,"Q03376","Balbiani ring protein 3 OS=Chironomus tentans GN=BR3 PE=2 SV=1                   "
"117","m.11346",282,0,3,1,2,3,3,0.54,0.6073,0.100209,0.007635,0.790307,"51839299","Chromosome undetermined SCAF6613 whole genome shotgun sequence OS=Tetraodon nigroviridis GN=GSTENG00003063001 PE=4 SV=1                           "
"118","m.1135",538,10,9,12,14,14,16,0.24,0.6644,0.062723,0.004658,0.770598,"P97793","ALK tyrosine kinase receptor OS=Mus musculus GN=Alk PE=1 SV=2                   "
"119","m.11354",351,24,26,18,29,30,16,0.563,1.8276,0,0,0.531986,"P43903","Quinone oxidoreductase OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=qor PE=3 SV=2        "
"120","m.11405",546,0,1,0,2,1,0,0.359,0.3618,0.475428,0.045282,0.867982,"Q7SXP2","NEDD8-activating enzyme E1 regulatory subunit OS=Danio rerio GN=nae1 PE=2 SV=2                  "
"121","m.1141",910,0,0,2,1,2,0,-0.563,-0.632,0.85367,0.465926,0.395396,"Q6F3J0","Nuclear factor NF-kappa-B p105 subunit OS=Canis familiaris GN=NFKB1 PE=2 SV=2                  "
"122","m.11430",456,0,0,0,0,0,1,-0.324,-0.2917,1,0.387662,0.775546,"Q8NDA2","Hemicentin-2 OS=Homo sapiens GN=HMCN2 PE=2 SV=2                      "
"123","m.11436",297,1,1,2,0,1,0,-0.681,-0.7224,0.700724,0.471184,0.275691,NA,NA
"124","m.11443",1087,5,5,0,5,6,0,1.123,1.6012,0,0,0.556158,"Q8BZE1","Putative DMBT1-like protein OS=Mus musculus PE=2 SV=2                     "
"125","m.1145",390,0,3,2,3,0,1,0.237,0.309,0.596523,0.061753,0.879648,NA,NA
"126","m.11458",213,5,9,9,7,8,6,-0.212,-0.4181,1,0.429916,0.671532,"Q9H4G4","Golgi-associated plant pathogenesis-related protein 1 OS=Homo sapiens GN=GLIPR2 PE=1 SV=3                  "
"127","m.11472",334,6,11,7,9,14,5,0.347,0.7029,0.044756,0.003282,0.757474,"O95219","Sorting nexin-4 OS=Homo sapiens GN=SNX4 PE=1 SV=1                     "
"128","m.11482",410,1,1,1,2,2,0,0.265,0.2943,0.630401,0.067017,0.88236,"Q9BVL2","Nucleoporin p58/p45 OS=Homo sapiens GN=NUPL1 PE=1 SV=1                     "
"129","m.1149",736,2,3,3,7,6,0,0.95,1.5133,1e-06,0,0.567515,"Q5EE04","Nucleoprotein TPR (Fragment) OS=Xenopus laevis GN=tpr PE=1 SV=1                    "
"130","m.115",216,11,15,9,18,15,13,0.764,1.8424,0,0,0.530633,"Q58DS9","Ras-related protein Rab-5C OS=Bos taurus GN=RAB5C PE=2 SV=1                    "
"131","m.1152",2284,9,2,2,0,0,4,-0.591,-0.6139,0.878733,0.464303,0.420628,"O35474","EGF-like repeat and discoidin I-like domain-containing protein 3 OS=Mus musculus GN=Edil3 PE=1 SV=2               "
"132","m.11523",224,0,0,1,1,1,0,-0.119,-0.1077,1,0.294319,0.85659,"P58200","Vesicle transport through interaction with t-SNAREs homolog 1B OS=Rattus norvegicus GN=Vti1b PE=1 SV=2               "
"133","m.11536",523,0,0,0,2,2,2,0.558,0.6014,0.104945,0.008021,0.79235,"Q9Z1N0","Peroxisomal acyl-coenzyme A oxidase 1 OS=Cavia porcellus GN=ACOX1 PE=2 SV=1                  "
"134","m.11543",385,16,9,8,14,16,12,0.584,1.3388,2.2e-05,1e-06,0.594104,"Q6PZE0","Mucin-19 OS=Mus musculus GN=Muc19 PE=2 SV=2                      "
"135","m.11553",214,23,22,15,40,28,12,1.001,3.2789,0,0,0.473559,"P46436","Glutathione S-transferase 1 OS=Ascaris suum GN=GST1 PE=1 SV=3                    "
"136","m.11561",392,0,0,0,0,1,0,-0.046,-0.0428,0.999471,0.254231,0.872783,"Q00422","GA-binding protein alpha chain OS=Mus musculus GN=Gabpa PE=1 SV=2                   "
"137","m.1157",147,6,5,3,8,8,4,0.916,1.5031,2e-06,0,0.568915,"P25867","Ubiquitin-conjugating enzyme E2-17 kDa OS=Drosophila melanogaster GN=eff PE=2 SV=1                   "
"138","m.11575",150,3,7,4,4,3,2,0.052,0.0796,0.965824,0.176231,0.891396,"P50993","Sodium/potassium-transporting ATPase subunit alpha-2 OS=Homo sapiens GN=ATP1A2 PE=1 SV=1                   "
"139","m.11603",537,0,6,3,4,2,4,0.316,0.4224,0.348091,0.030729,0.851468,"3284280","Predicted protein OS=Nematostella vectensis GN=v1g219291 PE=4 SV=1                     "
"140","m.1163",121,6,7,7,8,12,4,0.18,0.3485,0.505458,0.049081,0.871187,"Q4R5J1","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 OS=Macaca fascicularis GN=NDUFA5 PE=3 SV=3               "
"141","m.1164",164,3,3,1,3,2,0,0.677,0.7367,0.032822,0.002386,0.746127,"Q8LGG8","Universal stress protein A-like protein OS=Arabidopsis thaliana GN=At3g01520 PE=1 SV=2                  "
"142","m.11654",271,3,2,2,0,3,0,-0.556,-0.5576,0.942092,0.457769,0.499143,"4780878","Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1                      "
"143","m.1168",430,1,0,2,2,1,1,-0.169,-0.2051,1,0.348214,0.821661,"Q98943","Caspase-2 OS=Gallus gallus GN=CASP2 PE=2 SV=2                      "
