"","Protein","Len","S0","S0.1","S0.2","S1","S1.1","S1.2","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","UniprotID","DEFLINE"
"23","m.10260",232,2,2,1,1,1,1,-0.355,-0.3376,1,0.788642,0.749052,"3665646","Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85506 PE=4 SV=1                    "
"24","m.10264",203,0,0,0,1,0,0,-0.399,-0.3976,1,0.81574,0.718982,"Q2QXC6","Probable serine/threonine-protein kinase WNK9 OS=Oryza sativa subsp. japonica GN=WNK9 PE=2 SV=1                 "
"25","m.1027",157,1,1,1,0,0,0,-0.424,-0.3912,1,0.813176,0.722541,"3289105","Predicted protein OS=Nematostella vectensis GN=v1g225191 PE=4 SV=1                     "
"26","m.10289",705,0,1,0,0,0,0,-0.374,-0.3224,1,0.780587,0.75558,"P41541","General vesicular transport factor p115 OS=Bos taurus GN=USO1 PE=1 SV=1                  "
"27","m.10324",680,1,2,1,0,1,1,-0.239,-0.2379,1,0.725194,0.785144,NA,NA
"28","m.10327",1122,4,5,2,5,1,4,0.807,1.0733,0.00028,4.8e-05,0.77019,NA,NA
"29","m.1033",111,1,1,1,0,0,0,-0.413,-0.3807,0.999996,0.80881,0.728189,NA,NA
"30","m.10342",512,1,0,0,0,0,0,-0.252,-0.2379,1,0.725194,0.785144,NA,NA
"31","m.10346",250,2,1,0,1,0,0,-0.486,-0.4396,1,0.830876,0.693332,NA,NA
"32","m.1035",165,0,0,1,0,0,0,-0.404,-0.4017,1,0.817345,0.716655,NA,NA
"33","m.1036",1192,0,0,1,0,1,1,-0.341,-0.3406,1,0.79017,0.747714,NA,NA
"34","m.10378",725,4,5,4,2,2,3,-0.591,-0.8501,0.708683,0.872891,0.255782,NA,NA
"35","m.1038",113,6,5,5,6,6,5,0.189,0.3158,0.315972,0.097348,0.814091,NA,NA
"36","m.10387",484,4,4,5,3,1,2,-0.472,-0.6906,0.933632,0.876268,0.448489,"Q8IV20","Laccase domain-containing protein 1 OS=Homo sapiens GN=LACC1 PE=1 SV=1                   "
"37","m.104",1674,39,33,38,16,12,10,-0.802,-2.7441,0,0.766758,0,"Q68FD5","Clathrin heavy chain 1 OS=Mus musculus GN=Cltc PE=1 SV=3                   "
"38","m.1041",396,1,1,1,1,1,1,-0.475,-0.458,1,0.836663,0.680765,"Q0VFL3","KH domain-containing"
"39","m.1042",331,2,1,3,0,0,0,-1.013,-1.1129,0.221323,0.837316,0.057433,"Q9PTS2","Uroporphyrinogen decarboxylase OS=Danio rerio GN=urod PE=2 SV=1                     "
"40","m.10463",220,3,1,1,0,0,0,-0.424,-0.4287,1,0.827215,0.700385,"Q32NG4","Parkinson disease 7 domain-containing protein 1 OS=Xenopus laevis GN=pddc1 PE=2 SV=1                 "
"41","m.10468",320,7,6,6,6,3,4,0.013,0.0234,0.923022,0.417979,0.827242,NA,NA
"42","m.10469",238,1,1,0,0,0,0,-0.281,-0.2959,1,0.765243,0.766019,"P61291","Proteasome activator complex subunit 3 OS=Sus scrofa GN=PSME3 PE=2 SV=1                  "
"43","m.10472",547,1,3,2,0,1,0,-0.668,-0.6753,0.945927,0.875382,0.467121,"Q5D1D6","Interferon-induced guanylate-binding protein 1 OS=Chlorocebus aethiops GN=GBP1 PE=2 SV=1                   "
"44","m.10496",298,7,6,5,6,2,3,0.198,0.3428,0.267947,0.081702,0.81129,"Q5R5D5","Alcohol dehydrogenase [NADP(+)] OS=Pongo abelii GN=AKR1A1 PE=2 SV=1                    "
"45","m.10499",214,2,2,2,0,0,1,-0.707,-0.7384,0.884547,0.877588,0.389303,"Q13825","Methylglutaconyl-CoA hydratase"
"46","m.1054",285,6,7,8,6,4,2,-0.299,-0.6052,0.983675,0.868341,0.548098,NA,NA
"47","m.10547",1648,0,0,1,0,0,1,-0.33,-0.3305,1,0.784944,0.752152,NA,NA
"48","m.10557",131,1,0,1,0,0,0,-0.366,-0.3425,1,0.791128,0.746859,NA,NA
"49","m.10558",176,4,4,3,4,3,3,0.257,0.3561,0.24631,0.074779,0.809892,NA,NA
"50","m.10560",427,5,7,7,2,2,6,-0.97,-1.4237,0.01959,0.798715,0.004018,NA,NA
"51","m.10575",652,0,1,1,0,0,0,-0.312,-0.3039,1,0.770056,0.762989,NA,NA
"52","m.10586",414,1,0,0,0,0,0,-0.343,-0.353,1,0.796284,0.74201,NA,NA
"53","m.1060",147,1,1,1,1,1,1,-0.37,-0.3532,1,0.79638,0.741915,NA,NA
"54","m.10603",487,0,0,0,2,1,2,0.322,0.3606,0.239291,0.072548,0.809417,NA,NA
"55","m.10605",698,2,1,2,0,0,0,-0.619,-0.6332,0.971961,0.871746,0.516801,NA,NA
"56","m.10621",420,2,4,3,3,4,2,0.053,0.0733,0.84946,0.347342,0.828643,NA,NA
"57","m.10638",702,1,0,0,0,0,0,-0.521,-0.4861,1,0.844622,0.6599,NA,NA
"58","m.10645",257,0,2,1,0,1,0,-0.398,-0.3695,1,0.803927,0.733962,NA,NA
"59","m.1069",424,5,7,7,5,5,4,-0.21,-0.3806,0.999997,0.808768,0.728242,NA,NA
"60","m.10693",451,2,4,3,2,0,1,-0.459,-0.5718,0.992883,0.863228,0.583146,NA,NA
"61","m.107",99,6,7,6,6,4,7,0.063,0.1156,0.768096,0.290479,0.828358,NA,NA
"62","m.10713",218,11,9,14,10,8,10,-0.245,-0.6254,0.975635,0.870878,0.525679,NA,NA
"63","m.10714",429,6,6,5,4,4,5,-0.106,-0.1725,1,0.667766,0.801576,NA,NA
"64","m.10723",443,2,0,0,0,0,0,-0.446,-0.4326,1,0.828546,0.697895,NA,NA
"65","m.10726",1630,3,2,3,2,2,2,-0.379,-0.48,1,0.842979,0.664606,NA,NA
"66","m.1073",371,2,1,2,2,3,4,0.022,0.0256,0.920319,0.414828,0.827346,NA,NA
"67","m.1074",292,3,3,2,2,2,1,-0.204,-0.2342,1,0.72231,0.786208,NA,NA
"68","m.10744",282,4,5,4,4,3,3,-0.041,-0.0656,0.993924,0.54279,0.819601,NA,NA
"69","m.10807",572,16,15,15,15,17,16,0.109,0.3004,0.345766,0.107285,0.81565,NA,NA
"70","m.10812",189,2,1,1,2,1,2,0.19,0.2186,0.52778,0.173617,0.823031,NA,NA
"71","m.10816",192,2,3,4,1,1,1,-1.241,-1.4232,0.019681,0.798759,0.004038,NA,NA
"72","m.10818",372,2,2,2,0,0,1,-0.756,-0.8084,0.783307,0.875805,0.30372,NA,NA
"73","m.10831",206,2,1,2,0,0,0,-0.76,-0.7317,0.892428,0.877533,0.397636,NA,NA
"74","m.10852",208,2,1,1,0,1,1,-0.301,-0.2805,1,0.755514,0.771571,NA,NA
"75","m.10862",241,1,0,0,0,0,0,-0.422,-0.4071,1,0.819415,0.713534,NA,NA
"76","m.10883",471,11,10,8,8,5,6,0.057,0.1173,0.764509,0.288281,0.82832,NA,NA
"77","m.1089",117,9,9,9,7,8,7,-0.17,-0.3345,1,0.787041,0.750416,NA,NA
"78","m.10893",298,10,13,12,12,13,13,0.095,0.2364,0.485578,0.157162,0.821597,"P84335","Tropomyosin alpha-1 chain OS=Liza aurata PE=1 SV=1                     "
"79","m.10901",228,0,1,2,0,1,0,-0.801,-0.7981,0.800256,0.876325,0.316008,NA,NA
"80","m.10905",398,6,5,5,0,1,1,-1.35,-1.6038,0.003102,0.786147,0.000538,"F6XBL2","26S proteasome non-ATPase regulatory subunit 11 OS=Xenopus tropicalis GN=psmd11 PE=3 SV=2                 "
"81","m.10909",251,1,1,1,0,0,0,-0.494,-0.4574,1,0.836481,0.681188,"O57460","Dorsal-ventral patterning tolloid-like protein 1 OS=Danio rerio GN=tll1 PE=2 SV=1                  "
"82","m.10914",217,6,3,7,4,4,4,-0.463,-0.7898,0.81343,0.876682,0.326012,"Q5R8Z8","Ras-related protein Rab-14 OS=Pongo abelii GN=RAB14 PE=2 SV=3                    "
"83","m.10928",723,5,1,5,2,2,2,-0.77,-0.9651,0.477242,0.859603,0.145072,"Q9VZZ4","Peroxidasin OS=Drosophila melanogaster GN=Pxn PE=1 SV=1                      "
"84","m.10938",346,5,2,3,2,2,3,-0.467,-0.5718,0.992883,0.863228,0.583146,"Q8VHT6","Arsenite methyltransferase OS=Rattus norvegicus GN=As3mt PE=1 SV=1                     "
"85","m.10939",1302,1,2,1,1,2,2,-0.267,-0.2439,1,0.729783,0.783381,"Q4U2R1","E3 ubiquitin-protein ligase HERC2 OS=Mus musculus GN=Herc2 PE=1 SV=3                   "
"86","m.10944",532,0,0,0,1,0,0,-0.202,-0.1956,1,0.689652,0.796319,"Q8CJB9","E3 ubiquitin-protein ligase BRE1B OS=Rattus norvegicus GN=Rnf40 PE=1 SV=1                   "
"87","m.10974",566,4,4,4,2,2,1,-0.652,-0.896,0.618353,0.868366,0.207346,"P31335","Bifunctional purine biosynthesis protein PURH OS=Gallus gallus GN=ATIC PE=1 SV=1                  "
"88","m.110",1165,43,42,40,45,41,38,0.124,0.5484,0.061597,0.017652,0.791092,"Q80Y17","Lethal(2) giant larvae protein homolog 1 OS=Mus musculus GN=Llgl1 PE=1 SV=1                 "
"89","m.1100",513,2,3,2,1,1,1,-0.694,-0.6829,0.940019,0.875851,0.457895,"Q61753","D-3-phosphoglycerate dehydrogenase OS=Mus musculus GN=Phgdh PE=1 SV=3                     "
"90","m.1103",1107,4,4,5,0,0,0,-1.333,-1.4754,0.011942,0.794442,0.002342,"Q32LP4","Sodium-driven chloride bicarbonate exchanger OS=Bos taurus GN=SLC4A10 PE=2 SV=1                   "
"91","m.11035",299,3,3,3,3,2,1,-0.056,-0.0734,0.997071,0.553132,0.818601,"Q3T0B6","Complement component 1 Q subcomponent-binding protein"
"92","m.11045",121,3,3,2,0,1,2,-0.626,-0.6737,0.947123,0.875276,0.469055,"Q24799","Myophilin OS=Echinococcus granulosus PE=2 SV=1                       "
"93","m.11100",1144,8,9,7,6,4,5,-0.12,-0.2274,1,0.716899,0.788118,NA,NA
"94","m.11107",150,8,8,7,9,8,10,0.311,0.6376,0.029661,0.008081,0.784521,NA,NA
"95","m.11115",300,0,0,0,0,0,1,-0.366,-0.3519,1,0.795755,0.742527,NA,NA
"96","m.11137",540,1,0,0,1,1,1,-0.455,-0.4323,1,0.828444,0.698087,"A9JTG5","RanBP-type and C3HC4-type zinc finger-containing protein 1 OS=Danio rerio GN=rbck1 PE=2 SV=1                "
"97","m.11149",227,6,6,7,7,8,6,0.063,0.1239,0.750396,0.27982,0.828156,NA,NA
"98","m.11152",593,0,1,0,0,0,0,-0.485,-0.4902,1,0.8457,0.656681,NA,NA
"99","m.1116",106,0,1,1,0,0,1,-0.354,-0.3411,1,0.790423,0.74749,NA,NA
"100","m.1126",148,1,1,2,1,1,1,-0.807,-0.8143,0.773314,0.875471,0.296751,NA,NA
"101","m.11265",213,1,1,1,1,2,1,-0.227,-0.2254,1,0.715281,0.788669,NA,NA
"102","m.11298",283,0,2,0,0,0,0,-0.374,-0.3846,0.999996,0.810455,0.726118,NA,NA
"103","m.113",378,30,10,30,24,22,23,-0.2,-0.7551,0.86349,0.877548,0.368571,NA,NA
"104","m.11313",319,0,0,0,0,1,0,-0.378,-0.3863,0.999997,0.811164,0.725206,NA,NA
"105","m.1133",280,2,1,2,0,2,1,-0.707,-0.7337,0.890109,0.877554,0.395148,"Q9Y365","PCTP-like protein OS=Homo sapiens GN=STARD10 PE=1 SV=2                     "
"106","m.11340",155,1,1,2,2,2,2,-0.032,-0.0388,0.979793,0.506273,0.822623,"Q03376","Balbiani ring protein 3 OS=Chironomus tentans GN=BR3 PE=2 SV=1                   "
"107","m.11346",282,1,0,0,0,0,0,-0.229,-0.2234,1,0.71365,0.789215,"51839299","Chromosome undetermined SCAF6613"
"108","m.1135",538,8,9,6,5,3,4,-0.116,-0.2002,1,0.693797,0.795205,"P97793","ALK tyrosine kinase receptor OS=Mus musculus GN=Alk PE=1 SV=2                   "
"109","m.11354",351,9,10,8,6,9,9,-0.092,-0.1776,1,0.672754,0.800463,"P43903","Quinone oxidoreductase OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=qor PE=3 SV=2        "
"110","m.11405",546,0,1,1,0,0,0,-0.503,-0.4997,1,0.848123,0.649047,NA,NA
"111","m.11443",1087,0,0,1,0,0,0,-0.394,-0.3774,1,0.807396,0.729917,"Q8BZE1","Putative DMBT1-like protein OS=Mus musculus PE=2 SV=2                     "
"112","m.1145",390,1,1,1,0,0,0,-0.377,-0.3869,0.999994,0.811412,0.724882,NA,NA
"113","m.11458",213,3,4,2,3,2,2,0.289,0.3596,0.240837,0.073039,0.809523,"Q9H4G4","Golgi-associated plant pathogenesis-related protein 1 OS=Homo sapiens GN=GLIPR2 PE=1 SV=3                  "
"114","m.11472",334,4,2,3,3,3,1,-0.02,-0.0283,0.97271,0.491622,0.823635,"O95219","Sorting nexin-4 OS=Homo sapiens GN=SNX4 PE=1 SV=1                     "
"115","m.11482",410,0,1,1,0,0,0,-0.539,-0.5393,0.997966,0.857126,0.61457,"Q9BVL2","Nucleoporin p58/p45 OS=Homo sapiens GN=NUPL1 PE=1 SV=1                     "
"116","m.1149",736,2,2,2,2,0,2,-0.094,-0.1088,1,0.597893,0.813441,"Q5EE04","Nucleoprotein TPR (Fragment) OS=Xenopus laevis GN=tpr PE=1 SV=1                    "
"117","m.115",216,6,8,7,5,5,4,-0.259,-0.4578,1,0.836602,0.680906,"Q58DS9","Ras-related protein Rab-5C OS=Bos taurus GN=RAB5C PE=2 SV=1                    "
"118","m.1152",2284,0,2,0,0,1,0,-0.407,-0.386,0.999999,0.811039,0.725367,"O35474","EGF-like repeat and discoidin I-like domain-containing protein 3 OS=Mus musculus GN=Edil3 PE=1 SV=2               "
"119","m.11536",523,1,1,1,0,0,0,-0.347,-0.3352,1,0.787404,0.75011,NA,NA
"120","m.11543",385,7,8,8,5,7,6,-0.373,-0.7293,0.895169,0.877503,0.40062,NA,NA
"121","m.11553",214,8,10,10,5,3,3,-0.657,-1.3003,0.057605,0.811448,0.012987,"P46436","Glutathione S-transferase 1 OS=Ascaris suum GN=GST1 PE=1 SV=3                    "
"122","m.11561",392,1,1,0,0,0,0,-0.415,-0.4203,1,0.824271,0.705627,"Q00422","GA-binding protein alpha chain OS=Mus musculus GN=Gabpa PE=1 SV=2                   "
"123","m.1157",147,3,3,3,2,2,2,-0.263,-0.328,1,0.783615,0.753222,"P25867","Ubiquitin-conjugating enzyme E2-17 kDa OS=Drosophila melanogaster GN=eff PE=2 SV=1                   "
"124","m.11575",150,2,1,2,1,0,0,-0.609,-0.5981,0.986031,0.867351,0.555768,"P50993","Sodium/potassium-transporting ATPase subunit alpha-2 OS=Homo sapiens GN=ATP1A2 PE=1 SV=1                   "
"125","m.11603",537,4,3,2,0,0,0,-0.786,-0.8083,0.783474,0.875811,0.303838,NA,NA
"126","m.1163",121,4,4,2,4,4,4,0.588,0.7688,0.009073,0.002201,0.77767,NA,NA
"127","m.1164",164,0,1,1,1,1,1,-0.44,-0.4383,1,0.830448,0.694189,NA,NA
"128","m.11683",186,0,1,0,0,0,0,-0.432,-0.4473,1,0.833356,0.688176,"WP_010361067","purine or other phosphorylase 1 [Streptomyces acidiscabies]                     "
"129","m.11687",197,1,1,0,0,0,0,-0.345,-0.3262,1,0.78265,0.753986,"Q8VED2","Biogenesis of lysosome-related organelles complex 1 subunit 4 OS=Mus musculus GN=Bloc1s4 PE=1 SV=1               "
"130","m.11724",829,3,3,3,1,2,0,-0.964,-1.0855,0.260659,0.841528,0.06933,"P21575","Dynamin-1 OS=Rattus norvegicus GN=Dnm1 PE=1 SV=2                      "
"131","m.11725",118,0,1,2,1,1,1,-0.737,-0.7788,0.830195,0.877068,0.339392,"Q5EBF1","Cytosolic purine 5'-nucleotidase OS=Xenopus tropicalis GN=nt5c2 PE=2 SV=1                    "
"132","m.11744",384,3,1,1,2,2,1,0.228,0.255,0.442683,0.141187,0.819982,"3279690","Predicted protein OS=Nematostella vectensis GN=v1g245710 PE=4 SV=1                     "
"133","m.11754",237,2,2,3,4,3,2,0.266,0.3739,0.219433,0.066272,0.808013,"Q0V8T8","Contactin-associated protein like 2-May OS=Mus musculus GN=Cntnap5b PE=2 SV=1                   "
"134","m.11767",390,0,0,0,1,0,0,-0.431,-0.4295,1,0.82749,0.699877,"Q9JLQ2","ARF GTPase-activating protein GIT2 OS=Mus musculus GN=Git2 PE=1 SV=2                   "
"135","m.1177",593,0,0,1,0,1,0,-0.383,-0.3445,1,0.792128,0.745951,"A7SFP1","Leucine-rich repeat protein soc-2 homolog OS=Nematostella vectensis GN=v1g189306 PE=3 SV=1                  "
"136","m.11786",188,1,2,1,0,0,0,-0.351,-0.3156,1,0.776812,0.75837,"P62323","Small nuclear ribonucleoprotein Sm D3 OS=Xenopus laevis GN=snrpd3 PE=2 SV=1                  "
"137","m.11819",281,6,6,4,5,6,4,0.208,0.3113,0.324502,0.100173,0.81455,"P47844","Carbonyl reductase [NADPH] 1 OS=Oryctolagus cuniculus GN=CBR1 PE=2 SV=2                   "
"138","m.11820",1432,1,0,1,0,0,0,-0.467,-0.4435,1,0.832143,0.690739,"Q5JRA6","Melanoma inhibitory activity protein 3 OS=Homo sapiens GN=MIA3 PE=1 SV=1                  "
"139","m.11826",566,0,1,1,1,1,1,-0.302,-0.2979,1,0.766461,0.765271,"Q8CHT0","Delta-1-pyrroline-5-carboxylate dehydrogenase"
"140","m.11828",346,1,1,0,0,0,0,-0.338,-0.322,1,0.780368,0.755746,NA,NA
"141","m.11831",212,4,4,4,5,5,4,0.122,0.1921,0.591686,0.200238,0.824928,NA,NA
"142","m.11832",897,9,12,7,9,7,11,0.36,0.7635,0.009545,0.002329,0.777889,NA,NA
"143","m.11842",252,2,0,0,0,0,0,-0.442,-0.4228,1,0.825159,0.704084,NA,NA
"144","m.11876",224,1,0,0,0,0,0,-0.398,-0.3976,1,0.81574,0.718982,NA,NA
"145","m.1188",293,5,6,4,5,3,4,0.288,0.4887,0.097518,0.028574,0.796379,NA,NA
"146","m.11898",748,0,1,1,0,0,0,-0.45,-0.4252,1,0.826002,0.702589,NA,NA
"147","m.11907",647,1,0,1,0,0,0,-0.559,-0.5566,0.99567,0.860515,0.598186,NA,NA
"148","m.11921",315,3,3,2,0,0,0,-0.594,-0.6476,0.964274,0.873189,0.50012,NA,NA
"149","m.11933",202,0,2,1,1,0,0,-0.255,-0.248,1,0.732857,0.78215,NA,NA
"150","m.11971",202,0,1,1,1,0,1,-0.408,-0.4131,1,0.821657,0.709989,"4362198","Protein HIM-4"
"151","m.11993",245,2,1,1,0,0,0,-0.288,-0.2994,1,0.767369,0.764706,NA,NA
"152","m.11995",326,3,1,3,4,5,3,0.214,0.3333,0.284222,0.086957,0.812283,NA,NA
"153","m.12002",156,1,2,4,0,0,1,-1.065,-1.2414,0.091534,0.81882,0.021516,NA,NA
"154","m.12007",433,3,5,4,2,2,3,-0.551,-0.6873,0.936421,0.876096,0.452527,NA,NA
"155","m.12009",511,3,4,3,0,0,0,-0.971,-1.0618,0.298029,0.845187,0.081103,NA,NA
"156","m.12028",524,1,1,3,0,0,0,-0.89,-0.9486,0.510712,0.861863,0.158694,NA,NA
"157","m.12035",180,1,1,1,2,1,1,0.082,0.0912,0.816976,0.322814,0.828679,NA,NA
"158","m.1204",135,0,1,0,0,0,0,-0.259,-0.2629,1,0.743614,0.777484,NA,NA
"159","m.12048",569,9,6,6,7,6,4,0.131,0.2487,0.457043,0.146459,0.820541,NA,NA
"160","m.12051",247,1,0,1,2,2,1,0.279,0.319,0.309997,0.095378,0.813762,NA,NA
"161","m.12056",309,3,3,2,0,0,1,-0.86,-0.8711,0.668143,0.870976,0.232989,NA,NA
"162","m.12069",191,0,1,0,0,0,0,-0.323,-0.3291,1,0.784202,0.752752,NA,NA
"163","m.12124",155,0,1,1,0,0,0,-0.276,-0.2749,1,0.75182,0.773502,NA,NA
"164","m.12129",447,51,39,55,42,43,43,-0.208,-0.9693,0.468801,0.859014,0.141733,NA,NA
"165","m.1215",381,3,4,5,3,4,2,-0.415,-0.6086,0.982464,0.868797,0.544385,NA,NA
"166","m.12175",403,4,3,2,2,2,2,-0.103,-0.1263,1,0.618489,0.810533,NA,NA
"167","m.12185",535,3,3,4,2,3,2,-0.45,-0.5947,0.987079,0.866858,0.5594,NA,NA
"168","m.12229",471,20,16,20,13,16,13,-0.357,-1.0822,0.26568,0.842037,0.070885,NA,NA
"169","m.1223",739,2,1,3,1,2,1,-1.001,-1.1034,0.234483,0.838772,0.061359,NA,NA
"170","m.12238",232,14,13,14,10,11,12,-0.28,-0.6409,0.968,0.872543,0.507927,NA,NA
"171","m.12244",109,0,0,0,1,0,0,-0.428,-0.4154,1,0.822501,0.708609,NA,NA
"172","m.12306",644,3,1,1,0,0,0,-0.464,-0.4687,1,0.839813,0.673063,"O70247","Sodium-dependent multivitamin transporter OS=Rattus norvegicus GN=Slc5a6 PE=2 SV=1                    "
"173","m.12326",225,1,0,1,0,0,0,-0.323,-0.3132,1,0.775453,0.759336,"Q99715","Collagen alpha-1(XII) chain OS=Homo sapiens GN=COL12A1 PE=1 SV=2                    "
"174","m.12334",1458,2,2,1,2,2,1,0.233,0.25,0.454066,0.14536,0.820427,"P02466","Collagen alpha-2(I) chain OS=Rattus norvegicus GN=Col1a2 PE=1 SV=3                    "
"175","m.1235",511,3,4,3,2,1,1,-0.564,-0.6998,0.925458,0.876692,0.437183,"Q96HN2","Putative adenosylhomocysteinase 3 OS=Homo sapiens GN=AHCYL2 PE=1 SV=1                    "
"176","m.12364",195,1,1,0,0,0,0,-0.388,-0.3712,1,0.804684,0.733102,"4606641","Uncharacterized protein OS=Amphimedon queenslandica GN=LOC100633942 PE=4 SV=1                     "
"177","m.1238",450,1,2,3,2,2,2,-0.442,-0.537,0.998211,0.856651,0.616688,"Q8BX37","Iron/zinc purple acid phosphatase-like protein OS=Mus musculus GN=Papl PE=2 SV=2                  "
"178","m.12417",694,4,4,2,2,2,2,-0.12,-0.14,1,0.633875,0.808078,"Q4KLH5","Arf-GAP domain and FG repeat-containing protein 1 OS=Rattus norvegicus GN=Agfg1 PE=1 SV=1                "
"179","m.1245",204,20,14,19,13,13,12,-0.304,-0.8788,0.652912,0.870206,0.224892,"Q6NYB7","Ras-related protein Rab-1A OS=Rattus norvegicus GN=Rab1A PE=1 SV=3                    "
"180","m.1249",263,7,7,6,7,8,6,0.259,0.4735,0.1092,0.032142,0.797828,"Q9Z1Q5","Chloride intracellular channel protein 1 OS=Mus musculus GN=Clic1 PE=1 SV=3                  "
"181","m.12521",914,19,16,15,8,10,8,-0.565,-1.421,0.020088,0.798955,0.004129,"Q5REU4","Staphylococcal nuclease domain-containing protein 1 OS=Pongo abelii GN=SND1 PE=2 SV=1                  "
"182","m.12550",201,2,0,1,2,1,1,0.208,0.2266,0.5087,0.16608,0.822401,"P48148","Ras-like GTP-binding protein Rho1 OS=Drosophila melanogaster GN=Rho1 PE=1 SV=1                   "
"183","m.12589",426,1,1,2,0,0,0,-0.822,-0.8863,0.637927,0.869424,0.217147,NA,NA
"184","m.12606",311,1,0,1,0,0,0,-0.385,-0.3738,1,0.80583,0.731776,NA,NA
"185","m.1261",196,2,1,1,2,1,0,0.077,0.0788,0.839805,0.339743,0.828679,NA,NA
"186","m.12642",195,24,14,25,21,23,23,-0.099,-0.3447,1,0.792228,0.74586,"Q5XFX0","Transgelin-2 OS=Rattus norvegicus GN=Tagln2 PE=2 SV=1                      "
