"","Protein","Len","S0","S0.1","S1","S1.1","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","Annotation","KOid","UniprotID"
"40","Pocillopora_acuta_HIv1_PredGene_1431_t",408,0,0,2,0,-5.685,-0.9305,1,0.875703,0.776557,"acetyl-CoA acetyltransferase, mitochondrial isoform b precursor ","K00626","B2R6H1"
"41","Pocillopora_acuta_HIv1_PredGene_14319_t",155,17,18,20,18,-2.406,-0.4364,1,0.82521,0.843092,"superoxide dismutase ","K04565","P08228"
"42","Pocillopora_acuta_HIv1_PredGene_14388_t",264,0,0,0,1,-13.009,-1.6706,0.92114,0.901451,0.571183,"WP_021368890.1 collagen-like exosporium glycoprotein BclA1 ","K19721",""
"43","Pocillopora_acuta_HIv1_PredGene_14565_t",687,3,5,9,3,-4.187,-0.7039,1,0.856907,0.812676,"serine/threonine-protein kinase PAK 3 isoform c ","K05733","Q5JWX1"
"44","Pocillopora_acuta_HIv1_PredGene_14568_t",589,7,4,20,11,-5.501,-1.4908,0.942427,0.899894,0.63264,"serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform ","K03456","Q76MZ3"
"45","Pocillopora_acuta_HIv1_PredGene_14587_t",174,0,0,0,1,-3.235,-0.4515,1,0.827338,0.841662,"hypothetical protein Rv1486c ","K09966","L0T6T0"
"46","Pocillopora_acuta_HIv1_PredGene_153_t",229,7,4,11,3,-3.038,-0.5949,1,0.84543,0.826451,"hypothetical protein DDB_G0280019 ","","Q54W12"
"47","Pocillopora_acuta_HIv1_PredGene_15455_t",192,4,1,3,4,-14.08,-1.1874,1,0.890692,0.720247,"40S ribosomal protein S9 ","K02997","Q6P5M3"
"48","Pocillopora_acuta_HIv1_PredGene_15557_t",153,3,1,3,4,-6.116,-1.5326,0.93526,0.900408,0.619116,"40S ribosomal protein S14 ","K02955","P62263"
"49","Pocillopora_acuta_HIv1_PredGene_15637_t",404,1,2,7,1,-2.255,-0.4804,1,0.831286,0.838838,"WP_003426955.1 NAD(P)H-dependent glycerol-3-phosphate dehydrogenase ","K04940",""
"50","Pocillopora_acuta_HIv1_PredGene_15640_t",627,0,0,1,0,-1.815,-0.3443,1,0.811205,0.851185,"myotubularin-related protein 2 isoform 1 ","K18081","Q13614"
"51","Pocillopora_acuta_HIv1_PredGene_15641_t",1129,0,0,0,0,-0.505,-0.09,0.97343,0.762755,0.868241,"MBT domain-containing protein 1 isoform X1 ","","E7F7F5"
"52","Pocillopora_acuta_HIv1_PredGene_1575_t",732,0,0,0,0,2.331,0.41,0.83863,0.659088,0.872037,"kinesin-like protein KIF3B ","K20196","B2RMP4"
"53","Pocillopora_acuta_HIv1_PredGene_15924_t",657,16,23,27,18,-5.982,-1.3939,0.963047,0.898112,0.662561,"far upstream element-binding protein 3 ","K13210","Q5RKQ3"
"54","Pocillopora_acuta_HIv1_PredGene_16085_t",472,0,0,1,0,-5.425,-0.9452,1,0.876722,0.773814,"tyrosine-protein kinase CSK ","K05728","P41241"
"55","Pocillopora_acuta_HIv1_PredGene_16133_t",341,0,0,1,1,7.065,0.9432,0.7239,0.490232,0.86624,"45 kDa calcium-binding protein precursor ","K19934","Q7ZUC2"
"56","Pocillopora_acuta_HIv1_PredGene_16231_t",159,2,1,0,3,-9.22,-1.9571,0.845547,0.901296,0.456793,"centrin-3 isoform 2 ","K16466","O15182"
"57","Pocillopora_acuta_HIv1_PredGene_16311_t",373,12,9,19,14,-5.328,-1.3126,0.981076,0.895818,0.686286,"isocitrate dehydrogenase ","K00031","Q802Y2"
"58","Pocillopora_acuta_HIv1_PredGene_16462_t",195,0,2,3,0,5.146,0.6995,0.817388,0.574911,0.869616,"dynein light chain roadblock-type 2 ","K10419","Q9DAJ5"
"59","Pocillopora_acuta_HIv1_PredGene_16522_t",201,0,0,1,0,-14.693,-1.3051,0.982622,0.895565,0.688412,"ribonuclease activity regulator protein RraA ","K02553","Q9I2W7"
"60","Pocillopora_acuta_HIv1_PredGene_16615_t",270,2,2,3,2,-0.135,-0.0101,0.942331,0.746134,0.871305,"eukaryotic translation initiation factor 3 subunit G ","K03248","Q7ZUH3"
"61","Pocillopora_acuta_HIv1_PredGene_16641_t",1204,0,0,0,0,-11.598,-1.175,1,0.890092,0.723403,"oncoprotein-induced transcript 3 protein precursor ","K24431","Q8N1M8"
"62","Pocillopora_acuta_HIv1_PredGene_16812_t",129,1,1,0,0,-2.18,-0.3312,1,0.809062,0.852252,"ATP-dependent DNA helicase ","K01537","Q54LY5"
"63","Pocillopora_acuta_HIv1_PredGene_16815_t",557,4,0,2,1,-5.97,-0.8073,1,0.866251,0.797558,"hypothetical protein DDB_G0283655 ","","Q54QS9"
"64","Pocillopora_acuta_HIv1_PredGene_17050_t",312,0,0,1,1,1.195,0.2102,0.862772,0.70195,0.873644,"matrix metalloproteinase-19 isoform X2 ","K07998","O15278"
"65","Pocillopora_acuta_HIv1_PredGene_17078_t",440,3,1,0,2,8.177,1.4532,0.500657,0.326676,0.854083,"AP-2 complex subunit mu isoform b ","K11826","P53679"
"66","Pocillopora_acuta_HIv1_PredGene_17567_t",638,0,1,1,3,0.026,0.0037,0.936577,0.743289,0.871699,"Aldo_ket_red domain-containing protein ","","Q18483"
"67","Pocillopora_acuta_HIv1_PredGene_17572_t",921,0,0,1,0,-7.442,-1.0757,1,0.884865,0.747004,"hypothetical protein DDB_G0283979 ","","Q54QA1"
"68","Pocillopora_acuta_HIv1_PredGene_17583_t",554,30,34,33,28,-7.518,-3.0811,0.308966,0.866414,0.100393,"pyruvate kinase M1/2b ","K00873","Q6DG54"
"69","Pocillopora_acuta_HIv1_PredGene_17795_t",235,0,0,1,1,-1.247,-0.115,0.981744,0.76796,0.867006,"pyridoxine-5'-phosphate oxidase ","K00275","Q3U445"
"70","Pocillopora_acuta_HIv1_PredGene_17906_t",138,2,3,3,1,6.599,1.2663,0.565519,0.383892,0.858664,"60S ribosomal protein L28 isoform 2 ","K02903","Q9BWQ0"
"71","Pocillopora_acuta_HIv1_PredGene_18036_t",424,0,0,2,1,-16.707,-2.0277,0.797542,0.900312,0.428059,"WP_004454949.1 Xaa-Pro peptidase family protein ","K08688","C9YPK2"
"72","Pocillopora_acuta_HIv1_PredGene_18115_t",396,0,0,1,1,3.027,0.3484,0.841517,0.673258,0.872614,"histone acetyltransferase type B catalytic subunit ","K11303","Q66HU5"
"73","Pocillopora_acuta_HIv1_PredGene_18150_t",1989,0,0,0,1,1.333,0.3233,0.843658,0.67873,0.872845,"multiple PDZ domain protein isoform X6 ","K06095","-"
"74","Pocillopora_acuta_HIv1_PredGene_18229_t",1023,1,1,3,1,1.861,0.2622,0.851894,0.691496,0.87335,"alpha-mannosidase 2C1 isoform X2 ","K01191","X1WCE5"
"75","Pocillopora_acuta_HIv1_PredGene_18292_t",1419,2,2,0,1,-5.917,-0.6924,1,0.855779,0.814229,"host cell factor 1b ","K14966","A8WIP5"
"76","Pocillopora_acuta_HIv1_PredGene_1830_t",350,1,0,1,0,4.304,0.403,0.838825,0.660757,0.872102,"TAR DNA-binding protein 43 ","K23600","A4GUK4"
"77","Pocillopora_acuta_HIv1_PredGene_1834_t",750,0,0,1,0,-4.094,-1.1061,1,0.886548,0.740087,"endothelin-converting enzyme 1 isoform c ","K01415","B1AXF9"
"78","Pocillopora_acuta_HIv1_PredGene_18375_t",1965,1,1,0,0,-0.992,-0.1376,0.988441,0.772641,0.865781,"cilia- and flagella-associated protein 54 isoform 2 ","","Q96N23"
"79","Pocillopora_acuta_HIv1_PredGene_184_t",123,0,0,1,0,-0.762,-0.1191,0.983023,0.768811,0.866791,"elongin C paralog b ","K03872","Q502M9"
"80","Pocillopora_acuta_HIv1_PredGene_18496_t",426,1,1,3,3,-6.163,-1.3617,0.970362,0.897299,0.672104,"homer protein homolog 2 isoform X1 ","K15010","Q9UNT7"
"81","Pocillopora_acuta_HIv1_PredGene_18504_t",766,0,0,0,0,-4.469,-0.6451,1,0.850939,0.820364,"kinesin light chain 4 ","","Q3TCC5"
"82","Pocillopora_acuta_HIv1_PredGene_18532_t",1026,0,1,1,1,5.646,0.8578,0.763926,0.520131,0.867697,"ubiquitin-associated protein 2 isoform 7 ","","B4DH66"
"83","Pocillopora_acuta_HIv1_PredGene_18533_t",353,15,13,14,14,-13.565,-2.1445,0.707334,0.897499,0.38263,"Heterogeneous nuclear ribonucleoprotein K homolog ","K12886","Q8I7G8"
"84","Pocillopora_acuta_HIv1_PredGene_18551_t",243,46,42,55,52,-0.262,-0.1034,0.977999,0.765547,0.867595,"tropomyosin alpha-3 chain isoform Tpm3.2cy ","","Q969Q2"
"85","Pocillopora_acuta_HIv1_PredGene_18740_t",513,39,48,87,60,-4.208,-3.8026,0.070763,0.853259,0.015996,"ATP synthase subunit beta, mitochondrial precursor ","K02133","A8K4X0"
"86","Pocillopora_acuta_HIv1_PredGene_18962_t",641,0,0,0,2,-7.995,-1.3152,0.980534,0.895904,0.685546,"hephaestin isoform i precursor ","K14735","Q9BQS7"
"87","Pocillopora_acuta_HIv1_PredGene_19154_t",492,16,7,31,9,-6.368,-1.4439,0.951914,0.899147,0.647356,"catalase ","K03781","P17336"
"88","Pocillopora_acuta_HIv1_PredGene_19179_t",341,2,1,3,1,-3.905,-0.4873,1,0.832205,0.838146,"dickkopf-related protein 3 isoform c precursor ","K25493","Q9QUN9"
"89","Pocillopora_acuta_HIv1_PredGene_19560_t",121,0,0,3,0,-7.465,-1.0547,1,0.883658,0.751628,"V-type proton ATPase subunit F ","K02151","Q6DRK0"
"90","Pocillopora_acuta_HIv1_PredGene_196_t",205,0,1,7,2,10.817,1.172,0.608082,0.413575,0.861072,"uncharacterized protein Dmel_CG18815, isoform A ","K06130","Q9I7R0"
"91","Pocillopora_acuta_HIv1_PredGene_19618_t",655,0,0,1,0,-4.553,-0.8665,1,0.871004,0.787898,"uncharacterized protein Dmel_CG10804, isoform D ","K05048","Q9W4S0"
"92","Pocillopora_acuta_HIv1_PredGene_19625_t",1160,0,3,0,1,-22.012,-1.7764,0.911322,0.901848,0.530684,"plasma membrane calcium-transporting ATPase 3 isoform 3b ","K05850","B7WNY5"
"93","Pocillopora_acuta_HIv1_PredGene_19703_t",1028,0,0,2,4,0.533,0.0586,0.913764,0.732091,0.872887,"EGF-like domain-containing protein ","K17307","B0G154"
"94","Pocillopora_acuta_HIv1_PredGene_19704_t",1094,12,7,11,21,-3.652,-0.869,1,0.871196,0.787473,"EGF-like domain-containing protein ","K06825","B0G154"
"95","Pocillopora_acuta_HIv1_PredGene_19706_t",2350,6,4,5,15,-7.329,-1.1076,1,0.886629,0.739739,"sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 precursor ","K24469","Q9H284"
"96","Pocillopora_acuta_HIv1_PredGene_19745_t",495,1,1,4,1,-19.327,-2.3795,0.564457,0.888739,0.300225,"Calcium/calmodulin-dependent protein kinase II, isoform H ","K04515","Q9V495"
"97","Pocillopora_acuta_HIv1_PredGene_20289_t",211,6,0,6,5,1.899,0.5481,0.836061,0.622559,0.870866,"40S ribosomal protein S5 ","K02989","Q96BN0"
"98","Pocillopora_acuta_HIv1_PredGene_20354_t",131,0,0,0,0,-18.333,-1.2692,0.989543,0.894259,0.698435,"SNARE-associated protein Snapin ","K20002","O95295"
"99","Pocillopora_acuta_HIv1_PredGene_2067_t",134,0,1,1,0,2.843,0.2765,0.849551,0.688567,0.873243,"charged multivesicular body protein 1, isoform B ","K12197","Q9VVR8"
"100","Pocillopora_acuta_HIv1_PredGene_20807_t",2563,2,0,1,5,-8.778,-1.0004,1,0.880358,0.763024,"hemicentin-1 isoform X1 ","K06825","A6NGE3"
"101","Pocillopora_acuta_HIv1_PredGene_21346_t",109,0,0,1,0,-5.322,-0.5937,1,0.845294,0.826591,"DNA-directed RNA polymerase II subunit RPB4 isoform 3 ","K03012","Q9D7M8"
"102","Pocillopora_acuta_HIv1_PredGene_21441_t",165,16,11,14,10,-1.054,-0.3202,1,0.807232,0.853133,"ribosomal protein S10b, isoform D ","K02947","A4V4S6"
"103","Pocillopora_acuta_HIv1_PredGene_21462_t",151,1,0,0,0,-14.535,-1.041,1,0.88285,0.754579,"calcium-regulated heat-stable protein 1 ","","Q9BQ53"
"104","Pocillopora_acuta_HIv1_PredGene_21536_t",224,4,3,4,3,2.109,0.306,0.845533,0.682416,0.872999,"GTP:AMP phosphotransferase AK3, mitochondrial isoform a ","K00944","Q9NPB4"
"105","Pocillopora_acuta_HIv1_PredGene_21541_t",507,0,2,3,0,1.221,0.1769,0.871662,0.708548,0.873722,"ran-binding protein 3 isoform X1 ","K15304","O75759"
"106","Pocillopora_acuta_HIv1_PredGene_21568_t",890,0,0,1,1,-11.973,-3.3436,0.2167,0.861154,0.054967,"transportin-1 isoform 2 ","K18752","B4DVC6"
"107","Pocillopora_acuta_HIv1_PredGene_2177_t",567,69,40,80,57,-5.128,-2.1749,0.684522,0.896544,0.371336,"radixin isoform a ","K05762","Q9QW27"
"108","Pocillopora_acuta_HIv1_PredGene_21861_t",452,11,5,9,11,-10.853,-2.8282,0.405602,0.873121,0.161149,"flavin-containing monooxygenase FMO GS-OX-like 1 ","K18277","E7F2R0"
"109","Pocillopora_acuta_HIv1_PredGene_22166_t",537,11,9,48,18,0.779,0.4235,0.838322,0.655822,0.871914,"glucose-6-phosphate 1-dehydrogenase X ","K00036","Q790Y8"
"110","Pocillopora_acuta_HIv1_PredGene_22203_t",183,0,0,0,0,10.628,1.8687,0.382777,0.197177,0.846832,"mucin-5AC precursor ","","O60460"
"111","Pocillopora_acuta_HIv1_PredGene_2231_t",570,28,123,15,49,-11.438,-7.5229,0,0.838098,0,"uncharacterized protein Dmel_CG17068 ","","Q9VR80"
"112","Pocillopora_acuta_HIv1_PredGene_22317_t",386,3,0,1,2,-5.568,-0.6361,1,0.84998,0.821487,"regulator of chromosome condensation isoform c ","K11493","Q5T081"
"113","Pocillopora_acuta_HIv1_PredGene_22420_t",327,4,1,7,4,2.969,0.4074,0.8387,0.65971,0.872061,"40S ribosomal protein SA ","K02998","B2GNT1"
"114","Pocillopora_acuta_HIv1_PredGene_22496_t",261,4,0,1,4,-0.539,-0.0503,0.958635,0.754477,0.869932,"ribosomal protein L8, isoform A ","K02938","A4V1C0"
"115","Pocillopora_acuta_HIv1_PredGene_22695_t",402,20,22,23,17,-10.462,-2.0812,0.756583,0.899204,0.406865,"sorting nexin-6 ","K17920","F8W5C6"
"116","Pocillopora_acuta_HIv1_PredGene_22824_t",288,0,0,0,0,-11.253,-1.516,0.93794,0.900219,0.624536,"Leucine-rich repeat protein kinase family protein ","K06969",""
"117","Pocillopora_acuta_HIv1_PredGene_22876_t",265,3,4,4,7,-15.644,-2.0442,0.785162,0.900004,0.421459,"DUF4773 domain-containing protein ","","O01734"
"118","Pocillopora_acuta_HIv1_PredGene_22952_t",858,0,1,1,0,-1.656,-0.3158,1,0.806492,0.853481,"guanidine nucleotide exchange factor ","K15297","Q8I418"
"119","Pocillopora_acuta_HIv1_PredGene_23120_t",694,0,0,1,0,3.508,0.3831,0.839545,0.665417,0.872288,"no_annotation","K18024","-"
"120","Pocillopora_acuta_HIv1_PredGene_23188_t",278,36,26,32,14,-1.094,-0.2718,1,0.798841,0.856848,"3-mercaptopyruvate sulfurtransferase isoform 2 ","K01011","A8MZ34"
"121","Pocillopora_acuta_HIv1_PredGene_23291_t",806,0,0,0,0,-2.155,-0.2896,1,0.801993,0.855511,"dipeptidyl peptidase 4 ","","B5DDZ4"
"122","Pocillopora_acuta_HIv1_PredGene_23331_t",198,3,4,7,1,0.908,0.2857,0.848173,0.686665,0.87317,"muscle protein 20, isoform A ","K20526","Q9V6M7"
"123","Pocillopora_acuta_HIv1_PredGene_23360_t",1226,2,1,2,1,-14.31,-1.5988,0.926876,0.901005,0.596797,"unconventional myosin-VI isoform 3 ","K10358","Q5TEM6"
"124","Pocillopora_acuta_HIv1_PredGene_23373_t",292,1,0,2,0,3.057,0.3136,0.844668,0.680804,0.872932,"uncharacterized protein Dmel_CG31548 ","K14729","Q8IPP8"
"125","Pocillopora_acuta_HIv1_PredGene_2348_t",297,0,0,0,0,-2.939,-0.2689,1,0.79832,0.857062,"Zinc metalloproteinase nas-14 ","K08076","Q19269"
"126","Pocillopora_acuta_HIv1_PredGene_23523_t",467,4,8,13,12,5.554,2.1982,0.266968,0.110696,0.843206,"hexokinase A, isoform C ","K00844","Q9GNH8"
"127","Pocillopora_acuta_HIv1_PredGene_23524_t",468,1,2,2,3,4.62,0.6583,0.825441,0.588533,0.869986,"hexokinase HKDC1 isoform X2 ","K00844","Q3UKJ9"
"128","Pocillopora_acuta_HIv1_PredGene_23743_t",167,1,0,1,1,-5.244,-0.7328,1,0.85966,0.808663,"dynactin subunit 3 ","K10425","Q6GQL6"
"129","Pocillopora_acuta_HIv1_PredGene_23746_t",270,3,0,2,3,-12.84,-1.6146,0.925386,0.901118,0.591292,"60S ribosomal protein L7a ","K02936","Q6PBZ1"
"130","Pocillopora_acuta_HIv1_PredGene_23819_t",448,1,1,2,2,-3.111,-0.3387,1,0.810293,0.851643,"pre-mRNA-splicing factor RBM22 ","K12872","A6NDM5"
"131","Pocillopora_acuta_HIv1_PredGene_23830_t",749,1,0,2,1,-20.288,-3.0112,0.331825,0.868116,0.115538,"catenin beta-1 isoform 1 ","K02105","Q8NI94"
"132","Pocillopora_acuta_HIv1_PredGene_24172_t",531,17,17,24,20,-3.643,-0.5524,1,0.840447,0.831281,"mRNA cap guanine-N7 methyltransferase isoform 2 ","K00565","Q9UIJ9"
"133","Pocillopora_acuta_HIv1_PredGene_24188_t",429,1,0,2,1,-7.963,-1.1182,1,0.887197,0.73726,"septin-7 isoform X7 ","K16944","Q16181"
"134","Pocillopora_acuta_HIv1_PredGene_24189_t",336,2,1,0,1,-4.588,-0.529,1,0.837572,0.833821,"N-terminal EF-hand calcium-binding protein 1 ","K23854","Q80W91"
"135","Pocillopora_acuta_HIv1_PredGene_24205_t",367,0,0,2,4,-0.873,-0.0866,0.972235,0.762046,0.868398,"melanotransferrin precursor ","K06569","Q9R0R1"
"136","Pocillopora_acuta_HIv1_PredGene_24225_t",139,2,0,0,0,-1.624,-0.1344,0.987548,0.77198,0.865961,"60S ribosomal protein L9 ","K02940","Q53Z07"
"137","Pocillopora_acuta_HIv1_PredGene_24508_t",780,0,0,1,0,-1.206,-0.1491,0.991525,0.77501,0.865119,"RING finger protein unkempt homolog ","","Q9C0B0"
"138","Pocillopora_acuta_HIv1_PredGene_24551_t",289,0,0,2,1,-5.391,-0.5306,1,0.837772,0.83365,"adhesion G protein-coupled receptor E1 ","K00763","-"
"139","Pocillopora_acuta_HIv1_PredGene_24687_t",267,2,0,2,1,-1.788,-0.2161,1,0.788466,0.860815,"Pop2, isoform B ","K12581","Q8I0I5"
"140","Pocillopora_acuta_HIv1_PredGene_24968_t",869,0,0,0,0,-9.508,-1.1324,1,0.887944,0.733886,"cat eye syndrome critical region protein 2 isoform 2 ","","Q658Z4"
"141","Pocillopora_acuta_HIv1_PredGene_25019_t",159,2,0,1,2,-6.654,-0.5465,1,0.839731,0.83193,"tsunagi ","K12876","Q9V535"
"142","Pocillopora_acuta_HIv1_PredGene_25033_t",371,3,2,3,2,-13.065,-1.7674,0.912596,0.901827,0.534246,"COUP transcription factor 2 isoform 1 ","K08547","Q3UST6"
"143","Pocillopora_acuta_HIv1_PredGene_25066_t",229,13,13,17,8,6.706,0.8512,0.766772,0.522449,0.867797,"calumenin-A precursor ","K23901","Z4YIA7"
"144","Pocillopora_acuta_HIv1_PredGene_25132_t",518,2,2,5,5,-19.692,-2.3064,0.599912,0.891689,0.324822,"uncharacterized protein Dmel_CG8646 ","K01135","A1Z937"
"145","Pocillopora_acuta_HIv1_PredGene_25279_t",171,3,7,6,1,7.968,1.2663,0.565519,0.383892,0.858664,"neudesin precursor ","K17278","A1KYQ8"
"146","Pocillopora_acuta_HIv1_PredGene_25309_t",283,0,0,0,0,-8.436,-1.5524,0.932363,0.900611,0.612562,"titin ","K08626","B0S757"
