"","Protein","Len","S0","S0.1","S1","S1.1","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","Annotation","KOid","UniprotID"
"13","Pocillopora_acuta_HIv1_PredGene_11066_t",517,2,0,0,1,2.559,0.364,0.683176,0.338582,0.77029,"uncharacterized protein LOC767682 ","K01255","Q08CQ0"
"14","Pocillopora_acuta_HIv1_PredGene_11087_t",577,5,5,6,6,-6.773,-0.7296,1,0.685888,0.660141,"alpha-adducin isoform X8 ","K18622","A1A5X4"
"15","Pocillopora_acuta_HIv1_PredGene_11098_t",568,1,1,3,3,-2.031,-0.2012,0.942692,0.545174,0.754356,"shootin-1 isoform 1 ","","Q8C4F6"
"16","Pocillopora_acuta_HIv1_PredGene_11107_t",360,2,1,2,1,-2.111,-0.2302,0.952824,0.554781,0.751393,"4-hydroxy-2-oxoglutarate aldolase, mitochondrial precursor ","K18123","Q6NY77"
"17","Pocillopora_acuta_HIv1_PredGene_1120_t",246,3,1,1,2,-4.281,-0.6291,1,0.665422,0.684584,"splicing factor 1 isoform X10 ","K02823","D3YZD0"
"18","Pocillopora_acuta_HIv1_PredGene_1126_t",379,2,1,4,3,-7.62,-1.8262,0.567848,0.760189,0.239844,"dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial ","K00658","Q8CIE8"
"19","Pocillopora_acuta_HIv1_PredGene_11648_t",803,1,2,1,3,-10.161,-1.2832,0.954223,0.755925,0.462712,"striatin-3 isoform 1 ","K17608","Q3TNV4"
"20","Pocillopora_acuta_HIv1_PredGene_11681_t",589,3,2,2,3,-14.592,-1.4392,0.869563,0.763558,0.394697,"RNA-binding motif, single-stranded-interacting protein 3 ","K24990","Q08C34"
"21","Pocillopora_acuta_HIv1_PredGene_11803_t",639,0,0,1,0,-9.806,-1.4769,0.843829,0.76456,0.378367,"hypothetical protein DDB_G0283095 ","","Q54RK9"
"22","Pocillopora_acuta_HIv1_PredGene_12017_t",122,2,4,3,4,-17.845,-4.204,0.000604,0.686825,8.3e-05,"elongin-B ","K03873","F1QF30"
"23","Pocillopora_acuta_HIv1_PredGene_12069_t",543,4,5,3,1,-0.711,-0.1176,0.910466,0.516704,0.761443,"WP_010889536.1 malate synthase A ","K01638","Q9RYN3"
"24","Pocillopora_acuta_HIv1_PredGene_12073_t",597,9,3,7,2,-9.615,-1.554,0.786175,0.765624,0.345511,"apoptosis-inducing factor 3 isoform X2 ","K22747","F2Z4R3"
"25","Pocillopora_acuta_HIv1_PredGene_12117_t",212,4,1,3,4,-5.414,-0.9636,1,0.723424,0.589576,"60S ribosomal protein L13 ","K02873","Q90Z10"
"26","Pocillopora_acuta_HIv1_PredGene_12155_t",556,27,37,24,15,-1.702,-0.7289,1,0.685755,0.660323,"glucose-6-phosphate isomerase ","K01810","Q8C675"
"27","Pocillopora_acuta_HIv1_PredGene_12270_t",559,9,10,12,10,-0.529,-0.0693,0.891022,0.499787,0.764606,"asparagine synthetase ","K01953","Q8BPC8"
"28","Pocillopora_acuta_HIv1_PredGene_12357_t",437,1,0,0,3,-6.753,-1.373,0.91003,0.761009,0.423585,"deoxyribonuclease gamma isoform 1 precursor ","K11995","B7Z707"
"29","Pocillopora_acuta_HIv1_PredGene_12368_t",112,4,3,5,11,1.835,0.4176,0.646688,0.318952,0.768618,"anoctamin-4 isoform X1 ","K19499","Q8CA37"
"30","Pocillopora_acuta_HIv1_PredGene_12927_t",2780,611,756,660,582,-2.874,-5.571,0,0.678055,0,"COP1-interactive protein 1 ","K20478","Q38843"
"31","Pocillopora_acuta_HIv1_PredGene_130_t",685,0,0,1,0,4.283,0.6464,0.490309,0.241482,0.756877,"coiled-coil domain-containing protein 62 isoform X6 ","","E9PVD1"
"32","Pocillopora_acuta_HIv1_PredGene_13050_t",160,3,3,0,0,-8.182,-1.4409,0.868445,0.76361,0.393958,"no_annotation","K21995","-"
"33","Pocillopora_acuta_HIv1_PredGene_13208_t",521,0,1,1,1,2.861,0.2882,0.730988,0.36696,0.771811,"uncharacterized protein LOC641500 ","","B8JL34"
"34","Pocillopora_acuta_HIv1_PredGene_13279_t",220,1,0,0,0,8.174,0.7332,0.436585,0.215244,0.751093,"transmembrane emp24 domain-containing protein 4 precursor ","K20346","Q6IQH9"
"35","Pocillopora_acuta_HIv1_PredGene_13313_t",613,5,4,8,7,-3.116,-0.8499,1,0.706819,0.626346,"carnitine O-acetyltransferase ","K00624","Q642H6"
"36","Pocillopora_acuta_HIv1_PredGene_1356_t",196,1,1,0,1,-9.414,-1.1037,1,0.740204,0.537693,"ADP-ribosylation factor-like protein 6 isoform X1 ","K07951","Q5M9P8"
"37","Pocillopora_acuta_HIv1_PredGene_13979_t",524,1,4,3,3,0.66,0.1378,0.807381,0.42395,0.77181,"dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial isoform 11 ","K00627","P10515"
"38","Pocillopora_acuta_HIv1_PredGene_14125_t",1821,0,1,0,1,-1.014,-0.1186,0.910868,0.517051,0.76137,"E3 SUMO-protein ligase RanBP2 isoform X1 ","K12172","B8JMJ5"
"39","Pocillopora_acuta_HIv1_PredGene_14247_t",313,0,1,0,0,-9.781,-0.8521,1,0.707169,0.62568,"glycerol-3-phosphate phosphatase ","K19269","F1QGU0"
"40","Pocillopora_acuta_HIv1_PredGene_14258_t",318,1,0,0,0,10.518,0.8512,0.369686,0.182548,0.7427,"lysosome-associated membrane glycoprotein 1a precursor ","K06528","Q6P299"
"41","Pocillopora_acuta_HIv1_PredGene_14283_t",460,0,0,1,0,-2.934,-0.3865,0.990332,0.603474,0.730875,"protein TFG isoform 1 ","K09292","Q9Z1A1"
"42","Pocillopora_acuta_HIv1_PredGene_1431_t",408,0,0,0,1,-13.318,-2.0222,0.444682,0.750773,0.176118,"acetyl-CoA acetyltransferase, mitochondrial isoform b precursor ","K00626","B2R6H1"
"43","Pocillopora_acuta_HIv1_PredGene_14319_t",155,17,19,15,19,-0.324,-0.0858,0.897677,0.505602,0.763598,"superoxide dismutase ","K04565","P08228"
"44","Pocillopora_acuta_HIv1_PredGene_14388_t",264,1,1,0,2,-6.161,-1.6258,0.728288,0.765479,0.315862,"WP_021368890.1 collagen-like exosporium glycoprotein BclA1 ","K19721",""
"45","Pocillopora_acuta_HIv1_PredGene_14565_t",687,4,5,5,8,-1.988,-0.4975,0.998888,0.634073,0.71183,"serine/threonine-protein kinase PAK 3 isoform c ","K05733","Q5JWX1"
"46","Pocillopora_acuta_HIv1_PredGene_14568_t",589,7,4,8,12,2.885,0.5371,0.563209,0.277066,0.763287,"serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform ","K03456","Q76MZ3"
"47","Pocillopora_acuta_HIv1_PredGene_14587_t",174,0,0,1,1,-1.207,-0.143,0.920567,0.525468,0.759512,"hypothetical protein Rv1486c ","K09966","L0T6T0"
"48","Pocillopora_acuta_HIv1_PredGene_153_t",229,7,4,3,8,-8.786,-0.6717,1,0.674448,0.674627,"hypothetical protein DDB_G0280019 ","","Q54W12"
"49","Pocillopora_acuta_HIv1_PredGene_15455_t",192,5,2,4,10,-3.182,-0.3092,0.975792,0.580108,0.741974,"40S ribosomal protein S9 ","K02997","Q6P5M3"
"50","Pocillopora_acuta_HIv1_PredGene_15557_t",153,3,2,4,5,-5.519,-0.7956,1,0.697826,0.642235,"40S ribosomal protein S14 ","K02955","P62263"
"51","Pocillopora_acuta_HIv1_PredGene_15637_t",404,1,3,0,0,1.19,0.1116,0.818534,0.433794,0.77139,"WP_003426955.1 NAD(P)H-dependent glycerol-3-phosphate dehydrogenase ","K04940",""
"52","Pocillopora_acuta_HIv1_PredGene_15640_t",627,0,0,0,1,-5.625,-0.6714,1,0.674386,0.674699,"myotubularin-related protein 2 isoform 1 ","K18081","Q13614"
"53","Pocillopora_acuta_HIv1_PredGene_15641_t",1129,1,1,0,2,-3.824,-0.5825,0.999962,0.654931,0.694825,"MBT domain-containing protein 1 isoform X1 ","","E7F7F5"
"54","Pocillopora_acuta_HIv1_PredGene_1575_t",732,0,0,0,1,-2.445,-0.3268,0.979817,0.585562,0.739608,"kinesin-like protein KIF3B ","K20196","B2RMP4"
"55","Pocillopora_acuta_HIv1_PredGene_15924_t",657,17,24,27,21,-9.516,-5.349,0,0.679137,0,"far upstream element-binding protein 3 ","K13210","Q5RKQ3"
"56","Pocillopora_acuta_HIv1_PredGene_16085_t",472,0,0,0,1,0.872,0.1138,0.817613,0.43297,0.771431,"tyrosine-protein kinase CSK ","K05728","P41241"
"57","Pocillopora_acuta_HIv1_PredGene_16133_t",341,1,1,1,1,-0.863,-0.1142,0.909106,0.515524,0.761687,"45 kDa calcium-binding protein precursor ","K19934","Q7ZUC2"
"58","Pocillopora_acuta_HIv1_PredGene_16231_t",159,2,2,1,2,-7.311,-0.608,1,0.660753,0.689304,"centrin-3 isoform 2 ","K16466","O15182"
"59","Pocillopora_acuta_HIv1_PredGene_16311_t",373,12,10,15,26,-5.306,-1.6699,0.691866,0.764885,0.298224,"isocitrate dehydrogenase ","K00031","Q802Y2"
"60","Pocillopora_acuta_HIv1_PredGene_16462_t",195,0,2,0,1,-0.283,-0.0284,0.874617,0.485215,0.766798,"dynein light chain roadblock-type 2 ","K10419","Q9DAJ5"
"61","Pocillopora_acuta_HIv1_PredGene_16522_t",201,1,0,0,0,11.102,1.2193,0.211497,0.102048,0.717268,"ribonuclease activity regulator protein RraA ","K02553","Q9I2W7"
"62","Pocillopora_acuta_HIv1_PredGene_16615_t",270,2,2,2,2,4.33,0.4987,0.589908,0.290208,0.76522,"eukaryotic translation initiation factor 3 subunit G ","K03248","Q7ZUH3"
"63","Pocillopora_acuta_HIv1_PredGene_16812_t",129,1,2,1,0,-8.236,-0.8446,1,0.705973,0.627944,"ATP-dependent DNA helicase ","K01537","Q54LY5"
"64","Pocillopora_acuta_HIv1_PredGene_16815_t",557,5,0,0,0,-13.877,-1.4497,0.862579,0.763869,0.390136,"hypothetical protein DDB_G0283655 ","","Q54QS9"
"65","Pocillopora_acuta_HIv1_PredGene_17078_t",440,3,1,2,3,2.005,0.2956,0.726575,0.364166,0.771707,"AP-2 complex subunit mu isoform b ","K11826","P53679"
"66","Pocillopora_acuta_HIv1_PredGene_17385_t",230,0,0,2,0,-2.643,-0.3479,0.984083,0.592,0.736645,"oligoribonuclease, mitochondrial precursor ","K13288","Q9Y3B8"
"67","Pocillopora_acuta_HIv1_PredGene_17474_t",728,0,0,0,2,4.305,0.307,0.719664,0.359871,0.771528,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial isoform 5 ","K03934","E7ENF3"
"68","Pocillopora_acuta_HIv1_PredGene_17567_t",638,1,1,1,1,-2.188,-0.2875,0.970254,0.573284,0.744757,"Aldo_ket_red domain-containing protein ","","Q18483"
"69","Pocillopora_acuta_HIv1_PredGene_17583_t",554,30,34,34,17,7.523,1.678,0.096798,0.040424,0.695502,"pyruvate kinase M1/2b ","K00873","Q6DG54"
"70","Pocillopora_acuta_HIv1_PredGene_17795_t",235,0,1,1,2,-4.782,-0.7462,1,0.688999,0.65578,"pyridoxine-5'-phosphate oxidase ","K00275","Q3U445"
"71","Pocillopora_acuta_HIv1_PredGene_17906_t",138,3,3,4,3,2.803,0.2974,0.725493,0.363488,0.77168,"60S ribosomal protein L28 isoform 2 ","K02903","Q9BWQ0"
"72","Pocillopora_acuta_HIv1_PredGene_18036_t",424,1,1,1,0,-2.491,-0.5006,0.998979,0.634873,0.711247,"WP_004454949.1 Xaa-Pro peptidase family protein ","K08688","C9YPK2"
"73","Pocillopora_acuta_HIv1_PredGene_18115_t",396,0,0,1,1,-15.462,-2.6058,0.196254,0.723925,0.048405,"histone acetyltransferase type B catalytic subunit ","K11303","Q66HU5"
"74","Pocillopora_acuta_HIv1_PredGene_18150_t",1989,0,0,1,0,-10.653,-0.5304,0.999595,0.642414,0.705499,"multiple PDZ domain protein isoform X6 ","K06095","-"
"75","Pocillopora_acuta_HIv1_PredGene_18229_t",1023,1,2,1,0,-4.766,-0.9484,1,0.721368,0.59477,"alpha-mannosidase 2C1 isoform X2 ","K01191","X1WCE5"
"76","Pocillopora_acuta_HIv1_PredGene_18292_t",1419,2,3,1,3,-7.557,-1.3362,0.929685,0.759153,0.439665,"host cell factor 1b ","K14966","A8WIP5"
"77","Pocillopora_acuta_HIv1_PredGene_1830_t",350,1,0,0,1,3.374,0.4798,0.603155,0.296791,0.766099,"TAR DNA-binding protein 43 ","K23600","A4GUK4"
"78","Pocillopora_acuta_HIv1_PredGene_1834_t",750,1,0,1,0,-6.117,-0.7023,1,0.68061,0.667111,"endothelin-converting enzyme 1 isoform c ","K01415","B1AXF9"
"79","Pocillopora_acuta_HIv1_PredGene_18375_t",1965,1,1,1,1,-4.239,-0.7401,1,0.687864,0.657394,"cilia- and flagella-associated protein 54 isoform 2 ","","Q96N23"
"80","Pocillopora_acuta_HIv1_PredGene_184_t",123,0,0,1,1,-5.099,-0.6244,1,0.664393,0.685648,"elongin C paralog b ","K03872","Q502M9"
"81","Pocillopora_acuta_HIv1_PredGene_18496_t",426,1,1,2,1,4.32,0.9678,0.311112,0.153635,0.734244,"homer protein homolog 2 isoform X1 ","K15010","Q9UNT7"
"82","Pocillopora_acuta_HIv1_PredGene_18504_t",766,0,1,0,0,10.965,1.2192,0.21153,0.102065,0.717275,"kinesin light chain 4 ","","Q3TCC5"
"83","Pocillopora_acuta_HIv1_PredGene_18532_t",1026,1,1,1,0,0.057,0.0058,0.861024,0.472865,0.768315,"ubiquitin-associated protein 2 isoform 7 ","","B4DH66"
"84","Pocillopora_acuta_HIv1_PredGene_18533_t",353,16,13,14,13,-2.247,-0.3382,0.982198,0.589054,0.738024,"Heterogeneous nuclear ribonucleoprotein K homolog ","K12886","Q8I7G8"
"85","Pocillopora_acuta_HIv1_PredGene_18551_t",243,46,43,55,75,3.46,1.26,0.198184,0.094975,0.714818,"tropomyosin alpha-3 chain isoform Tpm3.2cy ","","Q969Q2"
"86","Pocillopora_acuta_HIv1_PredGene_18740_t",513,39,49,50,52,0.145,0.0961,0.824949,0.439591,0.771081,"ATP synthase subunit beta, mitochondrial precursor ","K02133","A8K4X0"
"87","Pocillopora_acuta_HIv1_PredGene_19154_t",492,16,7,5,9,2.432,0.4147,0.648698,0.320002,0.76872,"catalase ","K03781","P17336"
"88","Pocillopora_acuta_HIv1_PredGene_19179_t",341,2,1,0,2,-3.023,-0.4299,0.995131,0.615878,0.723857,"dickkopf-related protein 3 isoform c precursor ","K25493","Q9QUN9"
"89","Pocillopora_acuta_HIv1_PredGene_19560_t",121,1,0,1,2,0.115,0.0219,0.854654,0.467001,0.768935,"V-type proton ATPase subunit F ","K02151","Q6DRK0"
"90","Pocillopora_acuta_HIv1_PredGene_196_t",205,1,1,2,1,-5.708,-0.8739,1,0.710568,0.618982,"uncharacterized protein Dmel_CG18815, isoform A ","K06130","Q9I7R0"
"91","Pocillopora_acuta_HIv1_PredGene_19618_t",655,1,0,1,0,-13.033,-1.8093,0.580416,0.76086,0.24583,"uncharacterized protein Dmel_CG10804, isoform D ","K05048","Q9W4S0"
"92","Pocillopora_acuta_HIv1_PredGene_19625_t",1160,1,4,1,1,-5.799,-0.5998,1,0.658903,0.691101,"plasma membrane calcium-transporting ATPase 3 isoform 3b ","K05850","B7WNY5"
"93","Pocillopora_acuta_HIv1_PredGene_19703_t",1028,1,0,2,1,-17.337,-3.6273,0.007349,0.695108,0.001296,"EGF-like domain-containing protein ","K17307","B0G154"
"94","Pocillopora_acuta_HIv1_PredGene_19704_t",1094,13,8,12,8,9.131,2.0265,0.04261,0.01613,0.686502,"EGF-like domain-containing protein ","K06825","B0G154"
"95","Pocillopora_acuta_HIv1_PredGene_19706_t",2350,6,5,8,3,2.676,0.6314,0.49998,0.2462,0.757823,"sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 precursor ","K24469","Q9H284"
"96","Pocillopora_acuta_HIv1_PredGene_19745_t",495,2,2,0,0,-12.031,-1.9645,0.476511,0.75375,0.193817,"Calcium/calmodulin-dependent protein kinase II, isoform H ","K04515","Q9V495"
"97","Pocillopora_acuta_HIv1_PredGene_20289_t",211,7,0,8,6,15.861,2.3701,0.014566,0.005865,0.68082,"40S ribosomal protein S5 ","K02989","Q96BN0"
"98","Pocillopora_acuta_HIv1_PredGene_20354_t",131,1,0,0,0,3.992,0.5847,0.530798,0.26123,0.760644,"SNARE-associated protein Snapin ","K20002","O95295"
"99","Pocillopora_acuta_HIv1_PredGene_2067_t",134,1,1,1,1,-12.784,-2.6965,0.164682,0.720649,0.037396,"charged multivesicular body protein 1, isoform B ","K12197","Q9VVR8"
"100","Pocillopora_acuta_HIv1_PredGene_20789_t",607,0,0,0,1,-26.52,-2.0186,0.446569,0.75096,0.177198,"leucine-rich repeat protein SHOC-2 isoform 1 ","K19613","Q5VZS9"
"101","Pocillopora_acuta_HIv1_PredGene_20807_t",2563,3,0,1,0,1.531,0.1828,0.787008,0.406937,0.772235,"hemicentin-1 isoform X1 ","K06825","A6NGE3"
"102","Pocillopora_acuta_HIv1_PredGene_21346_t",109,1,0,0,0,2.659,0.4315,0.637016,0.313937,0.768107,"DNA-directed RNA polymerase II subunit RPB4 isoform 3 ","K03012","Q9D7M8"
"103","Pocillopora_acuta_HIv1_PredGene_21441_t",165,17,11,8,9,-1.847,-0.4589,0.997214,0.623855,0.718859,"ribosomal protein S10b, isoform D ","K02947","A4V4S6"
"104","Pocillopora_acuta_HIv1_PredGene_21462_t",151,1,1,0,2,0.632,0.0946,0.825563,0.440151,0.771049,"calcium-regulated heat-stable protein 1 ","","Q9BQ53"
"105","Pocillopora_acuta_HIv1_PredGene_21536_t",224,4,3,4,2,-7.921,-0.93,1,0.718815,0.600941,"GTP:AMP phosphotransferase AK3, mitochondrial isoform a ","K00944","Q9NPB4"
"106","Pocillopora_acuta_HIv1_PredGene_21541_t",507,1,2,1,3,0.637,0.097,0.82458,0.439255,0.7711,"ran-binding protein 3 isoform X1 ","K15304","O75759"
"107","Pocillopora_acuta_HIv1_PredGene_21568_t",890,1,1,0,1,5.276,0.5853,0.530395,0.261033,0.760609,"transportin-1 isoform 2 ","K18752","B4DVC6"
"108","Pocillopora_acuta_HIv1_PredGene_2177_t",567,69,40,55,70,-6.553,-2.6115,0.194179,0.723711,0.047648,"radixin isoform a ","K05762","Q9QW27"
"109","Pocillopora_acuta_HIv1_PredGene_21861_t",452,11,5,11,14,3.65,0.6966,0.458772,0.226084,0.753588,"flavin-containing monooxygenase FMO GS-OX-like 1 ","K18277","E7F2R0"
"110","Pocillopora_acuta_HIv1_PredGene_22166_t",537,12,9,13,12,1.933,0.7114,0.449719,0.221661,0.752588,"glucose-6-phosphate 1-dehydrogenase X ","K00036","Q790Y8"
"111","Pocillopora_acuta_HIv1_PredGene_22203_t",183,1,0,0,0,-3.959,-0.5661,0.999902,0.651082,0.698272,"mucin-5AC precursor ","","O60460"
"112","Pocillopora_acuta_HIv1_PredGene_2231_t",570,28,123,40,72,-2.061,-1.8711,0.535857,0.758261,0.224328,"uncharacterized protein Dmel_CG17068 ","","Q9VR80"
"113","Pocillopora_acuta_HIv1_PredGene_22317_t",386,3,0,3,2,-9.43,-1.4734,0.846294,0.764481,0.379877,"regulator of chromosome condensation isoform c ","K11493","Q5T081"
"114","Pocillopora_acuta_HIv1_PredGene_22420_t",327,5,2,3,3,5.959,1.0582,0.271343,0.133468,0.727841,"40S ribosomal protein SA ","K02998","B2GNT1"
"115","Pocillopora_acuta_HIv1_PredGene_22496_t",261,5,0,3,3,9.684,0.8767,0.3562,0.175938,0.74085,"ribosomal protein L8, isoform A ","K02938","A4V1C0"
"116","Pocillopora_acuta_HIv1_PredGene_22695_t",402,21,22,23,31,4.21,1.6763,0.097097,0.040586,0.695559,"sorting nexin-6 ","K17920","F8W5C6"
"117","Pocillopora_acuta_HIv1_PredGene_22824_t",288,1,0,0,0,-8.046,-1.0364,1,0.732613,0.563512,"Leucine-rich repeat protein kinase family protein ","K06969",""
"118","Pocillopora_acuta_HIv1_PredGene_22876_t",265,3,5,5,5,-7.006,-1.2513,0.966782,0.753667,0.476459,"DUF4773 domain-containing protein ","","O01734"
"119","Pocillopora_acuta_HIv1_PredGene_22952_t",858,0,1,0,1,-8.254,-1.4432,0.866919,0.763679,0.392959,"guanidine nucleotide exchange factor ","K15297","Q8I418"
"120","Pocillopora_acuta_HIv1_PredGene_23120_t",694,0,1,0,0,7.725,1.2481,0.202012,0.097008,0.715524,"no_annotation","K18024","-"
"121","Pocillopora_acuta_HIv1_PredGene_23188_t",278,36,26,13,6,7.081,1.3986,0.157464,0.073379,0.707217,"3-mercaptopyruvate sulfurtransferase isoform 2 ","K01011","A8MZ34"
"122","Pocillopora_acuta_HIv1_PredGene_23291_t",806,0,0,1,0,-11.818,-1.4985,0.828301,0.76499,0.369077,"dipeptidyl peptidase 4 ","","B5DDZ4"
"123","Pocillopora_acuta_HIv1_PredGene_23331_t",198,3,4,2,3,5.914,0.7327,0.436883,0.21539,0.751128,"muscle protein 20, isoform A ","K20526","Q9V6M7"
"124","Pocillopora_acuta_HIv1_PredGene_23360_t",1226,2,2,2,2,-0.1,-0.0113,0.867812,0.479059,0.767591,"unconventional myosin-VI isoform 3 ","K10358","Q5TEM6"
"125","Pocillopora_acuta_HIv1_PredGene_23373_t",292,1,0,1,0,0.502,0.0918,0.82671,0.441195,0.770987,"uncharacterized protein Dmel_CG31548 ","K14729","Q8IPP8"
"126","Pocillopora_acuta_HIv1_PredGene_2348_t",297,1,0,0,0,-9.709,-1.7565,0.621297,0.762727,0.265047,"Zinc metalloproteinase nas-14 ","K08076","Q19269"
"127","Pocillopora_acuta_HIv1_PredGene_23523_t",467,4,8,9,3,-7.225,-1.4465,0.864724,0.763777,0.391525,"hexokinase A, isoform C ","K00844","Q9GNH8"
"128","Pocillopora_acuta_HIv1_PredGene_23524_t",468,2,2,3,1,5.323,0.7205,0.444207,0.218968,0.751967,"hexokinase HKDC1 isoform X2 ","K00844","Q3UKJ9"
"129","Pocillopora_acuta_HIv1_PredGene_23743_t",167,1,1,1,0,6.685,0.8261,0.383309,0.189213,0.744515,"dynactin subunit 3 ","K10425","Q6GQL6"
"130","Pocillopora_acuta_HIv1_PredGene_23746_t",270,4,0,5,2,-6.094,-1.0658,1,0.736031,0.552434,"60S ribosomal protein L7a ","K02936","Q6PBZ1"
"131","Pocillopora_acuta_HIv1_PredGene_23819_t",448,1,2,1,4,-11.222,-2.6367,0.185164,0.722779,0.044411,"pre-mRNA-splicing factor RBM22 ","K12872","A6NDM5"
"132","Pocillopora_acuta_HIv1_PredGene_23830_t",749,2,1,1,1,0.684,0.1628,0.796281,0.414512,0.772092,"catenin beta-1 isoform 1 ","K02105","Q8NI94"
"133","Pocillopora_acuta_HIv1_PredGene_24172_t",531,17,18,18,14,-16.84,-6.2723,0,0.676473,0,"mRNA cap guanine-N7 methyltransferase isoform 2 ","K00565","Q9UIJ9"
"134","Pocillopora_acuta_HIv1_PredGene_24188_t",429,2,1,1,2,-10.355,-2.6573,0.177973,0.722032,0.04189,"septin-7 isoform X7 ","K16944","Q16181"
"135","Pocillopora_acuta_HIv1_PredGene_24189_t",336,2,1,1,1,-6.829,-1.4214,0.88106,0.762972,0.402446,"N-terminal EF-hand calcium-binding protein 1 ","K23854","Q80W91"
"136","Pocillopora_acuta_HIv1_PredGene_24205_t",367,1,1,4,4,-0.519,-0.0442,0.880941,0.490871,0.766002,"melanotransferrin precursor ","K06569","Q9R0R1"
"137","Pocillopora_acuta_HIv1_PredGene_24225_t",139,2,1,2,1,-5.251,-0.6986,1,0.679879,0.668036,"60S ribosomal protein L9 ","K02940","Q53Z07"
"138","Pocillopora_acuta_HIv1_PredGene_24508_t",780,1,0,1,0,-15.885,-1.9214,0.502663,0.755897,0.207605,"RING finger protein unkempt homolog ","","Q9C0B0"
"139","Pocillopora_acuta_HIv1_PredGene_24551_t",289,1,1,1,1,9.551,1.0511,0.27429,0.134983,0.728335,"adhesion G protein-coupled receptor E1 ","K00763","-"
"140","Pocillopora_acuta_HIv1_PredGene_24687_t",267,2,1,1,1,0.708,0.0759,0.833159,0.447112,0.770608,"Pop2, isoform B ","K12581","Q8I0I5"
"141","Pocillopora_acuta_HIv1_PredGene_24968_t",869,0,1,0,1,-19.831,-2.9386,0.089757,0.712999,0.017434,"cat eye syndrome critical region protein 2 isoform 2 ","","Q658Z4"
"142","Pocillopora_acuta_HIv1_PredGene_25019_t",159,3,1,1,3,14.086,1.5434,0.12271,0.054668,0.700543,"tsunagi ","K12876","Q9V535"
"143","Pocillopora_acuta_HIv1_PredGene_25033_t",371,4,2,3,1,-0.609,-0.0904,0.899528,0.507217,0.763304,"COUP transcription factor 2 isoform 1 ","K08547","Q3UST6"
"144","Pocillopora_acuta_HIv1_PredGene_25066_t",229,13,13,11,15,-1.42,-0.2643,0.963662,0.565874,0.747569,"calumenin-A precursor ","K23901","Z4YIA7"
"145","Pocillopora_acuta_HIv1_PredGene_25132_t",518,3,2,6,2,0.478,0.0848,0.82956,0.443803,0.770826,"uncharacterized protein Dmel_CG8646 ","K01135","A1Z937"
