"Protein","PROTLEN","DEFLINE","PL30-C","PL12-1m","PL12-100b","PL30-100m","PL12-100m","PL30-10m","PL30-100b","PL30-1m","PL12-C","PL12-10m","UniprotID"
"m.10914",217,"Ras-related protein Rab-14 OS=Pongo abelii GN=RAB14 PE=2 SV=3",3.5,6.5,4,3,0.5,1.5,3.5,0.5,4,2.5,"Q5R8Z8"
"m.10938",346,"Arsenite methyltransferase OS=Rattus norvegicus GN=As3mt PE=1 SV=1",0,4,2,0.5,2.5,1,0,0.5,3.5,1.5,"Q8VHT6"
"m.10974",566,"Bifunctional purine biosynthesis protein PURH OS=Gallus gallus GN=ATIC PE=1 SV=1",2.5,9.5,4,1.5,8.5,3.5,3,2.5,6,2.5,"P31335"
"m.10984",437,"Retinoic acid receptor RXR OS=Biomphalaria glabrata GN=RXR PE=1 SV=1",0,0,0,0,0,0,0,0,0,0,"Q8T5C6"
"m.110",1165,"Lethal(2) giant larvae protein homolog 1 OS=Mus musculus GN=Llgl1 PE=1 SV=1",15.5,28.5,48.5,26,28,24.5,15,28.5,27.5,28.5,"Q80Y17"
"m.1100",513,"D-3-phosphoglycerate dehydrogenase OS=Mus musculus GN=Phgdh PE=1 SV=3",1.5,3.5,3.5,1.5,3.5,6,0,1,3.5,1.5,"Q61753"
"m.1103",1107,"Sodium-driven chloride bicarbonate exchanger OS=Bos taurus GN=SLC4A10 PE=2 SV=1",0,0.5,1,0,0,0,0,0,0,1.5,"Q32LP4"
"m.11045",121,"Myophilin OS=Echinococcus granulosus PE=2 SV=1",0,0.5,3.5,2,3,1.5,0,2,0,2,"Q24799"
"m.11063",151,"PREDICTED: uncharacterized protein LOC101235613 [Hydra vulgaris]",0,0,1,0,1.5,0.5,0,0,0.5,0,"XP_004206966"
"m.11100",1144,"Large proline-rich protein BAG6 OS=Danio rerio GN=Bag6 PE=3 SV=1",0,4,0.5,0,1.5,1.5,0.5,0.5,2.5,0.5,"A3KPW9"
"m.11107",150,"Actin-related protein 2/3 complex subunit 5 OS=Mus musculus GN=Arpc5 PE=2 SV=3",6.5,12.5,15,8,20,11.5,5,2.5,12,4.5,"Q9CPW4"
"m.11149",227,"Proteasome subunit alpha type-7 OS=Homo sapiens GN=PSMA7 PE=1 SV=1",0.5,1.5,11,0.5,1.5,2,0.5,0.5,3,3.5,"O14818"
"m.11152",593,"Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1",1.5,1,2,1,1,1,2,1,1,1,"4780878"
"m.1126",148,"60S ribosomal protein L27a OS=Pongo abelii GN=RPL27A PE=2 SV=3",0.5,3,2,0.5,1.5,3,1.5,0,3.5,0.5,"Q5REY2"
"m.11265",213,"Protein kinase C-binding protein NELL2 OS=Mus musculus GN=Nell2 PE=2 SV=3",1.5,3,5,4.5,8,5.5,4,1,2.5,1,"Q61220"
"m.113",378,"m.113",29,36,47.5,27.5,30.5,33,34,27.5,35,25,NA
"m.1133",280,"PCTP-like protein OS=Homo sapiens GN=STARD10 PE=1 SV=2",0,0,0.5,0.5,1.5,1.5,0,1,0.5,0,"Q9Y365"
"m.11340",155,"Balbiani ring protein 3 OS=Chironomus tentans GN=BR3 PE=2 SV=1",2.5,2,0.5,4,3,2.5,3,2,0,1.5,"Q03376"
"m.11354",351,"Quinone oxidoreductase OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=qor PE=3 SV=2",3.5,4.5,6.5,4.5,6,4,1,6.5,2.5,5.5,"P43903"
"m.11369",202,"m.11369",3,0.5,6,2.5,1.5,0,2.5,2,0,0.5,NA
"m.11382",877,"THO complex subunit 2 OS=Mus musculus GN=Thoc2 PE=1 SV=1",0,0,0,0,0.5,0.5,0,0.5,0.5,0.5,"B1AZI6"
"m.11430",456,"Hemicentin-2 OS=Homo sapiens GN=HMCN2 PE=2 SV=2",1,0,0,0,0,0,1,0,1,0,"Q8NDA2"
"m.11458",213,"Golgi-associated plant pathogenesis-related protein 1 OS=Homo sapiens GN=GLIPR2 PE=1 SV=3",3,3,1,5.5,6,7,3,4,2,1,"Q9H4G4"
"m.11472",334,"Sorting nexin-4 OS=Homo sapiens GN=SNX4 PE=1 SV=1",0,1,0.5,0,0,0,0,0,0,0,"O95219"
"m.1149",736,"Nucleoprotein TPR (Fragment) OS=Xenopus laevis GN=tpr PE=1 SV=1",1,0.5,1,1.5,1.5,1,0,1.5,2,0.5,"Q5EE04"
"m.115",216,"Ras-related protein Rab-5C OS=Bos taurus GN=RAB5C PE=2 SV=1",3.5,7.5,7,2.5,4,4,2.5,2,8,2.5,"Q58DS9"
"m.11543",385,"Mucin-19 OS=Mus musculus GN=Muc19 PE=2 SV=2",11.5,7.5,12.5,32,31.5,21.5,7.5,28,2.5,21,"Q6PZE0"
"m.11553",214,"Glutathione S-transferase 1 OS=Ascaris suum GN=GST1 PE=1 SV=3",11.5,16,14.5,16,30.5,14.5,11.5,14.5,15.5,10,"P46436"
"m.1157",147,"Ubiquitin-conjugating enzyme E2-17 kDa OS=Drosophila melanogaster GN=eff PE=2 SV=1",1,4,1.5,0.5,2,1,1,0.5,1,0.5,"P25867"
"m.11574",760,"Serine/threonine-protein kinase Nek4 OS=Mus musculus GN=Nek4 PE=2 SV=1",0,0,0,0,0,0.5,0,0,0.5,0,"Q9Z1J2"
"m.1159",503,"Predicted protein OS=Nematostella vectensis GN=v1g200212 PE=4 SV=1",0,0.5,0,0.5,0,0,0,0,0.5,0,"3269296"
"m.11603",537,"Predicted protein OS=Nematostella vectensis GN=v1g219291 PE=4 SV=1",0,0.5,1.5,0,0,0,0,0,0,0,"3284280"
"m.11636",357,"Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g87496 PE=4 SV=1",0.5,0,1.5,1.5,1,0.5,1.5,1,0.5,0.5,"3268757"
"m.11654",271,"Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1",1,1,2,1.5,1,1,0,1.5,0,0.5,"4780878"
"m.11700",147,"Bis(5_-adenosyl)-triphosphatase enpp4 OS=Danio rerio GN=enpp4 PE=2 SV=1",1,0,2,0.5,0,0,1.5,0,0,0.5,"Q566N0"
"m.11724",829,"Dynamin-1 OS=Rattus norvegicus GN=Dnm1 PE=1 SV=2",0.5,1,0.5,0,0,0,0.5,0,0,0,"P21575"
"m.11754",237,"Contactin-associated protein like 5-2 OS=Mus musculus GN=Cntnap5b PE=2 SV=1",7.5,7,7.5,8,8.5,9.5,6,10,10,6.5,"Q0V8T8"
"m.11786",188,"Small nuclear ribonucleoprotein Sm D3 OS=Xenopus laevis GN=snrpd3 PE=2 SV=1",0,0.5,0,0,0,0,0,0,0,0,"P62323"
"m.11819",281,"Carbonyl reductase [NADPH] 1 OS=Oryctolagus cuniculus GN=CBR1 PE=2 SV=2",0.5,0,0.5,0,1,0,0,0,0,0,"P47844"
"m.11820",1432,"Melanoma inhibitory activity protein 3 OS=Homo sapiens GN=MIA3 PE=1 SV=1",1,1,2,1.5,1,0.5,0.5,0,1,1.5,"Q5JRA6"
"m.11831",212,"Glutathione S-transferase U20 OS=Arabidopsis thaliana GN=GSTU20 PE=1 SV=1",5.5,6,5,4,5,3.5,4.5,4,6,2.5,"Q8L7C9"
"m.11832",897,"Disks large homolog 1 OS=Xenopus tropicalis GN=dlg1 PE=2 SV=1",2,2,3.5,2,2.5,1.5,1,3.5,1,3,"Q28C55"
"m.1188",293,"Heat shock 70 kDa protein 4 OS=Canis familiaris GN=HSPA4 PE=1 SV=1",1.5,5,4,1.5,6,1.5,1.5,1,5.5,2,"Q2TFN9"
"m.11903",157,"m.11903",0,0,0,0,0,0,0,0,0,1.5,NA
"m.11921",315,"Glycine N-methyltransferase OS=Homo sapiens GN=GNMT PE=1 SV=3",2,2,2.5,3.5,3,5,0,1,6,2.5,"Q14749"
"m.11933",202,"Charged multivesicular body protein 1a OS=Danio rerio GN=chmp1a PE=2 SV=1",0,0.5,0.5,0.5,0,0,0,0,0,0,"Q6PHF0"
"m.11995",326,"Protein turtle OS=Drosophila melanogaster GN=tutl PE=1 SV=2",2.5,1.5,2,1,0,0.5,1.5,0.5,2,0,"Q967D7"
"m.12002",156,"Phosphoglucomutase-2 OS=Mus musculus GN=Pgm2 PE=1 SV=1",0,1,2,0,2.5,0.5,0,1,0,0,"Q7TSV4"
"m.12007",433,"Coiled-coil domain-containing protein 104 OS=Xenopus laevis GN=ccdc104 PE=2 SV=1",2,4,1.5,2,1.5,3.5,0.5,2,1.5,1.5,"Q7T0S7"
"m.12035",180,"m.12035",1,4,4.5,1,2,2.5,0,0.5,2.5,0,NA
"m.12048",569,"Apoptosis-inducing factor 3 OS=Homo sapiens GN=AIFM3 PE=1 SV=1",3.5,7.5,7.5,8,22,12,2,5.5,5.5,5.5,"Q96NN9"
"m.12056",309,"Probable iron/ascorbate oxidoreductase DDB_G0283291 OS=Dictyostelium discoideum GN=DDB_G0283291 PE=3 SV=1",0,2,0,0.5,0.5,0,0.5,0,0.5,0,"Q54RA4"
"m.12124",155,"m.12124",0.5,0.5,3,0.5,2,0.5,0,2,0,1.5,NA
"m.12129",447,"m.12129",35.5,56,73,31,40.5,29.5,30,27.5,39.5,41.5,NA
"m.1215",381,"Predicted protein OS=Nematostella vectensis GN=v1g243536 PE=4 SV=1",4.5,2.5,5,11,14,8.5,0.5,4.5,6.5,6.5,"3275784"
"m.12175",403,"Branched-chain-amino-acid aminotransferase OS=Nematostella vectensis GN=v1g246094 PE=3 SV=1",1,3,2,3.5,4.5,8,0,8,1.5,3,"A7SLW1"
"m.12204",184,"Ectonucleoside triphosphate diphosphohydrolase 1 OS=Homo sapiens GN=ENTPD1 PE=1 SV=1",0,0,0,0.5,1.5,0.5,1,0,0,1,"P49961"
"m.12229",471,"Citrate synthase, mitochondrial OS=Danio rerio GN=cs PE=2 SV=1",37.5,48.5,47.5,32.5,50,50,70.5,55.5,39,33.5,"Q7ZVY5"
"m.1223",739,"Ribosomal protein S6 kinase alpha-3 OS=Mus musculus GN=Rps6ka3 PE=1 SV=2",0.5,0,1.5,2,1,1,0,2,0.5,0.5,"P18654"
"m.12238",232,"Actin-related protein 2/3 complex subunit 1A OS=Mus musculus GN=Arpc1a PE=1 SV=1",11,14.5,14.5,6.5,12,8,11.5,2,12,2,"Q9R0Q6"
"m.1225",1047,"Serrate RNA effector molecule homolog OS=Bos taurus GN=SRRT PE=2 SV=1",0.5,3,0.5,1,1,1,1,1,3,1,"A4IFB1"
"m.12330",693,"Unconventional myosin-X OS=Rattus norvegicus GN=Myo10 PE=1 SV=1",0,1,1,0.5,0,2,1,0,1,0,"D3ZJP6"
"m.12334",1458,"Collagen alpha-2(I) chain OS=Rattus norvegicus GN=Col1a2 PE=1 SV=3",3.5,1.5,2,3.5,2,2,1,1.5,4,0.5,"P02466"
"m.1235",511,"Putative adenosylhomocysteinase 3 OS=Homo sapiens GN=AHCYL2 PE=1 SV=1",0,0,3,0,0,0,0,0,0,0,"Q96HN2"
"m.1238",450,"Iron/zinc purple acid phosphatase-like protein OS=Mus musculus GN=Papl PE=2 SV=2",1,1.5,2.5,1.5,0.5,0.5,0.5,1,0,1.5,"Q8BX37"
"m.12417",694,"Arf-GAP domain and FG repeat-containing protein 1 OS=Rattus norvegicus GN=Agfg1 PE=1 SV=1",0,0.5,0,0,1.5,2,0,0,0,0,"Q4KLH5"
"m.1242",255,"Ras-related protein Rab-37 OS=Mus musculus GN=Rab37 PE=1 SV=2",3.5,3.5,3,3.5,1,1.5,3.5,0.5,2,2.5,"Q9JKM7"
"m.1245",204,"Ras-related protein Rab-1A OS=Rattus norvegicus GN=Rab1A PE=1 SV=3",22.5,31,24.5,23,19.5,23,20.5,14,22.5,17,"Q6NYB7"
"m.1249",263,"Chloride intracellular channel protein 1 OS=Mus musculus GN=Clic1 PE=1 SV=3",11,21.5,19,20,22.5,14.5,12.5,11.5,13.5,9.5,"Q9Z1Q5"
"m.12521",914,"Staphylococcal nuclease domain-containing protein 1 OS=Pongo abelii GN=SND1 PE=2 SV=1",2,10,4,0,0.5,0,2,0,7.5,0,"Q5REU4"
"m.12530",378,"Saccharopine dehydrogenase [NAD(+), L-lysine-forming] OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=lys3 PE=1 SV=2",0,0,1,0,0,0.5,0,0,0,0,"Q09694"
"m.12550",201,"Ras-like GTP-binding protein Rho1 OS=Drosophila melanogaster GN=Rho1 PE=1 SV=1",0.5,2,2.5,1.5,1.5,1,1,0,2,0.5,"P48148"
"m.12589",426,"Disintegrin and metalloproteinase domain-containing protein 10 (Fragment) OS=Rattus norvegicus GN=Adam10 PE=2 SV=1",1,0.5,2,0,0.5,0,0.5,0,0.5,0,"Q10743"
"m.12606",311,"m.12606",0,3,1.5,0.5,1,1,0,0.5,1.5,1,NA
"m.1261",196,"N-acetylgalactosamine-6-sulfatase OS=Homo sapiens GN=GALNS PE=1 SV=1",0,0.5,0,0.5,1.5,0,0,0.5,0,0.5,"P34059"
"m.12631",255,"m.12631",0,0,0,1,0,0,0.5,1,0,1,NA
"m.12642",195,"Transgelin-2 OS=Rattus norvegicus GN=Tagln2 PE=2 SV=1",22.5,40.5,58.5,47.5,61,59,33,66.5,45.5,30,"Q5XFX0"
"m.12643",211,"Predicted protein OS=Nematostella vectensis GN=v1g247020 PE=4 SV=1",0.5,2,0.5,0.5,0,1,1,0,1.5,0,"3282180"
"m.12662",470,"Predicted protein OS=Nematostella vectensis GN=v1g218210 PE=4 SV=1",1.5,3,2,1,0.5,1,2.5,0.5,7,0.5,"3283492"
"m.12676",293,"Thioredoxin-like protein 1 OS=Rattus norvegicus GN=Txnl1 PE=1 SV=3",1,0,2.5,1.5,1,1.5,2,2,1,1,"Q920J4"
"m.12686",459,"26S proteasome non-ATPase regulatory subunit 12 OS=Mus musculus GN=Psmd12 PE=1 SV=4",0.5,2.5,1,0,0,0,1,0,2.5,0,"Q9D8W5"
"m.12693",1749,"Complement C3 OS=Mus musculus GN=C3 PE=1 SV=3",0,0,0,0,0.5,0.5,0,0,1,0,"P01027"
"m.12698",142,"40S ribosomal protein S19 OS=Branchiostoma belcheri GN=RPS19 PE=2 SV=1",4,6,4.5,0.5,1,0.5,2.5,0,8.5,0.5,"Q8T5Z4"
"m.12699",199,"Ras-related protein Rab-10 OS=Canis familiaris GN=RAB10 PE=1 SV=1",9.5,11.5,9,7.5,4,6,11.5,3,9.5,5,"P24409"
"m.12707",398,"m.12707",0.5,0,0.5,0,0,0,0,0.5,0.5,0,NA
"m.12709",550,"T-complex protein 1 subunit beta OS=Bos taurus GN=CCT2 PE=1 SV=3",1.5,4.5,4,0.5,2,1.5,0.5,1,2,0.5,"Q3ZBH0"
"m.12711",510,"Xaa-Pro aminopeptidase 1 OS=Homo sapiens GN=XPNPEP1 PE=1 SV=3",2.5,3.5,2,0,2,1.5,1.5,3.5,2.5,1.5,"Q9NQW7"
"m.12721",179,"m.12721",0,0.5,4.5,3.5,3.5,3,0,1.5,0,2,NA
"m.12722",407,"Protein Hook homolog 3 OS=Xenopus laevis GN=hook3 PE=2 SV=1",0,0,0,0.5,0.5,1.5,0,0.5,0,0,"Q6GQ73"
"m.12724",296,"m.12724",0,2,1.5,1,0,0.5,1,0,0,0,NA
"m.12725",224,"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial OS=Pongo pygmaeus GN=NDUFV2 PE=2 SV=1",0,2.5,1.5,0,0,0,0,0,0.5,0,"Q0MQI7"
"m.12732",698,"Calpain-9 OS=Rattus norvegicus GN=Capn9 PE=2 SV=2",10.5,30,17,5,5,2,17,1.5,28.5,4,"O35920"
"m.12733",700,"cGMP-dependent protein kinase 1 OS=Bos taurus GN=PRKG1 PE=1 SV=2",0,1.5,2.5,0.5,0.5,1.5,0,0,3,0,"P00516"
"m.12740",434,"Succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial (Fragment) OS=Sus scrofa GN=SUCLG2 PE=1 SV=2",5,9,6,3.5,12,8,5.5,7,5.5,1.5,"P53590"
"m.12744",483,"Alpha-L-fucosidase OS=Branchiostoma floridae GN=BRAFLDRAFT_56888 PE=3 SV=2",1,1.5,5,1,2.5,2.5,1,2,1.5,3.5,"C3YWU0"
"m.12757",255,"Tropomyosin-2 OS=Podocoryne carnea GN=TPM2 PE=2 SV=1",0,0.5,3,9.5,14.5,9.5,1.5,8,3.5,6,"Q9U5M4"
"m.12762",252,"Thrombospondin-1 OS=Homo sapiens GN=THBS1 PE=1 SV=2",7,18,10.5,4.5,7.5,3.5,11.5,1.5,7,0,"P07996"
"m.12770",763,"ATP-citrate synthase OS=Ovis aries GN=ACLY PE=2 SV=1",0,0,0.5,0,0,0,0,0,0.5,0,"Q2TCH3"
"m.12786",174,"Acidic phospholipase A2 S7-48J OS=Austrelaps superbus PE=2 SV=1",1.5,1,2.5,0.5,0.5,0,1,0,0,0,"Q9PUI0"
"m.12790",138,"L-rhamnose mutarotase OS=Bacteroides vulgatus (strain ATCC 8482 / DSM 1447 / NCTC 11154) GN=rhaM PE=3 SV=1",6,6,7,4.5,6.5,6.5,4.5,4.5,4.5,5,"A6KWR4"
