ID,PROTLEN,DEFLINE,PD30.100b,PD12.C,PD30.1m,PD30.100m,PD12.10m,PD30.C,PD30-C2,PD12.1m,PD30.100m2,PD12.100m,PD30.10m,PD30.10m2,PD30.1m2,UniprotID
Pocillopora_acuta_HIv1_PredGene_1120_t,246,Pocillopora_acuta_HIv1_PredGene_1120_t,0,0.5,6,0.5,0,2.5,1,8,1.5,8,22.5,2,0,D3YZD0
Pocillopora_acuta_HIv1_PredGene_1126_t,379,Pocillopora_acuta_HIv1_PredGene_1126_t,3.5,2,3.5,3.5,5,1.5,0.5,0.5,3,2,3,2.5,2,Q8CIE8
Pocillopora_acuta_HIv1_PredGene_11648_t,803,Pocillopora_acuta_HIv1_PredGene_11648_t,1,2,2.5,0.5,1,1,1.5,1.5,2.5,2,2,2,0,Q3TNV4
Pocillopora_acuta_HIv1_PredGene_11681_t,589,Pocillopora_acuta_HIv1_PredGene_11681_t,2,2,2.5,2,3.5,3,1.5,1.5,2.5,3,3,1.5,3,Q08C34
Pocillopora_acuta_HIv1_PredGene_11803_t,639,Pocillopora_acuta_HIv1_PredGene_11803_t,0,0,0,0.5,0,0,0,0,0,0,1,1.5,1,Q54RK9
Pocillopora_acuta_HIv1_PredGene_12017_t,122,Pocillopora_acuta_HIv1_PredGene_12017_t,2,6,5.5,2.5,4,2,3.5,1.5,4,2,4.5,3.5,3,F1QF30
Pocillopora_acuta_HIv1_PredGene_12069_t,543,Pocillopora_acuta_HIv1_PredGene_12069_t,4.5,15.5,3.5,2.5,4,3.5,4.5,6.5,1,7.5,7.5,4.5,5,Q9RYN3
Pocillopora_acuta_HIv1_PredGene_12073_t,597,Pocillopora_acuta_HIv1_PredGene_12073_t,6,6.5,6,6.5,6.5,9,3,3,1.5,4,5,7.5,9,F2Z4R3
Pocillopora_acuta_HIv1_PredGene_12117_t,212,Pocillopora_acuta_HIv1_PredGene_12117_t,5.5,7,3,2.5,3,3.5,1,2.5,3.5,1,3,3,2,Q90Z10
Pocillopora_acuta_HIv1_PredGene_12155_t,556,Pocillopora_acuta_HIv1_PredGene_12155_t,25.5,24.5,27,24,40.5,27,37,38.5,14.5,31.5,58,40,20,Q8C675
Pocillopora_acuta_HIv1_PredGene_12270_t,559,Pocillopora_acuta_HIv1_PredGene_12270_t,5,42,21,12,19,9,9.5,7,10,7,37,18,16,Q8BPC8
Pocillopora_acuta_HIv1_PredGene_12357_t,437,Pocillopora_acuta_HIv1_PredGene_12357_t,1,0,0,0,0.5,0.5,0,0,2.5,0,0,0,0,B7Z707
Pocillopora_acuta_HIv1_PredGene_12368_t,112,Pocillopora_acuta_HIv1_PredGene_12368_t,4.5,8,3,4.5,4.5,4,2.5,0.5,10.5,1.5,7.5,7,10,Q8CA37
Pocillopora_acuta_HIv1_PredGene_12927_t,2780,Pocillopora_acuta_HIv1_PredGene_12927_t,682.5,534.5,744.5,660,678.5,611,756,687.5,581.5,624.5,650,568.5,537,Q38843
Pocillopora_acuta_HIv1_PredGene_130_t,685,Pocillopora_acuta_HIv1_PredGene_130_t,0,0,1.5,0.5,1,0,0,0.5,0,0.5,0.5,0.5,0,E9PVD1
Pocillopora_acuta_HIv1_PredGene_13050_t,160,Pocillopora_acuta_HIv1_PredGene_13050_t,0,7.5,3,0,5.5,3,3,1.5,0,1,0,0,1,-
Pocillopora_acuta_HIv1_PredGene_13206_t,711,Pocillopora_acuta_HIv1_PredGene_13206_t,0,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0,Q6Y685
Pocillopora_acuta_HIv1_PredGene_13208_t,521,Pocillopora_acuta_HIv1_PredGene_13208_t,0.5,0,1,0.5,0.5,0,0.5,0,1,0,0,0.5,1,B8JL34
Pocillopora_acuta_HIv1_PredGene_13279_t,220,Pocillopora_acuta_HIv1_PredGene_13279_t,0,0,0,0,0,0.5,0,0.5,0,1.5,0,0,0,Q6IQH9
Pocillopora_acuta_HIv1_PredGene_13313_t,613,Pocillopora_acuta_HIv1_PredGene_13313_t,5.5,10.5,3.5,7.5,5,5,3.5,3,6.5,5,13.5,6,8,Q642H6
Pocillopora_acuta_HIv1_PredGene_1356_t,196,Pocillopora_acuta_HIv1_PredGene_1356_t,1.5,0,0.5,0,2,0.5,0.5,0.5,1,0,0.5,1,0,Q5M9P8
Pocillopora_acuta_HIv1_PredGene_13979_t,524,Pocillopora_acuta_HIv1_PredGene_13979_t,4.5,1.5,3,2.5,3,0.5,3.5,1,2.5,5,2.5,2.5,6,P10515
Pocillopora_acuta_HIv1_PredGene_14125_t,1821,Pocillopora_acuta_HIv1_PredGene_14125_t,1.5,0.5,0.5,0,0.5,0,0.5,0,1,0,0,0,0,B8JMJ5
Pocillopora_acuta_HIv1_PredGene_14129_t,274,Pocillopora_acuta_HIv1_PredGene_14129_t,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,Q6P007
Pocillopora_acuta_HIv1_PredGene_14247_t,313,Pocillopora_acuta_HIv1_PredGene_14247_t,0,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0,F1QGU0
Pocillopora_acuta_HIv1_PredGene_14258_t,318,Pocillopora_acuta_HIv1_PredGene_14258_t,0,0.5,0,0,0.5,1,0,0.5,0,0.5,1,0,0,Q6P299
Pocillopora_acuta_HIv1_PredGene_14283_t,460,Pocillopora_acuta_HIv1_PredGene_14283_t,0,0,0,0.5,0.5,0,0,0.5,0,1,0,0,0,Q9Z1A1
Pocillopora_acuta_HIv1_PredGene_1431_t,408,Pocillopora_acuta_HIv1_PredGene_1431_t,0,1.5,0,0,0,0,0,0,0.5,0,2.5,0,0,B2R6H1
Pocillopora_acuta_HIv1_PredGene_14319_t,155,Pocillopora_acuta_HIv1_PredGene_14319_t,23.5,20.5,19,14.5,19.5,17,18.5,28,18.5,13,20,18,16,P08228
Pocillopora_acuta_HIv1_PredGene_14388_t,264,Pocillopora_acuta_HIv1_PredGene_14388_t,0.5,0.5,1,0,2,0.5,0.5,1.5,1.5,1,0,1,1,
Pocillopora_acuta_HIv1_PredGene_14565_t,687,Pocillopora_acuta_HIv1_PredGene_14565_t,1,6.5,5,4.5,8,3.5,5,3.5,8,4.5,9.5,3.5,5,Q5JWX1
Pocillopora_acuta_HIv1_PredGene_14568_t,589,Pocillopora_acuta_HIv1_PredGene_14568_t,4.5,13.5,8,8,8,7,4,7,12,3,20,11,5,Q76MZ3
Pocillopora_acuta_HIv1_PredGene_14587_t,174,Pocillopora_acuta_HIv1_PredGene_14587_t,0,2,0,0.5,0,0,0,0,0.5,0,0.5,1.5,2,L0T6T0
Pocillopora_acuta_HIv1_PredGene_14968_t,2969,Pocillopora_acuta_HIv1_PredGene_14968_t,0,2,0,0,0,0,0,0,0,0,0,0,0,Q7KTG2
Pocillopora_acuta_HIv1_PredGene_153_t,229,Pocillopora_acuta_HIv1_PredGene_153_t,2.5,10,4,2.5,8,7,4,6.5,7.5,5.5,11.5,3.5,1,Q54W12
Pocillopora_acuta_HIv1_PredGene_15455_t,192,Pocillopora_acuta_HIv1_PredGene_15455_t,4,9.5,7.5,4,4.5,4.5,1.5,2.5,10,0.5,3.5,4.5,1,Q6P5M3
Pocillopora_acuta_HIv1_PredGene_15557_t,153,Pocillopora_acuta_HIv1_PredGene_15557_t,4,5,3.5,4,3,3,1.5,4,5,2.5,3,4,3,P62263
Pocillopora_acuta_HIv1_PredGene_15637_t,404,Pocillopora_acuta_HIv1_PredGene_15637_t,0,2,1,0,2.5,1,2.5,1.5,0,0.5,7,1,1,
Pocillopora_acuta_HIv1_PredGene_15640_t,627,Pocillopora_acuta_HIv1_PredGene_15640_t,0,1.5,0.5,0,0,0,0,0,0.5,0,1.5,0,0,Q13614
Pocillopora_acuta_HIv1_PredGene_15641_t,1129,Pocillopora_acuta_HIv1_PredGene_15641_t,0,1.5,1.5,0,0.5,0.5,0.5,0,1.5,0.5,0.5,0,1,E7F7F5
Pocillopora_acuta_HIv1_PredGene_1575_t,732,Pocillopora_acuta_HIv1_PredGene_1575_t,0,0,0.5,0,0,0,0,0,0.5,0,0.5,0,0,B2RMP4
Pocillopora_acuta_HIv1_PredGene_15924_t,657,Pocillopora_acuta_HIv1_PredGene_15924_t,24,20.5,14.5,26.5,25,16.5,23.5,13,21,27,27,18,31,Q5RKQ3
Pocillopora_acuta_HIv1_PredGene_16085_t,472,Pocillopora_acuta_HIv1_PredGene_16085_t,0,0.5,0.5,0,0,0,0,0.5,0.5,0,1.5,0,0,P41241
Pocillopora_acuta_HIv1_PredGene_16133_t,341,Pocillopora_acuta_HIv1_PredGene_16133_t,2,0,0,0.5,0.5,0.5,0.5,0,0.5,1.5,1,1.5,1,Q7ZUC2
Pocillopora_acuta_HIv1_PredGene_16231_t,159,Pocillopora_acuta_HIv1_PredGene_16231_t,0.5,1.5,1,1,1,2,1.5,1.5,1.5,0.5,0,3,1,O15182
Pocillopora_acuta_HIv1_PredGene_16311_t,373,Pocillopora_acuta_HIv1_PredGene_16311_t,14,27.5,16.5,14.5,15,12,9.5,2,25.5,5.5,19,14,18,Q802Y2
Pocillopora_acuta_HIv1_PredGene_16462_t,195,Pocillopora_acuta_HIv1_PredGene_16462_t,0,1,2.5,0,2,0,2,0.5,1,0,3.5,0.5,0,Q9DAJ5
Pocillopora_acuta_HIv1_PredGene_16522_t,201,Pocillopora_acuta_HIv1_PredGene_16522_t,0,0,0.5,0,0.5,0.5,0,0,0,0,1,0.5,0,Q9I2W7
Pocillopora_acuta_HIv1_PredGene_16615_t,270,Pocillopora_acuta_HIv1_PredGene_16615_t,1.5,3,1.5,1.5,1,2,2,1,1.5,2.5,3.5,2,1,Q7ZUH3
Pocillopora_acuta_HIv1_PredGene_16641_t,1204,Pocillopora_acuta_HIv1_PredGene_16641_t,0,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0,Q8N1M8
Pocillopora_acuta_HIv1_PredGene_16812_t,129,Pocillopora_acuta_HIv1_PredGene_16812_t,1.5,1.5,1,1,0,1,1.5,0,0,0,0,0.5,0,Q54LY5
Pocillopora_acuta_HIv1_PredGene_16815_t,557,Pocillopora_acuta_HIv1_PredGene_16815_t,0,1.5,0.5,0,0,4.5,0,0,0,1,2.5,1.5,1,Q54QS9
Pocillopora_acuta_HIv1_PredGene_17050_t,312,Pocillopora_acuta_HIv1_PredGene_17050_t,0,0.5,0,0,0,0,0,0,0,0,1.5,1,1,O15278
Pocillopora_acuta_HIv1_PredGene_17078_t,440,Pocillopora_acuta_HIv1_PredGene_17078_t,0.5,3,2.5,1.5,4,3,1,3.5,3,0,0,2,1,P53679
Pocillopora_acuta_HIv1_PredGene_17385_t,230,Pocillopora_acuta_HIv1_PredGene_17385_t,0,0.5,0,1.5,0.5,0,0,0,0,0,0,0,0,Q9Y3B8
Pocillopora_acuta_HIv1_PredGene_17389_t,235,Pocillopora_acuta_HIv1_PredGene_17389_t,0,1.5,0.5,0,0.5,0,0,0,0,0,0,0,0,A7YYB6
Pocillopora_acuta_HIv1_PredGene_17474_t,728,Pocillopora_acuta_HIv1_PredGene_17474_t,0,0,0,0,0,0,0,0,1.5,0,0,0,0,E7ENF3
Pocillopora_acuta_HIv1_PredGene_17567_t,638,Pocillopora_acuta_HIv1_PredGene_17567_t,1.5,0.5,2,1,1.5,0.5,1,0,1,0,1,3,0,Q18483
Pocillopora_acuta_HIv1_PredGene_17572_t,921,Pocillopora_acuta_HIv1_PredGene_17572_t,0,1.5,1,0,0,0,0,0,0,0,1,0,0,Q54QA1
Pocillopora_acuta_HIv1_PredGene_17583_t,554,Pocillopora_acuta_HIv1_PredGene_17583_t,25.5,19,28,33.5,31.5,30,34,19.5,16.5,31.5,33.5,28.5,40,Q6DG54
Pocillopora_acuta_HIv1_PredGene_17795_t,235,Pocillopora_acuta_HIv1_PredGene_17795_t,1,0,1,1,0.5,0,0.5,0,1.5,0,1.5,1,0,Q3U445
Pocillopora_acuta_HIv1_PredGene_17906_t,138,Pocillopora_acuta_HIv1_PredGene_17906_t,2,3.5,2,3.5,4,2.5,3,3.5,2.5,2,3,1.5,2,Q9BWQ0
Pocillopora_acuta_HIv1_PredGene_18036_t,424,Pocillopora_acuta_HIv1_PredGene_18036_t,0,0,1,0.5,1,0.5,0.5,0,0,0.5,2.5,1.5,2,C9YPK2
Pocillopora_acuta_HIv1_PredGene_18115_t,396,Pocillopora_acuta_HIv1_PredGene_18115_t,0,0.5,0,0.5,0,0,0,0,0.5,0,1.5,1,0,Q66HU5
Pocillopora_acuta_HIv1_PredGene_18150_t,1989,Pocillopora_acuta_HIv1_PredGene_18150_t,0,0.5,0.5,0.5,0,0,0,0,0,0,0.5,1,1,-
Pocillopora_acuta_HIv1_PredGene_18229_t,1023,Pocillopora_acuta_HIv1_PredGene_18229_t,0.5,0,1,0.5,0.5,1,1.5,0,0,1.5,3.5,1.5,0,X1WCE5
Pocillopora_acuta_HIv1_PredGene_18292_t,1419,Pocillopora_acuta_HIv1_PredGene_18292_t,0,1,2.5,0.5,2.5,2,2.5,1,3,1,0,1.5,2,A8WIP5
Pocillopora_acuta_HIv1_PredGene_1830_t,350,Pocillopora_acuta_HIv1_PredGene_1830_t,0,0,0.5,0,0,1,0,0,0.5,1,1.5,0,0,A4GUK4
Pocillopora_acuta_HIv1_PredGene_1834_t,750,Pocillopora_acuta_HIv1_PredGene_1834_t,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,1.5,1,0.5,1,B1AXF9
Pocillopora_acuta_HIv1_PredGene_18375_t,1965,Pocillopora_acuta_HIv1_PredGene_18375_t,0.5,0.5,1,0.5,0.5,1,1,0,0.5,0,0,0.5,0,Q96N23
Pocillopora_acuta_HIv1_PredGene_184_t,123,Pocillopora_acuta_HIv1_PredGene_184_t,0,0,0.5,0.5,0,0,0,0,1,0,1.5,0,0,Q502M9
Pocillopora_acuta_HIv1_PredGene_18496_t,426,Pocillopora_acuta_HIv1_PredGene_18496_t,1,1.5,2,2,0,1,1,0,1,0,3.5,3,4,Q9UNT7
Pocillopora_acuta_HIv1_PredGene_18504_t,766,Pocillopora_acuta_HIv1_PredGene_18504_t,0,0,0.5,0,0.5,0,0.5,0,0,0,0,0,0,Q3TCC5
Pocillopora_acuta_HIv1_PredGene_18532_t,1026,Pocillopora_acuta_HIv1_PredGene_18532_t,0.5,1,0,1,0,0.5,1,0,0,0.5,1.5,1.5,2,B4DH66
Pocillopora_acuta_HIv1_PredGene_18533_t,353,Pocillopora_acuta_HIv1_PredGene_18533_t,12,18,18,14,19,15.5,13,12.5,12.5,14,14.5,14,12,Q8I7G8
Pocillopora_acuta_HIv1_PredGene_18551_t,243,Pocillopora_acuta_HIv1_PredGene_18551_t,56.5,60,52.5,55,57,46,42.5,49,74.5,37,55,52.5,45,Q969Q2
Pocillopora_acuta_HIv1_PredGene_18740_t,513,Pocillopora_acuta_HIv1_PredGene_18740_t,38.5,71.5,69.5,49.5,68,39,48.5,23,52,37.5,87,60.5,41,A8K4X0
Pocillopora_acuta_HIv1_PredGene_18962_t,641,Pocillopora_acuta_HIv1_PredGene_18962_t,0,0,0,0,0.5,0,0,0,0,0.5,0.5,2,1,Q9BQS7
Pocillopora_acuta_HIv1_PredGene_19154_t,492,Pocillopora_acuta_HIv1_PredGene_19154_t,7,36,26.5,4.5,12.5,16,7,10,8.5,5,31,9.5,6,P17336
Pocillopora_acuta_HIv1_PredGene_19179_t,341,Pocillopora_acuta_HIv1_PredGene_19179_t,0,2,0,0,0.5,2,1,2,1.5,0.5,3.5,1.5,0,Q9QUN9
Pocillopora_acuta_HIv1_PredGene_19560_t,121,Pocillopora_acuta_HIv1_PredGene_19560_t,0,1,0,1,1,0.5,0,0,1.5,1,3,0.5,1,Q6DRK0
Pocillopora_acuta_HIv1_PredGene_196_t,205,Pocillopora_acuta_HIv1_PredGene_196_t,1,4.5,2,2,2,0.5,1,0.5,1,0,7.5,2.5,0,Q9I7R0
Pocillopora_acuta_HIv1_PredGene_19618_t,655,Pocillopora_acuta_HIv1_PredGene_19618_t,0,0,0,0.5,0,0.5,0,0.5,0,1,1,0.5,2,Q9W4S0
Pocillopora_acuta_HIv1_PredGene_19625_t,1160,Pocillopora_acuta_HIv1_PredGene_19625_t,0.5,0,0.5,1,0,0.5,3.5,0.5,1,1,0.5,1.5,5,B7WNY5
Pocillopora_acuta_HIv1_PredGene_19703_t,1028,Pocillopora_acuta_HIv1_PredGene_19703_t,2.5,2,0.5,1.5,0.5,0.5,0,0.5,1,0.5,2,4.5,3,B0G154
Pocillopora_acuta_HIv1_PredGene_19704_t,1094,Pocillopora_acuta_HIv1_PredGene_19704_t,16,5.5,9,11.5,10.5,12.5,7.5,12.5,8,7,11,21.5,12,B0G154
Pocillopora_acuta_HIv1_PredGene_19706_t,2350,Pocillopora_acuta_HIv1_PredGene_19706_t,6,2,3,8,4,6,4.5,1.5,2.5,5,5.5,15,8,Q9H284
Pocillopora_acuta_HIv1_PredGene_19745_t,495,Pocillopora_acuta_HIv1_PredGene_19745_t,1.5,2,2.5,0,2,1.5,1.5,0,0,0.5,4.5,1,1,Q9V495
Pocillopora_acuta_HIv1_PredGene_20155_t,274,Pocillopora_acuta_HIv1_PredGene_20155_t,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,A4FUN5
Pocillopora_acuta_HIv1_PredGene_20289_t,211,Pocillopora_acuta_HIv1_PredGene_20289_t,1.5,9,4,7.5,4.5,6.5,0,2,6,1,6,5,4,Q96BN0
Pocillopora_acuta_HIv1_PredGene_20354_t,131,Pocillopora_acuta_HIv1_PredGene_20354_t,0,0.5,1.5,0,0,0.5,0,0,0,0,0.5,0,0,O95295
Pocillopora_acuta_HIv1_PredGene_2067_t,134,Pocillopora_acuta_HIv1_PredGene_2067_t,1,0.5,0.5,1,1,0.5,1,0.5,0.5,1,1.5,0.5,0,Q9VVR8
Pocillopora_acuta_HIv1_PredGene_20789_t,607,Pocillopora_acuta_HIv1_PredGene_20789_t,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,Q5VZS9
Pocillopora_acuta_HIv1_PredGene_20807_t,2563,Pocillopora_acuta_HIv1_PredGene_20807_t,1.5,0,0.5,0.5,0,2.5,0,0,0,0,1,5.5,3,A6NGE3
Pocillopora_acuta_HIv1_PredGene_2114_t,258,Pocillopora_acuta_HIv1_PredGene_2114_t,0,0,0,0,0,0,0,0,0,1,0,0,0,Q9DAK2
Pocillopora_acuta_HIv1_PredGene_21346_t,109,Pocillopora_acuta_HIv1_PredGene_21346_t,0,1,0,0,0,0.5,0,1,0,0,1,0.5,0,Q9D7M8
Pocillopora_acuta_HIv1_PredGene_21441_t,165,Pocillopora_acuta_HIv1_PredGene_21441_t,15.5,21,13.5,7.5,13.5,16.5,11,5,9,7,14.5,10.5,11,A4V4S6
Pocillopora_acuta_HIv1_PredGene_21462_t,151,Pocillopora_acuta_HIv1_PredGene_21462_t,0.5,1,2,0,0.5,1,0.5,3,2,0,0.5,0,0,Q9BQ53
Pocillopora_acuta_HIv1_PredGene_21536_t,224,Pocillopora_acuta_HIv1_PredGene_21536_t,2,0,2.5,4,2.5,4,3,1.5,1.5,3,4.5,3.5,4,Q9NPB4
Pocillopora_acuta_HIv1_PredGene_21541_t,507,Pocillopora_acuta_HIv1_PredGene_21541_t,2.5,2,2,1,2.5,0.5,2,3,2.5,0.5,3.5,0,1,O75759
Pocillopora_acuta_HIv1_PredGene_21568_t,890,Pocillopora_acuta_HIv1_PredGene_21568_t,0,0,0.5,0,0.5,0.5,0.5,0.5,1,0,1.5,1,0,B4DVC6
Pocillopora_acuta_HIv1_PredGene_2177_t,567,Pocillopora_acuta_HIv1_PredGene_2177_t,51.5,57.5,58,55,77,69,40,27,69.5,43.5,80.5,57.5,68,Q9QW27
Pocillopora_acuta_HIv1_PredGene_21861_t,452,Pocillopora_acuta_HIv1_PredGene_21861_t,13.5,21.5,9,11,11.5,11,5,1,14,1.5,9,11,10,E7F2R0
Pocillopora_acuta_HIv1_PredGene_22141_t,521,Pocillopora_acuta_HIv1_PredGene_22141_t,0,0,0,0,0,0,0,0,0,0,0,0,1,Q5T323
Pocillopora_acuta_HIv1_PredGene_22166_t,537,Pocillopora_acuta_HIv1_PredGene_22166_t,12,14.5,14.5,12.5,16.5,11.5,9,6.5,12,8.5,48.5,18.5,16,Q790Y8
Pocillopora_acuta_HIv1_PredGene_22203_t,183,Pocillopora_acuta_HIv1_PredGene_22203_t,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0.5,0,O60460
Pocillopora_acuta_HIv1_PredGene_2231_t,570,Pocillopora_acuta_HIv1_PredGene_2231_t,57,28,32,39.5,30,28,123,30.5,71.5,20,15,49.5,100,Q9VR80
Pocillopora_acuta_HIv1_PredGene_22317_t,386,Pocillopora_acuta_HIv1_PredGene_22317_t,1.5,3.5,2,3,1,3,0,1,2,0.5,1,2,1,Q5T081
Pocillopora_acuta_HIv1_PredGene_22420_t,327,Pocillopora_acuta_HIv1_PredGene_22420_t,3,10,3.5,2.5,4,4.5,1.5,1,3,1.5,7.5,4.5,1,B2GNT1
Pocillopora_acuta_HIv1_PredGene_22496_t,261,Pocillopora_acuta_HIv1_PredGene_22496_t,0.5,12,6,2.5,3.5,4.5,0,0.5,3,0,1.5,4.5,0,A4V1C0
Pocillopora_acuta_HIv1_PredGene_22695_t,402,Pocillopora_acuta_HIv1_PredGene_22695_t,27,20.5,22,23,21,20.5,22,11,31,15,23.5,17,19,F8W5C6
Pocillopora_acuta_HIv1_PredGene_22824_t,288,Pocillopora_acuta_HIv1_PredGene_22824_t,0,0.5,0.5,0,0.5,0.5,0,0,0,0,0,0,0,
Pocillopora_acuta_HIv1_PredGene_22876_t,265,Pocillopora_acuta_HIv1_PredGene_22876_t,3.5,6,4,5,8,3,4.5,3,4.5,3.5,4,7,5,O01734
Pocillopora_acuta_HIv1_PredGene_22952_t,858,Pocillopora_acuta_HIv1_PredGene_22952_t,0,0,0,0,0.5,0,1,1,0.5,0.5,1.5,0.5,0,Q8I418
Pocillopora_acuta_HIv1_PredGene_23120_t,694,Pocillopora_acuta_HIv1_PredGene_23120_t,0.5,0,0.5,0,1,0,0.5,0,0,0,1.5,0,0,-
Pocillopora_acuta_HIv1_PredGene_23188_t,278,Pocillopora_acuta_HIv1_PredGene_23188_t,13,13.5,38,12.5,29.5,36,26,22,6,38.5,32,14.5,4,A8MZ34
Pocillopora_acuta_HIv1_PredGene_23291_t,806,Pocillopora_acuta_HIv1_PredGene_23291_t,0,0,1.5,1,1,0,0,0,0,0,0,0.5,0,B5DDZ4
Pocillopora_acuta_HIv1_PredGene_23331_t,198,Pocillopora_acuta_HIv1_PredGene_23331_t,3.5,3.5,6,1.5,4,3,4,1.5,3,1.5,7,1.5,2,Q9V6M7
Pocillopora_acuta_HIv1_PredGene_23360_t,1226,Pocillopora_acuta_HIv1_PredGene_23360_t,1.5,3.5,0.5,2,2,2,1.5,1,1.5,2,2,1,2,Q5TEM6
Pocillopora_acuta_HIv1_PredGene_23373_t,292,Pocillopora_acuta_HIv1_PredGene_23373_t,0.5,1,0,0.5,0,1,0,0,0,2,2,0.5,3,Q8IPP8
Pocillopora_acuta_HIv1_PredGene_2348_t,297,Pocillopora_acuta_HIv1_PredGene_2348_t,0,1,0,0,0,0.5,0,0,0,0,0,0,0,Q19269
Pocillopora_acuta_HIv1_PredGene_23523_t,467,Pocillopora_acuta_HIv1_PredGene_23523_t,7,7,8,8.5,7.5,4,8,4,3,4.5,13,12,9,Q9GNH8
Pocillopora_acuta_HIv1_PredGene_23524_t,468,Pocillopora_acuta_HIv1_PredGene_23524_t,2,2,2.5,2.5,2,1.5,2,2.5,1,0,2.5,3.5,0,Q3UKJ9
Pocillopora_acuta_HIv1_PredGene_23710_t,463,Pocillopora_acuta_HIv1_PredGene_23710_t,0,0,0,0,0,0,0,0,0,0,0,0,3,P97806
Pocillopora_acuta_HIv1_PredGene_23743_t,167,Pocillopora_acuta_HIv1_PredGene_23743_t,0.5,1,0.5,1,0.5,1,0.5,0,0,0.5,1.5,1,1,Q6GQL6
Pocillopora_acuta_HIv1_PredGene_23746_t,270,Pocillopora_acuta_HIv1_PredGene_23746_t,1,7,3,4.5,3.5,3.5,0,5.5,1.5,2,2,3,0,Q6PBZ1
Pocillopora_acuta_HIv1_PredGene_23819_t,448,Pocillopora_acuta_HIv1_PredGene_23819_t,2.5,2.5,1.5,0.5,2.5,1,1.5,3,4,1,2,2,1,A6NDM5
